Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1082324714",s,position_lat,"-138829104",semicircles,position_long,"1992058496",semicircles,distance,"2.37",m,heart_rate,"63",bpm,altitude,"12.799999999999955",m,speed,"1.434",m/s,power,"88",watts,cadence,"34",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"1.434",m/s,
Data,3,record,timestamp,"1082324715",s,position_lat,"-138828944",semicircles,position_long,"1992058496",semicircles,distance,"4.12",m,heart_rate,"64",bpm,altitude,"12.799999999999955",m,speed,"2.045",m/s,power,"133",watts,cadence,"42",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"2.045",m/s,
Data,3,record,timestamp,"1082324716",s,position_lat,"-138828704",semicircles,position_long,"1992058752",semicircles,distance,"6.49",m,heart_rate,"64",bpm,altitude,"12.799999999999955",m,speed,"2.694",m/s,power,"146",watts,cadence,"49",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"2.694",m/s,
Data,3,record,timestamp,"1082324717",s,position_lat,"-138828400",semicircles,position_long,"1992058752",semicircles,distance,"9.5",m,heart_rate,"64",bpm,altitude,"12.799999999999955",m,speed,"3.244",m/s,power,"147",watts,cadence,"54",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.244",m/s,
Data,3,record,timestamp,"1082324718",s,position_lat,"-138828048",semicircles,position_long,"1992058880",semicircles,distance,"12.98",m,heart_rate,"64",bpm,altitude,"12.799999999999955",m,speed,"3.694",m/s,power,"145",watts,cadence,"56",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.694",m/s,
Data,3,record,timestamp,"1082324719",s,position_lat,"-138827648",semicircles,position_long,"1992059008",semicircles,distance,"16.86",m,heart_rate,"64",bpm,altitude,"12.799999999999955",m,speed,"4.072",m/s,power,"146",watts,cadence,"56",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.072",m/s,
Data,3,record,timestamp,"1082324720",s,position_lat,"-138827216",semicircles,position_long,"1992059008",semicircles,distance,"21.04",m,heart_rate,"65",bpm,altitude,"12.799999999999955",m,speed,"4.402",m/s,power,"146",watts,cadence,"58",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.402",m/s,
Data,3,record,timestamp,"1082324721",s,position_lat,"-138826736",semicircles,position_long,"1992059264",semicircles,distance,"25.68",m,heart_rate,"66",bpm,altitude,"12.799999999999955",m,speed,"4.705",m/s,power,"145",watts,cadence,"62",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.705",m/s,
Data,3,record,timestamp,"1082324722",s,position_lat,"-138826208",semicircles,position_long,"1992059392",semicircles,distance,"30.52",m,heart_rate,"66",bpm,altitude,"12.799999999999955",m,speed,"4.977",m/s,power,"145",watts,cadence,"64",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.977",m/s,
Data,3,record,timestamp,"1082324723",s,position_lat,"-138825680",semicircles,position_long,"1992059392",semicircles,distance,"35.63",m,heart_rate,"67",bpm,altitude,"12.799999999999955",m,speed,"5.229",m/s,power,"146",watts,cadence,"65",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.229",m/s,
Data,3,record,timestamp,"1082324724",s,position_lat,"-138825104",semicircles,position_long,"1992059648",semicircles,distance,"40.98",m,heart_rate,"68",bpm,altitude,"12.799999999999955",m,speed,"5.462",m/s,power,"148",watts,cadence,"66",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.462",m/s,
Data,3,record,timestamp,"1082324725",s,position_lat,"-138824512",semicircles,position_long,"1992059648",semicircles,distance,"46.53",m,heart_rate,"69",bpm,altitude,"13.0",m,speed,"5.677",m/s,power,"147",watts,cadence,"68",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"5.677",m/s,
Data,3,record,timestamp,"1082324726",s,position_lat,"-138823904",semicircles,position_long,"1992059776",semicircles,distance,"52.24",m,heart_rate,"69",bpm,altitude,"13.0",m,speed,"5.872",m/s,power,"145",watts,cadence,"70",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"5.872",m/s,
Data,3,record,timestamp,"1082324727",s,position_lat,"-138823280",semicircles,position_long,"1992059776",semicircles,distance,"58.2",m,heart_rate,"72",bpm,altitude,"13.0",m,speed,"6.048",m/s,power,"145",watts,cadence,"71",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"6.048",m/s,
Data,3,record,timestamp,"1082324728",s,position_lat,"-138822608",semicircles,position_long,"1992060032",semicircles,distance,"64.51",m,heart_rate,"73",bpm,altitude,"13.0",m,speed,"6.226",m/s,power,"144",watts,cadence,"72",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"6.226",m/s,
Data,3,record,timestamp,"1082324729",s,position_lat,"-138821952",semicircles,position_long,"1992060160",semicircles,distance,"70.74",m,heart_rate,"73",bpm,altitude,"13.0",m,speed,"6.378",m/s,power,"144",watts,cadence,"72",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"6.378",m/s,
Data,3,record,timestamp,"1082324730",s,position_lat,"-138821296",semicircles,position_long,"1992060288",semicircles,distance,"77.2",m,heart_rate,"75",bpm,altitude,"13.0",m,speed,"6.53",m/s,power,"146",watts,cadence,"73",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"6.53",m/s,
Data,3,record,timestamp,"1082324731",s,position_lat,"-138820640",semicircles,position_long,"1992060672",semicircles,distance,"83.81",m,heart_rate,"76",bpm,altitude,"13.0",m,speed,"6.684",m/s,power,"144",watts,cadence,"73",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"6.684",m/s,
Data,3,record,timestamp,"1082324732",s,position_lat,"-138820032",semicircles,position_long,"1992061056",semicircles,distance,"90.45",m,heart_rate,"77",bpm,altitude,"13.0",m,speed,"6.823",m/s,power,"143",watts,cadence,"72",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"6.823",m/s,
Data,3,record,timestamp,"1082324733",s,position_lat,"-138819456",semicircles,position_long,"1992061568",semicircles,distance,"97.53",m,heart_rate,"77",bpm,altitude,"13.0",m,speed,"7.129",m/s,power,"144",watts,cadence,"73",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"7.129",m/s,
Data,3,record,timestamp,"1082324734",s,position_lat,"-138818944",semicircles,position_long,"1992062208",semicircles,distance,"104.62",m,heart_rate,"77",bpm,altitude,"13.0",m,speed,"7.247",m/s,power,"145",watts,cadence,"72",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"7.247",m/s,
Data,3,record,timestamp,"1082324735",s,position_lat,"-138818480",semicircles,position_long,"1992062720",semicircles,distance,"111.9",m,heart_rate,"78",bpm,altitude,"13.0",m,speed,"7.35",m/s,power,"145",watts,cadence,"72",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"7.35",m/s,
Data,3,record,timestamp,"1082324736",s,position_lat,"-138818048",semicircles,position_long,"1992063488",semicircles,distance,"119.42",m,heart_rate,"80",bpm,altitude,"13.0",m,speed,"7.453",m/s,power,"145",watts,cadence,"73",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"7.453",m/s,
Data,3,record,timestamp,"1082324737",s,position_lat,"-138817648",semicircles,position_long,"1992064128",semicircles,distance,"126.93",m,heart_rate,"80",bpm,altitude,"13.0",m,speed,"7.553",m/s,power,"145",watts,cadence,"72",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"7.553",m/s,
Data,3,record,timestamp,"1082324738",s,position_lat,"-138817296",semicircles,position_long,"1992064896",semicircles,distance,"134.41",m,heart_rate,"82",bpm,altitude,"13.0",m,speed,"7.652",m/s,power,"144",watts,cadence,"72",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"7.652",m/s,
Data,3,record,timestamp,"1082324739",s,position_lat,"-138816944",semicircles,position_long,"1992065664",semicircles,distance,"142.14",m,heart_rate,"83",bpm,altitude,"13.0",m,speed,"7.839",m/s,power,"145",watts,cadence,"72",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"7.839",m/s,
