Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1108568059",s,position_lat,"614548672",semicircles,position_long,"-908128",semicircles,distance,"0.27",m,altitude,"18.0",m,speed,"10.859",m/s,power,"254",watts,heart_rate,"147",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"10.859",m/s,
Data,3,record,timestamp,"1108568060",s,position_lat,"614548544",semicircles,position_long,"-908135",semicircles,distance,"1.9",m,altitude,"18.0",m,speed,"10.875",m/s,power,"279",watts,heart_rate,"147",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"10.875",m/s,
Data,3,record,timestamp,"1108568061",s,position_lat,"614547328",semicircles,position_long,"-908184",semicircles,distance,"12.84",m,altitude,"18.0",m,speed,"10.998",m/s,power,"279",watts,heart_rate,"147",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"10.998",m/s,
Data,3,record,timestamp,"1108568062",s,position_lat,"614546176",semicircles,position_long,"-908215",semicircles,distance,"23.9",m,altitude,"18.0",m,speed,"11.124",m/s,power,"284",watts,heart_rate,"148",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"11.124",m/s,
Data,3,record,timestamp,"1108568063",s,position_lat,"614544960",semicircles,position_long,"-908211",semicircles,distance,"35.08",m,altitude,"18.0",m,speed,"11.237",m/s,power,"284",watts,heart_rate,"149",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"11.237",m/s,
Data,3,record,timestamp,"1108568064",s,position_lat,"614543808",semicircles,position_long,"-908212",semicircles,distance,"46.36",m,altitude,"18.0",m,speed,"11.344",m/s,power,"300",watts,heart_rate,"150",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"11.344",m/s,
Data,3,record,timestamp,"1108568065",s,position_lat,"614542528",semicircles,position_long,"-908231",semicircles,distance,"57.77",m,altitude,"18.0",m,speed,"11.462",m/s,power,"305",watts,heart_rate,"150",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"11.462",m/s,
Data,3,record,timestamp,"1108568066",s,position_lat,"614541312",semicircles,position_long,"-907960",semicircles,distance,"69.3",m,altitude,"18.0",m,speed,"11.576",m/s,power,"289",watts,heart_rate,"151",bpm,cadence,"93",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"11.576",m/s,
Data,3,record,timestamp,"1108568067",s,position_lat,"614540288",semicircles,position_long,"-906868",semicircles,distance,"80.92",m,altitude,"18.0",m,speed,"11.677",m/s,power,"301",watts,heart_rate,"152",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"11.677",m/s,
Data,3,record,timestamp,"1108568068",s,position_lat,"614539520",semicircles,position_long,"-905322",semicircles,distance,"92.66",m,altitude,"18.0",m,speed,"11.782",m/s,power,"308",watts,heart_rate,"152",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"11.782",m/s,
Data,3,record,timestamp,"1108568069",s,position_lat,"614538752",semicircles,position_long,"-903659",semicircles,distance,"104.46",m,altitude,"18.200000000000045",m,speed,"11.832",m/s,power,"284",watts,heart_rate,"152",bpm,cadence,"94",rpm,enhanced_altitude,"18.200000000000045",m,enhanced_speed,"11.832",m/s,
Data,3,record,timestamp,"1108568070",s,position_lat,"614538112",semicircles,position_long,"-901877",semicircles,distance,"116.3",m,altitude,"18.200000000000045",m,speed,"11.825",m/s,power,"284",watts,heart_rate,"153",bpm,cadence,"94",rpm,enhanced_altitude,"18.200000000000045",m,enhanced_speed,"11.825",m/s,
Data,3,record,timestamp,"1108568071",s,position_lat,"614537600",semicircles,position_long,"-900049",semicircles,distance,"128.14",m,altitude,"18.399999999999977",m,speed,"11.854",m/s,power,"293",watts,heart_rate,"154",bpm,cadence,"93",rpm,enhanced_altitude,"18.399999999999977",m,enhanced_speed,"11.854",m/s,
Data,3,record,timestamp,"1108568072",s,position_lat,"614537024",semicircles,position_long,"-898209",semicircles,distance,"139.97",m,altitude,"18.399999999999977",m,speed,"11.813",m/s,power,"293",watts,heart_rate,"154",bpm,cadence,"94",rpm,enhanced_altitude,"18.399999999999977",m,enhanced_speed,"11.813",m/s,
Data,3,record,timestamp,"1108568073",s,position_lat,"614536512",semicircles,position_long,"-896372",semicircles,distance,"151.77",m,altitude,"18.600000000000023",m,speed,"11.78",m/s,power,"284",watts,heart_rate,"155",bpm,cadence,"93",rpm,enhanced_altitude,"18.600000000000023",m,enhanced_speed,"11.78",m/s,
Data,3,record,timestamp,"1108568074",s,position_lat,"614535936",semicircles,position_long,"-894544",semicircles,distance,"163.56",m,altitude,"18.600000000000023",m,speed,"11.813",m/s,power,"303",watts,heart_rate,"155",bpm,cadence,"93",rpm,enhanced_altitude,"18.600000000000023",m,enhanced_speed,"11.813",m/s,
Data,3,record,timestamp,"1108568075",s,position_lat,"614535424",semicircles,position_long,"-892725",semicircles,distance,"175.46",m,altitude,"18.399999999999977",m,speed,"12.019",m/s,power,"313",watts,heart_rate,"156",bpm,cadence,"93",rpm,enhanced_altitude,"18.399999999999977",m,enhanced_speed,"12.019",m/s,
Data,3,record,timestamp,"1108568076",s,position_lat,"614534784",semicircles,position_long,"-890901",semicircles,distance,"187.63",m,altitude,"18.200000000000045",m,speed,"12.326",m/s,power,"281",watts,heart_rate,"156",bpm,cadence,"93",rpm,enhanced_altitude,"18.200000000000045",m,enhanced_speed,"12.326",m/s,
Data,3,record,timestamp,"1108568077",s,position_lat,"614534016",semicircles,position_long,"-889098",semicircles,distance,"200.09",m,altitude,"18.0",m,speed,"12.611",m/s,power,"401",watts,heart_rate,"157",bpm,cadence,"94",rpm,enhanced_altitude,"18.0",m,enhanced_speed,"12.611",m/s,
Data,3,record,timestamp,"1108568078",s,position_lat,"614533248",semicircles,position_long,"-887349",semicircles,distance,"212.86",m,altitude,"17.799999999999955",m,speed,"12.904",m/s,power,"392",watts,heart_rate,"157",bpm,cadence,"96",rpm,enhanced_altitude,"17.799999999999955",m,enhanced_speed,"12.904",m/s,
Data,3,record,timestamp,"1108568079",s,position_lat,"614532288",semicircles,position_long,"-885662",semicircles,distance,"225.9",m,altitude,"17.600000000000023",m,speed,"13.151",m/s,power,"392",watts,heart_rate,"158",bpm,cadence,"97",rpm,enhanced_altitude,"17.600000000000023",m,enhanced_speed,"13.151",m/s,
Data,3,record,timestamp,"1108568080",s,position_lat,"614531264",semicircles,position_long,"-884037",semicircles,distance,"239.19",m,altitude,"17.200000000000045",m,speed,"13.456",m/s,power,"312",watts,heart_rate,"158",bpm,cadence,"98",rpm,enhanced_altitude,"17.200000000000045",m,enhanced_speed,"13.456",m/s,
Data,3,record,timestamp,"1108568081",s,position_lat,"614530112",semicircles,position_long,"-882578",semicircles,distance,"252.88",m,altitude,"16.399999999999977",m,speed,"13.973",m/s,power,"304",watts,heart_rate,"159",bpm,cadence,"98",rpm,enhanced_altitude,"16.399999999999977",m,enhanced_speed,"13.973",m/s,
