Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1072189591",s,position_lat,"-138809056",semicircles,position_long,"1992070016",semicircles,distance,"11.43",m,heart_rate,"148",bpm,altitude,"13.0",m,speed,"11.173",m/s,power,"289",watts,cadence,"94",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.173",m/s,
Data,3,record,timestamp,"1072189592",s,position_lat,"-138810192",semicircles,position_long,"1992070528",semicircles,distance,"22.6",m,heart_rate,"149",bpm,altitude,"13.0",m,speed,"11.21",m/s,power,"302",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.21",m/s,
Data,3,record,timestamp,"1072189593",s,position_lat,"-138811264",semicircles,position_long,"1992071040",semicircles,distance,"33.85",m,heart_rate,"149",bpm,altitude,"13.0",m,speed,"11.25",m/s,power,"293",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.25",m/s,
Data,3,record,timestamp,"1072189594",s,position_lat,"-138812272",semicircles,position_long,"1992071808",semicircles,distance,"45.15",m,heart_rate,"149",bpm,altitude,"13.0",m,speed,"11.276",m/s,power,"276",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.276",m/s,
Data,3,record,timestamp,"1072189595",s,position_lat,"-138813072",semicircles,position_long,"1992072704",semicircles,distance,"56.44",m,heart_rate,"149",bpm,altitude,"13.0",m,speed,"11.314",m/s,power,"326",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.314",m/s,
Data,3,record,timestamp,"1072189596",s,position_lat,"-138813424",semicircles,position_long,"1992073856",semicircles,distance,"67.79",m,heart_rate,"149",bpm,altitude,"13.0",m,speed,"11.372",m/s,power,"316",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.372",m/s,
Data,3,record,timestamp,"1072189597",s,position_lat,"-138813312",semicircles,position_long,"1992075136",semicircles,distance,"79.18",m,heart_rate,"150",bpm,altitude,"13.0",m,speed,"11.418",m/s,power,"314",watts,cadence,"94",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.418",m/s,
Data,3,record,timestamp,"1072189598",s,position_lat,"-138812992",semicircles,position_long,"1992076416",semicircles,distance,"90.62",m,heart_rate,"150",bpm,altitude,"13.0",m,speed,"11.473",m/s,power,"347",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.473",m/s,
Data,3,record,timestamp,"1072189599",s,position_lat,"-138812576",semicircles,position_long,"1992077440",semicircles,distance,"102.13",m,heart_rate,"150",bpm,altitude,"13.0",m,speed,"11.522",m/s,power,"303",watts,cadence,"96",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.522",m/s,
Data,3,record,timestamp,"1072189600",s,position_lat,"-138812176",semicircles,position_long,"1992078720",semicircles,distance,"113.67",m,heart_rate,"150",bpm,altitude,"13.0",m,speed,"11.56",m/s,power,"311",watts,cadence,"96",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.56",m/s,
Data,3,record,timestamp,"1072189601",s,position_lat,"-138811696",semicircles,position_long,"1992079872",semicircles,distance,"125.25",m,heart_rate,"150",bpm,altitude,"13.0",m,speed,"11.604",m/s,power,"300",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.604",m/s,
Data,3,record,timestamp,"1072189602",s,position_lat,"-138811216",semicircles,position_long,"1992081152",semicircles,distance,"136.88",m,heart_rate,"151",bpm,altitude,"13.0",m,speed,"11.643",m/s,power,"306",watts,cadence,"94",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.643",m/s,
Data,3,record,timestamp,"1072189603",s,position_lat,"-138810800",semicircles,position_long,"1992082176",semicircles,distance,"148.54",m,heart_rate,"151",bpm,altitude,"13.0",m,speed,"11.686",m/s,power,"327",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.686",m/s,
Data,3,record,timestamp,"1072189604",s,position_lat,"-138810512",semicircles,position_long,"1992083456",semicircles,distance,"160.25",m,heart_rate,"151",bpm,altitude,"13.0",m,speed,"11.715",m/s,power,"293",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.715",m/s,
Data,3,record,timestamp,"1072189605",s,position_lat,"-138810384",semicircles,position_long,"1992084736",semicircles,distance,"171.96",m,heart_rate,"152",bpm,altitude,"13.0",m,speed,"11.709",m/s,power,"280",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.709",m/s,
Data,3,record,timestamp,"1072189606",s,position_lat,"-138810400",semicircles,position_long,"1992086016",semicircles,distance,"183.66",m,heart_rate,"152",bpm,altitude,"13.0",m,speed,"11.687",m/s,power,"286",watts,cadence,"95",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.687",m/s,
Data,3,record,timestamp,"1072189607",s,position_lat,"-138810576",semicircles,position_long,"1992087296",semicircles,distance,"195.34",m,heart_rate,"152",bpm,altitude,"13.0",m,speed,"11.679",m/s,power,"317",watts,cadence,"94",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.679",m/s,
