Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1106695691",s,position_lat,"-138818944",semicircles,position_long,"1991823104",semicircles,distance,"0.21",m,altitude,"1.6000000000000227",m,speed,"0.931",m/s,power,"169",watts,heart_rate,"63",bpm,cadence,"14",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"0.931",m/s,
Data,3,record,timestamp,"1106695692",s,position_lat,"-138818912",semicircles,position_long,"1991822976",semicircles,distance,"1.02",m,altitude,"1.6000000000000227",m,speed,"1.793",m/s,power,"169",watts,heart_rate,"64",bpm,cadence,"27",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"1.793",m/s,
Data,3,record,timestamp,"1106695693",s,position_lat,"-138818832",semicircles,position_long,"1991822720",semicircles,distance,"3.29",m,altitude,"1.6000000000000227",m,speed,"2.622",m/s,power,"151",watts,heart_rate,"65",bpm,cadence,"1",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"2.622",m/s,
Data,3,record,timestamp,"1106695694",s,position_lat,"-138818672",semicircles,position_long,"1991822464",semicircles,distance,"6.16",m,altitude,"1.6000000000000227",m,speed,"3.114",m/s,power,"119",watts,heart_rate,"66",bpm,cadence,"1",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"3.114",m/s,
Data,3,record,timestamp,"1106695695",s,position_lat,"-138818480",semicircles,position_long,"1991822208",semicircles,distance,"9.43",m,altitude,"1.6000000000000227",m,speed,"3.364",m/s,power,"78",watts,heart_rate,"66",bpm,cadence,"69",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"3.364",m/s,
Data,3,record,timestamp,"1106695696",s,position_lat,"-138818240",semicircles,position_long,"1991821824",semicircles,distance,"12.88",m,altitude,"1.6000000000000227",m,speed,"3.584",m/s,power,"78",watts,heart_rate,"66",bpm,cadence,"76",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"3.584",m/s,
Data,3,record,timestamp,"1106695697",s,position_lat,"-138818000",semicircles,position_long,"1991821440",semicircles,distance,"16.58",m,altitude,"1.6000000000000227",m,speed,"3.797",m/s,power,"81",watts,heart_rate,"67",bpm,cadence,"77",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"3.797",m/s,
Data,3,record,timestamp,"1106695698",s,position_lat,"-138817776",semicircles,position_long,"1991821184",semicircles,distance,"20.46",m,altitude,"1.6000000000000227",m,speed,"3.998",m/s,power,"83",watts,heart_rate,"68",bpm,cadence,"78",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"3.998",m/s,
Data,3,record,timestamp,"1106695699",s,position_lat,"-138817552",semicircles,position_long,"1991820800",semicircles,distance,"24.6",m,altitude,"1.6000000000000227",m,speed,"4.181",m/s,power,"80",watts,heart_rate,"68",bpm,cadence,"78",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"4.181",m/s,
Data,3,record,timestamp,"1106695700",s,position_lat,"-138817328",semicircles,position_long,"1991820416",semicircles,distance,"28.88",m,altitude,"1.6000000000000227",m,speed,"4.355",m/s,power,"79",watts,heart_rate,"69",bpm,cadence,"77",rpm,enhanced_altitude,"1.6000000000000227",m,enhanced_speed,"4.355",m/s,
