record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1107471180","-138833440","1992054144","0.49","12.799999999999955","0.92","98","68","14","12.799999999999955","0.92",
"1107471181","-138833344","1992054144","1.6","12.799999999999955","1.765","123","68","1","12.799999999999955","1.765",
"1107471182","-138833168","1992054272","3.74","12.799999999999955","2.407","98","67","1","12.799999999999955","2.407",
"1107471183","-138832976","1992054528","6.37","12.799999999999955","2.86","105","67","64","12.799999999999955","2.86",
"1107471184","-138832768","1992054912","9.45","12.799999999999955","3.299","123","68","78","12.799999999999955","3.299",
"1107471185","-138832528","1992055040","12.97","12.799999999999955","3.721","134","68","73","12.799999999999955","3.721",
"1107471186","-138832272","1992055424","16.88","12.799999999999955","4.048","103","68","74","12.799999999999955","4.048",
"1107471187","-138831984","1992055808","21.03","12.799999999999955","4.314","110","69","75","12.799999999999955","4.314",
"1107471188","-138831664","1992056192","25.51","12.799999999999955","4.57","113","70","76","12.799999999999955","4.57",
"1107471189","-138831328","1992056576","30.14","12.799999999999955","4.781","97","72","77","12.799999999999955","4.781",
"1107471190","-138830960","1992056832","35.05","12.799999999999955","4.96","102","72","78","12.799999999999955","4.96",
"1107471191","-138830560","1992057216","40.12","12.799999999999955","5.127","100","73","78","12.799999999999955","5.127",
"1107471192","-138830128","1992057600","45.33","12.799999999999955","5.264","91","75","79","12.799999999999955","5.264",
"1107471193","-138829664","1992057984","50.63","12.799999999999955","5.389","103","76","80","12.799999999999955","5.389",
"1107471194","-138829168","1992058368","56.07","12.799999999999955","5.525","113","78","81","12.799999999999955","5.525",
"1107471195","-138828640","1992058496","61.64","12.799999999999955","5.664","115","79","83","12.799999999999955","5.664",
"1107471196","-138828048","1992058880","67.44","12.799999999999955","5.781","92","80","82","12.799999999999955","5.781",
"1107471197","-138827456","1992059008","73.25","12.799999999999955","5.906","134","81","84","12.799999999999955","5.906",
"1107471198","-138826848","1992059264","79.18","12.799999999999955","6.073","105","81","85","12.799999999999955","6.073",
"1107471199","-138826192","1992059392","85.35","12.799999999999955","6.232","102","82","85","12.799999999999955","6.232",
"1107471200","-138825520","1992059392","91.65","12.799999999999955","6.338","104","83","85","12.799999999999955","6.338",
"1107471201","-138824848","1992059648","98.03","12.799999999999955","6.405","85","84","84","12.799999999999955","6.405",
"1107471202","-138824160","1992059776","104.46","13.0","6.462","110","84","85","13.0","6.462",
"1107471203","-138823472","1992059776","111.04","13.0","6.534","112","85","86","13.0","6.534",
"1107471204","-138822768","1992060032","117.5","13.0","6.587","100","86","85","13.0","6.587",
"1107471205","-138822064","1992060032","124.15","13.0","6.609","82","87","85","13.0","6.609",
"1107471206","-138821392","1992060160","130.71","13.0","6.621","97","88","84","13.0","6.621",
"1107471207","-138820720","1992060544","137.36","13.0","6.643","86","89","85","13.0","6.643",
"1107471208","-138820096","1992060928","143.99","13.0","6.652","84","90","84","13.0","6.652",
"1107471209","-138819520","1992061312","150.78","13.0","6.687","108","90","85","13.0","6.687",
"1107471210","-138819008","1992061824","157.46","13.0","6.738","104","90","85","13.0","6.738",
"1107471211","-138818544","1992062336","164.21","13.0","6.817","133","91","85","13.0","6.817",
"1107471212","-138818160","1992063104","171.14","13.0","6.895","110","91","86","13.0","6.895",
"1107471213","-138817808","1992063616","177.92","13.0","6.931","98","91","86","13.0","6.931",
"1107471214","-138817456","1992064384","184.93","13.0","6.962","101","92","86","13.0","6.962",
"1107471215","-138817152","1992065024","191.9","13.0","6.994","101","92","86","13.0","6.994",
"1107471216","-138816896","1992065792","198.95","13.0","7.011","86","93","85","13.0","7.011",
"1107471217","-138816656","1992066560","205.94","13.0","7.026","99","93","84","13.0","7.026",
"1107471218","-138816400","1992067200","212.93","13.0","7.055","102","94","85","13.0","7.055",
"1107471219","-138816128","1992067968","220.03","13.0","7.088","103","95","85","13.0","7.088",
"1107471220","-138815840","1992068736","227.13","13.0","7.119","102","95","85","13.0","7.119",
"1107471221","-138815520","1992069504","234.31","13.0","7.138","91","95","86","13.0","7.138",
"1107471222","-138815200","1992070144","241.44","13.0","7.144","88","96","84","13.0","7.144",
"1107471223","-138814864","1992070656","248.61","13.0","7.15","90","96","85","13.0","7.15",
"1107471224","-138814560","1992071424","255.75","13.0","7.157","89","96","84","13.0","7.157",
"1107471225","-138814272","1992072192","262.83","13.0","7.174","99","97","84","13.0","7.174",
"1107471226","-138813984","1992072960","270.13","13.0","7.197","97","97","84","13.0","7.197",
"1107471227","-138813728","1992073600","277.3","13.0","7.236","128","97","83","13.0","7.236",
"1107471228","-138813472","1992074496","284.59","13.0","7.314","129","98","85","13.0","7.314",
"1107471229","-138813232","1992075264","291.95","13.0","7.365","107","98","86","13.0","7.365",
"1107471230","-138812992","1992076032","299.29","13.0","7.386","95","98","86","13.0","7.386",
"1107471231","-138812768","1992076672","306.58","13.0","7.416","115","100","86","13.0","7.416",
"1107471232","-138812528","1992077696","314.24","13.0","7.454","107","100","85","13.0","7.454",
"1107471233","-138812272","1992078336","321.54","13.0","7.485","104","100","86","13.0","7.485",
"1107471234","-138811968","1992079104","329.07","13.0","7.521","110","100","87","13.0","7.521",
"1107471235","-138811664","1992079872","336.72","13.0","7.586","131","101","87","13.0","7.586",
"1107471236","-138811344","1992080512","344.26","13.0","7.651","109","101","88","13.0","7.651",
"1107471237","-138811040","1992081408","351.96","13.0","7.691","114","101","87","13.0","7.691",
"1107471238","-138810800","1992082176","359.66","13.0","7.691","75","102","88","13.0","7.691",
"1107471239","-138810592","1992083072","367.34","13.0","7.669","88","102","87","13.0","7.669",
"1107471240","-138810480","1992083840","375.05","13.0","7.663","99","102","87","13.0","7.663",
"1107471241","-138810416","1992084736","382.68","13.0","7.659","102","102","87","13.0","7.659",
"1107471242","-138810416","1992085504","390.23","13.0","7.652","104","101","85","13.0","7.652",
"1107471243","-138810480","1992086400","397.99","13.0","7.648","115","101","86","13.0","7.648",
"1107471244","-138810624","1992087040","405.62","13.0","7.674","133","101","87","13.0","7.674",
"1107471245","-138810832","1992088064","413.34","13.0","7.712","123","101","88","13.0","7.712",
"1107471246","-138811072","1992088704","420.97","13.0","7.716","101","101","88","13.0","7.716",
"1107471247","-138811328","1992089600","428.7","13.0","7.706","106","101","86","13.0","7.706",
"1107471248","-138811616","1992090368","436.41","13.0","7.699","108","101","87","13.0","7.699",
"1107471249","-138811888","1992091136","444.1","13.0","7.694","108","101","87","13.0","7.694",
"1107471250","-138812176","1992092032","451.79","13.200000000000045","7.728","110","100","87","13.200000000000045","7.728",
"1107471251","-138812480","1992092800","459.71","13.200000000000045","7.851","113","100","87","13.200000000000045","7.851",
"1107471252","-138812736","1992093440","467.45","13.200000000000045","7.939","126","100","87","13.200000000000045","7.939",
"1107471253","-138813008","1992094336","475.43","13.200000000000045","7.996","112","100","88","13.200000000000045","7.996",
"1107471254","-138813264","1992095232","483.53","13.200000000000045","8.016","110","99","87","13.200000000000045","8.016",
"1107471255","-138813488","1992096000","491.62","13.200000000000045","8.04","134","99","88","13.200000000000045","8.04",
"1107471256","-138813680","1992096896","499.65","13.200000000000045","8.057","120","99","88","13.200000000000045","8.057",
"1107471257","-138813824","1992097792","507.71","13.399999999999977","8.052","118","98","86","13.399999999999977","8.052",
"1107471258","-138813904","1992098688","515.76","13.399999999999977","8.027","109","98","87","13.399999999999977","8.027",
"1107471259","-138813904","1992099456","523.73","13.399999999999977","7.991","119","98","86","13.399999999999977","7.991",
"1107471260","-138813808","1992100352","531.63","13.600000000000023","7.954","116","98","86","13.600000000000023","7.954",
"1107471261","-138813616","1992101248","539.59","13.600000000000023","7.914","123","98","86","13.600000000000023","7.914",
"1107471262","-138813360","1992102016","547.49","13.600000000000023","7.867","128","97","86","13.600000000000023","7.867",
"1107471263","-138813008","1992102912","555.38","13.799999999999955","7.821","130","97","84","13.799999999999955","7.821",
"1107471264","-138812640","1992103680","563.08","13.799999999999955","7.761","116","98","85","13.799999999999955","7.761",
"1107471265","-138812224","1992104448","570.82","14.0","7.691","120","98","84","14.0","7.691",
"1107471266","-138811776","1992105088","578.52","14.200000000000045","7.625","123","98","84","14.200000000000045","7.625",
"1107471267","-138811328","1992105728","586.09","14.200000000000045","7.566","127","98","83","14.200000000000045","7.566",
"1107471268","-138810864","1992106368","593.61","14.399999999999977","7.506","136","98","82","14.399999999999977","7.506",
"1107471269","-138810400","1992107136","601.07","14.399999999999977","7.424","136","98","84","14.399999999999977","7.424",
"1107471270","-138809936","1992107648","608.53","14.600000000000023","7.341","131","98","84","14.600000000000023","7.341",
"1107471271","-138809472","1992108416","615.83","14.600000000000023","7.251","126","98","84","14.600000000000023","7.251",
"1107471272","-138809024","1992108928","623.0","14.799999999999955","7.161","129","98","84","14.799999999999955","7.161",
"1107471273","-138808560","1992109696","630.1","15.0","7.086","139","98","83","15.0","7.086",
"1107471274","-138808112","1992110208","637.23","15.0","7.024","141","97","85","15.0","7.024",
"1107471275","-138807680","1992110976","644.17","15.200000000000045","6.965","140","97","85","15.200000000000045","6.965",
"1107471276","-138807296","1992111488","651.05","15.200000000000045","6.898","119","97","85","15.200000000000045","6.898",
"1107471277","-138806976","1992112256","657.91","15.399999999999977","6.853","128","97","84","15.399999999999977","6.853",
"1107471278","-138806736","1992112896","664.8","15.399999999999977","6.81","128","97","83","15.399999999999977","6.81",
"1107471279","-138806624","1992113664","671.6","15.600000000000023","6.784","136","97","85","15.600000000000023","6.784",
"1107471280","-138806624","1992114432","678.37","15.799999999999955","6.768","127","97","84","15.799999999999955","6.768",
"1107471281","-138806736","1992115072","685.1","15.799999999999955","6.76","139","97","84","15.799999999999955","6.76",
"1107471282","-138806944","1992115840","691.88","16.0","6.783","140","97","84","16.0","6.783",
"1107471283","-138807280","1992116352","698.65","16.0","6.819","132","97","83","16.0","6.819",
"1107471284","-138807744","1992117120","705.54","16.0","6.857","128","97","84","16.0","6.857",
