record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.heart_rate[bpm],record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1081801055","0.0","49.200000000000045","18","0",,,,,,,
"1081801056","0.0","49.200000000000045","19","63","63",,,,,,
"1081801057","0.0","49.200000000000045","19","63","63",,,,,,
"1081801058","0.0","49.200000000000045","19","63","63",,,,,,
"1081801059","0.0","49.200000000000045","19","63","63",,,,,,
"1081801060","0.0","49.0","19","63","63",,,,,,
"1081801061","0.0","49.0","20","63","63",,,,,,
"1081801062","0.0","49.0","20","63","63","11.81",,,,,
"1081801063","0.0","49.0","20","63","63","11.81",,,,,
"1081801064","0.0","49.0","20","63","63","11.81",,,,,
"1081801065","0.0","49.0","20","63","63","11.81",,,,,
"1081801066","0.0","49.0","20","63","63","12.99",,,,,
"1081801070","0.0","49.0","20","64","64","12.99",,,,,
"1081801071","0.0","49.200000000000045","20","64","64","12.99","567664877","-628919980","0.765",,
"1081801072","9.53","49.200000000000045","21","65","65","12.99","567664261","-628921230","1.082",,
"1081801073","17.14","49.200000000000045","21","66","66","12.99","567663495","-628921222","1.717",,
"1081801074","23.28","49.0","21","67","67","13.39","567663397","-628920327","1.969",,
"1081801075","27.09","49.200000000000045","21","68","68","13.39","567663278","-628919937","2.538",,
"1081801076","30.03","49.200000000000045","21","69","69","13.39","567663332","-628919468","2.939",,
"1081801077","33.96","49.200000000000045","21","69","69","13.39","567663468","-628918920","3.023",,
"1081801078","37.46","49.200000000000045","21","70","70","13.39","567663759","-628918465","3.536",,
"1081801079","42.65","49.0","21","71","71","13.39","567664149","-628917919","4.068",,
"1081801080","47.67","49.0","21","71","71","13.25","567664466","-628917240","4.796",,
"1081801081","53.32","49.200000000000045","21","72","72","13.25","567664790","-628916532","5.048",,
"1081801082","59.0","49.200000000000045","21","74","74","13.25","567665091","-628915815","5.067",,
"1081801083","63.63","49.200000000000045","21","76","76","13.25","567665361","-628915128","5.3",,
"1081801084","68.96","49.200000000000045","21","77","77","13.56","567665673","-628914419","5.346",,
