record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1083785130","0.0","31.799999999999955","59","22","59",,,,,,
"1083785131","0.0","34.0","59","22","59",,,,,,
"1083785132","0.0","34.0","58","22","58",,,,,,
"1083785133","0.0","34.200000000000045","58","22","58",,,,,,
"1083785134","0.0","34.39999999999998","57","22","57",,,,,,
"1083785135","0.0","34.39999999999998","57","22","57","11.81",,,,,
"1083785136","0.0","34.39999999999998","56","22","56","11.81",,,,,
"1083785138","0.0","34.39999999999998","56","22","56","11.81",,,,,
"1083785139","0.0","34.200000000000045","56","22","56","11.81",,,,,
"1083785140","0.0","34.200000000000045","56","22","56","11.81",,,,,
"1083785141","0.0","34.799999999999955","56","22","56","12.4","567666029","-628920084","1.064",,
"1083785142","1.38","35.39999999999998","56","22","56","12.4","567665934","-628920074","1.222",,
"1083785143","7.42","36.0","56","22","56","12.4","567665363","-628919443","1.362",,
"1083785144","9.82","36.39999999999998","57","22","57","12.4","567665399","-628919174","2.034",,
"1083785145","15.56","36.799999999999955","58","22","58","12.4","567665219","-628918228","2.743",,
"1083785146","19.71","37.39999999999998","59","22","59","12.2","567665188","-628917599","3.135",,
"1083785147","23.74","37.60000000000002","61","22","61","12.2","567665192","-628917015","3.63",,
"1083785148","27.5","38.0","62","22","62","12.2","567665215","-628916437","3.732",,
"1083785149","31.47","38.39999999999998","64","22","64","12.2","567665287","-628915847","4.04",,
"1083785150","35.13","38.60000000000002","67","22","67","12.2","567665428","-628915288","4.376",,
"1083785151","39.17","38.799999999999955","68","22","68","12.86","567665615","-628914681","4.591",,
"1083785152","44.16","39.200000000000045","69","22","69","12.86","567665830","-628913955","4.899",,
"1083785153","48.94","39.60000000000002","71","22","71","12.86","567666096","-628913278","5.011",,
"1083785154","53.26","39.799999999999955","72","22","72","12.86","567666143","-628912583","4.544",,
"1083785155","57.3","40.0","73","22","73","12.86","567665873","-628912066","3.938",,
"1083785156","60.71","40.200000000000045","73","22","73","12.51","567665561","-628911769","3.462",,
"1083785157","64.22","40.200000000000045","73","22","73","12.51","567665285","-628911360","3.49",,
"1083785158","68.86","40.200000000000045","74","22","74","12.51","567665064","-628910680","4.479",,
"1083785159","74.1","40.0","74","22","74","12.51","567664999","-628909859","5.067",,
"1083785160","79.19","39.39999999999998","74","22","74","12.51","567665091","-628909049","5.253",,
"1083785161","84.85","39.39999999999998","74","22","74","12.28","567665271","-628908189","5.496",,
"1083785162","90.6","39.39999999999998","74","22","74","12.28","567665544","-628907361","5.645",,
"1083785163","96.52","39.60000000000002","74","22","74","12.28","567665878","-628906557","5.822",,
"1083785164","102.65","39.60000000000002","75","22","75","12.28","567666243","-628905758","5.953",,
"1083785165","108.64","39.799999999999955","76","22","76","12.28","567666587","-628904965","5.841",,
"1083785166","114.36","39.799999999999955","76","22","76","12.51","567666948","-628904243","5.729",,
"1083785167","120.1","40.0","77","22","77","12.51","567667310","-628903516","5.766",,
