record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1096160883","-128448048","1978609408","0.52","64","87.20000000000005","0.912","44","14","87.20000000000005","0.912",
"1096160884","-128447944","1978609408","1.43","64","87.20000000000005","1.467","44","22","87.20000000000005","1.467",
"1096160885","-128447776","1978609280","3.26","64","87.0","2.124","53","33","87.0","2.124",
"1096160886","-128447544","1978609024","5.68","65","87.0","2.754","73","1","87.0","2.754",
"1096160887","-128447272","1978608896","8.73","66","86.79999999999995","3.299","65","1","86.79999999999995","3.299",
"1096160888","-128446960","1978608768","12.31","66","86.79999999999995","3.774","90","45","86.79999999999995","3.774",
"1096160889","-128446624","1978608512","16.33","66","86.60000000000002","4.285","90","45","86.60000000000002","4.285",
"1096160890","-128446264","1978608128","20.92","67","86.60000000000002","4.837","104","52","86.60000000000002","4.837",
"1096160891","-128445888","1978607744","25.96","67","86.39999999999998","5.214","104","52","86.39999999999998","5.214",
"1096160892","-128445536","1978607232","31.31","67","86.39999999999998","5.508","126","73","86.39999999999998","5.508",
"1096160893","-128445224","1978606720","36.9","68","86.39999999999998","5.585","106","76","86.39999999999998","5.585",
"1096160894","-128445032","1978606208","42.32","68","86.79999999999995","5.359","106","78","86.79999999999995","5.359",
"1096160895","-128445024","1978605568","47.48","69","87.20000000000005","4.835","119","78","87.20000000000005","4.835",
"1096160896","-128445128","1978605056","52.0","70","87.60000000000002","4.285","124","77","87.60000000000002","4.285",
"1096160897","-128445272","1978604672","56.1","71","87.79999999999995","3.79","139","75","87.79999999999995","3.79",
"1096160898","-128445424","1978604288","59.7","73","88.20000000000005","3.433","162","72","88.20000000000005","3.433",
"1096160899","-128445568","1978604032","62.97","74","88.39999999999998","3.164","154","74","88.39999999999998","3.164",
"1096160900","-128445720","1978603776","65.99","76","88.79999999999995","2.875","154","74","88.79999999999995","2.875",
"1096160901","-128445856","1978603392","68.73","77","89.0","2.606","144","71","89.0","2.606",
"1096160902","-128445992","1978603264","71.19","78","89.20000000000005","2.382","140","68","89.20000000000005","2.382",
"1096160903","-128446112","1978603008","73.48","80","89.39999999999998","2.229","144","65","89.39999999999998","2.229",
"1096160904","-128446232","1978602880","75.72","81","89.60000000000002","2.221","169","64","89.60000000000002","2.221",
"1096160905","-128446344","1978602496","77.92","82","89.79999999999995","2.234","171","62","89.79999999999995","2.234",
"1096160906","-128446464","1978602368","80.15","84","90.0","2.196","161","61","90.0","2.196",
"1096160907","-128446584","1978602112","82.37","85","90.20000000000005","2.219","174","61","90.20000000000005","2.219",
"1096160908","-128446704","1978601984","84.58","86","90.60000000000002","2.215","167","59","90.60000000000002","2.215",
"1096160909","-128446816","1978601856","86.79","87","90.79999999999995","2.185","167","59","90.79999999999995","2.185",
"1096160910","-128446936","1978601600","88.98","89","91.0","2.153","165","58","91.0","2.153",
"1096160911","-128447032","1978601472","91.1","90","91.20000000000005","2.139","169","56","91.20000000000005","2.139",
"1096160912","-128447152","1978601088","93.24","91","91.39999999999998","2.134","171","56","91.39999999999998","2.134",
