Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,
Data,1,record,timestamp,"1098964291",s,position_lat,"564316142",semicircles,position_long,"-630269839",semicircles,distance,"0.0",m,enhanced_speed,"0.0",m/s,enhanced_altitude,"77.39999999999998",m,heart_rate,"87",bpm,temperature,"11",C,unknown,"0",,
Data,1,record,timestamp,"1098964292",s,position_lat,"564316142",semicircles,position_long,"-630269839",semicircles,distance,"0.0",m,enhanced_speed,"0.0",m/s,enhanced_altitude,"77.39999999999998",m,heart_rate,"86",bpm,temperature,"11",C,unknown,"0",,
Data,3,record,timestamp,"1098964298",s,position_lat,"564316551",semicircles,position_long,"-630270246",semicircles,distance,"0.0",m,enhanced_speed,"3.48",m/s,enhanced_altitude,"77.39999999999998",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"88",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964299",s,position_lat,"564316843",semicircles,position_long,"-630270905",semicircles,distance,"4.87",m,enhanced_speed,"5.43",m/s,enhanced_altitude,"77.39999999999998",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"88",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964300",s,position_lat,"564317189",semicircles,position_long,"-630271825",semicircles,distance,"11.54",m,enhanced_speed,"6.849",m/s,enhanced_altitude,"77.39999999999998",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"90",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964301",s,position_lat,"564317565",semicircles,position_long,"-630272941",semicircles,distance,"11.54",m,enhanced_speed,"6.849",m/s,enhanced_altitude,"77.39999999999998",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"90",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964302",s,position_lat,"564317974",semicircles,position_long,"-630274105",semicircles,distance,"27.81",m,enhanced_speed,"8.463",m/s,enhanced_altitude,"77.39999999999998",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"91",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964303",s,position_lat,"564318394",semicircles,position_long,"-630275340",semicircles,distance,"36.6",m,enhanced_speed,"8.836",m/s,enhanced_altitude,"77.60000000000002",m,enhanced_respiration_rate,"17.12",Breaths/min,heart_rate,"93",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964304",s,position_lat,"564318849",semicircles,position_long,"-630276603",semicircles,distance,"45.65",m,enhanced_speed,"9.181",m/s,enhanced_altitude,"77.79999999999995",m,enhanced_respiration_rate,"17.12",Breaths/min,heart_rate,"96",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964305",s,position_lat,"564319349",semicircles,position_long,"-630277912",semicircles,distance,"55.11",m,enhanced_speed,"9.536",m/s,enhanced_altitude,"78.0",m,enhanced_respiration_rate,"17.12",Breaths/min,heart_rate,"99",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964306",s,position_lat,"564319862",semicircles,position_long,"-630279271",semicircles,distance,"65.04",m,enhanced_speed,"9.816",m/s,enhanced_altitude,"78.39999999999998",m,enhanced_respiration_rate,"17.12",Breaths/min,heart_rate,"103",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964307",s,position_lat,"564320382",semicircles,position_long,"-630280650",semicircles,distance,"75.02",m,enhanced_speed,"10.068",m/s,enhanced_altitude,"78.60000000000002",m,enhanced_respiration_rate,"17.32",Breaths/min,heart_rate,"108",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964308",s,position_lat,"564320890",semicircles,position_long,"-630282077",semicircles,distance,"85.19",m,enhanced_speed,"10.31",m/s,enhanced_altitude,"78.79999999999995",m,enhanced_respiration_rate,"17.32",Breaths/min,heart_rate,"113",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964309",s,position_lat,"564321437",semicircles,position_long,"-630283528",semicircles,distance,"95.65",m,enhanced_speed,"10.516",m/s,enhanced_altitude,"78.79999999999995",m,enhanced_respiration_rate,"17.32",Breaths/min,heart_rate,"118",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964310",s,position_lat,"564322008",semicircles,position_long,"-630285013",semicircles,distance,"106.56",m,enhanced_speed,"10.609",m/s,enhanced_altitude,"79.0",m,enhanced_respiration_rate,"17.32",Breaths/min,heart_rate,"121",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964311",s,position_lat,"564322551",semicircles,position_long,"-630286505",semicircles,distance,"117.26",m,enhanced_speed,"10.777",m/s,enhanced_altitude,"79.39999999999998",m,enhanced_respiration_rate,"17.32",Breaths/min,heart_rate,"124",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964312",s,position_lat,"564323090",semicircles,position_long,"-630288037",semicircles,distance,"128.21",m,enhanced_speed,"10.917",m/s,enhanced_altitude,"79.39999999999998",m,enhanced_respiration_rate,"18.24",Breaths/min,heart_rate,"128",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964313",s,position_lat,"564323636",semicircles,position_long,"-630289579",semicircles,distance,"139.27",m,enhanced_speed,"10.982",m/s,enhanced_altitude,"79.79999999999995",m,enhanced_respiration_rate,"18.24",Breaths/min,heart_rate,"131",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964314",s,position_lat,"564324194",semicircles,position_long,"-630291107",semicircles,distance,"150.27",m,enhanced_speed,"11.048",m/s,enhanced_altitude,"80.0",m,enhanced_respiration_rate,"18.24",Breaths/min,heart_rate,"135",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964315",s,position_lat,"564324749",semicircles,position_long,"-630292642",semicircles,distance,"161.27",m,enhanced_speed,"11.122",m/s,enhanced_altitude,"80.20000000000005",m,enhanced_respiration_rate,"18.24",Breaths/min,heart_rate,"137",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964316",s,position_lat,"564325300",semicircles,position_long,"-630294191",semicircles,distance,"172.35",m,enhanced_speed,"11.141",m/s,enhanced_altitude,"80.39999999999998",m,enhanced_respiration_rate,"18.24",Breaths/min,heart_rate,"139",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964317",s,position_lat,"564325861",semicircles,position_long,"-630295736",semicircles,distance,"183.42",m,enhanced_speed,"11.141",m/s,enhanced_altitude,"80.60000000000002",m,enhanced_respiration_rate,"18.85",Breaths/min,heart_rate,"142",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964318",s,position_lat,"564326448",semicircles,position_long,"-630297279",semicircles,distance,"194.6",m,enhanced_speed,"11.132",m/s,enhanced_altitude,"80.60000000000002",m,enhanced_respiration_rate,"18.85",Breaths/min,heart_rate,"142",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964319",s,position_lat,"564327007",semicircles,position_long,"-630298844",semicircles,distance,"205.8",m,enhanced_speed,"11.113",m/s,enhanced_altitude,"81.0",m,enhanced_respiration_rate,"18.85",Breaths/min,heart_rate,"144",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964320",s,position_lat,"564327572",semicircles,position_long,"-630300398",semicircles,distance,"217.02",m,enhanced_speed,"11.038",m/s,enhanced_altitude,"81.20000000000005",m,enhanced_respiration_rate,"18.85",Breaths/min,heart_rate,"145",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964321",s,position_lat,"564328144",semicircles,position_long,"-630301906",semicircles,distance,"227.98",m,enhanced_speed,"10.936",m/s,enhanced_altitude,"81.39999999999998",m,enhanced_respiration_rate,"18.85",Breaths/min,heart_rate,"147",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964322",s,position_lat,"564328692",semicircles,position_long,"-630303408",semicircles,distance,"238.82",m,enhanced_speed,"10.87",m/s,enhanced_altitude,"81.60000000000002",m,enhanced_respiration_rate,"18.85",Breaths/min,heart_rate,"148",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964323",s,position_lat,"564329226",semicircles,position_long,"-630304901",semicircles,distance,"249.49",m,enhanced_speed,"10.73",m/s,enhanced_altitude,"81.79999999999995",m,enhanced_respiration_rate,"19.65",Breaths/min,heart_rate,"149",bpm,temperature,"11",C,unknown,"1",,
Data,3,record,timestamp,"1098964324",s,position_lat,"564329765",semicircles,position_long,"-630306379",semicircles,distance,"260.1",m,enhanced_speed,"10.637",m/s,enhanced_altitude,"82.20000000000005",m,enhanced_respiration_rate,"19.65",Breaths/min,heart_rate,"150",bpm,temperature,"11",C,unknown,"1",,
