Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,0,record,timestamp,"1094043359",s,position_lat,"567665906",semicircles,position_long,"-628907111",semicircles,distance,"0.0",m,enhanced_speed,"6.494",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"0",,
Data,0,record,timestamp,"1094043360",s,position_lat,"567666284",semicircles,position_long,"-628906220",semicircles,distance,"6.45",m,enhanced_speed,"6.69",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043361",s,position_lat,"567666665",semicircles,position_long,"-628905256",semicircles,distance,"13.54",m,enhanced_speed,"6.867",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043362",s,position_lat,"567667086",semicircles,position_long,"-628904353",semicircles,distance,"20.44",m,enhanced_speed,"6.989",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043363",s,position_lat,"567667489",semicircles,position_long,"-628903395",semicircles,distance,"27.65",m,enhanced_speed,"7.129",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043364",s,position_lat,"567667900",semicircles,position_long,"-628902468",semicircles,distance,"34.52",m,enhanced_speed,"7.269",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043365",s,position_lat,"567668339",semicircles,position_long,"-628901472",semicircles,distance,"42.03",m,enhanced_speed,"7.418",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043366",s,position_lat,"567668824",semicircles,position_long,"-628900538",semicircles,distance,"49.46",m,enhanced_speed,"7.455",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043367",s,position_lat,"567669357",semicircles,position_long,"-628899660",semicircles,distance,"56.92",m,enhanced_speed,"7.437",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043368",s,position_lat,"567669871",semicircles,position_long,"-628898746",semicircles,distance,"64.33",m,enhanced_speed,"7.521",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043369",s,position_lat,"567670383",semicircles,position_long,"-628897769",semicircles,distance,"72.21",m,enhanced_speed,"7.362",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043370",s,position_lat,"567670887",semicircles,position_long,"-628896892",semicircles,distance,"79.45",m,enhanced_speed,"7.073",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043371",s,position_lat,"567671346",semicircles,position_long,"-628896125",semicircles,distance,"86.13",m,enhanced_speed,"6.308",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043372",s,position_lat,"567671737",semicircles,position_long,"-628895421",semicircles,distance,"91.86",m,enhanced_speed,"5.832",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043373",s,position_lat,"567672109",semicircles,position_long,"-628894813",semicircles,distance,"96.94",m,enhanced_speed,"5.253",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043374",s,position_lat,"567672456",semicircles,position_long,"-628894260",semicircles,distance,"101.55",m,enhanced_speed,"4.703",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043375",s,position_lat,"567672746",semicircles,position_long,"-628893704",semicircles,distance,"105.86",m,enhanced_speed,"4.273",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043376",s,position_lat,"567672888",semicircles,position_long,"-628893045",semicircles,distance,"110.07",m,enhanced_speed,"4.357",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043377",s,position_lat,"567672686",semicircles,position_long,"-628892346",semicircles,distance,"114.43",m,enhanced_speed,"5.039",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043378",s,position_lat,"567672209",semicircles,position_long,"-628891746",semicircles,distance,"120.04",m,enhanced_speed,"5.832",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043379",s,position_lat,"567671634",semicircles,position_long,"-628891106",semicircles,distance,"126.76",m,enhanced_speed,"6.531",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043380",s,position_lat,"567671027",semicircles,position_long,"-628890381",semicircles,distance,"134.16",m,enhanced_speed,"7.101",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043381",s,position_lat,"567670403",semicircles,position_long,"-628889650",semicircles,distance,"141.6",m,enhanced_speed,"7.53",m/s,enhanced_altitude,"44.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043382",s,position_lat,"567669758",semicircles,position_long,"-628888863",semicircles,distance,"149.3",m,enhanced_speed,"7.866",m/s,enhanced_altitude,"43.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043383",s,position_lat,"567669045",semicircles,position_long,"-628888041",semicircles,distance,"157.73",m,enhanced_speed,"8.192",m/s,enhanced_altitude,"43.60000000000002",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043384",s,position_lat,"567668282",semicircles,position_long,"-628887239",semicircles,distance,"166.48",m,enhanced_speed,"8.51",m/s,enhanced_altitude,"43.60000000000002",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043385",s,position_lat,"567667456",semicircles,position_long,"-628886476",semicircles,distance,"175.64",m,enhanced_speed,"8.939",m/s,enhanced_altitude,"43.60000000000002",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043386",s,position_lat,"567666611",semicircles,position_long,"-628885727",semicircles,distance,"184.78",m,enhanced_speed,"9.219",m/s,enhanced_altitude,"43.39999999999998",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043387",s,position_lat,"567665715",semicircles,position_long,"-628885020",semicircles,distance,"194.42",m,enhanced_speed,"9.48",m/s,enhanced_altitude,"43.200000000000045",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043388",s,position_lat,"567664796",semicircles,position_long,"-628884395",semicircles,distance,"203.67",m,enhanced_speed,"9.732",m/s,enhanced_altitude,"43.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043389",s,position_lat,"567663817",semicircles,position_long,"-628883788",semicircles,distance,"213.36",m,enhanced_speed,"9.984",m/s,enhanced_altitude,"42.60000000000002",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043390",s,position_lat,"567662757",semicircles,position_long,"-628883174",semicircles,distance,"224.16",m,enhanced_speed,"10.254",m/s,enhanced_altitude,"42.39999999999998",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043391",s,position_lat,"567661702",semicircles,position_long,"-628882635",semicircles,distance,"234.44",m,enhanced_speed,"10.525",m/s,enhanced_altitude,"42.200000000000045",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043392",s,position_lat,"567660583",semicircles,position_long,"-628882112",semicircles,distance,"245.47",m,enhanced_speed,"10.73",m/s,enhanced_altitude,"41.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043393",s,position_lat,"567659463",semicircles,position_long,"-628881628",semicircles,distance,"256.44",m,enhanced_speed,"10.898",m/s,enhanced_altitude,"41.39999999999998",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043394",s,position_lat,"567658338",semicircles,position_long,"-628881128",semicircles,distance,"267.24",m,enhanced_speed,"11.094",m/s,enhanced_altitude,"41.0",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043395",s,position_lat,"567657161",semicircles,position_long,"-628880580",semicircles,distance,"278.8",m,enhanced_speed,"11.29",m/s,enhanced_altitude,"40.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043396",s,position_lat,"567655972",semicircles,position_long,"-628880059",semicircles,distance,"290.35",m,enhanced_speed,"11.458",m/s,enhanced_altitude,"40.39999999999998",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043397",s,position_lat,"567654765",semicircles,position_long,"-628879533",semicircles,distance,"302.23",m,enhanced_speed,"11.654",m/s,enhanced_altitude,"40.39999999999998",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043398",s,position_lat,"567653550",semicircles,position_long,"-628879033",semicircles,distance,"313.78",m,enhanced_speed,"11.841",m/s,enhanced_altitude,"39.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043399",s,position_lat,"567652270",semicircles,position_long,"-628878490",semicircles,distance,"326.31",m,enhanced_speed,"12.065",m/s,enhanced_altitude,"39.39999999999998",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043400",s,position_lat,"567651013",semicircles,position_long,"-628877947",semicircles,distance,"338.81",m,enhanced_speed,"12.233",m/s,enhanced_altitude,"39.200000000000045",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043401",s,position_lat,"567649778",semicircles,position_long,"-628877349",semicircles,distance,"350.84",m,enhanced_speed,"12.419",m/s,enhanced_altitude,"38.60000000000002",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043402",s,position_lat,"567648521",semicircles,position_long,"-628876694",semicircles,distance,"363.12",m,enhanced_speed,"12.531",m/s,enhanced_altitude,"38.39999999999998",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043403",s,position_lat,"567647273",semicircles,position_long,"-628875917",semicircles,distance,"375.84",m,enhanced_speed,"12.428",m/s,enhanced_altitude,"37.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043404",s,position_lat,"567646087",semicircles,position_long,"-628874927",semicircles,distance,"388.51",m,enhanced_speed,"12.223",m/s,enhanced_altitude,"37.799999999999955",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043405",s,position_lat,"567644974",semicircles,position_long,"-628873792",semicircles,distance,"401.12",m,enhanced_speed,"11.962",m/s,enhanced_altitude,"37.200000000000045",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043406",s,position_lat,"567643947",semicircles,position_long,"-628872623",semicircles,distance,"413.27",m,enhanced_speed,"11.747",m/s,enhanced_altitude,"37.200000000000045",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043407",s,position_lat,"567642943",semicircles,position_long,"-628871525",semicircles,distance,"424.74",m,enhanced_speed,"11.635",m/s,enhanced_altitude,"37.200000000000045",m,temperature,"25",C,unknown,"1",,
Data,0,record,timestamp,"1094043408",s,position_lat,"567641935",semicircles,position_long,"-628870459",semicircles,distance,"436.4",m,enhanced_speed,"11.421",m/s,enhanced_altitude,"37.200000000000045",m,temperature,"25",C,unknown,"1",,
