record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1085422067","0.0","48.799999999999955","67","23","67",,,,,,
"1085422068","0.0","49.0","67","23","67",,,,,,
"1085422069","0.0","49.0","68","23","68",,,,,,
"1085422070","0.0","49.200000000000045","68","23","68",,,,,,
"1085422071","0.0","49.200000000000045","69","23","69",,,,,,
"1085422072","0.0","49.200000000000045","69","23","69",,,,,,
"1085422075","0.0","49.200000000000045","70","23","70","17.72",,,,,
"1085422076","0.0","49.200000000000045","71","23","71","17.72",,,,,
"1085422077","0.0","49.200000000000045","71","23","71","17.72","567663704","-628915248","1.53",,
"1085422078","0.0","49.200000000000045","71","23","71","17.72","567664442","-628914926","1.941",,
"1085422079","2.86","49.200000000000045","71","23","71","17.12","567664097","-628914171","2.687",,
"1085422080","6.24","49.200000000000045","71","23","71","17.12","567664799","-628914147","2.547",,
"1085422081","6.24","49.200000000000045","71","23","71","17.12","567664348","-628914125","2.743",,
"1085422082","6.24","49.200000000000045","71","23","71","17.12","567664424","-628914330","2.902",,
"1085422083","9.87","49.200000000000045","71","22","71","17.12","567664706","-628913985","3.079",,
"1085422084","12.31","49.200000000000045","72","22","72","17.12","567664910","-628913637","3.424",,
"1085422085","14.36","49.200000000000045","72","22","72","16.93","567665124","-628913385","3.751",,
"1085422086","16.68","49.39999999999998","74","22","74","16.93","567665382","-628913087","4.012",,
"1085422087","20.13","49.60000000000002","75","22","75","16.93","567665658","-628912651","4.255",,
"1085422088","24.36","49.799999999999955","76","22","76","16.93","567665952","-628912014","4.357",,
"1085422089","24.36","49.60000000000002","78","22","78","16.93","567666080","-628912143","3.854",,
"1085422090","25.34","49.60000000000002","79","22","79","17.19","567666026","-628911888","3.462",,
"1085422091","26.08","49.60000000000002","80","22","80","17.19","567665884","-628911826","2.818",,
"1085422092","27.75","49.60000000000002","81","22","81","17.19","567665686","-628911761","2.379",,
"1085422093","29.61","49.60000000000002","83","22","83","17.19","567665509","-628911572","2.463",,
"1085422094","31.78","49.0","83","22","83","17.19","567665334","-628911327","2.575",,
"1085422095","34.5","48.60000000000002","83","22","83","16.97","567665158","-628910930","3.406",,
"1085422096","38.46","48.200000000000045","83","22","83","16.97","567665014","-628910304","4.367",,
"1085422097","43.21","47.799999999999955","83","22","83","16.97","567665044","-628909536","4.824",,
"1085422098","48.87","47.39999999999998","83","22","83","16.97","567665244","-628908682","5.57",,
"1085422099","55.12","47.200000000000045","83","22","83","16.97","567665577","-628907812","6.242",,
"1085422100","61.63","47.200000000000045","83","22","83","16.83","567665968","-628906976","6.326",,
"1085422101","68.25","47.200000000000045","83","22","83","16.83","567666363","-628906121","6.569",,
"1085422102","74.71","47.0","84","22","84","16.83","567666750","-628905255","6.671",,
"1085422103","81.83","47.0","85","22","85","16.83","567667154","-628904318","6.811",,
"1085422104","88.64","47.200000000000045","85","21","85","16.83","567667571","-628903424","6.97",,
"1085422105","95.51","47.200000000000045","87","21","87","16.73","567668006","-628902541","7.017",,
"1085422106","102.47","47.39999999999998","90","21","90","16.73","567668447","-628901641","7.035",,
"1085422107","109.75","47.39999999999998","91","21","91","16.73","567668896","-628900708","7.063",,
"1085422108","116.89","47.60000000000002","93","21","93","16.73","567669375","-628899834","7.063",,
"1085422109","123.86","47.39999999999998","95","21","95","16.73","567669847","-628898968","7.082",,
"1085422110","130.7","47.39999999999998","98","21","98","17.06","567670314","-628898113","6.97",,
"1085422111","137.65","47.60000000000002","100","21","100","17.06","567670786","-628897254","6.811",,
"1085422112","144.77","47.60000000000002","101","21","101","17.06","567671286","-628896422","6.737",,
"1085422113","151.51","47.799999999999955","103","21","103","17.06","567671762","-628895606","6.718",,
"1085422114","158.21","47.799999999999955","105","21","105","17.06","567672210","-628894773","6.578",,
"1085422115","164.54","47.799999999999955","107","21","107","17.28","567672642","-628893939","6.522",,
"1085422116","170.81","47.799999999999955","108","21","108","17.28","567672799","-628892941","6.308",,
"1085422117","177.08","47.799999999999955","109","21","109","17.28","567672483","-628892026","6.392",,
"1085422118","183.76","47.60000000000002","109","21","109","17.28","567671878","-628891411","6.811",,
"1085422119","191.07","47.60000000000002","110","21","110","17.28","567671216","-628890789","7.334",,
"1085422120","198.92","47.39999999999998","111","21","111","17.82","567670547","-628890063","7.8",,
"1085422121","206.94","47.0","111","21","111","17.82","567669881","-628889257","8.164",,
"1085422122","215.36","46.799999999999955","112","21","112","17.82","567669184","-628888416","8.482",,
"1085422123","223.95","46.39999999999998","112","21","112","17.82","567668439","-628887597","8.79",,
"1085422124","232.98","46.0","112","20","112","17.82","567667647","-628886769","9.088",,
"1085422125","242.29","45.60000000000002","113","20","113","17.78","567666796","-628885976","9.424",,
"1085422126","252.21","45.200000000000045","113","20","113","17.78","567665883","-628885234","9.676",,
"1085422127","261.57","45.200000000000045","114","20","114","17.78","567664968","-628884571","9.947",,
"1085422128","271.6","45.0","114","20","114","17.78","567663970","-628883950","10.198",,
"1085422129","282.04","44.60000000000002","115","20","115","18.55","567662928","-628883327","10.469",,
"1085422130","292.72","44.39999999999998","115","20","115","18.55","567661842","-628882783","10.693",,
"1085422131","303.77","44.200000000000045","116","20","116","18.55","567660725","-628882220","10.88",,
"1085422132","314.73","43.799999999999955","116","20","116","18.55","567659600","-628881701","11.085",,
"1085422133","326.1","43.60000000000002","117","20","117","18.55","567658435","-628881173","11.346",,
"1085422134","337.56","43.0","117","20","117","18.55","567657255","-628880660","11.542",,
"1085422135","349.26","42.60000000000002","117","20","117","19.06","567656051","-628880149","11.729",,
"1085422136","361.09","42.0","118","20","118","19.06","567654825","-628879618","11.971",,
"1085422137","373.36","41.60000000000002","118","20","118","19.06","567653565","-628879080","12.186",,
"1085422138","385.62","41.200000000000045","118","20","118","19.06","567652303","-628878539","12.289",,
"1085422139","397.92","40.60000000000002","118","20","118","19.06","567651037","-628877990","12.363",,
"1085422140","410.42","40.200000000000045","118","20","118","19.4","567649771","-628877354","12.503",,
"1085422141","422.67","39.799999999999955","118","20","118","19.4","567648512","-628876708","12.596",,
"1085422142","435.0","39.200000000000045","118","20","118","19.4","567647291","-628875921","12.419",,
"1085422143","447.29","39.200000000000045","118","20","118","19.4","567646132","-628875028","12.093",,
"1085422144","458.98","38.799999999999955","118","20","118","19.4","567645092","-628873989","11.813",,
"1085422145","470.68","38.39999999999998","117","20","117","20.8","567644095","-628872879","11.663",,
"1085422146","482.05","38.200000000000045","117","19","117","20.8","567643124","-628871797","11.495",,
"1085422147","493.12","38.200000000000045","117","19","117","20.8","567642181","-628870731","11.29",,
"1085422148","503.87","38.200000000000045","117","19","117","20.8","567641258","-628869695","11.01",,
"1085422149","514.67","38.200000000000045","117","19","117","20.8","567640357","-628868660","10.786",,
"1085422150","524.78","38.39999999999998","117","19","117","20.56","567639483","-628867691","10.646",,
"1085422151","534.88","38.39999999999998","117","19","117","20.56","567638615","-628866687","10.506",,
"1085422152","545.23","38.39999999999998","117","19","117","20.56","567637729","-628865698","10.31",,
"1085422153","555.57","38.60000000000002","117","19","117","20.56","567636851","-628864732","10.152",,
"1085422154","565.14","38.60000000000002","118","19","118","20.56","567636016","-628863805","9.965",,
"1085422155","575.2","38.60000000000002","118","19","118","21.58","567635131","-628862913","9.853",,
"1085422156","584.8","38.799999999999955","119","19","119","21.58","567634257","-628862098","9.667",,
"1085422157","594.42","38.799999999999955","119","19","119","21.58","567633360","-628861347","9.555",,
"1085422158","603.87","39.0","120","19","120","21.58","567632453","-628860642","9.489",,
"1085422159","613.38","39.200000000000045","120","19","120","21.58","567631514","-628860018","9.452",,
"1085422160","622.93","39.200000000000045","121","19","121","21.08","567630564","-628859475","9.228",,
"1085422161","632.33","39.200000000000045","121","19","121","21.08","567629616","-628858961","9.172",,
"1085422162","641.81","39.39999999999998","121","19","121","21.08","567628665","-628858474","9.256",,
"1085422163","651.16","39.39999999999998","121","19","121","21.08","567627730","-628857949","9.424",,
"1085422164","660.58","39.39999999999998","121","19","121","21.08","567626777","-628857445","9.545",,
"1085422165","670.26","39.39999999999998","122","19","122","20.74","567625787","-628857018","9.704",,
"1085422166","679.89","39.39999999999998","122","19","122","20.74","567624791","-628856634","9.872",,
"1085422167","689.54","39.39999999999998","122","19","122","20.74","567623796","-628856184","10.04",,
"1085422168","699.62","39.39999999999998","122","19","122","20.74","567622767","-628855709","10.245",,
"1085422169","710.0","39.200000000000045","122","19","122","20.74","567621694","-628855210","10.628",,
"1085422170","721.14","39.0","122","19","122","22.49","567620545","-628854708","11.094",,
"1085422171","732.82","38.60000000000002","122","18","122","22.49","567619339","-628854245","11.561",,
"1085422172","744.96","38.200000000000045","122","18","122","22.49","567618082","-628853774","12.018",,
"1085422173","757.57","38.0","122","18","122","22.49","567616763","-628853327","12.68",,
"1085422174","770.86","37.39999999999998","122","18","122","22.49","567615374","-628852927","13.334",,
"1085422175","784.67","36.39999999999998","122","18","122","23.65","567613912","-628852658","13.977",,
"1085422176","799.11","35.60000000000002","121","18","121","23.65","567612358","-628852518","14.798",,
"1085422177","814.49","34.60000000000002","121","18","121","23.65","567610717","-628852379","15.517",,
"1085422178","830.24","33.39999999999998","121","18","121","23.65","567609017","-628852238","16.245",,
"1085422179","846.69","31.600000000000023","120","18","120","23.65","567607243","-628852095","16.823",,
"1085422180","863.52","30.799999999999955","119","18","119","23.64","567605429","-628851974","17.057",,
"1085422181","881.04","29.200000000000045","118","18","118","23.64","567603554","-628851858","17.28",,
"1085422182","898.49","27.200000000000045","116","18","116","23.64","567601699","-628851702","17.178",,
"1085422183","915.74","25.600000000000023","115","18","115","23.64","567599847","-628851625","17.159",,
"1085422184","932.65","24.399999999999977","113","18","113","23.64","567598040","-628851523","16.917",,
"1085422185","949.23","23.0","111","18","111","23.24","567596271","-628851449","16.543",,
"1085422186","965.16","21.600000000000023","111","18","111","23.24","567594580","-628851411","16.011",,
"1085422187","980.46","20.799999999999955","109","18","109","23.24","567592948","-628851459","15.685",,
"1085422188","994.64","20.200000000000045","108","18","108","23.24","567591391","-628851539","15.19",,
"1085422189","1009.03","19.600000000000023","107","18","107","23.24","567589833","-628851699","14.649",,
"1085422190","1023.37","19.200000000000045","106","18","106","22.58","567588300","-628851892","14.211",,
"1085422191","1036.93","19.0","105","18","105","22.58","567586835","-628852024","13.669",,
"1085422192","1050.19","19.0","104","18","104","22.58","567585414","-628852182","13.156",,
"1085422193","1063.05","19.0","103","18","103","22.58","567584044","-628852310","12.643",,
"1085422194","1075.17","19.0","103","18","103","22.58","567582740","-628852429","12.093",,
"1085422195","1087.09","19.0","102","18","102","22.14","567581463","-628852566","11.654",,
"1085422196","1098.71","19.0","101","18","101","22.14","567580245","-628852830","11.187",,
"1085422197","1109.67","18.799999999999955","101","18","101","22.14","567579099","-628853252","11.066",,
"1085422198","1120.19","19.0","101","18","101","22.14","567578008","-628853722","10.721",,
"1085422199","1130.47","19.0","100","18","100","22.24","567576941","-628854226","10.422",,
"1085422200","1140.26","19.0","100","18","100","22.24","567575998","-628854853","9.396",,
"1085422201","1148.94","19.0","100","18","100","22.24","567575173","-628855484","8.51",,
"1085422202","1156.88","19.200000000000045","101","17","101","22.24","567574438","-628856088","7.726",,
"1085422203","1163.7","19.799999999999955","101","17","101","22.24","567573806","-628856667","6.998",,
"1085422204","1170.12","20.399999999999977","102","17","102","22.24","567573218","-628857183","6.261",,
"1085422205","1175.75","21.200000000000045","102","17","102","21.12","567572696","-628857577","5.468",,
"1085422206","1180.12","22.0","102","17","102","21.12","567572258","-628857878","4.815",,
"1085422207","1184.54","22.799999999999955","103","17","103","21.12","567571822","-628858227","4.675",,
"1085422208","1189.33","23.399999999999977","104","17","104","21.12","567571366","-628858572","4.367",,
"1085422209","1193.73","24.0","105","17","105","21.12","567570969","-628858882","4.078",,
"1085422210","1197.85","24.600000000000023","106","17","106","21.17","567570563","-628859185","4.413",,
"1085422211","1202.0","25.0","107","17","107","21.17","567570155","-628859480","4.301",,
"1085422212","1206.17","25.399999999999977","109","17","109","21.17","567569749","-628859735","4.115",,
"1085422213","1210.37","25.600000000000023","110","17","110","21.17","567569331","-628859983","4.264",,
"1085422214","1214.37","26.0","111","17","111","21.17","567568932","-628860199","3.984",,
"1085422215","1218.41","26.200000000000045","113","17","113","21.2","567568503","-628860356","4.199",,
"1085422216","1222.19","26.399999999999977","114","17","114","21.2","567568093","-628860513","4.022",,
"1085422217","1226.47","27.0","115","17","115","21.2","567567650","-628860610","3.891",,
"1085422218","1230.41","27.200000000000045","117","17","117","21.2","567567232","-628860602","3.788",,
"1085422219","1234.25","27.600000000000023","118","17","118","21.2","567566819","-628860568","3.844",,
"1085422220","1238.1","28.0","119","17","119","21.22","567566424","-628860482","3.798",,
"1085422221","1241.59","28.399999999999977","121","17","121","21.22","567566045","-628860402","3.844",,
"1085422222","1245.27","28.799999999999955","122","17","122","21.22","567565663","-628860263","3.798",,
"1085422223","1248.73","29.0","123","17","123","21.22","567565303","-628860105","3.648",,
"1085422224","1252.4","29.399999999999977","124","17","124","21.23","567564933","-628859938","3.611",,
"1085422225","1255.81","29.799999999999955","125","17","125","21.23","567564592","-628859757","3.527",,
"1085422226","1259.11","30.0","126","17","126","21.23","567564257","-628859555","3.508",,
"1085422227","1262.62","30.399999999999977","127","17","127","21.23","567563892","-628859367","3.676",,
"1085422228","1266.4","31.0","127","17","127","21.23","567563509","-628859163","3.798",,
"1085422229","1270.35","31.600000000000023","128","17","128","21.23","567563130","-628858961","3.798",,
"1085422230","1274.0","31.799999999999955","129","17","129","21.24","567562758","-628858720","4.059",,
"1085422231","1278.17","32.0","129","17","129","21.24","567562358","-628858448","4.18",,
"1085422232","1282.35","32.200000000000045","130","17","130","21.24","567561926","-628858172","4.525",,
"1085422233","1287.02","32.39999999999998","130","17","130","21.24","567561461","-628857967","4.413",,
"1085422234","1291.54","32.60000000000002","130","17","130","21.24","567561020","-628857707","4.479",,
"1085422235","1295.97","32.799999999999955","131","17","131","20.46","567560579","-628857466","4.684",,
"1085422236","1300.31","32.799999999999955","131","17","131","20.46","567560148","-628857172","4.787",,
"1085422237","1305.04","33.0","131","17","131","20.46","567559681","-628856861","4.843",,
"1085422238","1309.94","33.39999999999998","131","17","131","20.46","567559197","-628856569","4.871",,
"1085422239","1314.67","33.799999999999955","132","17","132","20.46","567558715","-628856292","4.945",,
"1085422240","1319.5","33.799999999999955","132","17","132","21.12","567558218","-628856068","4.843",,
"1085422241","1324.31","34.0","133","17","133","21.12","567557734","-628855804","4.721",,
"1085422242","1328.94","34.0","133","17","133","21.12","567557253","-628855540","4.703",,
"1085422243","1333.99","34.39999999999998","133","17","133","21.12","567556763","-628855269","4.675",,
"1085422244","1338.42","34.799999999999955","134","17","134","21.17","567556296","-628855027","4.591",,
"1085422245","1343.47","35.0","134","17","134","21.17","567555797","-628854797","4.507",,
"1085422246","1348.04","35.0","134","17","134","21.17","567555338","-628854585","4.46",,
"1085422247","1352.23","35.39999999999998","134","17","134","21.17","567554915","-628854325","4.339",,
"1085422248","1356.61","35.39999999999998","135","17","135","21.17","567554473","-628854095","4.376",,
