record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1089216838","0.0","306.20000000000005","34","0",,,,
"1089216839","0.0","306.20000000000005","34","1","521806454","-947983839","1.782",
"1089216840","0.51","306.20000000000005","34","1","521806515","-947984236","1.316",
"1089216841","0.84","307.6","34","1","521806627","-947983922","0.821",
"1089216842","0.84","307.6","34","1","521806332","-947983510","0.448",
"1089216843","6.96","307.6","34","1","521806949","-947983657","0.513",
"1089216844","6.96","307.6","34","0","521807055","-947983749","0.513",
"1089216845","6.96","307.6","34","1","521806671","-947983455","0.495",
"1089216846","7.04","308.0","34","1","521806704","-947983392","0.429",
"1089216847","7.38","308.20000000000005","34","1","521806710","-947983451","0.579",
"1089216848","7.53","308.20000000000005","34","1","521806703","-947983470","0.523",
"1089216849","7.54","308.20000000000005","34","1","521806700","-947983482","0.485",
"1089216850","7.68","308.20000000000005","34","1","521806699","-947983508","0.476",
"1089216851","7.68","308.0","34","1","521806700","-947983513","0.523",
"1089216852","7.76","307.6","34","1","521806685","-947983521","0.504",
"1089216853","7.76","307.6","34","1","521806673","-947983496","0.485",
"1089216854","8.08","307.6","34","1","521806695","-947983506","0.448",
"1089216855","8.22","307.6","34","1","521806741","-947983513","0.662",
"1089216856","8.22","307.6","34","1","521806743","-947983476","0.355",
"1089216857","8.4","307.6","34","0","521806797","-947983482","0.0",
"1089216955","8.4","307.0","35","1","521807187","-947984092","3.956",
"1089216956","13.89","307.0","35","1","521807655","-947984597","5.617",
"1089216957","20.9","307.0","35","1","521808236","-947985283","7.147",
"1089216958","29.05","307.0","35","1","521808893","-947986049","7.866",
"1089216959","37.7","307.6","35","1","521809606","-947986854","8.528",
"1089216960","46.83","308.0","35","1","521810380","-947987688","9.144",
"1089216961","56.65","308.0","35","1","521811218","-947988583","9.797",
"1089216962","67.23","308.4","35","1","521812085","-947989590","10.385",
"1089216963","77.91","309.6","35","1","521812931","-947990656","10.637",
"1089216964","88.75","310.79999999999995","35","1","521813774","-947991757","10.665",
"1089216965","99.57","311.0","35","1","521814641","-947992810","10.562",
"1089216966","110.59","311.0","35","1","521815563","-947993809","10.796",
"1089216967","121.46","311.0","35","1","521816466","-947994834","11.085",
"1089216968","132.45","311.0","35","1","521817416","-947995818","11.271",
"1089216969","143.97","310.6","35","1","521818394","-947996860","11.533",
"1089216970","155.6","310.6","35","1","521819364","-947997948","11.775",
"1089216971","167.8","310.6","35","1","521820357","-947999140","12.195",
"1089216972","180.31","310.4","35","1","521821357","-948000375","12.354",
"1089216973","192.97","310.4","35","1","521822367","-948001626","12.475",
"1089216974","205.46","310.6","35","1","521823374","-948002838","12.363",
"1089216975","217.78","310.6","35","1","521824378","-948004006","12.167",
"1089216976","229.7","310.6","35","1","521825352","-948005154","12.018",
"1089216977","241.07","310.79999999999995","35","1","521826301","-948006228","11.43",
"1089216978","251.76","311.0","35","1","521827218","-948007191","10.432",
"1089216979","261.25","311.0","35","1","521828161","-948007800","9.219",
"1089216980","269.93","311.0","35","1","521829120","-948007587","8.724",
"1089216981","279.16","310.79999999999995","35","1","521829879","-948006658","9.695",
"1089216982","288.86","310.4","35","1","521830515","-948005521","10.114",
"1089216983","299.61","309.79999999999995","35","1","521831154","-948004181","11.02",
"1089216984","311.2","309.79999999999995","35","1","521831857","-948002765","11.505",
"1089216985","323.07","309.6","35","1","521832634","-948001366","11.831",
"1089216986","335.18","309.20000000000005","35","1","521833467","-947999980","12.018",
"1089216987","347.28","309.20000000000005","35","1","521834305","-947998595","11.99",
"1089216988","359.66","309.20000000000005","35","1","521835186","-947997220","11.981",
"1089216989","371.7","309.0","35","1","521835986","-947995798","11.841",
"1089216990","383.73","308.79999999999995","35","1","521836503","-947994139","11.813",
"1089216991","395.6","308.6","35","1","521836545","-947992365","11.533",
"1089216992","407.02","308.6","35","1","521836106","-947990762","11.225",
"1089216993","418.85","308.6","35","1","521835301","-947989371","11.906",
"1089216994","430.86","308.6","35","1","521834340","-947988195","11.729",
"1089216995","443.21","308.6","35","1","521833230","-947987166","12.354",
"1089216996","456.01","308.79999999999995","35","1","521832067","-947986146","12.783",
"1089216997","469.25","310.0","35","1","521830889","-947985065","13.1",
"1089216998","482.47","310.20000000000005","35","1","521829731","-947983934","13.315",
"1089216999","495.76","310.20000000000005","35","1","521828599","-947982742","13.259",
"1089217000","509.15","310.20000000000005","35","1","521827464","-947981527","13.334",
"1089217001","522.52","310.20000000000005","35","1","521826330","-947980322","13.352",
"1089217002","535.82","310.20000000000005","35","1","521825232","-947979071","13.362",
"1089217003","549.14","310.20000000000005","35","1","521824126","-947977817","13.418",
"1089217004","562.51","310.20000000000005","35","1","521823008","-947976568","13.464",
"1089217005","575.85","310.20000000000005","35","1","521821890","-947975322","13.455",
"1089217006","589.31","310.0","35","1","521820738","-947974129","13.427",
"1089217007","602.67","310.0","35","1","521819602","-947972914","13.436",
"1089217008","615.92","310.0","35","1","521818474","-947971707","13.296",
"1089217009","629.37","309.79999999999995","35","1","521817316","-947970532","13.231",
"1089217010","642.57","309.79999999999995","35","1","521816181","-947969376","13.166",
"1089217011","655.57","309.79999999999995","35","1","521815067","-947968210","13.128",
"1089217012","668.53","309.6","35","1","521813968","-947967018","13.119",
"1089217013","681.56","309.6","35","1","521812890","-947965812","12.914",
"1089217014","694.29","309.4","35","1","521811826","-947964635","12.811",
"1089217015","706.78","309.20000000000005","35","1","521810759","-947963494","12.755",
"1089217016","719.37","309.20000000000005","35","1","521809707","-947962332","12.578",
"1089217017","731.84","309.0","35","1","521808656","-947961178","12.587",
"1089217018","744.38","309.0","35","1","521807587","-947960052","12.587",
"1089217019","756.91","308.4","35","1","521806525","-947958905","12.643",
"1089217020","769.62","308.4","35","1","521805456","-947957738","12.69",
"1089217021","782.5","308.4","35","1","521804335","-947956621","12.839",
"1089217022","795.5","308.4","35","1","521803164","-947955583","12.914",
"1089217023","808.23","308.4","35","1","521801937","-947954757","12.83",
"1089217024","820.97","308.4","35","1","521800630","-947954133","13.007",
"1089217025","833.95","308.6","35","1","521799252","-947953837","13.063",
"1089217026","846.7","308.6","35","1","521797856","-947953830","13.1",
"1089217027","860.1","308.6","35","1","521796423","-947953933","13.054",
"1089217028","873.29","308.79999999999995","35","1","521795011","-947954078","12.932",
"1089217029","886.3","309.0","35","1","521793620","-947954216","12.736",
"1089217030","899.17","308.79999999999995","35","1","521792257","-947954362","12.447",
"1089217031","911.08","309.0","35","1","521790982","-947954556","11.925",
"1089217032","922.42","309.0","35","1","521789800","-947955041","11.411",
"1089217033","933.17","309.4","35","1","521788853","-947956004","10.88",
"1089217034","943.63","309.4","35","1","521788280","-947957362","10.404",
"1089217035","954.05","309.4","35","1","521788071","-947958884","10.124",
"1089217036","964.45","309.6","35","1","521788180","-947960424","10.245",
"1089217037","975.02","309.6","35","1","521788500","-947961933","10.525",
"1089217038","985.79","309.6","35","1","521788939","-947963411","10.74",
"1089217039","996.68","309.79999999999995","35","1","521789573","-947964779","10.926",
"1089217040","1007.88","310.20000000000005","35","1","521790323","-947966071","11.122",
"1089217041","1018.81","310.4","35","1","521791152","-947967227","11.085",
"1089217042","1030.0","310.4","35","1","521792084","-947968283","11.215",
"1089217043","1041.39","311.20000000000005","35","1","521793048","-947969301","11.299",
"1089217044","1052.57","311.4","35","1","521793989","-947970345","11.411",
"1089217045","1063.97","311.4","35","1","521794960","-947971382","11.449",
"1089217046","1075.36","311.4","35","1","521795942","-947972381","11.346",
"1089217047","1086.65","311.4","35","1","521796889","-947973416","11.29",
"1089217048","1098.01","311.4","35","1","521797848","-947974454","11.365",
"1089217049","1109.61","311.4","35","1","521798849","-947975500","11.682",
"1089217050","1121.75","311.4","34","1","521799919","-947976541","12.083",
"1089217051","1134.39","311.4","34","1","521801028","-947977623","12.466",
"1089217052","1147.24","311.4","34","1","521802133","-947978745","12.596",
"1089217053","1160.05","311.4","34","1","521803234","-947979864","12.718",
"1089217054","1172.91","311.0","34","1","521804333","-947981009","12.904",
"1089217055","1185.79","311.0","34","1","521805413","-947982206","13.026",
"1089217056","1198.92","311.20000000000005","34","1","521806497","-947983466","13.231",
"1089217057","1212.19","311.20000000000005","34","1","521807608","-947984703","13.222",
"1089217058","1225.54","311.0","34","1","521808732","-947985933","13.231",
"1089217059","1238.96","311.0","34","1","521809839","-947987183","13.166",
"1089217060","1251.85","311.20000000000005","34","1","521810916","-947988383","12.904",
"1089217061","1264.59","311.20000000000005","34","1","521811982","-947989553","12.606",
"1089217062","1276.96","311.4","34","1","521813026","-947990679","12.335",
"1089217063","1288.92","312.20000000000005","34","1","521814034","-947991785","12.074",
"1089217064","1301.11","312.20000000000005","34","1","521815053","-947992922","12.121",
"1089217065","1313.13","312.20000000000005","34","1","521816033","-947994089","12.083",
"1089217066","1325.12","312.4","34","1","521816972","-947995305","11.934",
"1089217067","1336.86","312.4","34","1","521817893","-947996497","11.654",
"1089217068","1348.38","312.4","34","1","521818795","-947997660","11.355",
"1089217069","1359.65","312.4","34","1","521819682","-947998775","11.076",
"1089217070","1370.57","312.4","34","1","521820558","-947999843","10.992",
"1089217071","1381.17","312.4","34","1","521821428","-948000875","10.889",
"1089217072","1391.97","312.4","34","1","521822297","-948001912","10.693",
"1089217073","1402.34","312.20000000000005","34","1","521823159","-948002912","10.674",
"1089217074","1413.04","312.20000000000005","34","1","521824059","-948003907","10.712",
"1089217075","1423.52","312.20000000000005","34","1","521824940","-948004881","10.497",
"1089217076","1433.95","312.20000000000005","34","1","521825808","-948005848","10.254",
"1089217077","1444.12","312.20000000000005","34","1","521826635","-948006826","9.993",
"1089217078","1453.83","312.20000000000005","34","1","521827521","-948007639","9.629",
"1089217079","1463.16","312.20000000000005","34","1","521828553","-948007848","9.293",
"1089217080","1472.58","312.20000000000005","34","1","521829464","-948007180","9.508",
"1089217081","1482.39","312.0","34","1","521830191","-948006105","10.348",
"1089217082","1492.83","311.0","34","1","521830857","-948004876","10.413",
"1089217083","1503.75","310.0","34","1","521831546","-948003555","11.104",
"1089217084","1515.28","309.4","34","1","521832268","-948002169","11.514",
"1089217085","1527.15","309.4","34","1","521833008","-948000731","11.906",
"1089217086","1539.46","309.4","34","1","521833814","-947999283","12.177",
"1089217087","1551.8","309.4","34","1","521834657","-947997860","12.233",
"1089217088","1564.03","309.4","34","1","521835521","-947996477","12.083",
"1089217089","1576.21","309.4","34","1","521836278","-947994989","11.99",
"1089217090","1588.15","309.4","34","1","521836613","-947993258","11.822",
"1089217091","1600.03","309.4","34","1","521836415","-947991498","11.589",
"1089217092","1611.87","308.4","34","1","521835819","-947989941","11.421",
"1089217093","1623.85","308.0","34","1","521834924","-947988659","11.663",
"1089217094","1636.14","307.79999999999995","34","1","521833826","-947987633","12.205",
"1089217095","1648.57","307.79999999999995","34","1","521832659","-947986708","12.568",
"1089217096","1661.62","307.79999999999995","34","1","521831462","-947985704","12.932",
