record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],record.enhanced_respiration_rate[Breaths/min],
"1083157303","0.0","48.39999999999998","69","22","69",,,,,,
"1083157305","0.0","48.0","69","22","69","567662377","-628915938","0.0",,,
"1083157306","0.0","48.0","68","22","68","567662048","-628915249","0.0",,,
"1083157318","0.0","48.0","70","21","70","567664546","-628917940","1.642","11.81",,
"1083157319","2.28","48.0","72","21","72","567664504","-628917605","2.809","12.99",,
"1083157320","4.5","48.0","73","21","73","567664544","-628917229","3.611","12.99",,
"1083157321","6.69","48.200000000000045","74","21","74","567664651","-628916819","4.227","12.99",,
"1083157322","10.4","48.200000000000045","76","21","76","567664883","-628916309","4.451","12.99",,
"1083157323","14.45","48.200000000000045","77","21","77","567665145","-628915744","4.591","12.99",,
"1083157324","19.18","48.0","77","21","77","567665439","-628915111","4.74","12.99",,
"1083157325","24.34","47.799999999999955","81","21","81","567665733","-628914427","4.927","13.39",,
"1083157326","29.4","47.799999999999955","82","21","82","567666024","-628913735","5.095","13.39",,
"1083157327","34.62","47.60000000000002","84","21","84","567666243","-628912986","4.507","13.39",,
"1083157328","38.49","47.60000000000002","85","21","85","567666198","-628912348","3.854","13.39",,
"1083157329","41.85","47.60000000000002","85","21","85","567665948","-628911935","3.228","13.65",,
"1083157330","45.24","47.60000000000002","86","21","86","567665674","-628911582","2.958","13.65",,
"1083157331","49.39","47.39999999999998","86","21","86","567665277","-628911292","3.732","13.65",,
"1083157332","54.49","47.39999999999998","86","21","86","567664919","-628910608","5.412","13.65",,
"1083157333","60.63","47.0","86","21","86","567664825","-628909651","5.813","13.65",,
"1083157334","66.66","46.799999999999955","86","21","86","567665021","-628908729","6.074","13.82",,
"1083157335","72.96","46.200000000000045","86","21","86","567665361","-628907874","6.224","13.82",,
"1083157336","79.12","46.0","86","21","86","567665744","-628907068","6.308","13.82",,
"1083157337","85.32","45.799999999999955","86","21","86","567666128","-628906248","6.364","13.82",,
"1083157338","91.74","45.799999999999955","86","21","86","567666517","-628905405","6.354","13.82",,
"1083157339","98.21","45.60000000000002","88","20","88","567666913","-628904569","6.326","13.54",,
"1083157340","104.46","45.60000000000002","89","20","89","567667292","-628903747","6.28","13.54",,
"1083157341","110.59","45.799999999999955","90","20","90","567667672","-628902955","6.149","13.54",,
"1083157342","116.7","45.60000000000002","91","20","91","567668038","-628902160","6.084","13.54",,
"1083157343","122.43","45.60000000000002","91","20","91","567668398","-628901422","5.925","13.54",,
"1083157344","127.79","45.60000000000002","94","20","94","567668777","-628900743","5.757","13.54",,
"1083157345","133.71","45.60000000000002","96","20","96","567669191","-628900048","5.626","13.54",,
"1083157346","139.32","45.799999999999955","96","20","96","567669594","-628899398","5.524","13.54",,
"1083157347","144.86","45.799999999999955","98","20","98","567669967","-628898735","5.421","13.54",,
"1083157348","149.99","46.0","101","20","101","567670308","-628898075","5.356","13.54",,
"1083157349","155.52","46.0","102","20","102","567670712","-628897431","5.477","13.54",,
"1083157350","161.22","46.0","103","20","103","567671055","-628896695","5.542","13.54",,
"1083157351","166.85","46.0","104","20","104","567671437","-628895988","5.692","13.54",,
