record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1102632125","-138824304","1992059776","0.24","13.0","0.931","149","63","14","13.0","0.931",
"1102632126","-138824224","1992059776","0.79","13.0","1.563","149","63","24","13.0","1.563",
"1102632127","-138824032","1992059776","2.84","13.0","2.468","156","63","38","13.0","2.468",
"1102632128","-138823728","1992059776","5.53","13.0","2.847","91","63","1","13.0","2.847",
"1102632129","-138823408","1992059776","8.55","13.0","3.281","131","63","1","13.0","3.281",
"1102632130","-138823040","1992059776","12.07","13.0","3.656","124","63","65","13.0","3.656",
"1102632131","-138822640","1992060032","15.87","13.0","3.921","103","63","77","13.0","3.921",
"1102632132","-138822208","1992060032","19.94","13.0","4.231","139","63","72","13.0","4.231",
"1102632133","-138821744","1992060160","24.33","13.0","4.528","137","63","70","13.0","4.528",
"1102632134","-138821280","1992060288","28.99","13.0","4.789","134","64","74","13.0","4.789",
"1102632135","-138820800","1992060544","33.91","13.0","5.103","122","65","76","13.0","5.103",
"1102632136","-138820288","1992060928","39.27","13.0","5.581","123","66","77","13.0","5.581",
"1102632137","-138819776","1992061312","45.0","13.0","5.859","121","68","78","13.0","5.859",
"1102632138","-138819312","1992061568","50.96","13.0","6.05","113","69","79","13.0","6.05",
"1102632139","-138818880","1992062208","57.09","13.0","6.201","105","72","80","13.0","6.201",
"1102632140","-138818480","1992062720","63.37","13.0","6.362","121","73","80","13.0","6.362",
"1102632141","-138818112","1992063232","69.82","13.0","6.518","122","74","82","13.0","6.518",
"1102632142","-138817760","1992064000","76.4","13.0","6.64","111","74","83","13.0","6.64",
"1102632143","-138817456","1992064512","83.09","13.0","6.749","110","75","83","13.0","6.749",
"1102632144","-138817152","1992065280","89.9","13.0","6.857","107","76","83","13.0","6.857",
"1102632145","-138816864","1992065920","96.8","13.0","6.95","106","77","82","13.0","6.95",
"1102632146","-138816544","1992066688","103.8","13.0","7.045","116","77","83","13.0","7.045",
"1102632147","-138816240","1992067200","110.88","13.0","7.099","94","78","83","13.0","7.099",
"1102632148","-138815968","1992067968","118.04","13.0","7.222","142","79","83","13.0","7.222",
"1102632149","-138815696","1992068864","125.3","13.0","7.273","97","79","83","13.0","7.273",
"1102632150","-138815408","1992069632","132.59","13.0","7.316","95","80","85","13.0","7.316",
"1102632151","-138815120","1992070400","139.93","13.0","7.358","99","80","85","13.0","7.358",
"1102632152","-138814816","1992071040","147.3","13.0","7.382","103","80","85","13.0","7.382",
"1102632153","-138814496","1992071808","154.59","13.0","7.455","127","80","86","13.0","7.455",
"1102632154","-138814208","1992072576","162.2","13.0","7.511","124","80","86","13.0","7.511",
"1102632155","-138813936","1992073216","169.61","13.0","7.526","104","80","86","13.0","7.526",
"1102632156","-138813664","1992074112","177.25","13.0","7.53","96","82","85","13.0","7.53",
"1102632157","-138813408","1992074880","184.79","13.0","7.542","101","83","85","13.0","7.542",
"1102632158","-138813136","1992075648","192.34","13.0","7.555","87","84","85","13.0","7.555",
"1102632159","-138812864","1992076416","199.9","13.0","7.574","87","84","84","13.0","7.574",
"1102632160","-138812592","1992077312","207.35","13.0","7.587","84","86","84","13.0","7.587",
"1102632161","-138812320","1992077952","215.08","13.0","7.611","93","87","82","13.0","7.611",
"1102632162","-138812048","1992078720","222.6","13.0","7.681","114","89","84","13.0","7.681",
"1102632163","-138811760","1992079616","230.43","13.0","7.777","139","91","85","13.0","7.777",
"1102632164","-138811440","1992080384","238.3","13.0","7.895","155","91","79","13.0","7.895",
"1102632165","-138811120","1992081152","246.25","13.0","8.024","173","93","80","13.0","8.024",
"1102632166","-138810832","1992082048","254.33","13.0","8.125","160","94","81","13.0","8.125",
"1102632167","-138810608","1992082944","262.4","13.0","8.207","159","94","81","13.0","8.207",
"1102632168","-138810464","1992083840","270.74","13.0","8.251","136","94","81","13.0","8.251",
"1102632169","-138810400","1992084736","278.96","13.0","8.187","75","95","81","13.0","8.187",
"1102632170","-138810400","1992085504","287.13","13.0","8.153","110","95","83","13.0","8.153",
"1102632171","-138810480","1992086400","295.26","13.0","8.105","96","95","87","13.0","8.105",
"1102632172","-138810640","1992087296","303.35","13.0","8.059","95","95","86","13.0","8.059",
"1102632173","-138810848","1992088192","311.28","13.0","8.031","104","95","86","13.0","8.031",
"1102632174","-138811104","1992088960","319.41","13.0","8.008","107","96","86","13.0","8.008",
"1102632175","-138811376","1992089856","327.39","13.0","7.973","98","96","85","13.0","7.973",
"1102632176","-138811664","1992090496","335.28","13.0","7.934","95","97","85","13.0","7.934",
"1102632177","-138811968","1992091520","343.27","13.0","7.906","105","98","84","13.0","7.906",
"1102632178","-138812256","1992092160","351.16","13.200000000000045","7.879","103","98","84","13.200000000000045","7.879",
"1102632179","-138812560","1992093056","358.98","13.200000000000045","7.856","109","99","85","13.200000000000045","7.856",
"1102632180","-138812848","1992093824","366.74","13.200000000000045","7.82","100","100","85","13.200000000000045","7.82",
"1102632181","-138813120","1992094720","374.67","13.200000000000045","7.79","108","101","85","13.200000000000045","7.79",
"1102632182","-138813360","1992095488","382.4","13.200000000000045","7.762","109","101","86","13.200000000000045","7.762",
"1102632183","-138813552","1992096256","390.06","13.200000000000045","7.738","115","101","85","13.200000000000045","7.738",
"1102632184","-138813728","1992097152","397.92","13.200000000000045","7.724","124","102","86","13.200000000000045","7.724",
"1102632185","-138813840","1992098048","405.6","13.399999999999977","7.685","111","102","86","13.399999999999977","7.685",
"1102632186","-138813904","1992098688","413.29","13.399999999999977","7.638","112","102","86","13.399999999999977","7.638",
"1102632187","-138813904","1992099712","420.91","13.399999999999977","7.597","120","102","85","13.399999999999977","7.597",
"1102632188","-138813824","1992100352","428.36","13.600000000000023","7.555","125","102","84","13.600000000000023","7.555",
"1102632189","-138813632","1992101248","436.01","13.600000000000023","7.496","121","102","85","13.600000000000023","7.496",
"1102632190","-138813392","1992102016","443.49","13.600000000000023","7.461","144","103","85","13.600000000000023","7.461",
"1102632191","-138813072","1992102784","450.93","13.799999999999955","7.421","141","103","85","13.799999999999955","7.421",
"1102632192","-138812720","1992103424","458.33","13.799999999999955","7.381","144","103","85","13.799999999999955","7.381",
"1102632193","-138812336","1992104192","465.69","14.0","7.336","141","103","84","14.0","7.336",
"1102632194","-138811920","1992104960","473.0","14.0","7.274","132","103","85","14.0","7.274",
"1102632195","-138811488","1992105472","480.24","14.200000000000045","7.208","130","103","84","14.200000000000045","7.208",
