record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1091559653","567666552","-628906050","0.0","5.953","41.60000000000002","67","27","67",,,
"1091559654","567666916","-628905213","6.36","6.065","41.60000000000002","69","27","69",,,
"1091559655","567667276","-628904388","12.5","6.289","41.60000000000002","70","27","70",,,
"1091559656","567667651","-628903550","18.78","6.392","41.60000000000002","72","27","72",,,
"1091559657","567668066","-628902695","25.44","6.541","41.39999999999998","75","27","75",,,
"1091559658","567668478","-628901838","32.06","6.625","41.39999999999998","76","27","76","18.9",,
"1091559659","567668894","-628900974","38.73","6.681","41.39999999999998","80","27","80","18.9",,
"1091559660","567669328","-628900112","45.57","6.681","41.39999999999998","81","27","81","18.9",,
"1091559661","567669806","-628899322","52.19","6.811","41.39999999999998","82","27","82","18.9",,
"1091559662","567670265","-628898491","58.89","6.867","41.39999999999998","83","27","83","18.9",,
"1091559663","567670734","-628897637","65.78","6.83","41.60000000000002","84","27","84","20.08",,
"1091559664","567671225","-628896817","72.7","6.793","41.60000000000002","84","27","84","20.08",,
"1091559665","567671697","-628895998","79.51","6.681","41.799999999999955","84","27","84","20.08",,
"1091559666","567672139","-628895224","85.92","6.289","42.0","84","27","84","20.08",,
"1091559667","567672492","-628894579","91.17","5.113","42.0","83","27","83","19.29",,
"1091559668","567672742","-628894041","95.3","3.844","42.200000000000045","82","27","82","19.29",,
"1091559669","567672849","-628893518","98.72","3.228","42.200000000000045","81","27","81","19.29",,
"1091559670","567672834","-628892958","102.17","3.602","42.39999999999998","80","27","80","19.29",,
"1091559671","567672625","-628892371","106.07","4.46","42.39999999999998","79","27","79","19.29",,
"1091559672","567672226","-628891792","111.13","5.207","42.60000000000002","79","27","79","19.29",,
"1091559673","567671716","-628891254","116.9","5.916","42.60000000000002","78","27","78","19.95",,
"1091559674","567671160","-628890614","123.53","6.494","42.60000000000002","78","27","78","19.95",,
"1091559675","567670581","-628889933","130.35","6.998","42.60000000000002","78","27","78","19.95",,
"1091559676","567669959","-628889238","137.7","7.091","42.60000000000002","79","27","79","19.95",,
"1091559677","567669366","-628888602","144.53","6.811","42.60000000000002","80","27","80","19.95",,
"1091559678","567668786","-628888008","151.08","6.494","42.39999999999998","80","27","80","19.6",,
"1091559679","567668203","-628887427","157.75","6.27","42.0","82","27","82","19.6",,
"1091559680","567667678","-628886931","163.62","5.794","41.799999999999955","83","27","83","19.6",,
"1091559681","567667201","-628886474","168.88","5.318","41.39999999999998","84","27","84","19.6",,
"1091559682","567666778","-628886066","173.51","4.609","41.200000000000045","86","27","86","19.36",,
"1091559683","567666379","-628885721","177.83","4.059","41.0","87","27","87","19.36",,
"1091559684","567666041","-628885424","181.61","3.508","41.0","88","27","88","19.36",,
"1091559685","567665716","-628885204","184.99","3.34","41.0","88","27","88","19.36",,
"1091559686","567665414","-628884992","188.13","3.331","41.0","89","27","89","19.36",,
"1091559687","567665152","-628884814","190.8","3.07","40.799999999999955","89","27","89","19.36",,
"1091559688","567664934","-628884662","193.07","2.435","40.60000000000002","89","27","89","18.81",,
"1091559689","567664687","-628884475","195.48","2.631","40.60000000000002","88","27","88","18.81",,
"1091559690","567664453","-628884351","197.85","2.314","40.39999999999998","88","27","88","18.81",,
"1091559691","567664263","-628884231","199.62","2.053","40.39999999999998","86","27","86","18.81",,
"1091559692","567664071","-628884048","201.61","1.941","40.200000000000045","86","27","86","18.81",,
"1091559693","567663859","-628883893","203.86","1.791","40.0","85","27","85","18.45",,
"1091559694","567663629","-628883737","206.07","1.987","40.0","84","27","84","18.45",,
"1091559695","567663452","-628883448","208.27","2.249","40.0","83","27","83","18.45",,
"1091559696","567663466","-628882992","210.87","2.79","39.799999999999955","82","27","82","18.45",,
"1091559697","567663749","-628882621","214.28","3.238","39.799999999999955","81","27","81","17.81",,
"1091559698","567664105","-628882576","217.46","3.518","39.60000000000002","81","27","81","17.81",,
"1091559699","567664484","-628882738","220.98","3.779","39.60000000000002","80","27","80","17.81",,
"1091559700","567664943","-628882761","225.02","4.106","39.60000000000002","80","27","80","17.81",,
"1091559701","567665382","-628882395","229.77","4.357","39.60000000000002","80","27","80","17.81",,
"1091559702","567665671","-628881822","234.23","4.805","39.60000000000002","80","27","80","16.99",,
"1091559703","567665929","-628881118","239.25","5.207","39.60000000000002","81","27","81","16.99",,
"1091559704","567666188","-628880251","245.32","5.766","39.60000000000002","81","27","81","16.99",,
"1091559705","567666481","-628879374","251.48","6.205","39.60000000000002","82","27","82","16.99",,
"1091559706","567666791","-628878461","257.91","6.522","39.60000000000002","83","27","83","16.99",,
"1091559707","567667133","-628877515","264.6","6.867","39.60000000000002","85","27","85","16.99",,
"1091559708","567667549","-628876547","271.84","7.101","39.39999999999998","87","27","87","16.84",,
"1091559709","567668005","-628875611","279.08","7.278","39.200000000000045","88","27","88","16.84",,
"1091559710","567668485","-628874684","286.49","7.409","39.200000000000045","90","27","90","16.84",,
"1091559711","567668968","-628873730","293.97","7.698","39.200000000000045","90","27","90","16.84",,
"1091559712","567669486","-628872756","301.73","7.95","39.200000000000045","92","27","92","16.84",,
"1091559713","567670021","-628871722","309.96","8.127","39.200000000000045","93","27","93","17.13",,
"1091559714","567670578","-628870671","318.4","8.323","39.0","93","27","93","17.13",,
"1091559715","567671182","-628869632","327.04","8.612","38.799999999999955","93","27","93","17.13",,
"1091559716","567671797","-628868550","335.8","8.818","38.799999999999955","94","27","94","17.13",,
"1091559717","567672430","-628867405","345.2","8.929","38.39999999999998","94","27","94","17.13",,
"1091559718","567673022","-628866191","354.7","9.041","38.0","93","27","93","17.33",,
"1091559719","567673621","-628865029","363.97","9.032","37.799999999999955","93","27","93","17.33",,
"1091559720","567674219","-628863879","373.15","9.163","37.60000000000002","93","27","93","17.33",,
"1091559721","567674815","-628862732","382.21","9.209","37.60000000000002","93","27","93","17.33",,
"1091559722","567675423","-628861561","391.47","9.237","37.60000000000002","93","27","93","17.06",,
"1091559723","567676029","-628860384","400.8","9.228","37.60000000000002","93","27","93","17.06",,
"1091559724","567676651","-628859213","410.24","9.247","37.60000000000002","93","27","93","17.06",,
"1091559725","567677268","-628858072","419.43","9.228","37.60000000000002","93","27","93","17.06",,
"1091559726","567677852","-628856925","428.48","9.088","37.60000000000002","93","27","93","17.06",,
"1091559727","567678380","-628855737","437.43","8.995","37.60000000000002","93","27","93","17.06",,
"1091559728","567678819","-628854495","446.32","8.864","37.60000000000002","93","27","93","17.67",,
"1091559729","567679175","-628853258","454.76","8.64","37.60000000000002","94","27","94","17.67",,
"1091559730","567679535","-628852118","462.69","7.968","37.60000000000002","94","27","94","17.67",,
"1091559731","567679883","-628851076","470.06","7.175","37.799999999999955","94","27","94","17.67",,
"1091559732","567680191","-628850161","476.47","6.476","37.799999999999955","93","27","93","17.67",,
"1091559733","567680444","-628849430","481.59","5.169","37.799999999999955","92","27","92","17.29",,
"1091559734","567680575","-628848869","485.26","3.62","38.0","92","27","92","17.29",,
"1091559735","567680625","-628848418","488.09","2.585","38.0","90","27","90","17.29",,
"1091559736","567680580","-628847983","490.74","2.435","38.200000000000045","89","27","89","17.29",,
"1091559737","567680388","-628847603","493.69","2.874","38.200000000000045","89","27","89","17.29",,
"1091559738","567680044","-628847269","497.36","4.031","38.200000000000045","87","27","87","16.65",,
"1091559739","567679591","-628846922","501.81","4.945","38.200000000000045","87","27","87","16.65",,
"1091559740","567679062","-628846568","507.4","5.309","38.200000000000045","86","27","86","16.65",,
"1091559741","567678463","-628846147","513.37","6.214","38.0","85","27","85","16.65",,
"1091559742","567677819","-628845694","520.14","6.485","37.799999999999955","85","27","85","16.65",,
"1091559743","567677139","-628845257","527.2","6.774","37.39999999999998","85","27","85","16.61",,
"1091559744","567676430","-628844793","534.27","7.325","37.200000000000045","85","27","85","16.61",,
