record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1081887686","567677168","-628885044","286.31","9.359","47.799999999999955","119","20","119","18.15",,
"1081887687","567677789","-628883892","295.6","9.377","47.799999999999955","120","20","120","18.15",,
"1081887688","567678398","-628882741","304.81","9.247","47.60000000000002","120","20","120","18.15",,
"1081887689","567679034","-628881617","314.11","9.265","47.60000000000002","121","20","121","18.15",,
"1081887690","567679629","-628880428","323.51","9.265","47.60000000000002","121","20","121","18.0",,
"1081887691","567680221","-628879295","332.54","9.237","47.39999999999998","121","20","121","18.0",,
"1081887692","567680798","-628878139","341.48","9.219","47.60000000000002","121","20","121","18.0",,
"1081887693","567681393","-628876931","350.93","9.237","47.60000000000002","122","20","122","18.0",,
"1081887694","567681986","-628875722","360.41","9.228","47.799999999999955","122","20","122","18.0",,
"1081887695","567682580","-628874587","369.37","9.219","47.799999999999955","123","20","123","17.91",,
"1081887696","567683193","-628873429","378.62","9.247","47.799999999999955","123","20","123","17.91",,
"1081887697","567683822","-628872262","388.05","9.387","47.799999999999955","123","19","123","17.91",,
"1081887698","567684425","-628871068","397.48","9.34","47.799999999999955","124","19","124","17.91",,
"1081887699","567685019","-628869895","406.79","9.265","47.799999999999955","124","19","124","17.91",,
"1081887700","567685587","-628868735","415.75","9.125","47.799999999999955","124","19","124","18.63",,
"1081887701","567686164","-628867570","424.84","9.069","47.799999999999955","124","19","124","18.63",,
"1081887702","567686756","-628866437","433.87","9.023","47.60000000000002","125","19","125","18.63",,
"1081887703","567687369","-628865351","442.66","9.079","47.799999999999955","125","19","125","18.63",,
"1081887704","567688000","-628864193","452.15","9.051","47.799999999999955","125","19","125","18.63",,
"1081887705","567688591","-628863072","461.12","8.957","48.200000000000045","125","19","125","19.11",,
"1081887706","567689173","-628861978","469.86","8.79","48.200000000000045","125","19","125","19.11",,
"1081887707","567689775","-628860908","478.8","8.575","48.0","125","19","125","19.11",,
"1081887708","567690396","-628859991","486.88","8.407","48.0","125","19","125","19.11",,
"1081887709","567691007","-628859144","494.53","7.987","48.0","125","19","125","19.11",,
"1081887710","567691526","-628858284","501.84","6.961","48.0","124","19","124","18.65",,
"1081887711","567691900","-628857414","508.11","6.559","48.0","124","19","124","18.65",,
"1081887712","567692011","-628856359","514.56","6.681","48.0","123","19","123","18.65",,
"1081887713","567691760","-628855279","521.62","7.045","48.0","123","19","123","18.65",,
"1081887714","567691180","-628854507","528.72","7.53","48.0","123","19","123","18.65",,
"1081887715","567690425","-628853963","536.38","7.94","48.0","122","19","122","19.12",,
"1081887716","567689597","-628853419","544.97","8.23","47.799999999999955","122","18","122","19.12",,
"1081887717","567688771","-628852850","553.41","8.65","47.39999999999998","121","18","121","19.12",,
"1081887718","567687904","-628852213","562.43","9.004","47.39999999999998","121","18","121","19.12",,
"1081887719","567687014","-628851561","571.58","9.237","47.0","120","18","120","19.12",,
"1081887720","567686066","-628850864","581.7","9.564","46.799999999999955","120","18","120","19.12",,
"1081887721","567685145","-628850241","591.21","9.788","46.60000000000002","120","18","120","19.44",,
"1081887722","567684227","-628849611","600.53","9.965","46.200000000000045","119","18","119","19.44",,
"1081887723","567683265","-628849006","610.29","10.021","46.200000000000045","119","18","119","19.44",,
"1081887724","567682286","-628848369","620.23","10.161","45.799999999999955","119","18","119","19.44",,
"1081887725","567681291","-628847773","630.34","10.012","45.39999999999998","119","18","119","19.65",,
"1081887726","567680304","-628847196","640.11","10.077","45.0","119","18","119","19.65",,
"1081887727","567679325","-628846493","650.3","10.114","44.60000000000002","119","18","119","19.65",,
"1081887728","567678364","-628845831","660.07","10.058","44.200000000000045","119","18","119","19.65",,
"1081887729","567677324","-628845262","670.6","10.273","43.60000000000002","118","18","118","19.65",,
"1081887730","567676336","-628844708","680.38","10.217","43.39999999999998","118","18","118","19.4",,
"1081887731","567675361","-628844153","689.84","10.049","42.60000000000002","117","18","117","19.4",,
"1081887732","567674461","-628843592","698.88","8.836","42.200000000000045","116","18","116","19.4",,
"1081887733","567673816","-628842798","706.42","7.502","41.799999999999955","115","18","115","19.4",,
"1081887734","567673429","-628841675","714.18","7.343","41.39999999999998","114","17","114","19.4",,
"1081887735","567673449","-628840481","721.65","7.427","41.0","112","17","112","19.23",,
"1081887736","567673811","-628839515","728.23","7.315","40.60000000000002","111","17","111","19.23",,
"1081887737","567674366","-628838682","735.69","7.157","40.200000000000045","110","17","110","19.23",,
"1081887738","567674998","-628837995","743.02","7.735","39.799999999999955","109","17","109","19.23",,
"1081887739","567675665","-628837396","749.96","8.146","39.60000000000002","108","17","108","19.23",,
"1081887740","567676450","-628836782","758.17","8.398","39.39999999999998","108","17","108","19.12",,
"1081887741","567677288","-628836245","766.63","8.566","39.39999999999998","108","17","108","19.12",,
"1081887742","567678150","-628835742","775.4","8.575","39.39999999999998","108","17","108","19.12",,
"1081887743","567679054","-628835302","784.16","8.967","39.39999999999998","109","17","109","19.12",,
"1081887744","567679897","-628834907","792.25","8.64","39.60000000000002","110","17","110","19.12",,
"1081887745","567680791","-628834518","801.01","8.379","39.799999999999955","112","17","112","19.04",,
"1081887746","567681661","-628834079","809.74","8.276","40.0","113","17","113","19.04",,
"1081887747","567682452","-628833638","817.58","8.127","40.39999999999998","114","17","114","19.04",,
"1081887748","567683250","-628833211","825.28","7.959","40.60000000000002","116","17","116","19.04",,
"1081887749","567684104","-628832789","833.71","7.94","40.799999999999955","117","17","117","19.04",,
"1081887750","567684945","-628832409","841.94","7.866","41.200000000000045","118","17","118","19.0",,
"1081887751","567685754","-628831991","850.01","7.633","41.39999999999998","118","17","118","19.0",,
"1081887752","567686551","-628831658","857.86","7.549","41.39999999999998","119","17","119","19.0",,
"1081887753","567687280","-628831295","864.87","7.222","41.60000000000002","119","17","119","19.0",,
"1081887754","567687997","-628830894","871.81","6.923","42.0","120","17","120","19.0",,
"1081887755","567688751","-628830640","878.77","6.671","42.200000000000045","120","17","120","19.0",,
"1081887756","567689529","-628830847","886.02","6.634","42.200000000000045","120","16","120","19.36",,
"1081887757","567690148","-628831481","893.13","6.727","42.39999999999998","120","16","120","19.36",,
"1081887758","567690570","-628832325","899.71","6.839","42.60000000000002","120","16","120","19.36",,
"1081887759","567690927","-628833320","906.96","6.886","42.799999999999955","119","16","119","19.36",,
"1081887760","567691302","-628834221","913.6","6.923","43.200000000000045","119","16","119","19.36",,
"1081887761","567691782","-628835014","920.33","6.914","43.200000000000045","119","16","119","22.75",,
"1081887762","567692300","-628835737","926.69","6.933","43.39999999999998","119","16","119","22.75",,
"1081887763","567692938","-628836440","934.02","6.998","43.39999999999998","119","16","119","22.75",,
"1081887764","567693655","-628836967","941.71","7.054","43.60000000000002","120","16","120","22.75",,
"1081887765","567694374","-628837402","949.04","7.129","43.799999999999955","120","16","120","23.04",,
"1081887766","567695091","-628837722","955.78","7.241","43.799999999999955","120","16","120","23.04",,
"1081887767","567695881","-628837860","962.97","7.39","44.0","121","16","121","23.04",,
"1081887768","567696710","-628837764","970.98","7.474","44.200000000000045","121","16","121","23.04",,
"1081887769","567697475","-628837516","978.11","7.558","44.200000000000045","122","16","122","23.04",,
"1081887770","567698258","-628837157","985.74","7.642","44.200000000000045","122","16","122","22.84",,
"1081887771","567699046","-628836728","993.71","7.782","44.39999999999998","123","16","123","22.84",,
"1081887772","567699811","-628836356","1001.09","7.856","44.799999999999955","123","16","123","22.84",,
"1081887773","567700609","-628835977","1008.82","7.912","44.799999999999955","124","16","124","22.84",,
"1081887774","567701422","-628835526","1016.84","7.959","44.799999999999955","124","16","124","22.84",,
"1081887775","567702254","-628835058","1025.24","8.043","44.799999999999955","124","16","124","22.31",,
"1081887776","567703083","-628834615","1033.5","8.09","44.799999999999955","125","16","125","22.31",,
"1081887777","567703905","-628834225","1041.48","8.006","44.799999999999955","126","16","126","22.31",,
