Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Data,3,record,timestamp,"1110665713",s,position_lat,"-138819856",semicircles,position_long,"1991832576",semicircles,distance,"0.28",m,altitude,"5.0",m,speed,"9.577",m/s,power,"206",watts,heart_rate,"134",bpm,cadence,"101",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"9.577",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665714",s,position_lat,"-138820368",semicircles,position_long,"1991832192",semicircles,distance,"6.16",m,altitude,"5.0",m,speed,"9.63",m/s,power,"264",watts,heart_rate,"134",bpm,cadence,"100",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"9.63",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665715",s,position_lat,"-138821184",semicircles,position_long,"1991831552",semicircles,distance,"15.9",m,altitude,"5.0",m,speed,"9.799",m/s,power,"339",watts,heart_rate,"135",bpm,cadence,"101",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"9.799",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665716",s,position_lat,"-138821904",semicircles,position_long,"1991830656",semicircles,distance,"25.83",m,altitude,"5.0",m,speed,"9.991",m/s,power,"268",watts,heart_rate,"137",bpm,cadence,"102",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"9.991",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665717",s,position_lat,"-138822528",semicircles,position_long,"1991829888",semicircles,distance,"35.76",m,altitude,"5.0",m,speed,"10.165",m/s,power,"305",watts,heart_rate,"139",bpm,cadence,"101",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"10.165",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665718",s,position_lat,"-138823168",semicircles,position_long,"1991828992",semicircles,distance,"46.06",m,altitude,"5.0",m,speed,"10.344",m/s,power,"299",watts,heart_rate,"140",bpm,cadence,"102",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"10.344",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665719",s,position_lat,"-138823824",semicircles,position_long,"1991827840",semicircles,distance,"56.65",m,altitude,"5.0",m,speed,"10.518",m/s,power,"308",watts,heart_rate,"141",bpm,cadence,"101",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"10.518",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665720",s,position_lat,"-138824496",semicircles,position_long,"1991826944",semicircles,distance,"67.14",m,altitude,"5.0",m,speed,"10.7",m/s,power,"332",watts,heart_rate,"142",bpm,cadence,"102",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"10.7",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665721",s,position_lat,"-138825168",semicircles,position_long,"1991826048",semicircles,distance,"77.93",m,altitude,"5.0",m,speed,"10.907",m/s,power,"372",watts,heart_rate,"143",bpm,cadence,"103",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"10.907",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110665722",s,position_lat,"-138825872",semicircles,position_long,"1991825152",semicircles,distance,"88.97",m,altitude,"5.0",m,speed,"11.069",m/s,power,"297",watts,heart_rate,"144",bpm,cadence,"104",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.069",m/s,target_power,"0",watts,
