Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,1,record,timestamp,"1089216962",s,position_lat,"521812085",semicircles,position_long,"-947989590",semicircles,distance,"67.23",m,enhanced_speed,"10.385",m/s,enhanced_altitude,"308.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216963",s,position_lat,"521812931",semicircles,position_long,"-947990656",semicircles,distance,"77.91",m,enhanced_speed,"10.637",m/s,enhanced_altitude,"309.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216964",s,position_lat,"521813774",semicircles,position_long,"-947991757",semicircles,distance,"88.75",m,enhanced_speed,"10.665",m/s,enhanced_altitude,"310.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216965",s,position_lat,"521814641",semicircles,position_long,"-947992810",semicircles,distance,"99.57",m,enhanced_speed,"10.562",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216966",s,position_lat,"521815563",semicircles,position_long,"-947993809",semicircles,distance,"110.59",m,enhanced_speed,"10.796",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216967",s,position_lat,"521816466",semicircles,position_long,"-947994834",semicircles,distance,"121.46",m,enhanced_speed,"11.085",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216968",s,position_lat,"521817416",semicircles,position_long,"-947995818",semicircles,distance,"132.45",m,enhanced_speed,"11.271",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216969",s,position_lat,"521818394",semicircles,position_long,"-947996860",semicircles,distance,"143.97",m,enhanced_speed,"11.533",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216970",s,position_lat,"521819364",semicircles,position_long,"-947997948",semicircles,distance,"155.6",m,enhanced_speed,"11.775",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216971",s,position_lat,"521820357",semicircles,position_long,"-947999140",semicircles,distance,"167.8",m,enhanced_speed,"12.195",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216972",s,position_lat,"521821357",semicircles,position_long,"-948000375",semicircles,distance,"180.31",m,enhanced_speed,"12.354",m/s,enhanced_altitude,"310.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216973",s,position_lat,"521822367",semicircles,position_long,"-948001626",semicircles,distance,"192.97",m,enhanced_speed,"12.475",m/s,enhanced_altitude,"310.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216974",s,position_lat,"521823374",semicircles,position_long,"-948002838",semicircles,distance,"205.46",m,enhanced_speed,"12.363",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216975",s,position_lat,"521824378",semicircles,position_long,"-948004006",semicircles,distance,"217.78",m,enhanced_speed,"12.167",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216976",s,position_lat,"521825352",semicircles,position_long,"-948005154",semicircles,distance,"229.7",m,enhanced_speed,"12.018",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216977",s,position_lat,"521826301",semicircles,position_long,"-948006228",semicircles,distance,"241.07",m,enhanced_speed,"11.43",m/s,enhanced_altitude,"310.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216978",s,position_lat,"521827218",semicircles,position_long,"-948007191",semicircles,distance,"251.76",m,enhanced_speed,"10.432",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216979",s,position_lat,"521828161",semicircles,position_long,"-948007800",semicircles,distance,"261.25",m,enhanced_speed,"9.219",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216980",s,position_lat,"521829120",semicircles,position_long,"-948007587",semicircles,distance,"269.93",m,enhanced_speed,"8.724",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216981",s,position_lat,"521829879",semicircles,position_long,"-948006658",semicircles,distance,"279.16",m,enhanced_speed,"9.695",m/s,enhanced_altitude,"310.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216982",s,position_lat,"521830515",semicircles,position_long,"-948005521",semicircles,distance,"288.86",m,enhanced_speed,"10.114",m/s,enhanced_altitude,"310.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216983",s,position_lat,"521831154",semicircles,position_long,"-948004181",semicircles,distance,"299.61",m,enhanced_speed,"11.02",m/s,enhanced_altitude,"309.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216984",s,position_lat,"521831857",semicircles,position_long,"-948002765",semicircles,distance,"311.2",m,enhanced_speed,"11.505",m/s,enhanced_altitude,"309.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216985",s,position_lat,"521832634",semicircles,position_long,"-948001366",semicircles,distance,"323.07",m,enhanced_speed,"11.831",m/s,enhanced_altitude,"309.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216986",s,position_lat,"521833467",semicircles,position_long,"-947999980",semicircles,distance,"335.18",m,enhanced_speed,"12.018",m/s,enhanced_altitude,"309.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216987",s,position_lat,"521834305",semicircles,position_long,"-947998595",semicircles,distance,"347.28",m,enhanced_speed,"11.99",m/s,enhanced_altitude,"309.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216988",s,position_lat,"521835186",semicircles,position_long,"-947997220",semicircles,distance,"359.66",m,enhanced_speed,"11.981",m/s,enhanced_altitude,"309.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216989",s,position_lat,"521835986",semicircles,position_long,"-947995798",semicircles,distance,"371.7",m,enhanced_speed,"11.841",m/s,enhanced_altitude,"309.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216990",s,position_lat,"521836503",semicircles,position_long,"-947994139",semicircles,distance,"383.73",m,enhanced_speed,"11.813",m/s,enhanced_altitude,"308.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216991",s,position_lat,"521836545",semicircles,position_long,"-947992365",semicircles,distance,"395.6",m,enhanced_speed,"11.533",m/s,enhanced_altitude,"308.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216992",s,position_lat,"521836106",semicircles,position_long,"-947990762",semicircles,distance,"407.02",m,enhanced_speed,"11.225",m/s,enhanced_altitude,"308.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216993",s,position_lat,"521835301",semicircles,position_long,"-947989371",semicircles,distance,"418.85",m,enhanced_speed,"11.906",m/s,enhanced_altitude,"308.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216994",s,position_lat,"521834340",semicircles,position_long,"-947988195",semicircles,distance,"430.86",m,enhanced_speed,"11.729",m/s,enhanced_altitude,"308.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216995",s,position_lat,"521833230",semicircles,position_long,"-947987166",semicircles,distance,"443.21",m,enhanced_speed,"12.354",m/s,enhanced_altitude,"308.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216996",s,position_lat,"521832067",semicircles,position_long,"-947986146",semicircles,distance,"456.01",m,enhanced_speed,"12.783",m/s,enhanced_altitude,"308.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216997",s,position_lat,"521830889",semicircles,position_long,"-947985065",semicircles,distance,"469.25",m,enhanced_speed,"13.1",m/s,enhanced_altitude,"310.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216998",s,position_lat,"521829731",semicircles,position_long,"-947983934",semicircles,distance,"482.47",m,enhanced_speed,"13.315",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216999",s,position_lat,"521828599",semicircles,position_long,"-947982742",semicircles,distance,"495.76",m,enhanced_speed,"13.259",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217000",s,position_lat,"521827464",semicircles,position_long,"-947981527",semicircles,distance,"509.15",m,enhanced_speed,"13.334",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217001",s,position_lat,"521826330",semicircles,position_long,"-947980322",semicircles,distance,"522.52",m,enhanced_speed,"13.352",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217002",s,position_lat,"521825232",semicircles,position_long,"-947979071",semicircles,distance,"535.82",m,enhanced_speed,"13.362",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217003",s,position_lat,"521824126",semicircles,position_long,"-947977817",semicircles,distance,"549.14",m,enhanced_speed,"13.418",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217004",s,position_lat,"521823008",semicircles,position_long,"-947976568",semicircles,distance,"562.51",m,enhanced_speed,"13.464",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217005",s,position_lat,"521821890",semicircles,position_long,"-947975322",semicircles,distance,"575.85",m,enhanced_speed,"13.455",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217006",s,position_lat,"521820738",semicircles,position_long,"-947974129",semicircles,distance,"589.31",m,enhanced_speed,"13.427",m/s,enhanced_altitude,"310.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217007",s,position_lat,"521819602",semicircles,position_long,"-947972914",semicircles,distance,"602.67",m,enhanced_speed,"13.436",m/s,enhanced_altitude,"310.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217008",s,position_lat,"521818474",semicircles,position_long,"-947971707",semicircles,distance,"615.92",m,enhanced_speed,"13.296",m/s,enhanced_altitude,"310.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217009",s,position_lat,"521817316",semicircles,position_long,"-947970532",semicircles,distance,"629.37",m,enhanced_speed,"13.231",m/s,enhanced_altitude,"309.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217010",s,position_lat,"521816181",semicircles,position_long,"-947969376",semicircles,distance,"642.57",m,enhanced_speed,"13.166",m/s,enhanced_altitude,"309.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217011",s,position_lat,"521815067",semicircles,position_long,"-947968210",semicircles,distance,"655.57",m,enhanced_speed,"13.128",m/s,enhanced_altitude,"309.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217012",s,position_lat,"521813968",semicircles,position_long,"-947967018",semicircles,distance,"668.53",m,enhanced_speed,"13.119",m/s,enhanced_altitude,"309.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217013",s,position_lat,"521812890",semicircles,position_long,"-947965812",semicircles,distance,"681.56",m,enhanced_speed,"12.914",m/s,enhanced_altitude,"309.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217014",s,position_lat,"521811826",semicircles,position_long,"-947964635",semicircles,distance,"694.29",m,enhanced_speed,"12.811",m/s,enhanced_altitude,"309.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217015",s,position_lat,"521810759",semicircles,position_long,"-947963494",semicircles,distance,"706.78",m,enhanced_speed,"12.755",m/s,enhanced_altitude,"309.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217016",s,position_lat,"521809707",semicircles,position_long,"-947962332",semicircles,distance,"719.37",m,enhanced_speed,"12.578",m/s,enhanced_altitude,"309.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217017",s,position_lat,"521808656",semicircles,position_long,"-947961178",semicircles,distance,"731.84",m,enhanced_speed,"12.587",m/s,enhanced_altitude,"309.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217018",s,position_lat,"521807587",semicircles,position_long,"-947960052",semicircles,distance,"744.38",m,enhanced_speed,"12.587",m/s,enhanced_altitude,"309.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217019",s,position_lat,"521806525",semicircles,position_long,"-947958905",semicircles,distance,"756.91",m,enhanced_speed,"12.643",m/s,enhanced_altitude,"308.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217020",s,position_lat,"521805456",semicircles,position_long,"-947957738",semicircles,distance,"769.62",m,enhanced_speed,"12.69",m/s,enhanced_altitude,"308.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217021",s,position_lat,"521804335",semicircles,position_long,"-947956621",semicircles,distance,"782.5",m,enhanced_speed,"12.839",m/s,enhanced_altitude,"308.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217022",s,position_lat,"521803164",semicircles,position_long,"-947955583",semicircles,distance,"795.5",m,enhanced_speed,"12.914",m/s,enhanced_altitude,"308.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217023",s,position_lat,"521801937",semicircles,position_long,"-947954757",semicircles,distance,"808.23",m,enhanced_speed,"12.83",m/s,enhanced_altitude,"308.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217024",s,position_lat,"521800630",semicircles,position_long,"-947954133",semicircles,distance,"820.97",m,enhanced_speed,"13.007",m/s,enhanced_altitude,"308.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217025",s,position_lat,"521799252",semicircles,position_long,"-947953837",semicircles,distance,"833.95",m,enhanced_speed,"13.063",m/s,enhanced_altitude,"308.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217026",s,position_lat,"521797856",semicircles,position_long,"-947953830",semicircles,distance,"846.7",m,enhanced_speed,"13.1",m/s,enhanced_altitude,"308.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217027",s,position_lat,"521796423",semicircles,position_long,"-947953933",semicircles,distance,"860.1",m,enhanced_speed,"13.054",m/s,enhanced_altitude,"308.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217028",s,position_lat,"521795011",semicircles,position_long,"-947954078",semicircles,distance,"873.29",m,enhanced_speed,"12.932",m/s,enhanced_altitude,"308.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217029",s,position_lat,"521793620",semicircles,position_long,"-947954216",semicircles,distance,"886.3",m,enhanced_speed,"12.736",m/s,enhanced_altitude,"309.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217030",s,position_lat,"521792257",semicircles,position_long,"-947954362",semicircles,distance,"899.17",m,enhanced_speed,"12.447",m/s,enhanced_altitude,"308.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217031",s,position_lat,"521790982",semicircles,position_long,"-947954556",semicircles,distance,"911.08",m,enhanced_speed,"11.925",m/s,enhanced_altitude,"309.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217032",s,position_lat,"521789800",semicircles,position_long,"-947955041",semicircles,distance,"922.42",m,enhanced_speed,"11.411",m/s,enhanced_altitude,"309.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217033",s,position_lat,"521788853",semicircles,position_long,"-947956004",semicircles,distance,"933.17",m,enhanced_speed,"10.88",m/s,enhanced_altitude,"309.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217034",s,position_lat,"521788280",semicircles,position_long,"-947957362",semicircles,distance,"943.63",m,enhanced_speed,"10.404",m/s,enhanced_altitude,"309.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217035",s,position_lat,"521788071",semicircles,position_long,"-947958884",semicircles,distance,"954.05",m,enhanced_speed,"10.124",m/s,enhanced_altitude,"309.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217036",s,position_lat,"521788180",semicircles,position_long,"-947960424",semicircles,distance,"964.45",m,enhanced_speed,"10.245",m/s,enhanced_altitude,"309.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217037",s,position_lat,"521788500",semicircles,position_long,"-947961933",semicircles,distance,"975.02",m,enhanced_speed,"10.525",m/s,enhanced_altitude,"309.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217038",s,position_lat,"521788939",semicircles,position_long,"-947963411",semicircles,distance,"985.79",m,enhanced_speed,"10.74",m/s,enhanced_altitude,"309.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217039",s,position_lat,"521789573",semicircles,position_long,"-947964779",semicircles,distance,"996.68",m,enhanced_speed,"10.926",m/s,enhanced_altitude,"309.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217040",s,position_lat,"521790323",semicircles,position_long,"-947966071",semicircles,distance,"1007.88",m,enhanced_speed,"11.122",m/s,enhanced_altitude,"310.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217041",s,position_lat,"521791152",semicircles,position_long,"-947967227",semicircles,distance,"1018.81",m,enhanced_speed,"11.085",m/s,enhanced_altitude,"310.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217042",s,position_lat,"521792084",semicircles,position_long,"-947968283",semicircles,distance,"1030.0",m,enhanced_speed,"11.215",m/s,enhanced_altitude,"310.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217043",s,position_lat,"521793048",semicircles,position_long,"-947969301",semicircles,distance,"1041.39",m,enhanced_speed,"11.299",m/s,enhanced_altitude,"311.20000000000005",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217044",s,position_lat,"521793989",semicircles,position_long,"-947970345",semicircles,distance,"1052.57",m,enhanced_speed,"11.411",m/s,enhanced_altitude,"311.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217045",s,position_lat,"521794960",semicircles,position_long,"-947971382",semicircles,distance,"1063.97",m,enhanced_speed,"11.449",m/s,enhanced_altitude,"311.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217046",s,position_lat,"521795942",semicircles,position_long,"-947972381",semicircles,distance,"1075.36",m,enhanced_speed,"11.346",m/s,enhanced_altitude,"311.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217047",s,position_lat,"521796889",semicircles,position_long,"-947973416",semicircles,distance,"1086.65",m,enhanced_speed,"11.29",m/s,enhanced_altitude,"311.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217048",s,position_lat,"521797848",semicircles,position_long,"-947974454",semicircles,distance,"1098.01",m,enhanced_speed,"11.365",m/s,enhanced_altitude,"311.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217049",s,position_lat,"521798849",semicircles,position_long,"-947975500",semicircles,distance,"1109.61",m,enhanced_speed,"11.682",m/s,enhanced_altitude,"311.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089217050",s,position_lat,"521799919",semicircles,position_long,"-947976541",semicircles,distance,"1121.75",m,enhanced_speed,"12.083",m/s,enhanced_altitude,"311.4",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089217051",s,position_lat,"521801028",semicircles,position_long,"-947977623",semicircles,distance,"1134.39",m,enhanced_speed,"12.466",m/s,enhanced_altitude,"311.4",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089217052",s,position_lat,"521802133",semicircles,position_long,"-947978745",semicircles,distance,"1147.24",m,enhanced_speed,"12.596",m/s,enhanced_altitude,"311.4",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089217053",s,position_lat,"521803234",semicircles,position_long,"-947979864",semicircles,distance,"1160.05",m,enhanced_speed,"12.718",m/s,enhanced_altitude,"311.4",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089217054",s,position_lat,"521804333",semicircles,position_long,"-947981009",semicircles,distance,"1172.91",m,enhanced_speed,"12.904",m/s,enhanced_altitude,"311.0",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089217055",s,position_lat,"521805413",semicircles,position_long,"-947982206",semicircles,distance,"1185.79",m,enhanced_speed,"13.026",m/s,enhanced_altitude,"311.0",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089217056",s,position_lat,"521806497",semicircles,position_long,"-947983466",semicircles,distance,"1198.92",m,enhanced_speed,"13.231",m/s,enhanced_altitude,"311.20000000000005",m,temperature,"34",C,unknown,"1",,
