record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110380649","447882176","-923816704","0.25","51.60000000000002","11.178","392","135","102","51.60000000000002","11.178","0",
"1110380650","447881440","-923817344","8.39","51.60000000000002","11.328","392","136","102","51.60000000000002","11.328","0",
"1110380651","447880544","-923818304","19.81","51.60000000000002","11.518","384","137","103","51.60000000000002","11.518","0",
"1110380652","447879808","-923819584","31.43","51.60000000000002","11.703","399","138","103","51.60000000000002","11.703","0",
"1110380653","447879904","-923821120","43.04","51.799999999999955","11.826","399","139","103","51.799999999999955","11.826","0",
"1110380654","447880544","-923822528","55.02","51.799999999999955","11.942","378","139","102","51.799999999999955","11.942","0",
"1110380655","447881312","-923823872","66.98","52.0","12.022","378","140","102","52.0","12.022","0",
"1110380656","447882080","-923825152","79.0","52.0","12.053","354","140","102","52.0","12.053","0",
"1110380657","447882880","-923826432","91.06","52.200000000000045","12.066","354","141","102","52.200000000000045","12.066","0",
"1110380658","447883648","-923827776","103.26","52.200000000000045","12.1","343","142","102","52.200000000000045","12.1","0",
"1110380659","447884416","-923829056","115.2","52.39999999999998","12.123","340","143","101","52.39999999999998","12.123","0",
"1110380660","447885184","-923830336","127.44","52.60000000000002","12.156","347","144","100","52.60000000000002","12.156","0",
"1110380661","447886016","-923831680","139.5","52.60000000000002","12.17","339","145","100","52.60000000000002","12.17","0",
"1110380662","447886784","-923832960","151.78","52.799999999999955","12.181","344","146","100","52.799999999999955","12.181","0",
"1110380663","447887552","-923834240","163.81","53.0","12.025","317","147","99","53.0","12.025","0",
"1110380664","447888384","-923835648","176.16","53.0","12.017","335","147","99","53.0","12.017","0",
"1110380665","447889152","-923836864","187.99","53.200000000000045","12.026","375","148","98","53.200000000000045","12.026","0",
"1110380666","447889920","-923838144","200.03","53.39999999999998","12.069","375","149","98","53.39999999999998","12.069","0",
"1110380667","447890688","-923839424","212.11","53.39999999999998","12.104","362","149","98","53.39999999999998","12.104","0",
"1110380668","447891520","-923840832","224.22","53.60000000000002","12.087","298","149","98","53.60000000000002","12.087","0",
"1110380669","447892320","-923842112","236.32","53.60000000000002","12.122","365","150","97","53.60000000000002","12.122","0",
"1110380670","447893120","-923843328","248.45","53.799999999999955","12.13","353","150","96","53.799999999999955","12.13","0",
"1110380671","447893888","-923844608","260.57","54.0","12.107","341","151","97","54.0","12.107","0",
"1110380672","447894656","-923846016","272.64","54.0","12.054","300","151","96","54.0","12.054","0",
"1110380673","447895456","-923847296","284.66","54.200000000000045","11.972","300","151","96","54.200000000000045","11.972","0",
"1110380674","447896256","-923848576","296.59","54.200000000000045","11.879","283","151","96","54.200000000000045","11.879","0",
"1110380675","447896960","-923849792","308.28","54.39999999999998","11.818","306","152","94","54.39999999999998","11.818","0",
"1110380676","447897760","-923851072","320.22","54.39999999999998","11.708","252","152","94","54.39999999999998","11.708","0",
"1110380677","447898528","-923852352","331.87","54.60000000000002","11.644","259","152","94","54.60000000000002","11.644","0",
"1110380678","447899296","-923853568","343.52","54.60000000000002","11.652","274","152","93","54.60000000000002","11.652","0",
"1110380679","447900032","-923854848","355.2","54.799999999999955","11.669","263","152","93","54.799999999999955","11.669","0",
"1110380680","447900800","-923856128","366.85","54.799999999999955","11.662","285","152","91","54.799999999999955","11.662","0",
"1110380681","447901536","-923857344","378.35","54.799999999999955","11.679","302","152","92","54.799999999999955","11.679","0",
"1110380682","447902304","-923858624","390.22","54.799999999999955","11.717","290","153","92","54.799999999999955","11.717","0",
"1110380683","447903040","-923859904","401.79","54.799999999999955","11.709","294","153","92","54.799999999999955","11.709","0",
"1110380684","447903808","-923861120","413.48","55.0","11.685","294","154","92","55.0","11.685","0",
"1110380685","447904576","-923862400","425.17","55.0","11.727","314","154","92","55.0","11.727","0",
"1110380686","447905344","-923863680","437.13","54.799999999999955","11.834","282","154","93","54.799999999999955","11.834","0",
"1110380687","447906112","-923864960","449.02","54.60000000000002","12.024","307","155","93","54.60000000000002","12.024","0",
"1110380688","447906880","-923866176","461.17","54.39999999999998","12.27","328","155","94","54.39999999999998","12.27","0",
"1110380689","447907712","-923867584","473.6","54.200000000000045","12.551","356","156","94","54.200000000000045","12.551","0",
"1110380690","447908544","-923868928","486.12","54.0","12.81","347","156","94","54.0","12.81","0",
"1110380691","447909408","-923870272","499.04","53.799999999999955","13.044","336","156","96","53.799999999999955","13.044","0",
"1110380692","447910272","-923871744","512.35","53.60000000000002","13.23","298","156","97","53.60000000000002","13.23","0",
"1110380693","447911136","-923873152","525.7","53.39999999999998","13.379","298","156","97","53.39999999999998","13.379","0",
"1110380694","447912000","-923874560","539.11","53.39999999999998","13.48","285","157","96","53.39999999999998","13.48","0",
"1110380695","447912864","-923876032","552.38","53.200000000000045","13.53","291","157","95","53.200000000000045","13.53","0",
"1110380696","447913728","-923877504","566.06","53.200000000000045","13.582","323","157","96","53.200000000000045","13.582","0",
"1110380697","447914592","-923879040","579.76","53.200000000000045","13.59","302","157","96","53.200000000000045","13.59","0",
"1110380698","447915456","-923880512","593.19","53.200000000000045","13.58","306","157","96","53.200000000000045","13.58","0",
"1110380699","447916352","-923881920","606.88","53.200000000000045","13.557","302","157","95","53.200000000000045","13.557","0",
"1110380700","447917216","-923883392","620.3","53.200000000000045","13.533","302","157","95","53.200000000000045","13.533","0",
"1110380701","447918080","-923884864","633.9","53.39999999999998","13.509","301","158","96","53.39999999999998","13.509","0",
"1110380702","447918944","-923886336","647.41","53.39999999999998","13.467","268","158","96","53.39999999999998","13.467","0",
"1110380703","447919808","-923887744","660.88","53.39999999999998","13.405","251","158","95","53.39999999999998","13.405","0",
"1110380704","447920672","-923889216","674.19","53.39999999999998","13.345","269","158","94","53.39999999999998","13.345","0",
"1110380705","447921536","-923890688","687.44","53.39999999999998","13.273","275","158","93","53.39999999999998","13.273","0",
"1110380706","447922400","-923892032","700.66","53.39999999999998","13.194","276","158","93","53.39999999999998","13.194","0",
