Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Data,3,record,timestamp,"1110663224",s,position_lat,"-138830320",semicircles,position_long,"1991789312",semicircles,distance,"0.25",m,altitude,"1.3999999999999773",m,speed,"0.936",m/s,power,"146",watts,heart_rate,"75",bpm,cadence,"14",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"0.936",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663225",s,position_lat,"-138830320",semicircles,position_long,"1991789312",semicircles,distance,"0.32",m,altitude,"1.3999999999999773",m,speed,"1.058",m/s,power,"146",watts,heart_rate,"75",bpm,cadence,"16",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"1.058",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663226",s,position_lat,"-138830160",semicircles,position_long,"1991789440",semicircles,distance,"1.96",m,altitude,"1.3999999999999773",m,speed,"2.121",m/s,power,"145",watts,heart_rate,"75",bpm,cadence,"33",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"2.121",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663227",s,position_lat,"-138829888",semicircles,position_long,"1991789440",semicircles,distance,"4.47",m,altitude,"1.3999999999999773",m,speed,"2.78",m/s,power,"140",watts,heart_rate,"77",bpm,cadence,"43",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"2.78",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663228",s,position_lat,"-138829600",semicircles,position_long,"1991789696",semicircles,distance,"7.5",m,altitude,"1.3999999999999773",m,speed,"3.286",m/s,power,"146",watts,heart_rate,"77",bpm,cadence,"51",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"3.286",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663229",s,position_lat,"-138829280",semicircles,position_long,"1991789824",semicircles,distance,"10.97",m,altitude,"1.3999999999999773",m,speed,"3.675",m/s,power,"126",watts,heart_rate,"77",bpm,cadence,"57",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"3.675",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663230",s,position_lat,"-138828944",semicircles,position_long,"1991789952",semicircles,distance,"14.82",m,altitude,"1.3999999999999773",m,speed,"3.937",m/s,power,"91",watts,heart_rate,"77",bpm,cadence,"60",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"3.937",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663231",s,position_lat,"-138828608",semicircles,position_long,"1991790336",semicircles,distance,"18.87",m,altitude,"1.3999999999999773",m,speed,"4.24",m/s,power,"155",watts,heart_rate,"77",bpm,cadence,"60",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"4.24",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663232",s,position_lat,"-138828256",semicircles,position_long,"1991790720",semicircles,distance,"23.26",m,altitude,"1.3999999999999773",m,speed,"4.499",m/s,power,"104",watts,heart_rate,"77",bpm,cadence,"63",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"4.499",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110663233",s,position_lat,"-138827888",semicircles,position_long,"1991790976",semicircles,distance,"27.87",m,altitude,"1.3999999999999773",m,speed,"4.697",m/s,power,"153",watts,heart_rate,"78",bpm,cadence,"63",rpm,enhanced_altitude,"1.3999999999999773",m,enhanced_speed,"4.697",m/s,target_power,"0",watts,
