record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1084211920","0.0","183.39999999999998","65","23","65",,,,,,
"1084211921","0.0","183.39999999999998","65","23","65",,,,,,
"1084211922","0.0","183.39999999999998","65","23","65",,,,,,
"1084211923","0.0","183.39999999999998","64","23","64",,,,,,
"1084211925","0.0","183.39999999999998","64","23","64",,,,,,
"1084211926","0.0","183.39999999999998","64","22","64","12.99",,,,,
"1084211927","0.0","183.39999999999998","65","22","65","12.99","567664728","-628918980","0.513",,
"1084211928","1.8","183.39999999999998","65","22","65","12.99","567664595","-628918617","0.896",,
"1084211929","4.81","185.60000000000002","66","22","66","12.99","567664667","-628918195","0.793",,
"1084211930","7.71","185.60000000000002","67","22","67","12.99","567664858","-628917712","1.791",,
"1084211931","13.7","185.60000000000002","67","22","67","13.58","567664660","-628916999","2.211",,
"1084211932","17.09","185.79999999999995","67","22","67","13.58","567664697","-628916480","3.079",,
"1084211933","21.62","185.79999999999995","68","22","68","13.58","567664808","-628915843","3.611",,
"1084211934","25.94","186.0","70","22","70","13.58","567664924","-628915277","3.424",,
"1084211935","29.47","186.0","71","22","71","13.58","567665051","-628914787","3.396",,
"1084211936","32.39","186.39999999999998","72","22","72","13.39","567665265","-628914391","3.368",,
"1084211937","36.02","186.39999999999998","75","22","75","13.39","567665497","-628913976","3.303",,
"1084211938","39.66","186.39999999999998","76","22","76","13.39","567665745","-628913509","3.583",,
"1084211939","43.85","186.39999999999998","77","22","77","13.39","567665998","-628913007","3.648",,
"1084211940","47.41","186.39999999999998","78","22","78","13.39","567666244","-628912629","3.331",,
"1084211941","50.63","186.39999999999998","79","22","79","13.65","567666443","-628912270","3.014",,
"1084211942","53.64","186.20000000000005","80","22","80","13.65","567666521","-628911881","2.669",,
"1084211943","56.37","186.20000000000005","80","22","80","13.65","567666425","-628911466","2.846",,
"1084211944","59.55","186.0","80","22","80","13.65","567666176","-628911073","3.098",,
"1084211945","61.24","186.0","80","22","80","13.65","567665950","-628911109","2.342",,
"1084211946","62.57","186.0","79","22","79","13.82","567665770","-628910984","1.54",,
"1084211947","64.29","185.60000000000002","79","21","79","13.82","567665570","-628910984","1.185",,
"1084211948","66.04","185.60000000000002","78","21","78","13.82","567665428","-628910882","1.232",,
"1084211949","67.1","185.20000000000005","78","21","78","13.82","567665334","-628910898","0.886",,
"1084211950","67.1","185.0","76","21","76","13.82","567665407","-628910941","0.373",,
"1084211951","67.5","184.79999999999995","76","21","76","13.82","567665379","-628910854","0.821",,
"1084211952","68.53","184.60000000000002","75","21","75","13.54","567665316","-628910837","0.579",,
"1084211953","68.53","184.39999999999998","74","21","74","13.54","567665346","-628910918","0.0",,
"1084211954","68.53","184.39999999999998","73","21","73","13.54","567665339","-628910901","0.0",,
"1084211981","68.53","183.20000000000005","66","21","66","14.05","567665005","-628910392","3.06",,
"1084211982","72.25","183.20000000000005","67","21","67","14.05","567664969","-628909803","3.695",,
"1084211983","76.58","183.20000000000005","67","21","67","14.05","567665013","-628909136","4.292",,
"1084211984","81.17","183.20000000000005","68","21","68","14.05","567665235","-628908508","4.768",,
"1084211985","85.8","183.20000000000005","70","21","70","14.05","567665435","-628907835","4.973",,
"1084211986","90.81","183.20000000000005","71","21","71","14.09","567665771","-628907197","5.281",,
"1084211987","96.1","183.39999999999998","71","21","71","14.09","567666102","-628906512","5.449",,
"1084211988","101.74","183.39999999999998","75","21","75","14.09","567666466","-628905796","5.617",,
"1084211989","107.33","183.60000000000002","77","21","77","14.09","567666806","-628905070","5.645",,
"1084211990","112.87","183.79999999999995","79","21","79","14.09","567667154","-628904344","5.701",,
"1084211991","118.58","183.79999999999995","81","21","81","14.12","567667500","-628903605","5.757",,
"1084211992","124.22","184.0","83","20","83","14.12","567667852","-628902878","5.794",,
"1084211993","129.77","184.20000000000005","85","20","85","14.12","567668199","-628902144","5.757",,
"1084211994","135.5","184.20000000000005","87","20","87","14.12","567668567","-628901414","5.664",,
"1084211995","141.33","184.39999999999998","89","20","89","14.12","567668956","-628900708","5.561",,
"1084211996","146.9","184.39999999999998","90","20","90","14.53","567669334","-628900027","5.542",,
"1084211997","152.43","184.60000000000002","91","20","91","14.53","567669708","-628899342","5.692",,
