record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1094043359","567665906","-628907111","0.0","6.494","44.0","25","0",
"1094043360","567666284","-628906220","6.45","6.69","44.0","25","1",
"1094043361","567666665","-628905256","13.54","6.867","44.0","25","1",
"1094043362","567667086","-628904353","20.44","6.989","44.0","25","1",
"1094043363","567667489","-628903395","27.65","7.129","44.0","25","1",
"1094043364","567667900","-628902468","34.52","7.269","44.0","25","1",
"1094043365","567668339","-628901472","42.03","7.418","43.799999999999955","25","1",
"1094043366","567668824","-628900538","49.46","7.455","43.799999999999955","25","1",
"1094043367","567669357","-628899660","56.92","7.437","43.799999999999955","25","1",
"1094043368","567669871","-628898746","64.33","7.521","43.799999999999955","25","1",
"1094043369","567670383","-628897769","72.21","7.362","43.799999999999955","25","1",
"1094043370","567670887","-628896892","79.45","7.073","43.799999999999955","25","1",
"1094043371","567671346","-628896125","86.13","6.308","43.799999999999955","25","1",
"1094043372","567671737","-628895421","91.86","5.832","43.799999999999955","25","1",
"1094043373","567672109","-628894813","96.94","5.253","43.799999999999955","25","1",
"1094043374","567672456","-628894260","101.55","4.703","43.799999999999955","25","1",
"1094043375","567672746","-628893704","105.86","4.273","43.799999999999955","25","1",
"1094043376","567672888","-628893045","110.07","4.357","44.0","25","1",
"1094043377","567672686","-628892346","114.43","5.039","44.0","25","1",
"1094043378","567672209","-628891746","120.04","5.832","44.0","25","1",
"1094043379","567671634","-628891106","126.76","6.531","44.0","25","1",
"1094043380","567671027","-628890381","134.16","7.101","44.0","25","1",
"1094043381","567670403","-628889650","141.6","7.53","44.0","25","1",
"1094043382","567669758","-628888863","149.3","7.866","43.799999999999955","25","1",
"1094043383","567669045","-628888041","157.73","8.192","43.60000000000002","25","1",
"1094043384","567668282","-628887239","166.48","8.51","43.60000000000002","25","1",
"1094043385","567667456","-628886476","175.64","8.939","43.60000000000002","25","1",
"1094043386","567666611","-628885727","184.78","9.219","43.39999999999998","25","1",
"1094043387","567665715","-628885020","194.42","9.48","43.200000000000045","25","1",
"1094043388","567664796","-628884395","203.67","9.732","43.0","25","1",
