record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1077657583","-138820960","1991825152","2.19","66","1.6000000000000227","1.59","88","24","1.6000000000000227","1.59",
"1077657584","-138820816","1991824896","4.1","66","1.6000000000000227","2.268","141","35","1.6000000000000227","2.268",
"1077657585","-138820624","1991824768","6.68","67","1.6000000000000227","2.893","147","45","1.6000000000000227","2.893",
"1077657586","-138820384","1991824384","9.88","69","1.6000000000000227","3.407","146","53","1.6000000000000227","3.407",
"1077657587","-138820128","1991824256","13.48","70","1.6000000000000227","3.823","144","85","1.6000000000000227","3.823",
"1077657588","-138819808","1991823872","17.51","70","1.6000000000000227","4.187","144","87","1.6000000000000227","4.187",
"1077657589","-138819504","1991823488","21.83","72","1.6000000000000227","4.507","144","86","1.6000000000000227","4.507",
"1077657590","-138819184","1991823104","26.47","72","1.6000000000000227","4.798","145","85","1.6000000000000227","4.798",
"1077657591","-138818832","1991822720","31.43","73","1.6000000000000227","5.065","144","86","1.6000000000000227","5.065",
"1077657592","-138818480","1991822208","36.6","75","1.6000000000000227","5.304","144","87","1.6000000000000227","5.304",
"1077657593","-138818144","1991821824","42.05","76","1.6000000000000227","5.533","144","86","1.6000000000000227","5.533",
"1077657594","-138817808","1991821312","47.71","76","1.6000000000000227","5.749","145","86","1.6000000000000227","5.749",
"1077657595","-138817488","1991820800","53.52","78","1.6000000000000227","5.954","145","85","1.6000000000000227","5.954",
"1077657596","-138817216","1991820160","59.57","78","1.6000000000000227","6.153","145","86","1.6000000000000227","6.153",
"1077657597","-138816976","1991819520","65.9","81","1.6000000000000227","6.346","143","87","1.6000000000000227","6.346",
"1077657598","-138816736","1991818752","72.3","81","1.6000000000000227","6.505","144","85","1.6000000000000227","6.505",
"1077657599","-138816560","1991818240","78.85","82","1.6000000000000227","6.66","144","86","1.6000000000000227","6.66",
"1077657600","-138816416","1991817472","85.71","83","1.6000000000000227","6.817","144","86","1.6000000000000227","6.817",
"1077657601","-138816304","1991816704","92.54","83","1.6000000000000227","6.966","144","86","1.6000000000000227","6.966",
"1077657602","-138816256","1991815808","99.5","83","1.6000000000000227","7.076","145","86","1.6000000000000227","7.076",
"1077657603","-138816192","1991815168","106.73","84","1.6000000000000227","7.18","143","85","1.6000000000000227","7.18",
"1077657604","-138816192","1991814400","113.86","85","1.6000000000000227","7.276","143","84","1.6000000000000227","7.276",
"1077657605","-138816208","1991813504","121.33","85","1.6000000000000227","7.391","144","83","1.6000000000000227","7.391",
"1077657606","-138816272","1991812736","128.7","85","1.6000000000000227","7.502","145","83","1.6000000000000227","7.502",
"1077657607","-138816352","1991811968","136.19","86","1.6000000000000227","7.601","144","82","1.6000000000000227","7.601",
"1077657608","-138816480","1991811072","143.89","86","1.6000000000000227","7.688","145","80","1.6000000000000227","7.688",
"1077657609","-138816640","1991810176","151.7","88","1.6000000000000227","7.765","145","80","1.6000000000000227","7.765",
"1077657610","-138816816","1991809536","159.45","89","1.6000000000000227","7.831","146","81","1.6000000000000227","7.831",
"1077657611","-138817008","1991808512","167.24","91","1.6000000000000227","7.889","144","81","1.6000000000000227","7.889",
"1077657612","-138817248","1991807872","175.2","93","1.6000000000000227","7.946","147","81","1.6000000000000227","7.946",
"1077657613","-138817488","1991806976","183.2","95","1.6000000000000227","8.0","145","81","1.6000000000000227","8.0",
"1077657614","-138817760","1991806208","191.19","95","1.6000000000000227","8.048","144","83","1.6000000000000227","8.048",
"1077657615","-138818048","1991805312","199.35","97","1.6000000000000227","8.094","144","83","1.6000000000000227","8.094",
"1077657616","-138818352","1991804416","207.37","97","1.6000000000000227","8.143","146","84","1.6000000000000227","8.143",
"1077657617","-138818688","1991803648","215.62","100","1.6000000000000227","8.197","146","85","1.6000000000000227","8.197",
"1077657618","-138819040","1991802752","223.86","101","1.6000000000000227","8.253","143","84","1.6000000000000227","8.253",
"1077657619","-138819408","1991801984","232.16","103","1.6000000000000227","8.319","144","84","1.6000000000000227","8.319",
"1077657620","-138819776","1991801088","240.52","103","1.6000000000000227","8.416","146","83","1.6000000000000227","8.416",
"1077657621","-138820176","1991800320","248.94","103","1.6000000000000227","8.567","144","83","1.6000000000000227","8.567",
"1077657622","-138820592","1991799424","257.58","105","1.6000000000000227","8.726","145","84","1.6000000000000227","8.726",
"1077657623","-138821040","1991798528","266.28","105","1.6000000000000227","8.77","144","85","1.6000000000000227","8.77",
"1077657624","-138821520","1991797888","275.05","107","1.6000000000000227","8.771","144","85","1.6000000000000227","8.771",
