record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110381553","563969728","135961664","0.28","283.79999999999995","11.352","307","144","96","283.79999999999995","11.352","0",
"1110381554","563969728","135960400","8.25","283.79999999999995","11.42","307","144","96","283.79999999999995","11.42","0",
"1110381555","563969536","135958592","19.71","283.79999999999995","11.495","268","145","96","283.79999999999995","11.495","0",
"1110381556","563969152","135956864","31.24","283.79999999999995","11.562","287","146","94","283.79999999999995","11.562","0",
"1110381557","563968448","135955376","42.82","283.79999999999995","11.604","261","147","95","283.79999999999995","11.604","0",
"1110381558","563967488","135954192","54.45","283.79999999999995","11.654","269","147","94","283.79999999999995","11.654","0",
"1110381559","563966400","135953408","65.93","283.79999999999995","11.69","274","147","93","283.79999999999995","11.69","0",
"1110381560","563965120","135952992","77.83","284.0","11.709","277","148","93","284.0","11.709","0",
"1110381561","563963904","135952816","89.55","284.0","11.727","310","149","93","284.0","11.727","0",
"1110381562","563962624","135952624","101.29","284.0","11.763","310","149","93","284.0","11.763","0",
"1110381563","563961344","135952448","113.08","284.20000000000005","11.799","298","150","92","284.20000000000005","11.799","0",
"1110381564","563960128","135952256","124.69","284.20000000000005","11.82","298","151","92","284.20000000000005","11.82","0",
"1110381565","563958848","135952064","136.71","284.4","11.82","283","151","92","284.4","11.82","0",
"1110381566","563957568","135951856","148.54","284.4","11.843","308","152","91","284.4","11.843","0",
"1110381567","563956288","135951680","160.32","284.4","11.713","282","152","91","284.4","11.713","0",
"1110381568","563955072","135951504","171.99","284.6","11.634","310","153","91","284.6","11.634","0",
"1110381569","563953792","135951344","183.58","284.6","11.553","273","153","91","284.6","11.553","0",
"1110381570","563952640","135951184","194.93","284.6","11.563","317","154","91","284.6","11.563","0",
"1110381571","563951360","135951040","206.75","284.4","11.692","317","154","91","284.4","11.692","0",
"1110381572","563950144","135950896","218.3","284.4","11.789","264","155","92","284.4","11.789","0",
"1110381573","563948864","135950736","230.32","284.4","11.852","264","155","92","284.4","11.852","0",
"1110381574","563947584","135950544","242.23","284.20000000000005","11.959","322","155","92","284.20000000000005","11.959","0",
"1110381575","563946304","135950320","254.24","284.20000000000005","12.055","284","156","91","284.20000000000005","12.055","0",
"1110381576","563944960","135950112","266.34","284.20000000000005","12.155","278","156","92","284.20000000000005","12.155","0",
"1110381577","563943680","135949888","278.56","284.0","12.289","280","157","91","284.0","12.289","0",
"1110381578","563942400","135949696","290.92","283.79999999999995","12.426","280","157","92","283.79999999999995","12.426","0",
"1110381579","563941056","135949488","303.2","283.79999999999995","12.528","272","157","92","283.79999999999995","12.528","0",
"1110381580","563939712","135949264","315.96","283.6","12.59","252","157","92","283.6","12.59","0",
"1110381581","563938368","135949008","328.57","283.6","12.623","234","157","91","283.6","12.623","0",
"1110381582","563937024","135949152","341.2","283.6","12.614","234","157","91","283.6","12.614","0",
"1110381583","563936000","135950288","353.78","283.6","12.539","273","158","91","283.6","12.539","0",
"1110381584","563935680","135952208","366.29","283.6","12.509","263","158","91","283.6","12.509","0",
"1110381585","563935680","135954192","378.85","283.6","12.616","287","158","91","283.6","12.616","0",
"1110381586","563935936","135956176","391.53","283.4","12.726","253","158","91","283.4","12.726","0",
"1110381587","563936192","135958128","404.09","283.20000000000005","12.825","230","158","90","283.20000000000005","12.825","0",
"1110381588","563936512","135960176","417.19","283.0","12.945","287","158","90","283.0","12.945","0",
"1110381589","563936832","135962176","430.21","282.79999999999995","13.094","287","158","90","282.79999999999995","13.094","0",
"1110381590","563937152","135964224","443.37","282.6","13.213","263","158","91","282.6","13.213","0",
"1110381591","563937408","135966288","456.64","282.4","13.334","263","158","91","282.4","13.334","0",
"1110381592","563937728","135968368","470.04","282.20000000000005","13.452","262","158","90","282.20000000000005","13.452","0",
"1110381593","563938112","135970448","483.54","282.0","13.536","224","158","91","282.0","13.536","0",
"1110381594","563938432","135972544","497.13","281.79999999999995","13.649","269","158","91","281.79999999999995","13.649","0",
"1110381595","563938816","135974672","510.84","281.6","13.758","269","158","92","281.6","13.758","0",
"1110381596","563939136","135976768","524.4","281.4","13.842","245","158","92","281.4","13.842","0",
"1110381597","563939456","135978896","538.21","281.20000000000005","13.741","222","158","91","281.20000000000005","13.741","0",
"1110381598","563939840","135981040","552.12","281.0","13.615","186","157","91","281.0","13.615","0",
"1110381599","563940224","135983152","565.75","280.79999999999995","13.671","235","157","90","280.79999999999995","13.671","0",
"1110381600","563940608","135985232","579.46","280.6","13.741","235","157","90","280.6","13.741","0",
"1110381601","563941120","135987312","593.25","280.4","13.848","287","157","90","280.4","13.848","0",
"1110381602","563941632","135989376","607.15","280.20000000000005","13.944","273","157","90","280.20000000000005","13.944","0",
"1110381603","563942144","135991472","621.13","280.0","14.005","247","157","91","280.0","14.005","0",
"1110381604","563942528","135993632","635.17","279.79999999999995","14.066","290","156","91","279.79999999999995","14.066","0",
"1110381605","563942400","135995792","649.01","279.79999999999995","14.055","290","156","91","279.79999999999995","14.055","0",
"1110381606","563941312","135997344","663.24","279.79999999999995","13.926","408","156","91","279.79999999999995","13.926","0",
"1110381607","563939904","135998064","677.09","280.20000000000005","13.772","408","156","91","280.20000000000005","13.772","0",
"1110381608","563938496","135998576","690.77","280.4","13.584","350","157","93","280.4","13.584","0",
"1110381609","563937088","135999120","704.25","280.6","13.403","350","157","93","280.6","13.403","0",
"1110381610","563935680","135999696","717.52","280.79999999999995","13.057","253","157","92","280.79999999999995","13.057","0",
"1110381611","563934400","136000160","730.3","281.0","12.498","236","157","91","281.0","12.498","0",
"1110381612","563933120","136000560","742.38","281.4","12.081","249","157","89","281.4","12.081","0",
"1110381613","563931840","136000912","754.39","281.6","11.926","318","157","90","281.6","11.926","0",
"1110381614","563930624","136001280","766.41","281.79999999999995","11.74","331","158","90","281.79999999999995","11.74","0",
"1110381615","563929344","136001600","777.89","282.0","11.586","333","158","90","282.0","11.586","0",
"1110381616","563928128","136001856","789.42","282.20000000000005","11.479","396","158","90","282.20000000000005","11.479","0",
"1110381617","563926912","136001648","800.89","282.4","11.48","326","158","91","282.4","11.48","0",
"1110381618","563925760","136001216","812.37","282.4","11.476","326","158","91","282.4","11.476","0",
"1110381619","563924608","136000512","824.04","282.4","11.511","307","159","91","282.4","11.511","0",
"1110381620","563923456","135999728","835.57","282.4","11.555","293","159","91","282.4","11.555","0",
"1110381621","563922368","135998944","846.96","282.6","11.597","273","159","91","282.6","11.597","0",
