Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,
Data,0,record,timestamp,"1089577904",s,position_lat,"546542778",semicircles,position_long,"-950855654",semicircles,distance,"0.0",m,enhanced_speed,"0.588",m/s,enhanced_altitude,"311.0",m,temperature,"28",C,unknown,"0",,
Data,0,record,timestamp,"1089577905",s,position_lat,"546542968",semicircles,position_long,"-950855381",semicircles,distance,"0.07",m,enhanced_speed,"0.0",m/s,enhanced_altitude,"311.0",m,temperature,"28",C,unknown,"1",,
Data,0,record,timestamp,"1089577906",s,position_lat,"546543052",semicircles,position_long,"-950855392",semicircles,distance,"0.93",m,enhanced_speed,"0.0",m/s,enhanced_altitude,"311.0",m,temperature,"28",C,unknown,"0",,
Data,0,record,timestamp,"1089577924",s,position_lat,"546542503",semicircles,position_long,"-950854096",semicircles,distance,"0.93",m,enhanced_speed,"1.717",m/s,enhanced_altitude,"310.79999999999995",m,temperature,"29",C,unknown,"1",,
Data,0,record,timestamp,"1089577925",s,position_lat,"546542659",semicircles,position_long,"-950853925",semicircles,distance,"2.37",m,enhanced_speed,"1.959",m/s,enhanced_altitude,"311.0",m,temperature,"28",C,unknown,"1",,
Data,2,record,timestamp,"1089577926",s,position_lat,"546542891",semicircles,position_long,"-950853833",semicircles,distance,"3.84",m,enhanced_speed,"2.193",m/s,enhanced_altitude,"311.0",m,heart_rate,"69",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089577927",s,position_lat,"546543034",semicircles,position_long,"-950853783",semicircles,distance,"6.01",m,enhanced_speed,"0.849",m/s,enhanced_altitude,"311.20000000000005",m,heart_rate,"70",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089577928",s,position_lat,"546543203",semicircles,position_long,"-950853593",semicircles,distance,"8.03",m,enhanced_speed,"1.67",m/s,enhanced_altitude,"311.20000000000005",m,heart_rate,"71",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089577929",s,position_lat,"546543328",semicircles,position_long,"-950853384",semicircles,distance,"9.61",m,enhanced_speed,"1.997",m/s,enhanced_altitude,"311.4",m,heart_rate,"73",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089577930",s,position_lat,"546543457",semicircles,position_long,"-950853183",semicircles,distance,"11.39",m,enhanced_speed,"1.959",m/s,enhanced_altitude,"311.4",m,heart_rate,"75",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089577931",s,position_lat,"546543579",semicircles,position_long,"-950852955",semicircles,distance,"13.25",m,enhanced_speed,"1.931",m/s,enhanced_altitude,"311.6",m,heart_rate,"77",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089577932",s,position_lat,"546543706",semicircles,position_long,"-950852722",semicircles,distance,"15.08",m,enhanced_speed,"2.034",m/s,enhanced_altitude,"311.6",m,heart_rate,"78",bpm,temperature,"29",C,unknown,"1",,
Data,3,record,timestamp,"1089577933",s,position_lat,"546543819",semicircles,position_long,"-950852413",semicircles,distance,"17.44",m,enhanced_speed,"2.146",m/s,enhanced_altitude,"311.79999999999995",m,enhanced_respiration_rate,"16.49",Breaths/min,heart_rate,"80",bpm,temperature,"29",C,unknown,"1",,
Data,3,record,timestamp,"1089577934",s,position_lat,"546543882",semicircles,position_long,"-950852157",semicircles,distance,"19.23",m,enhanced_speed,"1.819",m/s,enhanced_altitude,"311.79999999999995",m,enhanced_respiration_rate,"16.49",Breaths/min,heart_rate,"81",bpm,temperature,"29",C,unknown,"1",,
Data,3,record,timestamp,"1089577935",s,position_lat,"546543967",semicircles,position_long,"-950851847",semicircles,distance,"21.59",m,enhanced_speed,"1.987",m/s,enhanced_altitude,"312.20000000000005",m,enhanced_respiration_rate,"16.49",Breaths/min,heart_rate,"83",bpm,temperature,"29",C,unknown,"1",,
Data,3,record,timestamp,"1089577936",s,position_lat,"546544048",semicircles,position_long,"-950851633",semicircles,distance,"22.89",m,enhanced_speed,"2.09",m/s,enhanced_altitude,"312.6",m,enhanced_respiration_rate,"16.49",Breaths/min,heart_rate,"84",bpm,temperature,"29",C,unknown,"1",,
Data,3,record,timestamp,"1089577937",s,position_lat,"546544112",semicircles,position_long,"-950851392",semicircles,distance,"23.85",m,enhanced_speed,"2.23",m/s,enhanced_altitude,"312.79999999999995",m,enhanced_respiration_rate,"16.49",Breaths/min,heart_rate,"84",bpm,temperature,"29",C,unknown,"1",,
Data,3,record,timestamp,"1089577938",s,position_lat,"546544166",semicircles,position_long,"-950851094",semicircles,distance,"25.64",m,enhanced_speed,"2.435",m/s,enhanced_altitude,"313.0",m,enhanced_respiration_rate,"19.09",Breaths/min,heart_rate,"86",bpm,temperature,"29",C,unknown,"1",,
Data,3,record,timestamp,"1089577939",s,position_lat,"546544114",semicircles,position_long,"-950850789",semicircles,distance,"27.7",m,enhanced_speed,"2.594",m/s,enhanced_altitude,"313.0",m,enhanced_respiration_rate,"19.09",Breaths/min,heart_rate,"87",bpm,temperature,"29",C,unknown,"1",,
