Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,0,record,timestamp,"1084815805",s,distance,"0.0",m,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"0",,
Data,2,record,timestamp,"1084815806",s,position_lat,"567667826",semicircles,position_long,"-628916355",semicircles,distance,"10.74",m,enhanced_speed,"2.631",m/s,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1084815807",s,position_lat,"567667917",semicircles,position_long,"-628915590",semicircles,distance,"14.41",m,enhanced_speed,"3.266",m/s,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1084815808",s,position_lat,"567667996",semicircles,position_long,"-628914907",semicircles,distance,"17.78",m,enhanced_speed,"3.256",m/s,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1084815809",s,position_lat,"567668078",semicircles,position_long,"-628914204",semicircles,distance,"22.79",m,enhanced_speed,"3.098",m/s,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1084815810",s,position_lat,"567668232",semicircles,position_long,"-628913671",semicircles,distance,"27.57",m,enhanced_speed,"2.734",m/s,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1084815811",s,position_lat,"567668482",semicircles,position_long,"-628913288",semicircles,distance,"30.82",m,enhanced_speed,"2.781",m/s,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1084815812",s,position_lat,"567668657",semicircles,position_long,"-628912702",semicircles,distance,"34.57",m,enhanced_speed,"3.247",m/s,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1084815813",s,position_lat,"567668872",semicircles,position_long,"-628912154",semicircles,distance,"38.6",m,enhanced_speed,"3.602",m/s,enhanced_altitude,"130.39999999999998",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1084815814",s,position_lat,"567669038",semicircles,position_long,"-628911566",semicircles,distance,"42.53",m,enhanced_speed,"3.704",m/s,enhanced_altitude,"130.20000000000005",m,temperature,"22",C,unknown,"1",,
