Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1098889458",s,position_lat,"-138819936",semicircles,position_long,"1991832576",semicircles,distance,"0.28",m,heart_rate,"159",bpm,altitude,"5.0",m,speed,"10.892",m/s,power,"330",watts,cadence,"97",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"10.892",m/s,
Data,3,record,timestamp,"1098889459",s,position_lat,"-138820320",semicircles,position_long,"1991832192",semicircles,distance,"4.79",m,heart_rate,"159",bpm,altitude,"5.0",m,speed,"10.921",m/s,power,"330",watts,cadence,"97",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"10.921",m/s,
Data,3,record,timestamp,"1098889460",s,position_lat,"-138821264",semicircles,position_long,"1991831552",semicircles,distance,"15.81",m,heart_rate,"160",bpm,altitude,"5.0",m,speed,"11.016",m/s,power,"375",watts,cadence,"98",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.016",m/s,
Data,3,record,timestamp,"1098889461",s,position_lat,"-138822032",semicircles,position_long,"1991830656",semicircles,distance,"26.96",m,heart_rate,"161",bpm,altitude,"5.0",m,speed,"11.127",m/s,power,"375",watts,cadence,"98",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.127",m/s,
Data,3,record,timestamp,"1098889462",s,position_lat,"-138822752",semicircles,position_long,"1991829632",semicircles,distance,"38.08",m,heart_rate,"162",bpm,altitude,"5.0",m,speed,"11.119",m/s,power,"275",watts,cadence,"98",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.119",m/s,
Data,3,record,timestamp,"1098889463",s,position_lat,"-138823456",semicircles,position_long,"1991828608",semicircles,distance,"49.28",m,heart_rate,"162",bpm,altitude,"5.0",m,speed,"11.181",m/s,power,"290",watts,cadence,"97",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.181",m/s,
Data,3,record,timestamp,"1098889464",s,position_lat,"-138824160",semicircles,position_long,"1991827712",semicircles,distance,"60.49",m,heart_rate,"163",bpm,altitude,"5.0",m,speed,"11.185",m/s,power,"299",watts,cadence,"97",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.185",m/s,
Data,3,record,timestamp,"1098889465",s,position_lat,"-138824848",semicircles,position_long,"1991826816",semicircles,distance,"71.57",m,heart_rate,"163",bpm,altitude,"5.0",m,speed,"11.197",m/s,power,"295",watts,cadence,"96",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.197",m/s,
Data,3,record,timestamp,"1098889466",s,position_lat,"-138825552",semicircles,position_long,"1991825664",semicircles,distance,"82.68",m,heart_rate,"163",bpm,altitude,"5.0",m,speed,"11.203",m/s,power,"295",watts,cadence,"96",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.203",m/s,
Data,3,record,timestamp,"1098889467",s,position_lat,"-138826240",semicircles,position_long,"1991824768",semicircles,distance,"94.01",m,heart_rate,"164",bpm,altitude,"5.0",m,speed,"11.252",m/s,power,"314",watts,cadence,"95",rpm,enhanced_altitude,"5.0",m,enhanced_speed,"11.252",m/s,
