record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110402772","-138825344","1991793280","429.48","1.3999999999999773","9.782","135","99","82","1.3999999999999773","9.782","0",
"1110402773","-138824672","1991794048","439.18","1.3999999999999773","9.717","163","100","82","1.3999999999999773","9.717","0",
"1110402774","-138824032","1991794944","448.91","1.6000000000000227","9.661","140","100","81","1.6000000000000227","9.661","0",
"1110402775","-138823392","1991795840","458.54","1.6000000000000227","9.615","160","101","82","1.6000000000000227","9.615","0",
"1110402776","-138822832","1991796608","468.08","1.6000000000000227","9.589","164","101","82","1.6000000000000227","9.589","0",
"1110402777","-138822288","1991797504","477.81","1.6000000000000227","9.567","153","102","82","1.6000000000000227","9.567","0",
"1110402778","-138821776","1991798400","487.48","1.6000000000000227","9.739","162","102","83","1.6000000000000227","9.739","0",
"1110402779","-138821264","1991799296","497.11","1.6000000000000227","9.916","151","102","82","1.6000000000000227","9.916","0",
"1110402780","-138820768","1991800320","507.12","1.6000000000000227","10.026","173","102","84","1.6000000000000227","10.026","0",
"1110402781","-138820288","1991801344","517.35","1.6000000000000227","10.086","165","102","84","1.6000000000000227","10.086","0",
"1110402782","-138819856","1991802368","527.27","1.6000000000000227","10.103","160","102","84","1.6000000000000227","10.103","0",
"1110402783","-138819424","1991803264","537.4","1.6000000000000227","10.123","179","103","84","1.6000000000000227","10.123","0",
"1110402784","-138819024","1991804416","547.5","1.6000000000000227","10.143","154","103","85","1.6000000000000227","10.143","0",
"1110402785","-138818640","1991805440","557.71","1.6000000000000227","10.181","170","103","84","1.6000000000000227","10.181","0",
"1110402786","-138818272","1991806336","567.94","1.6000000000000227","10.249","160","103","85","1.6000000000000227","10.249","0",
"1110402787","-138817920","1991807488","578.34","1.6000000000000227","10.352","149","104","85","1.6000000000000227","10.352","0",
"1110402788","-138817600","1991808512","588.61","1.6000000000000227","10.414","163","105","85","1.6000000000000227","10.414","0",
"1110402789","-138817328","1991809664","598.98","1.6000000000000227","10.393","150","105","85","1.6000000000000227","10.393","0",
"1110402790","-138817104","1991810816","609.41","1.6000000000000227","10.386","163","106","84","1.6000000000000227","10.386","0",
"1110402791","-138816944","1991811968","619.76","1.6000000000000227","10.403","173","106","85","1.6000000000000227","10.403","0",
"1110402792","-138816816","1991813120","630.26","1.6000000000000227","10.478","169","107","85","1.6000000000000227","10.478","0",
"1110402793","-138816736","1991814272","640.82","1.6000000000000227","10.624","167","107","85","1.6000000000000227","10.624","0",
"1110402794","-138816720","1991815552","651.61","1.6000000000000227","10.649","175","107","85","1.6000000000000227","10.649","0",
"1110402795","-138816784","1991816576","662.16","1.6000000000000227","10.572","169","107","84","1.6000000000000227","10.572","0",
"1110402796","-138816944","1991817728","672.56","1.6000000000000227","10.488","158","107","85","1.6000000000000227","10.488","0",
"1110402797","-138817216","1991818752","683.06","1.6000000000000227","10.413","172","107","85","1.6000000000000227","10.413","0",
"1110402798","-138817664","1991819904","693.38","1.6000000000000227","10.341","159","106","85","1.6000000000000227","10.341","0",
"1110402799","-138818208","1991820800","703.71","1.6000000000000227","10.266","157","106","85","1.6000000000000227","10.266","0",
"1110402800","-138818848","1991821696","714.02","1.6000000000000227","10.197","156","106","84","1.6000000000000227","10.197","0",
"1110402801","-138819536","1991822592","724.18","1.6000000000000227","10.14","163","106","85","1.6000000000000227","10.14","0",
"1110402802","-138820272","1991823360","734.28","1.6000000000000227","10.094","169","106","85","1.6000000000000227","10.094","0",
"1110402803","-138821040","1991824256","744.38","1.6000000000000227","10.05","159","107","85","1.6000000000000227","10.05","0",
"1110402804","-138821840","1991824896","754.4","1.6000000000000227","10.007","164","107","85","1.6000000000000227","10.007","0",
"1110402805","-138822656","1991825664","764.39","1.6000000000000227","9.968","164","107","84","1.6000000000000227","9.968","0",
"1110402806","-138823472","1991826176","774.3","1.6000000000000227","9.932","164","107","85","1.6000000000000227","9.932","0",
"1110402807","-138824320","1991826944","784.19","1.6000000000000227","9.897","163","107","86","1.6000000000000227","9.897","0",
"1110402808","-138825168","1991827712","794.07","1.6000000000000227","9.87","170","108","86","1.6000000000000227","9.87","0",
"1110402809","-138826032","1991828224","803.98","1.6000000000000227","9.86","189","108","87","1.6000000000000227","9.86","0",
"1110402810","-138826880","1991828992","813.75","1.6000000000000227","9.846","173","108","86","1.6000000000000227","9.846","0",
"1110402811","-138827760","1991829504","823.73","1.6000000000000227","9.832","180","108","87","1.6000000000000227","9.832","0",
"1110402812","-138828608","1991830272","833.47","1.6000000000000227","9.815","167","108","87","1.6000000000000227","9.815","0",
"1110402813","-138829472","1991830784","843.31","1.6000000000000227","9.791","159","107","87","1.6000000000000227","9.791","0",
"1110402814","-138830320","1991831296","852.98","1.6000000000000227","9.773","157","108","87","1.6000000000000227","9.773","0",
"1110402815","-138831184","1991832064","862.91","1.6000000000000227","9.752","143","108","86","1.6000000000000227","9.752","0",
"1110402816","-138832016","1991832576","872.61","1.6000000000000227","9.759","159","108","87","1.6000000000000227","9.759","0",
"1110402817","-138832864","1991833344","882.44","1.6000000000000227","9.813","156","108","86","1.6000000000000227","9.813","0",
"1110402818","-138833712","1991833856","892.16","1.6000000000000227","9.939","164","109","86","1.6000000000000227","9.939","0",
"1110402819","-138834624","1991834624","902.35","1.6000000000000227","10.086","181","109","86","1.6000000000000227","10.086","0",
"1110402820","-138835488","1991835136","912.33","1.6000000000000227","10.065","180","109","86","1.6000000000000227","10.065","0",
"1110402821","-138836336","1991835904","922.5","1.6000000000000227","10.022","170","110","86","1.6000000000000227","10.022","0",
"1110402822","-138837152","1991836544","932.42","1.6000000000000227","9.965","160","110","86","1.6000000000000227","9.965","0",
"1110402823","-138837936","1991837312","942.32","1.6000000000000227","9.912","173","110","87","1.6000000000000227","9.912","0",
"1110402824","-138838640","1991838208","952.22","1.6000000000000227","9.865","176","110","87","1.6000000000000227","9.865","0",
"1110402825","-138839248","1991838976","962.03","1.6000000000000227","9.806","161","110","86","1.6000000000000227","9.806","0",
"1110402826","-138839680","1991840128","971.74","1.6000000000000227","9.766","202","110","87","1.6000000000000227","9.766","0",
"1110402827","-138839856","1991841024","981.54","1.8000000000000114","9.712","181","110","87","1.8000000000000114","9.712","0",
"1110402828","-138839744","1991842048","991.17","1.8000000000000114","9.641","178","110","86","1.8000000000000114","9.641","0",
"1110402829","-138839392","1991843200","1000.85","1.8000000000000114","9.571","178","110","86","1.8000000000000114","9.571","0",
"1110402830","-138838832","1991844096","1010.51","2.0","9.518","188","110","85","2.0","9.518","0",
"1110402831","-138838176","1991844736","1019.87","2.0","9.48","182","110","86","2.0","9.48","0",
"1110402832","-138837456","1991845504","1029.37","2.1999999999999886","9.447","175","110","85","2.1999999999999886","9.447","0",
"1110402833","-138836688","1991846272","1038.78","2.1999999999999886","9.419","156","110","85","2.1999999999999886","9.419","0",
"1110402834","-138835888","1991846784","1048.22","2.3999999999999773","9.393","132","110","84","2.3999999999999773","9.393","0",
"1110402835","-138835088","1991847552","1057.69","2.3999999999999773","9.406","153","110","88","2.3999999999999773","9.406","0",
"1110402836","-138834272","1991848064","1066.97","2.6000000000000227","9.381","158","110","87","2.6000000000000227","9.381","0",
"1110402837","-138833424","1991848576","1076.36","2.6000000000000227","9.331","160","110","87","2.6000000000000227","9.331","0",
"1110402838","-138832576","1991849216","1085.67","2.8000000000000114","9.268","144","110","86","2.8000000000000114","9.268","0",
"1110402839","-138831744","1991849728","1094.79","2.8000000000000114","9.206","164","110","85","2.8000000000000114","9.206","0",
"1110402840","-138830960","1991850240","1104.04","3.0","9.136","176","110","85","3.0","9.136","0",
"1110402841","-138830256","1991851008","1113.11","3.1999999999999886","9.074","180","110","84","3.1999999999999886","9.074","0",
"1110402842","-138829760","1991851904","1122.11","3.3999999999999773","8.99","174","110","85","3.3999999999999773","8.99","0",
"1110402843","-138829504","1991852800","1131.12","3.6000000000000227","8.863","181","110","85","3.6000000000000227","8.863","0",
"1110402844","-138829488","1991853696","1139.97","3.8000000000000114","8.682","191","110","85","3.8000000000000114","8.682","0",
"1110402845","-138829936","1991854464","1148.46","4.0","8.454","191","110","84","4.0","8.454","0",
"1110402846","-138830672","1991854976","1156.79","4.199999999999989","8.331","199","110","83","4.199999999999989","8.331","0",
"1110402847","-138831504","1991855360","1165.11","4.399999999999977","8.281","193","110","82","4.399999999999977","8.281","0",
"1110402848","-138832368","1991855488","1173.4","4.399999999999977","8.266","184","109","82","4.399999999999977","8.266","0",
"1110402849","-138833232","1991855872","1181.6","4.600000000000023","8.271","187","109","82","4.600000000000023","8.271","0",
"1110402850","-138834128","1991856128","1190.09","4.600000000000023","8.287","169","109","83","4.600000000000023","8.287","0",
"1110402851","-138834992","1991856128","1198.23","4.600000000000023","8.292","157","109","83","4.600000000000023","8.292","0",
"1110402852","-138835888","1991856256","1206.63","4.600000000000023","8.324","184","109","83","4.600000000000023","8.324","0",
"1110402853","-138836736","1991856512","1214.85","4.800000000000011","8.346","165","108","84","4.800000000000011","8.346","0",
"1110402854","-138837248","1991857152","1223.22","4.800000000000011","8.382","165","108","85","4.800000000000011","8.382","0",
"1110402855","-138837392","1991858048","1231.66","4.800000000000011","8.439","150","108","85","4.800000000000011","8.439","0",
"1110402856","-138837312","1991858944","1240.13","4.600000000000023","8.513","176","108","85","4.600000000000023","8.513","0",
"1110402857","-138837168","1991859968","1248.58","4.600000000000023","8.599","180","108","85","4.600000000000023","8.599","0",
"1110402858","-138836976","1991860992","1257.36","4.600000000000023","8.675","169","108","87","4.600000000000023","8.675","0",
"1110402859","-138836800","1991861888","1265.99","4.600000000000023","8.737","163","108","88","4.600000000000023","8.737","0",
"1110402860","-138836608","1991862784","1274.74","4.600000000000023","8.786","154","108","88","4.600000000000023","8.786","0",
"1110402861","-138836400","1991863680","1283.65","4.600000000000023","8.838","165","108","88","4.600000000000023","8.838","0",
"1110402862","-138836224","1991864704","1292.45","4.600000000000023","8.878","148","108","87","4.600000000000023","8.878","0",
"1110402863","-138836048","1991865600","1301.35","4.399999999999977","8.933","183","108","88","4.399999999999977","8.933","0",
