Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Data,3,record,timestamp,"1110382454",s,position_lat,"644129344",semicircles,position_long,"-18397810",semicircles,distance,"0.28",m,altitude,"124.60000000000002",m,speed,"10.837",m/s,power,"252",watts,heart_rate,"147",bpm,cadence,"91",rpm,enhanced_altitude,"124.60000000000002",m,enhanced_speed,"10.837",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382460",s,position_lat,"644134720",semicircles,position_long,"-18392284",semicircles,distance,"4.44",m,altitude,"123.79999999999995",m,speed,"12.104",m/s,power,"276",watts,heart_rate,"151",bpm,cadence,"91",rpm,enhanced_altitude,"123.79999999999995",m,enhanced_speed,"12.104",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382461",s,position_lat,"644134720",semicircles,position_long,"-18392310",semicircles,distance,"5.01",m,altitude,"123.79999999999995",m,speed,"12.12",m/s,power,"343",watts,heart_rate,"151",bpm,cadence,"92",rpm,enhanced_altitude,"123.79999999999995",m,enhanced_speed,"12.12",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382462",s,position_lat,"644136000",semicircles,position_long,"-18392858",semicircles,distance,"17.32",m,altitude,"123.39999999999998",m,speed,"12.452",m/s,power,"343",watts,heart_rate,"151",bpm,cadence,"92",rpm,enhanced_altitude,"123.39999999999998",m,enhanced_speed,"12.452",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382463",s,position_lat,"644137408",semicircles,position_long,"-18393430",semicircles,distance,"30.07",m,altitude,"123.20000000000005",m,speed,"12.788",m/s,power,"369",watts,heart_rate,"152",bpm,cadence,"91",rpm,enhanced_altitude,"123.20000000000005",m,enhanced_speed,"12.788",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382464",s,position_lat,"644138688",semicircles,position_long,"-18394002",semicircles,distance,"42.82",m,altitude,"123.0",m,speed,"13.069",m/s,power,"326",watts,heart_rate,"153",bpm,cadence,"85",rpm,enhanced_altitude,"123.0",m,enhanced_speed,"13.069",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382465",s,position_lat,"644140096",semicircles,position_long,"-18394588",semicircles,distance,"56.01",m,altitude,"122.60000000000002",m,speed,"13.298",m/s,power,"293",watts,heart_rate,"153",bpm,cadence,"85",rpm,enhanced_altitude,"122.60000000000002",m,enhanced_speed,"13.298",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382466",s,position_lat,"644141504",semicircles,position_long,"-18395156",semicircles,distance,"69.44",m,altitude,"122.39999999999998",m,speed,"13.553",m/s,power,"351",watts,heart_rate,"154",bpm,cadence,"86",rpm,enhanced_altitude,"122.39999999999998",m,enhanced_speed,"13.553",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382467",s,position_lat,"644142912",semicircles,position_long,"-18395726",semicircles,distance,"82.98",m,altitude,"122.0",m,speed,"13.567",m/s,power,"277",watts,heart_rate,"154",bpm,cadence,"86",rpm,enhanced_altitude,"122.0",m,enhanced_speed,"13.567",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110382468",s,position_lat,"644144320",semicircles,position_long,"-18396298",semicircles,distance,"96.61",m,altitude,"121.79999999999995",m,speed,"13.698",m/s,power,"299",watts,heart_rate,"154",bpm,cadence,"86",rpm,enhanced_altitude,"121.79999999999995",m,enhanced_speed,"13.698",m/s,target_power,"0",watts,
