record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1089740202","546540333","-950858716","0.25","0.0","312.4","74","29","0",,
"1089740203","546540333","-950858716","0.25","0.261","312.4","74","29","0",,
"1089740224","546540344","-950858920","0.25","1.465","312.20000000000005","73","29","1","12.86",
"1089740225","546540477","-950858868","1.51","1.754","312.20000000000005","74","29","1","12.86",
"1089740226","546540570","-950858812","2.46","1.596","312.20000000000005","74","29","1","13.69",
"1089740227","546540665","-950858750","3.23","1.465","312.20000000000005","75","29","1","13.69",
"1089740228","546540770","-950858630","3.92","1.465","312.0","76","29","1","13.69",
"1089740229","546540917","-950858465","5.88","1.428","312.20000000000005","77","29","1","13.69",
"1089740230","546541037","-950858295","7.18","1.577","312.4","77","29","1","13.69",
"1089740231","546541202","-950858116","9.23","1.661","312.4","79","29","1","13.69",
"1089740232","546541322","-950857969","10.4","1.381","312.6","80","29","1","13.85",
"1089740233","546541464","-950857714","12.63","1.39","312.79999999999995","81","29","1","13.85",
"1089740234","546541585","-950857509","14.61","1.428","313.20000000000005","82","29","1","13.85",
"1089740235","546541673","-950857352","15.59","1.297","313.6","84","29","1","13.85",
"1089740236","546541850","-950857146","17.54","1.614","313.79999999999995","86","29","1","13.85",
"1089740237","546542034","-950856947","19.98","1.512","314.20000000000005","88","29","1","14.75",
"1089740238","546542162","-950856765","21.71","1.362","314.4","88","29","1","14.75",
"1089740239","546542306","-950856534","23.9","1.642","314.6","91","29","1","14.75",
"1089740240","546542429","-950856283","25.84","1.997","315.0","92","29","1","14.75",
"1089740241","546542557","-950855959","28.32","2.323","315.4","94","29","1","14.75",
"1089740242","546542734","-950855676","30.78","2.473","315.6","97","29","1","14.75",
"1089740243","546542909","-950855394","33.37","2.407","315.79999999999995","99","29","1","15.34",
"1089740244","546543050","-950855099","35.94","2.379","315.79999999999995","102","29","1","15.34",
"1089740245","546543211","-950854845","38.13","2.389","316.0","105","29","1","15.34",
"1089740246","546543364","-950854633","40.01","2.155","316.0","107","29","1","15.34",
"1089740247","546543515","-950854417","41.87","1.95","316.0","108","29","1","15.34",
"1089740248","546543694","-950854215","44.04","1.95","316.20000000000005","110","29","1","15.74",
"1089740249","546543818","-950853977","46.26","1.801","316.20000000000005","112","29","1","15.74",
"1089740250","546543897","-950853743","48.0","1.894","316.20000000000005","114","29","1","15.74",
"1089740251","546544009","-950853517","49.8","1.931","316.6","115","29","1","15.74",
"1089740252","546544129","-950853301","51.5","1.95","316.6","116","29","1","15.74",
"1089740253","546544230","-950853073","53.33","1.847","316.79999999999995","117","30","1","16.0",
"1089740254","546544261","-950852763","54.85","2.202","316.79999999999995","118","30","1","16.0",
"1089740255","546544297","-950852494","56.31","1.81","316.79999999999995","119","29","1","16.0",
"1089740256","546544313","-950852149","58.31","1.81","317.0","120","29","1","16.0",
"1089740257","546544320","-950851814","60.67","1.484","317.0","120","29","1","16.0",
"1089740258","546544315","-950851524","62.35","1.502","317.20000000000005","121","30","1","16.57",
"1089740259","546544261","-950851245","63.89","1.586","317.4","121","30","1","16.57",
"1089740260","546544212","-950850938","65.9","1.493","317.4","121","30","1","16.57",
"1089740261","546544133","-950850681","67.46","1.54","317.6","121","30","1","16.57",
"1089740262","546544102","-950850364","69.27","1.502","317.6","122","30","1","17.35",
"1089740263","546544071","-950850019","71.35","1.549","317.79999999999995","123","30","1","17.35",
"1089740264","546543990","-950849655","74.01","1.689","318.0","123","30","1","17.35",
"1089740265","546543906","-950849371","75.87","1.773","318.20000000000005","124","30","1","17.35",
"1089740266","546543830","-950849059","77.79","1.726","318.4","124","30","1","17.35",
"1089740267","546543732","-950848698","80.68","1.652","318.6","125","30","1","17.47",
"1089740268","546543674","-950848409","82.57","1.54","318.79999999999995","126","30","1","17.47",
"1089740269","546543597","-950848083","84.93","1.652","318.79999999999995","126","30","1","17.47",
"1089740270","546543523","-950847788","86.8","1.847","319.0","126","30","1","17.47",
"1089740271","546543436","-950847463","89.34","1.866","319.0","127","30","1","17.47",
"1089740272","546543327","-950847187","91.39","2.062","319.20000000000005","127","30","1","17.47",
"1089740273","546543174","-950846819","93.8","2.585","319.4","128","30","1","17.95",
"1089740274","546542994","-950846394","96.93","2.799","319.4","128","30","1","17.95",
"1089740275","546542829","-950845924","100.32","2.818","319.6","128","30","1","17.95",
"1089740276","546542681","-950845436","103.75","2.771","319.6","128","30","1","17.95",
"1089740277","546542537","-950844939","106.92","2.79","319.6","128","30","1","17.95",
"1089740278","546542345","-950844380","110.74","2.865","319.6","129","30","1","18.66",
"1089740279","546542194","-950843802","114.84","2.809","319.6","129","30","1","18.66",
"1089740280","546541994","-950843328","118.22","2.529","319.6","129","30","1","18.66",
"1089740281","546541778","-950842830","122.34","2.398","319.6","129","30","1","18.66",
"1089740282","546541557","-950842472","125.14","2.155","319.6","129","30","1","18.66",
"1089740283","546541265","-950842092","128.46","2.155","319.79999999999995","129","30","1","18.66",
"1089740284","546540959","-950841665","132.59","2.379","320.0","129","30","1","19.52",
"1089740285","546540744","-950841200","136.19","2.547","320.20000000000005","129","30","1","19.52",
"1089740286","546540549","-950840755","139.65","2.426","320.4","129","30","1","19.52",
"1089740287","546540347","-950840255","143.41","2.706","320.6","128","30","1","19.52",
"1089740288","546540132","-950839819","147.05","2.519","320.79999999999995","128","30","1","20.1",
"1089740289","546539916","-950839436","150.1","2.435","320.79999999999995","128","30","1","20.1",
"1089740290","546539704","-950838976","153.85","2.454","321.0","128","30","1","20.1",
"1089740291","546539513","-950838503","157.9","2.585","321.0","128","30","1","20.1",
"1089740292","546539344","-950838128","160.64","2.669","321.20000000000005","128","30","1","20.1",
"1089740293","546539151","-950837691","163.81","2.874","321.4","128","30","1","20.1",
"1089740294","546538962","-950837202","167.19","3.07","321.6","127","30","1","21.27",
"1089740295","546538726","-950836679","171.29","3.191","321.79999999999995","127","30","1","21.27",
"1089740296","546538527","-950836149","174.9","3.284","321.79999999999995","127","30","1","21.27",
"1089740297","546538362","-950835586","179.08","3.191","322.0","126","30","1","21.27",
"1089740298","546538146","-950835170","181.74","3.023","322.0","126","30","1","21.27",
"1089740299","546538002","-950834665","184.75","3.116","322.0","126","30","1","21.27",
"1089740300","546537912","-950834124","187.94","3.107","322.0","125","30","1","21.27",
"1089740301","546537879","-950833584","191.24","3.042","322.0","125","30","1","21.27",
"1089740302","546537912","-950832893","194.41","3.49","322.0","125","30","1","21.27",
"1089740303","546538018","-950832068","199.75","3.844","322.0","124","30","1","20.87",
"1089740304","546538152","-950831222","205.71","4.012","322.0","124","30","1","20.87",
"1089740305","546538302","-950830521","210.46","3.742","322.0","124","30","1","20.87",
"1089740306","546538453","-950829675","215.55","4.106","322.0","124","30","1","20.87",
"1089740307","546538662","-950828881","220.93","4.115","322.20000000000005","123","30","1","21.0",
"1089740308","546538945","-950828007","226.91","4.581","322.20000000000005","123","30","1","21.0",
"1089740309","546539239","-950827203","232.93","4.106","322.20000000000005","123","30","1","21.0",
"1089740310","546539579","-950826520","238.41","3.928","322.4","123","30","1","21.0",
"1089740311","546539944","-950825836","244.25","3.816","322.4","123","30","1","21.0",
"1089740312","546540295","-950825205","249.39","3.742","322.4","123","30","1","21.0",
"1089740313","546540666","-950824642","254.6","3.816","322.6","123","30","1","21.09",
"1089740314","546540987","-950824022","260.09","3.406","322.79999999999995","123","30","1","21.09",
"1089740315","546541266","-950823499","264.79","2.995","323.0","123","30","1","21.09",
"1089740316","546541514","-950823057","268.61","2.631","323.20000000000005","123","30","1","21.09",
"1089740317","546541719","-950822633","272.42","2.491","323.6","124","30","1","21.09",
"1089740318","546541910","-950822295","274.99","2.585","324.20000000000005","124","30","1","21.54",
"1089740319","546542144","-950821868","278.32","2.837","324.4","124","30","1","21.54",
"1089740320","546542383","-950821255","282.59","3.48","324.79999999999995","124","30","1","21.54",
"1089740321","546542718","-950820606","287.74","3.844","325.20000000000005","125","30","1","21.54",
"1089740322","546543075","-950819965","293.37","4.022","325.20000000000005","125","30","1","21.54",
"1089740323","546543378","-950819379","298.55","3.928","325.6","125","30","1","23.81",
"1089740324","546543708","-950818769","303.23","4.227","325.79999999999995","125","30","1","23.81",
"1089740325","546544080","-950818121","308.76","4.46","325.79999999999995","126","30","1","23.81",
"1089740326","546544453","-950817493","313.79","4.507","325.79999999999995","126","30","1","23.81",
"1089740327","546544854","-950816789","319.9","4.553","326.0","126","30","1","23.81",
"1089740328","546545260","-950816073","325.96","4.815","326.0","126","30","1","22.96",
"1089740329","546545694","-950815279","332.87","5.421","326.0","127","30","1","22.96",
"1089740330","546546111","-950814438","339.36","6.252","325.79999999999995","127","30","1","22.96",
"1089740331","546546469","-950813476","346.26","6.709","325.79999999999995","127","30","1","22.96",
"1089740332","546546717","-950812362","353.56","7.091","325.79999999999995","127","30","1","22.96",
"1089740333","546546883","-950811080","361.72","7.306","325.6","126","30","1","25.15",
"1089740334","546546977","-950809815","370.14","7.129","325.0","126","30","1","25.15",
"1089740335","546547091","-950808591","378.2","7.007","324.79999999999995","125","30","1","25.15",
"1089740336","546547247","-950807259","387.37","7.259","324.20000000000005","125","30","1","25.15",
"1089740337","546547568","-950806014","396.01","7.605","323.79999999999995","124","30","1","25.15",
"1089740338","546548096","-950804687","405.48","8.864","322.79999999999995","123","30","1","26.21",
"1089740339","546548842","-950803406","416.02","9.713","322.20000000000005","122","30","1","26.21",
"1089740340","546549635","-950802189","426.35","9.779","321.4","121","30","1","26.21",
"1089740341","546550503","-950800816","438.77","10.245","321.0","120","30","1","26.21",
"1089740342","546551325","-950799551","450.05","10.45","320.4","119","30","1","26.21",
"1089740343","546552156","-950798263","461.7","10.413","319.6","119","30","1","25.35",
"1089740344","546552923","-950797059","472.56","9.872","319.0","118","30","1","25.35",
"1089740345","546553679","-950795869","482.93","9.639","318.6","118","30","1","25.35",
"1089740346","546554421","-950794681","493.66","9.088","318.4","118","30","1","25.35",
"1089740347","546555124","-950793606","503.44","8.883","318.0","117","30","1","25.35",
"1089740348","546555779","-950792521","512.87","8.799","317.6","117","30","1","25.35",
"1089740349","546556455","-950791554","521.58","8.407","317.4","117","30","1","25.35",
"1089740350","546557174","-950790613","530.59","8.323","317.20000000000005","117","30","1","25.35",
"1089740351","546557875","-950789751","538.95","8.034","317.0","117","30","1","23.98",
"1089740352","546558571","-950788887","547.22","7.66","316.79999999999995","116","30","1","25.44",
"1089740353","546559297","-950788198","554.82","7.138","316.79999999999995","115","30","1","25.44",
"1089740354","546559944","-950787536","562.17","6.438","316.6","115","30","1","25.44",
"1089740355","546560603","-950786932","569.88","5.906","316.6","114","30","1","25.44",
"1089740356","546561209","-950786415","576.67","5.664","316.4","114","30","1","25.44",
"1089740357","546561803","-950785907","583.23","5.496","316.4","113","30","1","25.44",
"1089740358","546562407","-950785361","589.58","5.664","316.4","113","30","1","25.44",
"1089740359","546563025","-950784753","596.53","6.028","316.6","113","30","1","24.04",
"1089740360","546563652","-950784163","603.67","6.009","316.79999999999995","112","30","1","24.04",
"1089740361","546564304","-950783502","611.26","6.336","316.79999999999995","113","30","1","24.04",
"1089740362","546564921","-950782797","618.66","6.541","316.79999999999995","113","30","1","24.04",
"1089740363","546565576","-950782115","625.59","6.849","316.79999999999995","114","30","1","24.3",
"1089740364","546566289","-950781342","633.73","7.306","316.79999999999995","114","30","1","24.3",
"1089740365","546567022","-950780565","642.3","7.231","316.6","115","30","1","24.3",
"1089740366","546567736","-950779827","649.81","6.998","316.6","115","30","1","24.3",
"1089740367","546568497","-950779131","658.3","6.615","316.4","115","30","1","24.3",
"1089740368","546569251","-950778453","667.08","6.056","316.4","115","30","1","24.86",
"1089740369","546569933","-950777712","675.06","6.028","316.20000000000005","115","30","1","24.86",
"1089740370","546570435","-950776884","682.22","5.925","316.20000000000005","115","30","1","24.86",
"1089740371","546570825","-950775839","689.59","5.972","316.20000000000005","114","30","1","24.86",
"1089740372","546571117","-950774582","696.87","6.606","316.20000000000005","113","30","1","24.86",
"1089740373","546571301","-950773303","704.9","6.541","316.20000000000005","112","30","1","24.45",
"1089740374","546571446","-950772098","712.99","6.028","316.0","112","30","1","24.45",
"1089740375","546571578","-950770881","721.29","5.804","315.79999999999995","111","30","1","24.45",
"1089740376","546571780","-950769647","729.15","6.065","315.79999999999995","111","30","1","24.45",
"1089740377","546572067","-950768473","736.91","6.149","315.6","110","30","1","24.45",
"1089740378","546572443","-950767358","744.55","6.074","315.6","110","30","1","24.56",
"1089740379","546572805","-950766256","753.06","5.318","315.6","109","30","1","24.56",
"1089740380","546573078","-950765426","758.79","5.253","315.6","109","30","1","24.56",
"1089740381","546573379","-950764410","766.42","5.02","315.6","108","30","1","24.56",
"1089740382","546573623","-950763577","772.22","4.964","315.79999999999995","108","30","1","24.56",
"1089740383","546573873","-950762794","778.04","4.6","316.0","108","30","1","25.82",
"1089740384","546574190","-950761882","784.88","4.712","316.20000000000005","107","30","1","25.82",
"1089740385","546574524","-950761080","790.92","4.843","316.6","107","30","1","25.82",
"1089740386","546574831","-950760329","796.54","4.721","316.79999999999995","107","30","1","25.82",
"1089740387","546575142","-950759539","802.84","4.525","316.79999999999995","106","30","1","25.82",
"1089740388","546575438","-950758779","808.86","4.46","317.0","106","30","1","25.88",
"1089740389","546575738","-950758047","814.5","4.357","317.0","107","30","1","25.88",
"1089740390","546576075","-950757281","820.28","4.563","317.20000000000005","107","30","1","25.88",
"1089740391","546576408","-950756391","827.12","4.983","317.4","107","30","1","25.88",
"1089740392","546576754","-950755439","834.09","5.524","317.6","107","30","1","25.88",
"1089740393","546577152","-950754551","841.15","5.71","317.6","108","30","1","25.52",
"1089740394","546577551","-950753532","848.72","6.121","317.6","108","30","1","25.52",
"1089740395","546577972","-950752528","856.53","6.531","317.6","108","30","1","25.52",
"1089740396","546578348","-950751432","864.76","6.877","317.6","108","30","1","25.52",
"1089740397","546578723","-950750283","872.65","7.343","317.20000000000005","108","30","1","25.52",
