record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1083505330","567659325","-628908433","0.0","0.0","39.799999999999955","52","23","52",,,
"1083505331","567658844","-628907886","5.64","0.224","39.799999999999955","51","22","51",,,
"1083505360","567662470","-628912522","5.64","1.586","39.39999999999998","59","22","59","11.34",,
"1083505361","567662598","-628912409","8.02","2.183","39.39999999999998","60","22","60","11.34",,
"1083505362","567662851","-628912104","11.9","2.165","39.39999999999998","60","22","60","11.34",,
"1083505363","567662952","-628911805","14.42","2.967","39.39999999999998","61","22","61","11.34",,
"1083505364","567662991","-628911261","17.86","2.827","39.39999999999998","62","22","62","11.34",,
"1083505365","567663056","-628910765","21.3","3.396","39.39999999999998","63","22","63","11.5",,
"1083505366","567663176","-628910256","25.41","3.826","39.39999999999998","64","22","64","11.5",,
"1083505367","567663390","-628910049","28.15","3.9","39.60000000000002","65","22","65","11.5",,
"1083505368","567663593","-628909833","30.49","3.956","39.60000000000002","68","22","68","11.5",,
"1083505369","567663930","-628909436","34.36","3.975","39.60000000000002","69","22","69","12.39",,
"1083505370","567664254","-628909393","36.92","4.068","39.799999999999955","70","22","70","12.39",,
"1083505371","567664755","-628909392","40.89","3.826","39.799999999999955","71","22","71","12.39",,
"1083505372","567665093","-628910120","40.89","3.947","39.799999999999955","71","22","71","12.39",,
"1083505373","567665335","-628909386","45.31","4.208","39.799999999999955","71","22","71","12.39",,
"1083505374","567665192","-628908824","47.92","4.143","39.799999999999955","71","22","71","12.98",,
"1083505375","567664934","-628908751","49.25","3.004","39.799999999999955","71","22","71","12.98",,
"1083505376","567664893","-628909346","49.25","2.445","39.799999999999955","71","22","71","12.98",,
"1083505377","567664932","-628909814","49.25","1.577","39.799999999999955","70","22","70","12.98",,
"1083505378","567664782","-628910088","49.83","0.756","39.799999999999955","70","22","70","12.98",,
"1083505379","567664805","-628910167","49.83","0.373","39.60000000000002","69","22","69","12.59",,
"1083505380","567664869","-628909956","49.83","0.308","39.60000000000002","68","22","68","12.59",,
"1083505396","567664880","-628910692","49.83","2.874","39.39999999999998","64","21","64","13.22",,
"1083505397","567664745","-628910205","52.5","3.882","39.60000000000002","64","21","64","13.22",,
"1083505398","567664760","-628909515","56.56","4.619","39.60000000000002","65","21","65","13.22",,
"1083505399","567664923","-628908753","61.59","5.001","39.60000000000002","67","21","67","13.54",,
"1083505400","567665249","-628908062","67.0","5.235","39.60000000000002","68","21","68","13.54",,
"1083505401","567665599","-628907439","71.98","5.43","39.60000000000002","70","21","70","13.54",,
"1083505402","567665960","-628906736","77.46","5.589","39.60000000000002","73","21","73","13.54",,
"1083505403","567666319","-628905969","83.39","5.785","39.799999999999955","75","21","75","13.54",,
"1083505404","567666665","-628905232","88.93","5.841","40.0","77","21","77","13.75",,
"1083505405","567667036","-628904459","94.93","5.897","40.200000000000045","81","21","81","13.75",,
"1083505406","567667393","-628903679","100.84","5.953","40.200000000000045","84","21","84","13.75",,
"1083505407","567667721","-628902913","106.48","5.888","40.39999999999998","86","21","86","13.75",,
"1083505408","567668068","-628902158","112.26","5.729","40.60000000000002","87","21","87","13.75",,
"1083505409","567668418","-628901435","117.8","5.72","40.60000000000002","90","21","90","13.89",,
"1083505410","567668779","-628900665","123.64","5.832","40.799999999999955","91","21","91","13.89",,
"1083505411","567669181","-628899878","129.98","5.906","41.0","93","21","93","13.89",,
"1083505412","567669596","-628899194","135.67","5.962","41.200000000000045","95","21","95","13.89",,
"1083505413","567670025","-628898473","141.69","6.018","41.39999999999998","96","21","96","13.89",,
"1083505414","567670461","-628897745","147.84","6.0","41.39999999999998","97","21","97","14.38",,
"1083505415","567670881","-628896999","153.98","6.056","41.60000000000002","97","21","97","14.38",,
"1083505416","567671294","-628896240","160.17","6.028","41.60000000000002","98","21","98","14.38",,
"1083505417","567671706","-628895557","165.92","5.794","41.60000000000002","98","21","98","14.38",,
