Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1104876190",s,position_lat,"-138835168",semicircles,position_long,"1992050816",semicircles,distance,"0.25",m,altitude,"13.0",m,speed,"0.947",m/s,power,"149",watts,heart_rate,"55",bpm,cadence,"14",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"0.947",m/s,
Data,3,record,timestamp,"1104876191",s,position_lat,"-138835088",semicircles,position_long,"1992051072",semicircles,distance,"1.38",m,altitude,"13.0",m,speed,"1.914",m/s,power,"154",watts,heart_rate,"55",bpm,cadence,"29",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"1.914",m/s,
Data,3,record,timestamp,"1104876192",s,position_lat,"-138834928",semicircles,position_long,"1992051200",semicircles,distance,"3.73",m,altitude,"13.0",m,speed,"2.704",m/s,power,"154",watts,heart_rate,"55",bpm,cadence,"42",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"2.704",m/s,
Data,3,record,timestamp,"1104876193",s,position_lat,"-138834768",semicircles,position_long,"1992051456",semicircles,distance,"6.58",m,altitude,"13.0",m,speed,"3.027",m/s,power,"136",watts,heart_rate,"55",bpm,cadence,"1",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"3.027",m/s,
Data,3,record,timestamp,"1104876194",s,position_lat,"-138834608",semicircles,position_long,"1992051840",semicircles,distance,"9.91",m,altitude,"13.0",m,speed,"3.532",m/s,power,"160",watts,heart_rate,"55",bpm,cadence,"54",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"3.532",m/s,
Data,3,record,timestamp,"1104876195",s,position_lat,"-138834432",semicircles,position_long,"1992052096",semicircles,distance,"13.64",m,altitude,"12.799999999999955",m,speed,"3.989",m/s,power,"135",watts,heart_rate,"55",bpm,cadence,"62",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.989",m/s,
Data,3,record,timestamp,"1104876196",s,position_lat,"-138834224",semicircles,position_long,"1992052480",semicircles,distance,"17.84",m,altitude,"12.799999999999955",m,speed,"4.346",m/s,power,"136",watts,heart_rate,"56",bpm,cadence,"80",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.346",m/s,
Data,3,record,timestamp,"1104876197",s,position_lat,"-138833984",semicircles,position_long,"1992053120",semicircles,distance,"22.33",m,altitude,"12.799999999999955",m,speed,"4.654",m/s,power,"113",watts,heart_rate,"56",bpm,cadence,"82",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.654",m/s,
Data,3,record,timestamp,"1104876198",s,position_lat,"-138833712",semicircles,position_long,"1992053376",semicircles,distance,"27.13",m,altitude,"12.799999999999955",m,speed,"4.893",m/s,power,"110",watts,heart_rate,"57",bpm,cadence,"83",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.893",m/s,
Data,3,record,timestamp,"1104876199",s,position_lat,"-138833424",semicircles,position_long,"1992054016",semicircles,distance,"32.1",m,altitude,"12.799999999999955",m,speed,"5.115",m/s,power,"110",watts,heart_rate,"58",bpm,cadence,"83",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.115",m/s,
Data,3,record,timestamp,"1104876200",s,position_lat,"-138833104",semicircles,position_long,"1992054272",semicircles,distance,"37.37",m,altitude,"12.799999999999955",m,speed,"5.395",m/s,power,"167",watts,heart_rate,"60",bpm,cadence,"86",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.395",m/s,
Data,3,record,timestamp,"1104876201",s,position_lat,"-138832768",semicircles,position_long,"1992054912",semicircles,distance,"42.98",m,altitude,"12.799999999999955",m,speed,"5.737",m/s,power,"151",watts,heart_rate,"61",bpm,cadence,"89",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.737",m/s,
Data,3,record,timestamp,"1104876202",s,position_lat,"-138832368",semicircles,position_long,"1992055424",semicircles,distance,"48.82",m,altitude,"12.799999999999955",m,speed,"5.988",m/s,power,"122",watts,heart_rate,"61",bpm,cadence,"84",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.988",m/s,
Data,3,record,timestamp,"1104876203",s,position_lat,"-138831952",semicircles,position_long,"1992055936",semicircles,distance,"54.88",m,altitude,"12.799999999999955",m,speed,"6.164",m/s,power,"111",watts,heart_rate,"62",bpm,cadence,"85",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.164",m/s,
Data,3,record,timestamp,"1104876204",s,position_lat,"-138831504",semicircles,position_long,"1992056320",semicircles,distance,"61.16",m,altitude,"12.799999999999955",m,speed,"6.306",m/s,power,"108",watts,heart_rate,"64",bpm,cadence,"85",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.306",m/s,
Data,3,record,timestamp,"1104876205",s,position_lat,"-138831040",semicircles,position_long,"1992056832",semicircles,distance,"67.49",m,altitude,"12.799999999999955",m,speed,"6.408",m/s,power,"108",watts,heart_rate,"66",bpm,cadence,"86",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.408",m/s,
Data,3,record,timestamp,"1104876206",s,position_lat,"-138830528",semicircles,position_long,"1992057472",semicircles,distance,"73.95",m,altitude,"12.799999999999955",m,speed,"6.501",m/s,power,"115",watts,heart_rate,"67",bpm,cadence,"86",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.501",m/s,
Data,3,record,timestamp,"1104876207",s,position_lat,"-138829968",semicircles,position_long,"1992057728",semicircles,distance,"80.47",m,altitude,"12.799999999999955",m,speed,"6.599",m/s,power,"118",watts,heart_rate,"68",bpm,cadence,"87",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.599",m/s,
Data,3,record,timestamp,"1104876208",s,position_lat,"-138829376",semicircles,position_long,"1992058112",semicircles,distance,"87.14",m,altitude,"12.799999999999955",m,speed,"6.691",m/s,power,"102",watts,heart_rate,"69",bpm,cadence,"86",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.691",m/s,
Data,3,record,timestamp,"1104876209",s,position_lat,"-138828736",semicircles,position_long,"1992058496",semicircles,distance,"93.87",m,altitude,"12.799999999999955",m,speed,"6.761",m/s,power,"102",watts,heart_rate,"70",bpm,cadence,"86",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.761",m/s,
Data,3,record,timestamp,"1104876210",s,position_lat,"-138828048",semicircles,position_long,"1992058880",semicircles,distance,"100.66",m,altitude,"12.799999999999955",m,speed,"6.868",m/s,power,"126",watts,heart_rate,"71",bpm,cadence,"88",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.868",m/s,
Data,3,record,timestamp,"1104876211",s,position_lat,"-138827312",semicircles,position_long,"1992059008",semicircles,distance,"107.63",m,altitude,"12.799999999999955",m,speed,"6.944",m/s,power,"108",watts,heart_rate,"71",bpm,cadence,"88",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"6.944",m/s,
