record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],record.enhanced_respiration_rate[Breaths/min],
"1087984318","0.0","6.800000000000011","88","29","88",,,,,,
"1087984319","0.0","6.800000000000011","87","29","87",,,,,,
"1087984320","0.0","6.800000000000011","88","29","88",,,,,,
"1087984321","0.0","6.800000000000011","88","29","88",,,,,,
"1087984322","0.0","6.800000000000011","88","29","88",,,,,,
"1087984323","0.0","9.399999999999977","88","29","88","567661006","-628924798","4.833","16.53",,
"1087984324","4.73","11.800000000000011","87","29","87","567660691","-628925381","4.973","16.53",,
"1087984325","9.61","13.799999999999955","87","29","87","567660328","-628925936","4.329","16.53",,
"1087984326","15.06","15.799999999999955","86","29","86","567659792","-628926272","4.432","16.53",,
"1087984327","20.02","17.399999999999977","85","29","85","567659259","-628926300","4.917","16.53",,
"1087984328","25.17","18.799999999999955","84","29","84","567658766","-628925871","4.665","17.12",,
"1087984329","29.29","20.0","83","29","83","567658370","-628925629","3.62","17.12",,
"1087984330","33.03","21.0","83","29","83","567657936","-628925570","3.956","17.12",,
"1087984331","37.34","22.0","82","29","82","567657507","-628925865","4.292","17.12",,
"1087984332","42.13","22.799999999999955","81","29","81","567657095","-628926329","4.889","17.12",,
"1087984333","47.45","23.600000000000023","81","29","81","567656696","-628926948","5.57","18.11",,
"1087984334","53.5","24.399999999999977","81","29","81","567656296","-628927686","6.056","18.11",,
"1087984335","59.74","25.0","81","29","81","567655900","-628928493","6.522","18.11",,
"1087984336","66.3","25.600000000000023","82","29","82","567655477","-628929336","6.793","18.11",,
"1087984337","73.49","26.0","84","29","84","567655023","-628930251","7.026","18.11",,
"1087984338","80.83","26.399999999999977","87","29","87","567654551","-628931187","7.278","18.37",,
"1087984339","88.45","27.0","89","28","89","567654059","-628932145","7.465","18.37",,
"1087984340","96.25","27.399999999999977","92","28","92","567653552","-628933131","7.679","18.37",,
"1087984341","104.14","27.600000000000023","95","28","95","567653029","-628934104","7.744","18.37",,
"1087984342","112.18","28.0","96","28","96","567652497","-628935098","7.95","18.37",,
"1087984343","120.07","28.399999999999977","98","28","98","567651943","-628936056","8.09","18.15",,
"1087984344","128.29","28.600000000000023","100","28","100","567651403","-628937078","8.127","18.15",,
"1087984345","136.47","29.0","101","28","101","567650874","-628938109","8.192","18.15",,
"1087984346","144.61","29.200000000000045","101","28","101","567650347","-628939147","8.258","18.15",,
"1087984347","153.03","29.600000000000023","102","28","102","567649822","-628940236","8.36","18.15",,
"1087984348","161.72","29.799999999999955","102","28","102","567649306","-628941372","8.491","17.61",,
"1087984349","170.15","30.0","102","28","102","567648777","-628942461","8.519","17.61",,
"1087984350","178.72","30.200000000000045","102","28","102","567648251","-628943568","8.528","17.61",,
"1087984351","187.05","30.399999999999977","102","28","102","567647720","-628944634","8.472","17.61",,
"1087984352","195.44","30.600000000000023","101","28","101","567647152","-628945672","8.482","17.61",,
"1087984353","204.01","30.600000000000023","101","28","101","567646602","-628946766","8.556","18.83",,
"1087984354","212.62","30.799999999999955","101","28","101","567646047","-628947857","8.538","18.83",,
"1087984355","221.27","31.0","101","28","101","567645465","-628948920","8.556","18.83",,
"1087984356","229.79","31.0","101","28","101","567644884","-628949979","8.603","18.83",,
"1087984357","238.73","31.200000000000045","101","28","101","567644320","-628951109","8.64","18.83",,
"1087984358","247.4","31.200000000000045","102","28","102","567643758","-628952193","8.631","20.43",,
"1087984359","255.73","31.399999999999977","102","28","102","567643184","-628953224","8.64","20.43",,
"1087984360","264.35","31.600000000000023","102","27","102","567642622","-628954314","8.631","20.43",,
"1087984361","273.17","31.399999999999977","103","27","103","567642069","-628955437","8.584","20.43",,
