record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1069542865","-138820007","1991832631","0.65","0","5.0","9.642","275","97","5.0","9.642",
"1069542866","-138820861","1991831983","10.56","0","5.0","9.786","267","96","5.0","9.786",
"1069542867","-138821636","1991831196","20.77","0","5.0","9.941","287","97","5.0","9.941",
"1069542868","-138822272","1991830325","30.71","0","5.0","10.048","251","97","5.0","10.048",
"1069542869","-138822892","1991829433","40.7","0","5.0","10.266","372","97","5.0","10.266",
"1069542870","-138823534","1991828509","51.07","0","5.0","10.446","331","97","5.0","10.446",
"1069542871","-138824181","1991827579","61.5","0","5.0","10.617","340","97","5.0","10.617",
"1069542872","-138824855","1991826611","72.35","0","5.0","10.803","361","98","5.0","10.803",
"1069542873","-138825524","1991825662","83.04","0","5.0","10.935","320","98","5.0","10.935",
"1069542874","-138826207","1991824702","93.88","0","5.0","11.022","284","98","5.0","11.022",
"1069542875","-138826919","1991823673","105.39","0","5.0","11.108","290","98","5.0","11.108",
"1069542876","-138827594","1991822679","116.44","0","5.0","11.045","268","96","5.0","11.045",
"1069542877","-138828243","1991821727","127.03","0","5.0","11.084","249","97","5.0","11.084",
"1069542878","-138829003","1991820764","138.33","0","5.0","11.072","272","96","5.0","11.072",
"1069542879","-138829904","1991819919","149.74","0","5.0","11.163","311","96","5.0","11.163",
"1069542880","-138831002","1991819386","161.12","0","5.0","11.333","375","96","5.0","11.333",
"1069542881","-138832207","1991819341","172.37","0","5.0","11.512","407","96","5.0","11.512",
"1069542882","-138833397","1991819669","183.83","0","5.0","11.641","380","98","5.0","11.641",
"1069542883","-138834523","1991820214","195.42","0","5.199999999999989","11.699","371","99","5.199999999999989","11.699",
"1069542884","-138835580","1991820875","206.94","0","5.199999999999989","11.649","369","99","5.199999999999989","11.649",
"1069542885","-138836592","1991821629","218.6","0","5.199999999999989","11.652","335","98","5.199999999999989","11.652",
"1069542886","-138837548","1991822442","230.18","0","5.199999999999989","11.696","306","97","5.199999999999989","11.696",
"1069542887","-138838491","1991823345","242.22","0","5.199999999999989","11.728","283","98","5.199999999999989","11.728",
"1069542888","-138839366","1991824301","254.17","0","5.0","11.798","288","98","5.0","11.798",
"1069542889","-138840154","1991825258","265.59","0","4.800000000000011","11.932","291","98","4.800000000000011","11.932",
"1069542890","-138840949","1991826313","277.77","0","4.600000000000023","12.151","291","98","4.600000000000023","12.151",
"1069542891","-138841699","1991827403","289.97","0","4.199999999999989","12.427","313","97","4.199999999999989","12.427",
"1069542892","-138842420","1991828595","302.78","0","3.8000000000000114","12.57","264","97","3.8000000000000114","12.57",
"1069542893","-138843066","1991829827","315.58","0","3.3999999999999773","12.85","295","98","3.3999999999999773","12.85",
"1069542894","-138843610","1991831111","328.41","0","3.0","13.125","320","98","3.0","13.125",
"1069542895","-138844012","1991832470","341.43","0","2.6000000000000227","13.355","304","99","2.6000000000000227","13.355",
"1069542896","-138844204","1991833950","355.14","0","2.3999999999999773","13.422","265","100","2.3999999999999773","13.422",
"1069542897","-138844086","1991835366","368.19","0","2.1999999999999886","13.503","276","99","2.1999999999999886","13.503",
"1069542898","-138843676","1991836780","381.71","0","2.0","13.535","319","100","2.0","13.535",
"1069542899","-138843086","1991838113","395.1","0","1.8000000000000114","13.249","264","100","1.8000000000000114","13.249",
