record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1096926286","567665478","-628907316","5.61","5.514","47.0","79","21","79",,,
"1096926287","567665828","-628906614","10.8","5.72","47.0","80","21","80",,,
"1096926288","567666250","-628905882","17.21","5.832","46.799999999999955","80","21","80",,,
"1096926289","567666617","-628905177","22.68","5.916","46.799999999999955","81","21","81",,,
"1096926290","567666998","-628904357","29.11","5.944","46.799999999999955","81","21","81",,,
"1096926291","567667387","-628903628","34.79","6.056","46.799999999999955","84","21","84","18.9",,
"1096926292","567667772","-628902743","41.65","6.14","46.799999999999955","86","21","86","18.9",,
"1096926293","567668151","-628901905","48.04","6.28","46.799999999999955","88","21","88","18.9",,
"1096926294","567668532","-628901113","54.2","6.317","47.0","91","21","91","18.9",,
"1096926295","567668926","-628900314","60.29","6.242","47.0","93","21","93","18.9",,
"1096926296","567669353","-628899530","66.72","6.084","47.200000000000045","96","21","96","18.9",,
"1096926297","567669774","-628898810","72.78","6.028","47.39999999999998","97","21","97","18.9",,
"1096926298","567670151","-628898115","78.31","5.897","47.39999999999998","99","21","99","18.9",,
"1096926299","567670520","-628897418","83.73","5.682","47.60000000000002","101","21","101","18.9",,
"1096926300","567670902","-628896678","89.57","5.468","47.60000000000002","101","21","101","18.9",,
"1096926301","567671260","-628896010","95.02","5.253","47.799999999999955","103","21","103","18.9",,
"1096926302","567671466","-628895237","100.6","5.039","47.799999999999955","103","21","103","18.9",,
"1096926303","567671687","-628894694","104.12","4.628","47.799999999999955","104","21","104","18.9",,
"1096926304","567672031","-628894117","109.16","4.441","47.799999999999955","104","21","104","18.9",,
"1096926305","567672364","-628893717","112.87","4.301","48.0","105","20","105","18.9",,
"1096926306","567672700","-628893240","117.06","4.115","48.200000000000045","105","20","105","18.9",,
"1096926307","567672914","-628892663","121.06","4.283","48.39999999999998","104","20","104","18.9",,
"1096926308","567672797","-628891862","125.97","4.973","48.39999999999998","104","20","104","18.9",,
"1096926309","567672379","-628891216","131.39","5.57","48.39999999999998","104","20","104","18.9",,
"1096926310","567671854","-628890631","137.29","6.093","48.39999999999998","104","20","104","18.9",,
"1096926311","567671257","-628890000","144.17","6.625","48.200000000000045","104","20","104","20.86",,
"1096926312","567670649","-628889273","151.73","6.97","48.200000000000045","104","20","104","20.86",,
"1096926313","567670065","-628888584","158.22","7.269","48.0","104","20","104","20.86",,
"1096926314","567669354","-628887780","166.97","7.577","47.60000000000002","104","20","104","20.86",,
"1096926315","567668687","-628887048","174.69","7.8","47.39999999999998","105","20","105","20.86",,
"1096926316","567667969","-628886320","183.31","8.062","47.200000000000045","106","20","106","20.21",,
"1096926317","567667303","-628885642","190.5","8.36","47.0","107","20","107","20.21",,
"1096926318","567666518","-628884957","199.18","8.668","47.0","108","20","108","20.21",,
"1096926319","567665729","-628884289","207.85","8.929","46.60000000000002","109","20","109","20.21",,
"1096926320","567664924","-628883695","215.8","9.2","46.200000000000045","110","20","110","20.21",,
"1096926321","567664000","-628883147","224.82","9.359","46.0","111","20","111","19.77",,
"1096926322","567662997","-628882621","234.9","9.499","45.60000000000002","112","20","112","19.77",,
"1096926323","567662010","-628882226","244.29","9.592","45.200000000000045","113","20","113","19.77",,
"1096926324","567660981","-628881821","253.98","9.695","44.799999999999955","114","20","114","19.77",,
"1096926325","567659913","-628881371","264.43","9.732","44.200000000000045","115","20","115","19.77",,
"1096926326","567658819","-628880840","275.01","9.891","43.799999999999955","116","20","116","20.27",,
"1096926327","567657706","-628880310","286.12","9.984","43.39999999999998","116","20","116","20.27",,
"1096926328","567656630","-628879813","296.81","9.965","43.0","117","20","117","20.27",,
"1096926329","567655570","-628879382","307.34","9.993","42.60000000000002","118","20","118","20.27",,
"1096926330","567654565","-628878972","317.17","10.049","42.200000000000045","118","20","118","20.27",,
"1096926331","567653563","-628878511","326.89","10.152","41.799999999999955","118","20","118","20.27",,
"1096926332","567652532","-628878094","336.46","10.348","41.39999999999998","118","20","118","20.6",,
"1096926333","567651413","-628877597","347.45","10.432","41.0","118","20","118","20.6",,
"1096926334","567650318","-628877123","358.29","10.6","40.60000000000002","118","19","118","20.6",,
"1096926335","567649261","-628876579","368.37","10.684","40.39999999999998","119","19","119","20.6",,
"1096926336","567648150","-628875987","379.52","10.712","40.0","119","19","119","20.42",,
"1096926337","567647128","-628875352","389.9","10.516","39.39999999999998","118","19","118","20.42",,
"1096926338","567646175","-628874592","400.01","10.18","39.0","118","19","118","20.42",,
"1096926339","567645291","-628873753","409.62","9.872","38.799999999999955","118","19","118","20.42",,
"1096926340","567644434","-628872806","419.75","9.601","38.799999999999955","117","19","117","20.42",,
"1096926341","567643624","-628871877","429.4","9.433","38.60000000000002","117","19","117","20.7",,
"1096926342","567642831","-628871028","438.41","9.209","38.60000000000002","117","19","117","20.7",,
"1096926343","567642035","-628870140","447.97","9.004","38.60000000000002","116","19","116","20.7",,
"1096926344","567641303","-628869330","456.5","8.808","38.799999999999955","116","19","116","20.7",,
"1096926345","567640596","-628868555","464.8","8.631","38.799999999999955","116","19","116","20.7",,
"1096926346","567639934","-628867737","472.75","8.454","39.0","115","19","115","20.1",,
"1096926347","567639217","-628866980","480.73","8.426","39.200000000000045","115","19","115","20.1",,
"1096926348","567638551","-628866159","488.83","8.108","39.39999999999998","115","19","115","20.1",,
"1096926349","567637876","-628865375","496.68","7.968","39.39999999999998","115","19","115","20.1",,
"1096926350","567637184","-628864614","504.73","7.884","39.60000000000002","114","19","114","20.1",,
"1096926351","567636497","-628863872","512.87","7.754","39.799999999999955","114","19","114","19.7",,
"1096926352","567635825","-628863123","520.54","8.108","40.0","113","19","113","19.7",,
"1096926353","567635089","-628862390","528.84","8.276","40.0","113","19","113","19.7",,
"1096926354","567634362","-628861726","536.6","8.108","40.200000000000045","113","19","113","19.7",,
"1096926355","567633582","-628861088","544.89","8.006","40.39999999999998","113","19","113","19.7",,
"1096926356","567632786","-628860483","553.23","8.015","40.39999999999998","113","19","113","20.22",,
