Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1099173754",s,position_lat,"-138835376",semicircles,position_long,"1992050304",semicircles,distance,"1.06",m,altitude,"12.799999999999955",m,speed,"0.906",m/s,power,"37",watts,heart_rate,"58",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"0.906",m/s,
Data,3,record,timestamp,"1099173755",s,position_lat,"-138835328",semicircles,position_long,"1992050560",semicircles,distance,"1.85",m,altitude,"12.799999999999955",m,speed,"1.25",m/s,power,"51",watts,heart_rate,"58",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"1.25",m/s,
Data,3,record,timestamp,"1099173756",s,position_lat,"-138835248",semicircles,position_long,"1992050560",semicircles,distance,"3.34",m,altitude,"13.0",m,speed,"1.757",m/s,power,"90",watts,heart_rate,"59",bpm,cadence,"1",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"1.757",m/s,
Data,3,record,timestamp,"1099173757",s,position_lat,"-138835136",semicircles,position_long,"1992050688",semicircles,distance,"5.42",m,altitude,"13.0",m,speed,"2.42",m/s,power,"130",watts,heart_rate,"60",bpm,cadence,"57",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"2.42",m/s,
Data,3,record,timestamp,"1099173758",s,position_lat,"-138835056",semicircles,position_long,"1992051072",semicircles,distance,"8.13",m,altitude,"13.0",m,speed,"2.995",m/s,power,"136",watts,heart_rate,"60",bpm,cadence,"58",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"2.995",m/s,
Data,3,record,timestamp,"1099173759",s,position_lat,"-138834912",semicircles,position_long,"1992051456",semicircles,distance,"11.37",m,altitude,"13.0",m,speed,"3.467",m/s,power,"130",watts,heart_rate,"61",bpm,cadence,"59",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"3.467",m/s,
Data,3,record,timestamp,"1099173760",s,position_lat,"-138834736",semicircles,position_long,"1992051840",semicircles,distance,"15.04",m,altitude,"13.0",m,speed,"3.86",m/s,power,"126",watts,heart_rate,"62",bpm,cadence,"56",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"3.86",m/s,
Data,3,record,timestamp,"1099173761",s,position_lat,"-138834544",semicircles,position_long,"1992052096",semicircles,distance,"19.14",m,altitude,"12.799999999999955",m,speed,"4.199",m/s,power,"122",watts,heart_rate,"62",bpm,cadence,"54",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.199",m/s,
Data,3,record,timestamp,"1099173762",s,position_lat,"-138834320",semicircles,position_long,"1992052480",semicircles,distance,"23.49",m,altitude,"12.799999999999955",m,speed,"4.488",m/s,power,"115",watts,heart_rate,"64",bpm,cadence,"43",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.488",m/s,
Data,3,record,timestamp,"1099173763",s,position_lat,"-138834064",semicircles,position_long,"1992053120",semicircles,distance,"28.05",m,altitude,"12.799999999999955",m,speed,"4.751",m/s,power,"115",watts,heart_rate,"64",bpm,cadence,"34",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.751",m/s,
