record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1099173754","-138835376","1992050304","1.06","12.799999999999955","0.906","37","58","1","12.799999999999955","0.906",
"1099173755","-138835328","1992050560","1.85","12.799999999999955","1.25","51","58","1","12.799999999999955","1.25",
"1099173756","-138835248","1992050560","3.34","13.0","1.757","90","59","1","13.0","1.757",
"1099173757","-138835136","1992050688","5.42","13.0","2.42","130","60","57","13.0","2.42",
"1099173758","-138835056","1992051072","8.13","13.0","2.995","136","60","58","13.0","2.995",
"1099173759","-138834912","1992051456","11.37","13.0","3.467","130","61","59","13.0","3.467",
"1099173760","-138834736","1992051840","15.04","13.0","3.86","126","62","56","13.0","3.86",
"1099173761","-138834544","1992052096","19.14","12.799999999999955","4.199","122","62","54","12.799999999999955","4.199",
"1099173762","-138834320","1992052480","23.49","12.799999999999955","4.488","115","64","43","12.799999999999955","4.488",
"1099173763","-138834064","1992053120","28.05","12.799999999999955","4.751","115","64","34","12.799999999999955","4.751",
"1099173764","-138833792","1992053376","32.93","12.799999999999955","5.001","115","65","34","12.799999999999955","5.001",
"1099173765","-138833520","1992054016","37.94","12.799999999999955","4.761","0","65","34","12.799999999999955","4.761",
"1099173766","-138833248","1992054272","42.34","12.799999999999955","4.119","0","66","1","12.799999999999955","4.119",
"1099173767","-138833008","1992054656","46.14","12.799999999999955","3.477","0","66","1","12.799999999999955","3.477",
"1099173768","-138832784","1992054912","49.31","12.799999999999955","2.835","0","66","28","12.799999999999955","2.835",
"1099173769","-138832608","1992055040","52.05","12.799999999999955","2.871","115","67","1","12.799999999999955","2.871",
"1099173770","-138832400","1992055424","55.1","12.799999999999955","3.306","115","67","1","12.799999999999955","3.306",
"1099173771","-138832144","1992055552","58.66","12.799999999999955","3.69","115","67","1","12.799999999999955","3.69",
"1099173772","-138831888","1992055936","62.25","12.799999999999955","3.34","0","68","1","12.799999999999955","3.34",
"1099173773","-138831680","1992056192","65.25","12.799999999999955","2.7","0","68","1","12.799999999999955","2.7",
"1099173774","-138831504","1992056320","67.62","12.799999999999955","2.064","0","69","1","12.799999999999955","2.064",
"1099173775","-138831360","1992056576","69.38","12.799999999999955","1.425","0","69","0","12.799999999999955","1.425",
"1099173776","-138831280","1992056704","70.47","12.799999999999955","0.801","0","69","1","12.799999999999955","0.801",
"1099173777","-138831232","1992056704","70.96","12.799999999999955","0.181","0","69","1","12.799999999999955","0.181",
"1099173778","-138831232","1992056704","70.99","12.799999999999955","0.0","0","70","1","12.799999999999955","0.0",
"1099173828","-138831376","1992056832","70.99","12.799999999999955","0.038","177","69","0","12.799999999999955","0.038",
"1099173829","-138831328","1992056832","71.48","12.799999999999955","1.397","177","70","21","12.799999999999955","1.397",
"1099173830","-138831152","1992057088","73.54","12.799999999999955","2.669","233","69","41","12.799999999999955","2.669",
"1099173831","-138830864","1992057216","76.66","12.799999999999955","3.434","172","69","1","12.799999999999955","3.434",
"1099173832","-138830528","1992057472","80.28","12.799999999999955","3.78","69","69","39","12.799999999999955","3.78",
"1099173833","-138830192","1992057600","84.14","12.799999999999955","3.827","19","68","39","12.799999999999955","3.827",
"1099173834","-138829856","1992057728","88.04","12.799999999999955","4.094","170","68","39","12.799999999999955","4.094",
"1099173835","-138829488","1992058112","92.35","12.799999999999955","4.479","151","68","70","12.799999999999955","4.479",
"1099173836","-138829056","1992058368","96.96","12.799999999999955","4.697","82","68","70","12.799999999999955","4.697",
"1099173837","-138828592","1992058752","101.71","12.799999999999955","4.845","102","68","65","12.799999999999955","4.845",
"1099173838","-138828112","1992058880","106.65","12.799999999999955","4.997","97","68","71","12.799999999999955","4.997",
"1099173839","-138827584","1992059008","111.69","12.799999999999955","5.16","120","68","61","12.799999999999955","5.16",
"1099173840","-138827040","1992059264","116.98","12.799999999999955","5.326","112","68","63","12.799999999999955","5.326",
"1099173841","-138826480","1992059264","122.37","12.799999999999955","5.459","102","68","60","12.799999999999955","5.459",
"1099173842","-138825904","1992059392","127.85","12.799999999999955","5.463","33","68","60","12.799999999999955","5.463",
"1099173843","-138825328","1992059648","133.33","12.799999999999955","5.517","111","69","64","12.799999999999955","5.517",
"1099173844","-138824720","1992059648","138.92","13.0","5.7","144","69","64","13.0","5.7",
"1099173845","-138824112","1992059776","144.7","13.0","5.794","76","70","58","13.0","5.794",
"1099173846","-138823488","1992059776","150.51","13.0","5.857","109","70","58","13.0","5.857",
"1099173847","-138822864","1992060032","156.41","13.0","5.947","113","70","57","13.0","5.947",
"1099173848","-138822224","1992060160","162.41","13.0","6.071","141","71","58","13.0","6.071",
"1099173849","-138821584","1992060288","168.56","13.0","6.224","140","71","78","13.0","6.224",
"1099173850","-138820960","1992060544","174.86","13.0","6.365","137","72","79","13.0","6.365",
"1099173851","-138820352","1992060928","181.3","13.0","6.516","153","73","80","13.0","6.516",
"1099173852","-138819776","1992061312","187.87","13.0","6.661","146","74","83","13.0","6.661",
"1099173853","-138819264","1992061824","194.63","13.0","6.793","147","75","79","13.0","6.793",
"1099173854","-138818784","1992062336","201.48","13.0","6.917","148","76","77","13.0","6.917",
"1099173855","-138818336","1992063104","208.46","13.0","7.038","152","78","77","13.0","7.038",
"1099173856","-138817936","1992063616","215.56","13.0","7.156","151","79","77","13.0","7.156",
"1099173857","-138817568","1992064384","222.77","13.0","7.265","150","81","78","13.0","7.265",
"1099173858","-138817216","1992065024","230.09","13.0","7.365","148","83","79","13.0","7.365",
"1099173859","-138816896","1992065792","237.51","13.0","7.461","151","85","77","13.0","7.461",
"1099173860","-138816576","1992066560","245.01","13.0","7.553","150","88","79","13.0","7.553",
"1099173861","-138816288","1992067200","252.57","13.0","7.639","150","89","80","13.0","7.639",
"1099173862","-138815984","1992068224","260.29","13.0","7.725","154","91","81","13.0","7.725",
"1099173863","-138815680","1992068864","268.04","13.0","7.807","154","92","81","13.0","7.807",
"1099173864","-138815344","1992069632","275.91","13.0","7.884","153","93","79","13.0","7.884",
"1099173865","-138815008","1992070528","283.84","13.0","7.956","154","93","80","13.0","7.956",
"1099173866","-138814672","1992071296","291.83","13.0","8.031","153","94","79","13.0","8.031",
"1099173867","-138814336","1992072192","299.87","13.0","8.111","152","95","77","13.0","8.111",
"1099173868","-138814016","1992072960","308.07","13.0","8.196","155","95","75","13.0","8.196",
"1099173869","-138813712","1992073856","316.3","13.0","8.269","157","96","73","13.0","8.269",
"1099173870","-138813392","1992074496","324.59","13.0","8.342","155","97","76","13.0","8.342",
"1099173871","-138813120","1992075392","332.97","13.0","8.416","154","97","77","13.0","8.416",
"1099173872","-138812832","1992076416","341.34","13.0","8.494","155","97","77","13.0","8.494",
"1099173873","-138812544","1992077312","349.96","13.0","8.593","155","98","77","13.0","8.593",
"1099173874","-138812256","1992078208","358.62","13.0","8.701","156","98","75","13.0","8.701",
"1099173875","-138811936","1992079104","367.36","13.0","8.776","157","98","77","13.0","8.776",
"1099173876","-138811568","1992080000","376.17","13.0","8.841","153","99","79","13.0","8.841",
"1099173877","-138811232","1992080768","384.98","13.0","8.909","154","99","78","13.0","8.909",
"1099173878","-138810896","1992081792","393.96","13.0","8.98","156","99","78","13.0","8.98",
