record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110665713","-138819856","1991832576","0.28","5.0","9.577","206","134","101","5.0","9.577","0",
"1110665714","-138820368","1991832192","6.16","5.0","9.63","264","134","100","5.0","9.63","0",
"1110665715","-138821184","1991831552","15.9","5.0","9.799","339","135","101","5.0","9.799","0",
"1110665716","-138821904","1991830656","25.83","5.0","9.991","268","137","102","5.0","9.991","0",
"1110665717","-138822528","1991829888","35.76","5.0","10.165","305","139","101","5.0","10.165","0",
"1110665718","-138823168","1991828992","46.06","5.0","10.344","299","140","102","5.0","10.344","0",
"1110665719","-138823824","1991827840","56.65","5.0","10.518","308","141","101","5.0","10.518","0",
"1110665720","-138824496","1991826944","67.14","5.0","10.7","332","142","102","5.0","10.7","0",
"1110665721","-138825168","1991826048","77.93","5.0","10.907","372","143","103","5.0","10.907","0",
"1110665722","-138825872","1991825152","88.97","5.0","11.069","297","144","104","5.0","11.069","0",
"1110665723","-138826592","1991824000","100.2","5.0","11.176","275","145","104","5.0","11.176","0",
"1110665724","-138827248","1991823104","111.22","5.0","11.301","327","146","103","5.0","11.301","0",
"1110665725","-138827968","1991822080","122.81","5.0","11.414","279","147","93","5.0","11.414","0",
"1110665726","-138828704","1991821184","133.95","5.0","11.113","222","147","93","5.0","11.113","0",
"1110665727","-138829552","1991820160","145.14","5.0","11.076","228","148","92","5.0","11.076","0",
"1110665728","-138830544","1991819520","156.23","5.0","11.114","215","149","91","5.0","11.114","0",
"1110665729","-138831712","1991819264","167.39","5.0","11.221","323","149","91","5.0","11.221","0",
"1110665730","-138832880","1991819520","178.49","5.0","11.385","389","150","92","5.0","11.385","0",
"1110665731","-138834048","1991820032","190.17","5.0","11.546","370","151","92","5.0","11.546","0",
"1110665732","-138835104","1991820544","201.64","5.199999999999989","11.652","317","151","93","5.199999999999989","11.652","0",
"1110665733","-138836128","1991821440","213.36","5.199999999999989","11.731","308","152","93","5.199999999999989","11.731","0",
"1110665734","-138837104","1991822208","225.14","5.199999999999989","11.618","257","153","93","5.199999999999989","11.618","0",
"1110665735","-138838032","1991823104","236.61","5.199999999999989","11.663","306","153","93","5.199999999999989","11.663","0",
"1110665736","-138838928","1991824000","248.55","5.0","11.799","295","154","91","5.0","11.799","0",
