record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1081431364","0.0","36.799999999999955","64","17","0",,,,,
"1081431365","0.0","36.799999999999955","64","17","0",,,,,
"1081431366","0.0","36.799999999999955","64","17","0",,,,,
"1081431367","0.0","36.799999999999955","64","17","0",,,,,
"1081431368","0.0","36.799999999999955","64","18","0",,,,,
"1081431369","0.0","36.799999999999955","64","18","0",,,,,
"1081431370","0.0","36.799999999999955","64","18","0",,,,,
"1081431371","0.0","36.799999999999955","64","18","0",,,,,
"1081431372","0.0","36.799999999999955","64","18","0",,,,,
"1081431373","0.0","36.799999999999955","64","18","0",,,,,
"1081431374","0.0","36.799999999999955","64","18","0",,,,,
"1081431375","0.0","36.799999999999955","64","18","0",,,,,
"1081431377","0.0","36.799999999999955","64","18","0",,,,,
"1081431378","0.0","36.799999999999955","64","18","0",,,,,
"1081431379","0.0","36.799999999999955","64","18","0",,,,,
"1081431380","0.0","36.799999999999955","64","18","0",,,,,
"1081431381","0.0","36.799999999999955","64","18","0",,,,,
"1081431382","0.0","36.799999999999955","64","18","0",,,,,
"1081431383","0.0","36.799999999999955","64","18","0",,,,,
"1081431384","0.0","36.799999999999955","64","18","0",,,,,
"1081431385","0.0","36.799999999999955","64","18","0",,,,,
"1081431386","0.0","36.799999999999955","64","18","0",,,,,
"1081431387","0.0","36.799999999999955","64","18","0",,,,,
"1081431388","0.0","36.799999999999955","64","18","0",,,,,
"1081431389","0.0","36.799999999999955","87","18","0",,,,,
"1081431390","0.0","36.799999999999955","89","18","0",,,,,
"1081431391","0.0","36.799999999999955","89","18","0",,,,,
"1081431392","0.0","36.799999999999955","91","18","0","22.87",,,,
"1081431393","0.0","36.799999999999955","92","18","0","22.87",,,,
"1081431394","0.0","36.799999999999955","93","18","0","22.87",,,,
"1081431395","0.0","36.799999999999955","94","18","0","22.87",,,,
"1081431396","0.0","36.799999999999955","95","18","0","22.33",,,,
"1081431397","0.0","36.799999999999955","96","18","0","22.33",,,,
"1081431398","0.0","36.799999999999955","97","18","0","22.33",,,,
"1081431399","0.0","36.799999999999955","98","18","0","22.33",,,,
"1081431400","0.0","36.799999999999955","99","18","0","22.33",,,,
"1081431401","0.0","36.799999999999955","99","18","0","23.15",,,,
"1081431402","0.0","36.799999999999955","99","18","0","23.15",,,,
"1081431403","0.0","36.799999999999955","99","18","0","23.15",,,,
"1081431404","0.0","36.799999999999955","99","18","0","23.15",,,,
"1081431405","0.0","36.799999999999955","99","18","0","23.15",,,,
"1081431406","0.0","36.799999999999955","99","18","0","23.15",,,,
"1081431407","0.0","36.799999999999955","99","18","0","22.92",,,,
"1081431408","0.0","36.799999999999955","99","18","0","22.92",,,,
"1081431409","0.0","36.799999999999955","99","18","0","22.92",,,,
"1081431410","0.0","36.799999999999955","99","18","0","22.92",,,,
"1081431411","0.0","36.799999999999955","99","18","0","22.92",,,,
"1081431412","0.0","36.799999999999955","100","18","0","22.76",,,,
"1081431413","0.0","36.799999999999955","103","18","0","22.76",,,,
"1081431414","0.0","36.799999999999955","105","18","0","22.76",,,,
"1081431415","0.0","36.799999999999955","106","18","0","22.76",,,,
"1081431416","0.0","36.799999999999955","108","18","0","23.04",,,,
"1081431417","0.0","36.799999999999955","110","18","0","23.04",,,,
"1081431418","0.0","36.799999999999955","112","18","0","23.04",,,,
"1081431419","0.0","36.799999999999955","112","18","0","23.04",,,,
"1081431420","0.0","36.799999999999955","114","18","0","23.04",,,,
"1081431421","0.0","36.799999999999955","116","18","0","23.04",,,,
"1081431422","0.0","36.799999999999955","118","18","0","22.84",,,,
"1081431423","0.0","36.799999999999955","120","18","0","22.84","567671887","-628895678","5.72",
"1081431424","6.28","36.799999999999955","122","18","1","22.84","567672209","-628894806","5.533",
"1081431425","12.05","37.799999999999955","123","18","1","22.84","567672512","-628894001","5.3",
"1081431426","17.68","38.39999999999998","124","18","1","22.71","567672631","-628893116","5.207",
"1081431427","22.27","38.799999999999955","125","18","1","22.71","567672586","-628892382","5.542",
"1081431428","28.56","39.200000000000045","125","18","1","22.71","567672072","-628891719","6.112",
"1081431429","35.12","39.60000000000002","125","18","1","22.71","567671512","-628891075","6.709",
"1081431430","42.23","40.0","125","18","1","22.71","567670952","-628890335","7.035",
"1081431431","49.64","40.200000000000045","125","18","1","22.71","567670352","-628889613","7.325",
"1081431432","56.72","40.200000000000045","125","17","1","22.71","567669735","-628888912","7.483",
"1081431433","64.49","40.39999999999998","125","17","1","22.71","567669072","-628888152","7.754",
"1081431434","72.71","40.39999999999998","125","17","1","22.71","567668366","-628887389","8.127",
"1081431435","81.11","40.200000000000045","125","17","1","22.71","567667609","-628886687","8.398",
"1081431436","89.86","40.0","125","17","1","22.71","567666809","-628886003","8.771",
"1081431437","98.44","39.799999999999955","125","17","1","22.71","567665979","-628885357","9.023",
"1081431438","107.77","39.799999999999955","125","17","1","22.71","567665104","-628884698","9.209",
"1081431439","116.49","39.60000000000002","125","17","1","22.71","567664218","-628884114","9.387",
"1081431440","125.82","39.39999999999998","125","17","1","22.71","567663294","-628883541","9.489",
"1081431441","135.24","39.39999999999998","125","17","1","22.71","567662350","-628883035","9.424",
"1081431442","144.5","39.0","125","17","1","22.71","567661376","-628882584","9.573",
"1081431443","154.38","38.60000000000002","125","17","1","22.71","567660347","-628882097","9.769",
"1081431444","164.59","38.200000000000045","125","17","1","22.71","567659281","-628881616","10.04",
"1081431445","175.15","38.0","130","17","1","24.01","567658195","-628881137","10.18",
"1081431446","185.86","37.799999999999955","130","17","1","24.01","567657096","-628880669","10.46",
"1081431447","196.61","37.60000000000002","130","17","1","23.09","567655983","-628880227","10.628",
"1081431448","207.61","37.39999999999998","130","17","1","23.09","567654847","-628879789","10.824",
"1081431449","218.75","37.0","130","17","1","23.09","567653699","-628879315","11.001",
"1081431450","230.06","36.60000000000002","129","17","1","23.09","567652537","-628878827","11.122",
"1081431451","241.08","36.200000000000045","129","17","1","23.09","567651400","-628878359","11.076",
"1081431452","252.15","36.0","129","17","1","23.09","567650243","-628877821","11.346",
"1081431453","263.91","35.799999999999955","129","17","1","22.87","567649062","-628877208","11.505",
"1081431454","275.1","35.60000000000002","129","17","1","22.87","567647940","-628876549","11.449",
"1081431455","286.52","35.39999999999998","129","17","1","22.87","567646857","-628875742","11.234",
"1081431456","297.64","35.200000000000045","129","17","1","22.87","567645841","-628874866","11.038",
"1081431457","308.56","34.799999999999955","129","17","1","22.87","567644886","-628873894","10.768",
"1081431458","319.08","34.799999999999955","129","17","1","22.87","567643965","-628872950","10.59",
"1081431459","329.0","34.799999999999955","129","17","1","22.73","567643086","-628872015","10.338",
"1081431460","339.21","34.799999999999955","129","17","1","22.73","567642239","-628871012","10.049",
"1081431461","349.23","35.0","129","16","1","22.73","567641402","-628870036","9.956",
"1081431462","359.31","35.0","129","16","1","22.73","567640565","-628869063","9.984",
"1081431463","368.41","35.0","129","16","1","22.73","567639774","-628868180","9.713",
"1081431464","377.53","35.200000000000045","129","16","1","29.64","567638985","-628867255","9.601",
"1081431465","386.85","35.39999999999998","130","16","1","29.64","567638193","-628866357","9.405",
"1081431466","395.35","35.39999999999998","130","16","1","29.64","567637442","-628865510","9.125",
"1081431467","403.93","35.60000000000002","130","16","1","29.64","567636677","-628864682","8.901",
"1081431468","413.29","35.799999999999955","130","16","1","29.64","567635879","-628863819","8.808",
"1081431469","422.46","35.799999999999955","131","16","1","30.39","567635093","-628863000","8.715",
"1081431470","431.03","36.0","131","16","1","30.39","567634323","-628862251","8.622",
"1081431471","439.37","36.0","132","16","1","30.39","567633539","-628861571","8.556",
"1081431472","448.15","36.200000000000045","133","16","1","30.39","567632711","-628860948","8.556",
"1081431473","456.62","36.200000000000045","133","16","1","30.39","567631886","-628860389","8.584",
"1081431474","465.13","36.39999999999998","134","16","1","32.07","567631042","-628859855","8.51",
"1081431475","473.67","36.60000000000002","134","16","1","32.07","567630183","-628859387","8.463",
"1081431476","482.06","36.60000000000002","135","16","1","32.07","567629319","-628858968","8.491",
"1081431477","491.13","36.799999999999955","135","16","1","32.07","567628423","-628858509","8.64",
"1081431478","499.62","36.799999999999955","135","16","1","32.07","567627555","-628858093","8.743",
"1081431479","508.13","36.799999999999955","135","16","1","32.4","567626671","-628857677","8.771",
"1081431480","517.01","36.799999999999955","135","16","1","32.4","567625771","-628857258","8.799",
"1081431481","525.71","36.799999999999955","135","16","1","32.4","567624878","-628856819","8.78",
"1081431482","534.69","36.60000000000002","135","16","1","32.4","567623956","-628856355","8.967",
"1081431483","543.98","36.39999999999998","135","15","1","32.4","567623012","-628855939","8.967",
"1081431484","553.4","36.200000000000045","135","15","1","32.4","567622085","-628855510","8.985",
"1081431485","562.25","35.799999999999955","135","15","1","32.4","567621168","-628855106","9.153",
"1081431486","571.67","35.39999999999998","135","15","1","32.4","567620186","-628854701","9.611",
"1081431487","581.82","35.0","135","15","1","32.4","567619133","-628854251","10.208",
"1081431488","592.64","34.60000000000002","135","15","1","32.4","567618016","-628853802","10.74",
"1081431489","603.91","34.39999999999998","135","15","1","32.4","567616836","-628853395","11.271",
"1081431490","616.1","34.0","135","15","1","32.4","567615564","-628853039","11.943",
"1081431491","628.76","33.200000000000045","135","15","1","32.4","567614231","-628852804","12.568",
"1081431492","641.55","32.39999999999998","135","15","1","32.4","567612848","-628852697","13.203",
"1081431493","655.07","31.399999999999977","135","15","1","32.4","567611386","-628852575","13.791",
"1081431494","669.77","30.200000000000045","135","15","1","32.4","567609847","-628852465","14.351",
"1081431495","684.11","29.200000000000045","135","15","1","32.4","567608296","-628852362","14.92",
"1081431496","698.81","28.0","135","15","1","32.4","567606695","-628852238","15.265",
"1081431497","714.29","26.0","135","15","1","32.4","567605041","-628852118","15.358",
"1081431498","729.71","24.200000000000045","135","15","1","32.4","567603372","-628851990","15.517",
"1081431499","745.63","22.799999999999955","135","15","1","32.4","567601693","-628851879","15.461",
"1081431500","760.46","21.0","135","15","1","32.4","567600091","-628851802","15.097",
"1081431501","775.62","20.0","135","15","1","32.4","567598492","-628851779","14.845",
"1081431502","789.82","19.0","135","15","1","32.4","567596976","-628851743","14.369",
"1081431503","803.69","18.0","135","15","1","32.4","567595501","-628851671","13.949",
"1081431504","816.73","17.399999999999977","135","15","1","32.4","567594093","-628851608","13.399",
"1081431505","829.55","17.0","135","15","1","32.4","567592713","-628851623","12.998",
"1081431506","841.87","16.600000000000023","0","15","1","31.02","567591383","-628851713","12.54",
"1081431507","853.87","16.200000000000045","0","15","1","31.02","567590082","-628851861","12.177",
"1081431508","865.69","16.0","0","15","1","31.02","567588807","-628852004","11.813",
"1081431509","877.62","15.799999999999955","0","14","1","31.02","567587557","-628852190","11.514",
"1081431510","888.51","15.799999999999955","0","14","1","31.02","567586397","-628852329","11.132",
"1081431511","898.98","15.799999999999955","0","14","1","31.02","567585261","-628852445","10.814",
"1081431512","909.45","15.600000000000023","116","14","1","31.02","567584125","-628852536","10.562",
"1081431513","920.08","15.600000000000023","116","14","1","31.02","567582994","-628852591","10.198",
"1081431514","930.13","15.799999999999955","116","14","1","31.02","567581927","-628852721","9.984",
"1081431515","939.65","15.799999999999955","115","14","1","31.02","567580905","-628852874","9.713",
"1081431516","949.28","15.799999999999955","114","14","1","28.56","567579880","-628853179","9.741",
"1081431517","958.79","16.0","115","14","1","28.56","567578875","-628853561","9.639",
"1081431518","968.62","16.399999999999977","115","14","1","28.56","567577869","-628854012","9.583",
"1081431519","978.1","16.600000000000023","115","14","1","28.56","567576902","-628854511","9.312",
"1081431520","986.73","17.200000000000045","115","14","1","28.56","567576078","-628855084","8.239",
"1081431521","994.45","17.399999999999977","115","14","1","28.56","567575355","-628855647","7.465",
"1081431522","1001.26","17.799999999999955","115","14","1","26.52","567574710","-628856144","6.811",
