Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1102519155",s,position_lat,"486496768",semicircles,position_long,"-882470400",semicircles,distance,"0.27",m,altitude,"33.60000000000002",m,speed,"10.497",m/s,power,"246",watts,heart_rate,"147",bpm,cadence,"108",rpm,enhanced_altitude,"33.60000000000002",m,enhanced_speed,"10.497",m/s,
Data,3,record,timestamp,"1102519156",s,position_lat,"486496640",semicircles,position_long,"-882469376",semicircles,distance,"7.64",m,altitude,"33.60000000000002",m,speed,"10.567",m/s,power,"246",watts,heart_rate,"148",bpm,cadence,"108",rpm,enhanced_altitude,"33.60000000000002",m,enhanced_speed,"10.567",m/s,
Data,3,record,timestamp,"1102519157",s,position_lat,"486496448",semicircles,position_long,"-882467904",semicircles,distance,"18.36",m,altitude,"33.60000000000002",m,speed,"10.665",m/s,power,"269",watts,heart_rate,"149",bpm,cadence,"106",rpm,enhanced_altitude,"33.60000000000002",m,enhanced_speed,"10.665",m/s,
Data,3,record,timestamp,"1102519158",s,position_lat,"486496224",semicircles,position_long,"-882466496",semicircles,distance,"28.97",m,altitude,"33.60000000000002",m,speed,"10.81",m/s,power,"296",watts,heart_rate,"149",bpm,cadence,"107",rpm,enhanced_altitude,"33.60000000000002",m,enhanced_speed,"10.81",m/s,
Data,3,record,timestamp,"1102519159",s,position_lat,"486495808",semicircles,position_long,"-882464896",semicircles,distance,"40.0",m,altitude,"33.60000000000002",m,speed,"10.935",m/s,power,"264",watts,heart_rate,"150",bpm,cadence,"107",rpm,enhanced_altitude,"33.60000000000002",m,enhanced_speed,"10.935",m/s,
Data,3,record,timestamp,"1102519160",s,position_lat,"486495232",semicircles,position_long,"-882463680",semicircles,distance,"50.85",m,altitude,"33.60000000000002",m,speed,"11.025",m/s,power,"255",watts,heart_rate,"150",bpm,cadence,"106",rpm,enhanced_altitude,"33.60000000000002",m,enhanced_speed,"11.025",m/s,
Data,3,record,timestamp,"1102519161",s,position_lat,"486494400",semicircles,position_long,"-882462528",semicircles,distance,"61.93",m,altitude,"33.39999999999998",m,speed,"11.194",m/s,power,"299",watts,heart_rate,"150",bpm,cadence,"107",rpm,enhanced_altitude,"33.39999999999998",m,enhanced_speed,"11.194",m/s,
Data,3,record,timestamp,"1102519162",s,position_lat,"486493408",semicircles,position_long,"-882461632",semicircles,distance,"73.32",m,altitude,"33.200000000000045",m,speed,"11.504",m/s,power,"295",watts,heart_rate,"151",bpm,cadence,"107",rpm,enhanced_altitude,"33.200000000000045",m,enhanced_speed,"11.504",m/s,
Data,3,record,timestamp,"1102519163",s,position_lat,"486492224",semicircles,position_long,"-882460992",semicircles,distance,"85.19",m,altitude,"32.799999999999955",m,speed,"11.923",m/s,power,"324",watts,heart_rate,"151",bpm,cadence,"106",rpm,enhanced_altitude,"32.799999999999955",m,enhanced_speed,"11.923",m/s,
Data,3,record,timestamp,"1102519164",s,position_lat,"486490944",semicircles,position_long,"-882460992",semicircles,distance,"97.12",m,altitude,"32.60000000000002",m,speed,"12.302",m/s,power,"309",watts,heart_rate,"151",bpm,cadence,"108",rpm,enhanced_altitude,"32.60000000000002",m,enhanced_speed,"12.302",m/s,
Data,3,record,timestamp,"1102519165",s,position_lat,"486489632",semicircles,position_long,"-882461440",semicircles,distance,"109.54",m,altitude,"32.200000000000045",m,speed,"12.52",m/s,power,"270",watts,heart_rate,"151",bpm,cadence,"109",rpm,enhanced_altitude,"32.200000000000045",m,enhanced_speed,"12.52",m/s,
Data,3,record,timestamp,"1102519166",s,position_lat,"486488288",semicircles,position_long,"-882461952",semicircles,distance,"122.39",m,altitude,"31.799999999999955",m,speed,"12.933",m/s,power,"383",watts,heart_rate,"152",bpm,cadence,"110",rpm,enhanced_altitude,"31.799999999999955",m,enhanced_speed,"12.933",m/s,
