record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1084971621","-138809024","1992070016","10.81","121","13.0","10.581","336","94","13.0","10.581",
"1084971622","-138810096","1992070400","21.52","122","13.0","10.766","308","93","13.0","10.766",
"1084971623","-138811152","1992070912","32.43","122","13.0","10.914","308","93","13.0","10.914",
"1084971624","-138812128","1992071680","43.33","123","13.0","11.018","298","94","13.0","11.018",
"1084971625","-138812992","1992072320","54.47","124","13.0","11.149","268","94","13.0","11.149",
"1084971626","-138813456","1992073472","65.66","124","13.0","11.229","284","94","13.0","11.229",
"1084971627","-138813424","1992074752","76.89","125","13.0","11.304","302","93","13.0","11.304",
"1084971628","-138813152","1992076032","88.18","125","13.0","11.402","411","94","13.0","11.402",
"1084971629","-138812736","1992077056","99.74","126","13.0","11.544","398","96","13.0","11.544",
"1084971630","-138812336","1992078336","111.42","126","13.0","11.695","371","97","13.0","11.695",
"1084971631","-138811872","1992079488","123.16","127","13.0","11.805","363","97","13.0","11.805",
"1084971632","-138811376","1992080768","135.0","128","13.0","11.893","328","96","13.0","11.893",
"1084971633","-138810928","1992082048","146.92","129","13.0","11.934","292","97","13.0","11.934",
"1084971634","-138810592","1992083328","158.79","129","13.0","11.98","297","97","13.0","11.98",
"1084971635","-138810416","1992084608","170.74","130","13.0","12.032","297","97","13.0","12.032",
"1084971636","-138810400","1992085888","182.87","131","13.0","12.081","298","96","13.0","12.081",
"1084971637","-138810560","1992087040","195.24","132","13.0","12.135","309","95","13.0","12.135",
"1084971638","-138810848","1992088320","207.16","133","13.0","12.203","306","96","13.0","12.203",
"1084971639","-138811232","1992089600","219.45","134","13.0","12.266","317","96","13.0","12.266",
"1084971640","-138811680","1992090880","231.67","134","13.0","12.328","298","96","13.0","12.328",
"1084971641","-138812144","1992092160","244.01","135","13.200000000000045","12.315","312","96","13.200000000000045","12.315",
"1084971642","-138812592","1992093440","256.45","136","13.200000000000045","12.358","289","94","13.200000000000045","12.358",
"1084971643","-138813008","1992094720","268.79","136","13.200000000000045","12.376","301","95","13.200000000000045","12.376",
"1084971644","-138813392","1992096000","281.19","137","13.200000000000045","12.4","346","96","13.200000000000045","12.4",
"1084971645","-138813664","1992097536","293.61","137","13.200000000000045","12.454","328","96","13.200000000000045","12.454",
"1084971646","-138813808","1992098688","305.92","138","13.399999999999977","12.42","333","96","13.399999999999977","12.42",
"1084971647","-138813760","1992099968","318.35","138","13.399999999999977","12.356","369","95","13.399999999999977","12.356",
"1084971648","-138813504","1992101504","330.6","138","13.600000000000023","12.301","369","96","13.600000000000023","12.301",
"1084971649","-138813072","1992102784","342.91","138","13.799999999999955","12.265","377","97","13.799999999999955","12.265",
"1084971650","-138812480","1992103808","355.18","138","14.0","12.141","342","96","14.0","12.141",
"1084971651","-138811824","1992104960","367.31","139","14.200000000000045","11.969","343","96","14.200000000000045","11.969",
"1084971652","-138811104","1992105984","379.26","139","14.200000000000045","11.914","322","94","14.200000000000045","11.914",
"1084971653","-138810368","1992107136","391.11","139","14.399999999999977","11.842","332","94","14.399999999999977","11.842",
"1084971654","-138809616","1992108160","402.84","140","14.600000000000023","11.759","332","94","14.600000000000023","11.759",
"1084971655","-138808864","1992109184","414.48","140","14.799999999999955","11.384","325","94","14.799999999999955","11.384",
"1084971656","-138808160","1992110208","425.7","140","15.0","11.341","377","94","15.0","11.341",
"1084971657","-138807456","1992111104","437.11","141","15.200000000000045","11.351","377","94","15.200000000000045","11.351",
"1084971658","-138806880","1992112256","448.49","141","15.399999999999977","11.315","381","93","15.399999999999977","11.315",
"1084971659","-138806544","1992113536","459.83","141","15.600000000000023","11.337","378","94","15.600000000000023","11.337",
"1084971660","-138806528","1992114816","471.07","142","15.799999999999955","11.376","379","94","15.799999999999955","11.376",
"1084971661","-138806848","1992115840","482.52","142","16.0","11.441","386","95","16.0","11.441",
"1084971662","-138807504","1992116992","494.03","143","16.0","11.512","366","95","16.0","11.512",
"1084971663","-138808400","1992117888","505.5","143","16.200000000000045","11.569","322","94","16.200000000000045","11.569",
"1084971664","-138809456","1992118656","517.1","143","16.200000000000045","11.64","360","95","16.200000000000045","11.64",
"1084971665","-138810640","1992118912","528.81","144","16.200000000000045","11.756","358","95","16.200000000000045","11.756",
"1084971666","-138811920","1992118912","540.69","144","16.200000000000045","11.893","358","96","16.200000000000045","11.893",
"1084971667","-138813200","1992118656","552.68","144","16.200000000000045","12.004","307","96","16.200000000000045","12.004",
"1084971668","-138814448","1992118400","564.61","144","16.200000000000045","12.098","314","95","16.200000000000045","12.098",
"1084971669","-138815760","1992118016","576.92","144","16.200000000000045","12.2","299","96","16.200000000000045","12.2",
"1084971670","-138817056","1992118016","589.1","145","16.200000000000045","12.282","295","96","16.200000000000045","12.282",
"1084971671","-138818368","1992118272","601.47","145","16.200000000000045","12.346","261","96","16.200000000000045","12.346",
"1084971672","-138819456","1992118912","613.82","145","16.0","12.394","281","96","16.0","12.394",
"1084971673","-138820048","1992120064","626.24","145","16.0","12.502","309","95","16.0","12.502",
"1084971674","-138820368","1992121472","638.77","145","15.799999999999955","12.641","347","96","15.799999999999955","12.641",
"1084971675","-138820528","1992122752","651.5","145","15.799999999999955","12.805","347","96","15.799999999999955","12.805",
"1084971676","-138820624","1992124288","664.44","146","15.600000000000023","12.976","329","97","15.600000000000023","12.976",
"1084971677","-138820672","1992125696","677.37","146","15.600000000000023","13.081","360","98","15.600000000000023","13.081",
"1084971678","-138820688","1992127104","690.51","146","15.399999999999977","13.204","334","97","15.399999999999977","13.204",
"1084971679","-138820720","1992128640","703.81","146","15.399999999999977","13.293","303","99","15.399999999999977","13.293",
"1084971680","-138820800","1992129920","717.07","146","15.200000000000045","13.331","292","99","15.200000000000045","13.331",
"1084971681","-138820992","1992131328","730.52","147","15.200000000000045","13.246","303","98","15.200000000000045","13.246",
"1084971682","-138821504","1992132736","743.52","147","15.200000000000045","13.135","354","98","15.200000000000045","13.135",
"1084971683","-138822400","1992133888","756.63","147","15.200000000000045","13.025","326","98","15.200000000000045","13.025",
"1084971684","-138823536","1992134656","769.55","147","15.200000000000045","12.858","326","99","15.200000000000045","12.858",
"1084971685","-138824848","1992135168","782.48","147","15.399999999999977","12.827","307","98","15.399999999999977","12.827",
"1084971686","-138826208","1992135296","795.23","147","15.399999999999977","12.787","346","98","15.399999999999977","12.787",
"1084971687","-138827600","1992135168","808.17","147","15.600000000000023","12.784","298","98","15.600000000000023","12.784",
"1084971688","-138828944","1992135040","820.88","148","15.600000000000023","12.766","333","96","15.600000000000023","12.766",
"1084971689","-138830288","1992134656","833.7","148","15.799999999999955","12.795","338","97","15.799999999999955","12.795",
"1084971690","-138831600","1992134272","846.56","148","15.799999999999955","12.817","279","97","15.799999999999955","12.817",
"1084971691","-138832880","1992133760","859.26","148","15.799999999999955","12.778","236","97","15.799999999999955","12.778",
"1084971692","-138834112","1992133120","871.93","148","15.799999999999955","12.712","243","95","15.799999999999955","12.712",
"1084971693","-138835376","1992132608","884.8","148","16.0","12.643","243","93","16.0","12.643",
"1084971694","-138836560","1992131840","897.22","148","16.0","12.554","278","94","16.0","12.554",
"1084971695","-138837760","1992131328","909.78","148","16.0","12.518","207","93","16.0","12.518",
"1084971696","-138838896","1992130560","922.17","148","16.0","12.432","283","92","16.0","12.432",
"1084971697","-138840016","1992129920","934.7","149","16.200000000000045","12.429","239","91","16.200000000000045","12.429",
"1084971698","-138841072","1992129024","947.08","149","16.200000000000045","12.4","274","91","16.200000000000045","12.4",
"1084971699","-138842016","1992128000","959.56","148","16.200000000000045","12.428","273","92","16.200000000000045","12.428",
"1084971700","-138842592","1992126848","972.09","148","16.0","12.502","285","92","16.0","12.502",
"1084971701","-138842768","1992125568","984.56","148","16.0","12.626","303","92","16.0","12.626",
"1084971702","-138842688","1992124032","997.17","148","15.799999999999955","12.775","296","92","15.799999999999955","12.775",
"1084971703","-138842496","1992122624","1010.1","148","15.600000000000023","12.915","307","92","15.600000000000023","12.915",
"1084971704","-138842384","1992121344","1023.13","148","15.600000000000023","13.049","268","93","15.600000000000023","13.049",
"1084971705","-138842928","1992120064","1036.08","148","15.399999999999977","13.101","246","93","15.399999999999977","13.101",
"1084971706","-138844160","1992119296","1049.3","148","15.600000000000023","13.059","285","93","15.600000000000023","13.059",
"1084971707","-138845552","1992118912","1062.37","148","15.600000000000023","13.001","269","93","15.600000000000023","13.001",
"1084971708","-138846944","1992118912","1075.36","148","15.799999999999955","12.928","299","92","15.799999999999955","12.928",
"1084971709","-138848256","1992118656","1088.13","148","15.799999999999955","12.904","299","92","15.799999999999955","12.904",
"1084971710","-138849424","1992117632","1101.18","148","15.799999999999955","12.922","270","92","15.799999999999955","12.922",
"1084971711","-138850320","1992116608","1113.99","148","15.600000000000023","12.965","278","92","15.600000000000023","12.965",
"1084971712","-138850480","1992115328","1127.11","148","15.600000000000023","13.052","305","93","15.600000000000023","13.052",
"1084971713","-138849968","1992114048","1140.12","148","15.399999999999977","13.156","279","92","15.399999999999977","13.156",
"1084971714","-138849232","1992112768","1153.23","148","15.399999999999977","13.228","297","93","15.399999999999977","13.228",
"1084971715","-138848400","1992111488","1166.76","148","15.200000000000045","13.311","293","93","15.200000000000045","13.311",
"1084971716","-138847584","1992110464","1179.93","148","15.200000000000045","13.376","251","93","15.200000000000045","13.376",
"1084971717","-138846800","1992109184","1193.46","148","15.0","13.417","296","93","15.0","13.417",
"1084971718","-138846336","1992107648","1206.93","148","15.0","13.498","289","93","15.0","13.498",
"1084971719","-138846384","1992106240","1220.39","148","14.799999999999955","13.578","297","94","14.799999999999955","13.578",
"1084971720","-138846896","1992104960","1234.07","148","14.600000000000023","13.66","281","94","14.600000000000023","13.66",
