record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1085850877","0.0","2.3999999999999773","22","0",,,,
"1085850878","0.0","2.3999999999999773","22","0",,,,
"1085850880","0.0","2.3999999999999773","22","0",,,,
"1085850881","0.0","2.3999999999999773","22","1","567666165","-628918743","0.467",
"1085850882","0.84","9.600000000000023","22","1","567666221","-628918342","0.662",
"1085850883","1.67","12.600000000000023","22","1","567666076","-628918102","0.429",
"1085850884","1.67","15.399999999999977","22","1","567665749","-628918219","0.728",
"1085850885","1.67","15.399999999999977","22","0","567665749","-628918219","0.728",
"1085850886","2.51","17.799999999999955","22","1","567664850","-628918180","1.633",
"1085850887","4.84","20.0","22","1","567664847","-628917738","2.557",
"1085850888","7.42","21.799999999999955","22","1","567664877","-628917318","2.706",
"1085850889","10.98","23.399999999999977","22","1","567664924","-628916802","3.079",
"1085850890","14.8","24.600000000000023","22","1","567665096","-628916314","3.359",
"1085850891","18.2","26.0","22","1","567665226","-628915795","3.984",
"1085850892","21.99","27.200000000000045","22","1","567665422","-628915236","4.469",
"1085850893","26.01","28.200000000000045","22","1","567665653","-628914715","4.413",
"1085850894","30.39","29.200000000000045","22","1","567665977","-628914176","4.833",
"1085850895","34.7","30.0","22","1","567666290","-628913584","4.749",
"1085850896","39.2","30.799999999999955","22","1","567666480","-628912941","4.301",
"1085850897","43.17","31.600000000000023","22","1","567666361","-628912294","4.423",
"1085850898","46.37","32.200000000000045","22","1","567666095","-628911923","3.583",
"1085850899","49.97","32.799999999999955","22","1","567665777","-628911550","3.658",
"1085850900","54.18","32.799999999999955","22","1","567665444","-628911074","4.143",
"1085850901","58.69","33.0","22","1","567665224","-628910411","4.74",
"1085850902","63.95","33.200000000000045","22","1","567665179","-628909558","5.356",
"1085850903","70.28","33.60000000000002","22","1","567665312","-628908593","5.785",
"1085850904","76.15","34.0","22","1","567665630","-628907779","6.205",
