record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1095112932","567667143","-628905110","5.95","6.112","43.799999999999955","81","23","81",,,
"1095112933","567667503","-628904318","11.97","6.149","43.799999999999955","82","23","82",,,
"1095112934","567667890","-628903530","18.02","6.28","43.799999999999955","83","23","83",,,
"1095112935","567668266","-628902706","24.17","6.289","43.799999999999955","84","23","84",,,
"1095112936","567668674","-628901867","30.85","6.326","44.0","87","23","87",,,
"1095112937","567669054","-628901031","37.16","6.326","44.0","89","23","89","18.9",,
"1095112938","567669448","-628900234","43.39","6.289","44.200000000000045","92","23","92","18.9",,
"1095112939","567669876","-628899469","49.71","6.336","44.200000000000045","93","23","93","18.9",,
"1095112940","567670280","-628898721","55.67","6.354","44.200000000000045","95","23","95","18.9",,
"1095112941","567670670","-628897919","61.95","6.28","44.200000000000045","97","23","97","18.9",,
"1095112942","567671052","-628897131","67.97","6.205","44.200000000000045","99","23","99","18.9",,
"1095112943","567671490","-628896378","74.18","6.186","44.200000000000045","100","23","100","18.9",,
"1095112944","567671936","-628895651","80.37","6.158","44.200000000000045","101","23","101","18.9",,
"1095112945","567672396","-628894945","86.47","6.084","44.200000000000045","102","23","102","18.9",,
"1095112946","567672856","-628894235","92.52","5.962","44.39999999999998","103","23","103","18.9",,
"1095112947","567673223","-628893414","98.44","5.944","44.39999999999998","103","23","103","18.9",,
"1095112948","567673291","-628892419","104.45","6.056","44.39999999999998","104","23","104","18.9",,
"1095112949","567672841","-628891593","111.0","6.485","44.60000000000002","104","23","104","18.9",,
"1095112950","567672317","-628890941","117.07","6.858","44.60000000000002","105","23","105","18.9",,
"1095112951","567671677","-628890266","124.44","7.203","44.60000000000002","105","23","105","18.9",,
"1095112952","567671050","-628889514","132.0","7.409","44.60000000000002","105","23","105","18.5",,
"1095112953","567670396","-628888756","139.86","7.698","44.39999999999998","105","23","105","18.5",,
"1095112954","567669732","-628888003","147.51","7.968","44.200000000000045","106","23","106","18.5",,
"1095112955","567669024","-628887197","155.62","8.164","43.799999999999955","106","23","106","18.5",,
"1095112956","567668235","-628886471","164.57","8.332","43.60000000000002","107","23","107","19.03",,
"1095112957","567667465","-628885760","172.91","8.491","43.39999999999998","107","23","107","19.03",,
"1095112958","567666630","-628885086","182.13","8.612","43.0","108","23","108","19.03",,
"1095112959","567665834","-628884469","190.53","8.799","42.799999999999955","109","23","109","19.03",,
"1095112960","567664971","-628883870","199.48","8.957","42.39999999999998","110","23","110","19.03",,
"1095112961","567664075","-628883339","208.2","9.144","42.0","111","22","111","19.03",,
"1095112962","567663105","-628882874","217.71","9.415","41.799999999999955","112","22","112","18.98",,
"1095112963","567662122","-628882448","227.57","9.611","41.60000000000002","113","22","113","18.98",,
"1095112964","567661073","-628882073","237.64","9.667","41.200000000000045","114","22","114","18.98",,
"1095112965","567660067","-628881667","247.44","9.76","41.0","115","22","115","18.98",,
"1095112966","567659063","-628881213","257.11","9.928","40.39999999999998","116","22","116","18.98",,
"1095112967","567658037","-628880753","267.03","10.021","40.200000000000045","117","22","117","20.53",,
"1095112968","567657011","-628880336","276.99","10.114","39.799999999999955","117","22","117","20.53",,
