record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1101147607","614548672","-908010","0.18","18.0","10.795","263","138","101","18.0","10.795",
"1101147608","614548224","-908011","4.86","18.0","10.815","263","138","101","18.0","10.815",
"1101147609","614547072","-908035","15.7","18.0","10.833","234","138","99","18.0","10.833",
"1101147610","614545856","-908071","26.6","18.0","11.005","388","139","100","18.0","11.005",
"1101147611","614544704","-908104","37.73","18.0","11.232","455","140","101","18.0","11.232",
"1101147612","614543488","-908130","49.12","18.0","11.536","538","141","104","18.0","11.536",
"1101147613","614542208","-908155","60.77","18.0","11.767","473","142","97","18.0","11.767",
"1101147614","614540992","-908183","72.63","18.0","11.938","450","143","98","18.0","11.938",
"1101147615","614539648","-908216","84.62","18.0","12.03","375","144","99","18.0","12.03",
"1101147616","614538368","-908333","96.68","18.0","12.054","306","145","99","18.0","12.054",
"1101147617","614537088","-908677","108.75","18.0","12.091","340","146","99","18.0","12.091",
"1101147618","614535872","-909248","120.87","18.0","12.151","368","147","98","18.0","12.151",
"1101147619","614534656","-910092","133.06","18.0","12.222","378","148","98","18.0","12.222",
"1101147620","614533568","-911187","145.3","18.0","12.262","341","149","99","18.0","12.262",
"1101147621","614532480","-912468","157.61","18.0","12.343","410","150","99","18.0","12.343",
"1101147622","614531520","-913911","169.96","18.200000000000045","12.356","361","151","99","18.200000000000045","12.356",
"1101147623","614531008","-915850","182.3","18.200000000000045","12.301","327","152","99","18.200000000000045","12.301",
"1101147624","614530816","-917939","194.56","18.399999999999977","12.257","383","153","98","18.399999999999977","12.257",
"1101147625","614530816","-920043","206.81","18.399999999999977","12.211","387","153","99","18.399999999999977","12.211",
"1101147626","614530880","-922139","219.0","18.600000000000023","12.184","375","154","98","18.600000000000023","12.184",
"1101147627","614530880","-924232","231.18","18.600000000000023","12.214","371","155","98","18.600000000000023","12.214",
"1101147628","614530880","-926339","243.45","18.399999999999977","12.328","346","155","98","18.399999999999977","12.328",
"1101147629","614530944","-928473","255.87","18.200000000000045","12.512","345","156","97","18.200000000000045","12.512",
"1101147630","614531072","-930637","268.47","18.0","12.685","335","156","98","18.0","12.685",
"1101147631","614531200","-932819","281.23","18.0","12.796","360","157","99","18.0","12.796",
"1101147632","614531520","-934951","294.0","18.200000000000045","12.701","342","157","99","18.200000000000045","12.701",
"1101147633","614531968","-936969","306.57","18.600000000000023","12.418","345","157","99","18.600000000000023","12.418",
"1101147634","614532416","-938945","318.82","19.0","12.139","351","158","97","19.0","12.139",
"1101147635","614532736","-940963","330.9","19.0","12.059","415","158","97","19.0","12.059",
"1101147636","614532928","-943000","342.97","19.200000000000045","12.045","391","159","96","19.200000000000045","12.045",
"1101147637","614533120","-945043","355.0","19.399999999999977","12.046","391","159","96","19.399999999999977","12.046",
"1101147638","614533312","-947099","367.03","19.399999999999977","12.014","366","159","96","19.399999999999977","12.014",
"1101147639","614533376","-949147","379.0","19.600000000000023","11.901","333","160","95","19.600000000000023","11.901",
"1101147640","614533504","-951175","390.84","20.0","11.765","358","160","96","20.0","11.765",
"1101147641","614533184","-953125","402.58","20.0","11.735","379","160","96","20.0","11.735",
"1101147642","614532608","-954900","414.33","20.200000000000045","11.757","357","161","95","20.200000000000045","11.757",
"1101147643","614531840","-956546","426.09","20.200000000000045","11.794","372","161","95","20.200000000000045","11.794",
"1101147644","614531072","-958154","437.92","20.200000000000045","11.854","369","161","94","20.200000000000045","11.854",
"1101147645","614530304","-959769","449.82","20.200000000000045","11.938","356","161","96","20.200000000000045","11.938",
"1101147646","614529536","-961441","461.79","20.0","12.045","324","162","96","20.0","12.045",
"1101147647","614528896","-963249","473.96","19.799999999999955","12.292","382","162","96","19.799999999999955","12.292",
"1101147648","614528320","-965176","486.43","19.399999999999977","12.661","340","162","97","19.399999999999977","12.661",
"1101147649","614527808","-967224","499.34","18.600000000000023","13.15","368","162","97","18.600000000000023","13.15",
"1101147650","614527296","-969398","512.72","18.0","13.61","332","162","99","18.0","13.61",
"1101147651","614526976","-971679","526.51","17.399999999999977","13.951","317","163","100","17.399999999999977","13.951",
"1101147652","614526656","-974044","540.55","17.200000000000045","14.048","313","163","100","17.200000000000045","14.048",
"1101147653","614526464","-976433","554.53","17.200000000000045","13.916","348","163","101","17.200000000000045","13.916",
"1101147654","614526464","-978804","568.33","17.600000000000023","13.647","379","163","99","17.600000000000023","13.647",
"1101147655","614526528","-981122","581.83","18.0","13.351","372","163","100","18.0","13.351",
"1101147656","614526656","-983385","595.05","18.200000000000045","13.134","374","164","99","18.200000000000045","13.134",
"1101147657","614526912","-985597","608.11","18.399999999999977","12.971","371","164","98","18.399999999999977","12.971",
