record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1089293800","551881462","-945967191","0.0","5.748","244.79999999999995","23","0",
"1089293801","551880898","-945966890","5.82","5.804","244.79999999999995","24","1",
"1089293802","551880316","-945966632","11.29","5.953","245.0","24","1",
"1089293803","551879669","-945966310","17.66","6.308","245.0","23","1",
"1089293804","551879009","-945965964","24.23","6.587","245.20000000000005","24","1",
"1089293805","551878289","-945965597","31.44","7.082","245.20000000000005","24","1",
"1089293806","551877538","-945965218","38.75","7.539","245.20000000000005","24","1",
"1089293807","551876726","-945964826","46.69","7.94","245.0","24","1",
"1089293808","551875879","-945964409","55.21","8.286","245.0","24","1",
"1089293809","551875058","-945963979","63.04","8.482","245.0","24","1",
"1089293810","551874160","-945963513","71.62","8.818","244.79999999999995","24","1",
"1089293811","551873185","-945963003","81.25","9.153","244.60000000000002","24","1",
"1089293812","551872218","-945962462","91.12","9.191","244.39999999999998","24","1",
"1089293813","551871268","-945961957","100.73","9.219","244.39999999999998","24","1",
"1089293814","551870326","-945961469","110.0","9.284","244.0","24","1",
"1089293815","551869371","-945960996","119.42","9.312","243.79999999999995","24","1",
"1089293816","551868420","-945960537","128.73","9.247","243.79999999999995","24","1",
"1089293817","551867469","-945960062","138.24","9.172","243.60000000000002","24","1",
"1089293818","551866546","-945959574","147.37","9.153","243.39999999999998","24","1",
"1089293819","551865620","-945959090","156.63","9.135","243.20000000000005","24","1",
"1089293820","551864716","-945958608","165.56","9.088","243.20000000000005","24","1",
"1089293821","551863818","-945958153","174.6","8.939","243.20000000000005","24","1",
"1089293822","551862957","-945957722","183.14","8.864","243.20000000000005","24","1",
"1089293823","551862119","-945957285","191.3","8.678","243.39999999999998","24","1",
"1089293824","551861239","-945956865","200.02","8.678","243.39999999999998","24","1",
"1089293825","551860381","-945956406","208.61","8.603","243.39999999999998","24","1",
"1089293826","551859532","-945955982","217.07","8.463","243.39999999999998","24","1",
"1089293827","551858708","-945955540","225.25","8.416","243.39999999999998","24","1",
"1089293828","551857869","-945955112","233.51","8.51","243.60000000000002","24","1",
"1089293829","551856995","-945954677","242.27","8.845","243.60000000000002","24","1",
"1089293830","551856159","-945954212","250.47","8.827","243.60000000000002","24","1",
"1089293831","551855261","-945953714","259.47","9.116","243.39999999999998","24","1",
"1089293832","551854340","-945953202","268.69","9.424","243.39999999999998","24","1",
"1089293833","551853374","-945952671","278.33","9.807","243.39999999999998","24","1",
"1089293834","551852384","-945952114","288.13","10.189","243.39999999999998","24","1",
"1089293835","551851335","-945951521","298.39","10.665","243.0","24","1",
"1089293836","551850208","-945950853","309.56","11.16","242.60000000000002","24","1",
"1089293837","551849032","-945950134","321.21","11.551","242.20000000000005","24","1",
"1089293838","551847788","-945949397","333.78","11.859","241.79999999999995","24","1",
"1089293839","551846540","-945948696","346.31","11.943","241.20000000000005","24","1",
"1089293840","551845301","-945947990","358.99","11.906","240.39999999999998","24","1",
"1089293841","551844107","-945947271","371.05","11.85","239.79999999999995","24","1",
"1089293842","551842916","-945946578","383.19","11.766","239.20000000000005","23","1",
"1089293843","551841769","-945945897","394.68","11.635","238.79999999999995","23","1",
"1089293844","551840616","-945945221","406.29","11.579","238.20000000000005","23","1",
"1089293845","551839466","-945944567","417.83","11.495","237.79999999999995","23","1",
"1089293846","551838340","-945943891","429.1","11.393","237.60000000000002","23","1",
"1089293847","551837214","-945943235","440.48","11.234","237.39999999999998","23","1",
"1089293848","551836100","-945942591","451.72","11.178","237.20000000000005","23","1",
"1089293849","551835008","-945941930","462.87","11.104","236.79999999999995","23","1",
"1089293850","551833932","-945941281","473.8","11.132","236.79999999999995","23","1",
"1089293851","551832858","-945940652","484.41","11.178","236.60000000000002","23","1",
"1089293852","551831736","-945940004","495.55","11.29","236.60000000000002","23","1",
"1089293853","551830566","-945939343","507.07","11.523","236.39999999999998","23","1",
"1089293854","551829350","-945938629","519.39","11.766","236.0","23","1",
"1089293855","551828130","-945937932","531.74","11.999","235.79999999999995","23","1",
