Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1070835075",s,position_lat,"-138807931",semicircles,position_long,"1992069836",semicircles,distance,"0.85",m,heart_rate,"135",bpm,altitude,"13.0",m,speed,"9.855",m/s,power,"337",watts,cadence,"100",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"9.855",m/s,
Data,3,record,timestamp,"1070835076",s,position_lat,"-138809010",semicircles,position_long,"1992070185",semicircles,distance,"11.37",m,heart_rate,"135",bpm,altitude,"13.0",m,speed,"10.093",m/s,power,"313",watts,cadence,"100",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"10.093",m/s,
Data,3,record,timestamp,"1070835077",s,position_lat,"-138810017",semicircles,position_long,"1992070525",semicircles,distance,"21.21",m,heart_rate,"137",bpm,altitude,"13.0",m,speed,"10.279",m/s,power,"305",watts,cadence,"99",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"10.279",m/s,
Data,3,record,timestamp,"1070835078",s,position_lat,"-138811061",semicircles,position_long,"1992071003",semicircles,distance,"31.85",m,heart_rate,"138",bpm,altitude,"13.0",m,speed,"10.411",m/s,power,"309",watts,cadence,"99",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"10.411",m/s,
Data,3,record,timestamp,"1070835079",s,position_lat,"-138812004",semicircles,position_long,"1992071595",semicircles,distance,"42.15",m,heart_rate,"140",bpm,altitude,"13.0",m,speed,"10.561",m/s,power,"276",watts,cadence,"99",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"10.561",m/s,
Data,3,record,timestamp,"1070835080",s,position_lat,"-138812837",semicircles,position_long,"1992072352",semicircles,distance,"52.57",m,heart_rate,"141",bpm,altitude,"13.0",m,speed,"10.707",m/s,power,"312",watts,cadence,"99",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"10.707",m/s,
Data,3,record,timestamp,"1070835081",s,position_lat,"-138813338",semicircles,position_long,"1992073441",semicircles,distance,"63.68",m,heart_rate,"141",bpm,altitude,"13.0",m,speed,"10.884",m/s,power,"322",watts,cadence,"99",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"10.884",m/s,
Data,3,record,timestamp,"1070835082",s,position_lat,"-138813348",semicircles,position_long,"1992074624",semicircles,distance,"74.58",m,heart_rate,"143",bpm,altitude,"13.0",m,speed,"11.055",m/s,power,"342",watts,cadence,"98",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.055",m/s,
Data,3,record,timestamp,"1070835083",s,position_lat,"-138813085",semicircles,position_long,"1992075803",semicircles,distance,"85.67",m,heart_rate,"144",bpm,altitude,"13.0",m,speed,"11.274",m/s,power,"421",watts,cadence,"100",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.274",m/s,
Data,3,record,timestamp,"1070835084",s,position_lat,"-138812706",semicircles,position_long,"1992076976",semicircles,distance,"96.99",m,heart_rate,"145",bpm,altitude,"13.0",m,speed,"11.438",m/s,power,"355",watts,cadence,"101",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.438",m/s,
Data,3,record,timestamp,"1070835085",s,position_lat,"-138812308",semicircles,position_long,"1992078158",semicircles,distance,"108.43",m,heart_rate,"147",bpm,altitude,"13.0",m,speed,"11.575",m/s,power,"305",watts,cadence,"101",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.575",m/s,
