record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1086172232","0.0","72.39999999999998","83","20","83",,,,,,
"1086172233","0.0","72.39999999999998","83","20","83",,,,,,
"1086172234","0.0","72.39999999999998","83","20","83",,,,,,
"1086172235","0.0","72.39999999999998","83","20","83",,,,,,
"1086172236","0.0","72.39999999999998","83","20","83","21.26",,,,,
"1086172237","0.0","72.39999999999998","82","20","82","21.26",,,,,
"1086172238","0.0","72.39999999999998","81","20","81","21.26",,,,,
"1086172239","0.0","72.39999999999998","80","20","80","21.26",,,,,
"1086172240","0.0","72.39999999999998","78","20","78","21.26",,,,,
"1086172241","0.0","72.39999999999998","77","20","77","18.31",,,,,
"1086172242","0.0","72.39999999999998","77","20","77","18.31",,,,,
"1086172243","0.0","72.39999999999998","78","20","78","18.31",,,,,
"1086172245","0.0","67.20000000000005","78","20","78","18.31","569851695","-629512800","0.252",,
"1086172246","0.0","63.0","80","20","80","18.31","569851840","-629512901","0.0",,
"1086172414","0.0","17.600000000000023","80","19","1","18.31","569850370","-629511984","1.372",,
"1086172415","1.06","17.600000000000023","80","19","1","18.31","569850483","-629512005","1.222",,
"1086172416","2.35","17.600000000000023","83","19","83","18.31","569850619","-629511915","1.558",,
"1086172417","3.39","17.600000000000023","85","19","85","18.31","569850720","-629511877","1.26",,
"1086172418","4.23","17.600000000000023","87","19","87","18.31","569850822","-629511904","1.25",,
"1086172419","5.5","17.600000000000023","88","19","88","18.31","569850953","-629511906","1.409",,
"1086172420","6.9","17.600000000000023","91","19","91","16.01","569851111","-629511929","1.717",,
"1086172421","8.73","17.600000000000023","92","19","92","16.01","569851305","-629512043","2.053",,
"1086172422","10.91","17.600000000000023","93","19","93","16.01","569851474","-629512306","2.249",,
"1086172423","13.01","17.600000000000023","94","19","94","16.01","569851592","-629512596","2.062",,
"1086172424","14.18","17.799999999999955","94","19","94","16.01","569851650","-629512757","1.129",,
"1086172425","14.78","17.799999999999955","95","19","95","16.01","569851735","-629512774","0.233",,
"1086172426","14.78","18.0","96","19","96","16.18","569851780","-629512678","0.0",,
"1086172555","14.78","16.600000000000023","94","18","94","15.09","569851776","-629512436","1.409",,
"1086172556","15.63","16.600000000000023","95","18","95","15.09","569851692","-629512327","1.325",,
"1086172557","17.29","16.399999999999977","97","18","97","15.09","569851576","-629512168","1.362",,
"1086172558","18.09","16.399999999999977","98","18","98","15.09","569851491","-629512032","1.428",,
"1086172559","19.65","16.399999999999977","99","18","99","15.09","569851401","-629511874","1.222",,
"1086172560","20.69","16.399999999999977","99","18","99","15.57","569851335","-629511760","1.092",,
"1086172561","20.69","16.399999999999977","99","18","99","15.57","569851322","-629511690","1.008",,
"1086172562","21.47","16.399999999999977","99","18","99","15.57","569851249","-629511604","0.905",,
"1086172563","21.85","16.399999999999977","99","18","99","15.57","569851173","-629511556","0.905",,
"1086172564","23.39","16.200000000000045","97","18","97","15.57","569851072","-629511493","0.774",,
"1086172565","23.39","16.200000000000045","97","18","97","15.1","569851095","-629511488","0.439",,
"1086172566","24.35","16.200000000000045","96","18","96","15.1","569851041","-629511509","0.373",,
"1086172822","24.35","15.799999999999955","92","17","92","12.59","569849861","-629511201","3.452",,
"1086172823","28.32","15.600000000000023","93","17","93","12.59","569849452","-629511100","4.059",,
"1086172824","32.42","15.600000000000023","93","17","93","12.59","569849020","-629510986","4.376",,
"1086172825","37.35","15.600000000000023","94","17","94","13.11","569848499","-629510855","4.992",,
"1086172826","43.32","15.600000000000023","96","18","96","13.11","569847865","-629510739","5.962",,
"1086172827","49.35","15.600000000000023","97","17","97","13.11","569847227","-629510683","6.102",,
"1086172828","55.38","15.600000000000023","100","17","100","13.11","569846588","-629510698","6.13",,
"1086172829","61.66","16.200000000000045","103","17","103","13.11","569845906","-629510746","6.578",,
"1086172830","68.37","16.399999999999977","105","17","105","13.47","569845170","-629510784","7.054",,
"1086172831","75.5","16.399999999999977","108","17","108","13.47","569844390","-629510754","7.259",,
"1086172832","83.05","16.399999999999977","110","17","110","13.47","569843573","-629510698","7.511",,
"1086172833","90.82","16.399999999999977","113","17","113","13.47","569842736","-629510596","7.698",,
"1086172834","98.68","16.799999999999955","114","17","114","13.47","569841892","-629510424","7.856",,
"1086172835","106.84","17.0","116","17","116","14.1","569841029","-629510172","8.08",,
"1086172836","115.08","17.0","118","17","118","14.1","569840182","-629509850","8.09",,
"1086172837","123.28","17.200000000000045","119","17","119","14.1","569839324","-629509553","8.146",,
"1086172838","131.74","17.200000000000045","120","17","120","14.1","569838473","-629509077","8.36",,
