Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Data,3,record,timestamp,"1110743881",s,position_lat,"-138827648",semicircles,position_long,"1992059008",semicircles,distance,"0.3",m,altitude,"12.799999999999955",m,speed,"0.928",m/s,power,"119",watts,heart_rate,"55",bpm,cadence,"14",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"0.928",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743882",s,position_lat,"-138827504",semicircles,position_long,"1992059008",semicircles,distance,"1.56",m,altitude,"12.799999999999955",m,speed,"1.837",m/s,power,"125",watts,heart_rate,"56",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"1.837",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743883",s,position_lat,"-138827264",semicircles,position_long,"1992059008",semicircles,distance,"3.75",m,altitude,"12.799999999999955",m,speed,"2.478",m/s,power,"119",watts,heart_rate,"57",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"2.478",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743884",s,position_lat,"-138826976",semicircles,position_long,"1992059008",semicircles,distance,"6.47",m,altitude,"12.799999999999955",m,speed,"2.902",m/s,power,"89",watts,heart_rate,"60",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"2.902",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743885",s,position_lat,"-138826656",semicircles,position_long,"1992059264",semicircles,distance,"9.53",m,altitude,"12.799999999999955",m,speed,"3.183",m/s,power,"86",watts,heart_rate,"61",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.183",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743886",s,position_lat,"-138826304",semicircles,position_long,"1992059264",semicircles,distance,"12.78",m,altitude,"12.799999999999955",m,speed,"3.397",m/s,power,"70",watts,heart_rate,"62",bpm,cadence,"71",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.397",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743887",s,position_lat,"-138825952",semicircles,position_long,"1992059392",semicircles,distance,"16.28",m,altitude,"12.799999999999955",m,speed,"3.566",m/s,power,"72",watts,heart_rate,"63",bpm,cadence,"78",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.566",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743888",s,position_lat,"-138825568",semicircles,position_long,"1992059392",semicircles,distance,"19.94",m,altitude,"12.799999999999955",m,speed,"3.726",m/s,power,"71",watts,heart_rate,"64",bpm,cadence,"78",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.726",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743889",s,position_lat,"-138825168",semicircles,position_long,"1992059648",semicircles,distance,"23.74",m,altitude,"12.799999999999955",m,speed,"3.87",m/s,power,"67",watts,heart_rate,"65",bpm,cadence,"78",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.87",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743890",s,position_lat,"-138824736",semicircles,position_long,"1992059648",semicircles,distance,"27.65",m,altitude,"13.0",m,speed,"3.984",m/s,power,"59",watts,heart_rate,"66",bpm,cadence,"77",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"3.984",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743891",s,position_lat,"-138824304",semicircles,position_long,"1992059648",semicircles,distance,"31.74",m,altitude,"13.0",m,speed,"4.073",m/s,power,"54",watts,heart_rate,"66",bpm,cadence,"76",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"4.073",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743892",s,position_lat,"-138823872",semicircles,position_long,"1992059776",semicircles,distance,"35.79",m,altitude,"13.0",m,speed,"4.16",m/s,power,"64",watts,heart_rate,"67",bpm,cadence,"75",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"4.16",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743893",s,position_lat,"-138823424",semicircles,position_long,"1992059776",semicircles,distance,"40.04",m,altitude,"13.0",m,speed,"4.268",m/s,power,"69",watts,heart_rate,"67",bpm,cadence,"76",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"4.268",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743894",s,position_lat,"-138822960",semicircles,position_long,"1992059776",semicircles,distance,"44.38",m,altitude,"13.0",m,speed,"4.389",m/s,power,"77",watts,heart_rate,"68",bpm,cadence,"77",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"4.389",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743895",s,position_lat,"-138822496",semicircles,position_long,"1992060032",semicircles,distance,"48.81",m,altitude,"13.0",m,speed,"4.527",m/s,power,"88",watts,heart_rate,"69",bpm,cadence,"78",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"4.527",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743896",s,position_lat,"-138822016",semicircles,position_long,"1992060160",semicircles,distance,"53.39",m,altitude,"13.0",m,speed,"4.655",m/s,power,"74",watts,heart_rate,"69",bpm,cadence,"79",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"4.655",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743897",s,position_lat,"-138821520",semicircles,position_long,"1992060160",semicircles,distance,"58.11",m,altitude,"13.0",m,speed,"4.771",m/s,power,"86",watts,heart_rate,"69",bpm,cadence,"78",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"4.771",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110743898",s,position_lat,"-138821040",semicircles,position_long,"1992060288",semicircles,distance,"62.97",m,altitude,"13.0",m,speed,"4.899",m/s,power,"93",watts,heart_rate,"70",bpm,cadence,"80",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"4.899",m/s,target_power,"0",watts,
