Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Data,3,record,timestamp,"1110381553",s,position_lat,"563969728",semicircles,position_long,"135961664",semicircles,distance,"0.28",m,altitude,"283.79999999999995",m,speed,"11.352",m/s,power,"307",watts,heart_rate,"144",bpm,cadence,"96",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"11.352",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381554",s,position_lat,"563969728",semicircles,position_long,"135960400",semicircles,distance,"8.25",m,altitude,"283.79999999999995",m,speed,"11.42",m/s,power,"307",watts,heart_rate,"144",bpm,cadence,"96",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"11.42",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381555",s,position_lat,"563969536",semicircles,position_long,"135958592",semicircles,distance,"19.71",m,altitude,"283.79999999999995",m,speed,"11.495",m/s,power,"268",watts,heart_rate,"145",bpm,cadence,"96",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"11.495",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381556",s,position_lat,"563969152",semicircles,position_long,"135956864",semicircles,distance,"31.24",m,altitude,"283.79999999999995",m,speed,"11.562",m/s,power,"287",watts,heart_rate,"146",bpm,cadence,"94",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"11.562",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381557",s,position_lat,"563968448",semicircles,position_long,"135955376",semicircles,distance,"42.82",m,altitude,"283.79999999999995",m,speed,"11.604",m/s,power,"261",watts,heart_rate,"147",bpm,cadence,"95",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"11.604",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381558",s,position_lat,"563967488",semicircles,position_long,"135954192",semicircles,distance,"54.45",m,altitude,"283.79999999999995",m,speed,"11.654",m/s,power,"269",watts,heart_rate,"147",bpm,cadence,"94",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"11.654",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381559",s,position_lat,"563966400",semicircles,position_long,"135953408",semicircles,distance,"65.93",m,altitude,"283.79999999999995",m,speed,"11.69",m/s,power,"274",watts,heart_rate,"147",bpm,cadence,"93",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"11.69",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381560",s,position_lat,"563965120",semicircles,position_long,"135952992",semicircles,distance,"77.83",m,altitude,"284.0",m,speed,"11.709",m/s,power,"277",watts,heart_rate,"148",bpm,cadence,"93",rpm,enhanced_altitude,"284.0",m,enhanced_speed,"11.709",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381561",s,position_lat,"563963904",semicircles,position_long,"135952816",semicircles,distance,"89.55",m,altitude,"284.0",m,speed,"11.727",m/s,power,"310",watts,heart_rate,"149",bpm,cadence,"93",rpm,enhanced_altitude,"284.0",m,enhanced_speed,"11.727",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381562",s,position_lat,"563962624",semicircles,position_long,"135952624",semicircles,distance,"101.29",m,altitude,"284.0",m,speed,"11.763",m/s,power,"310",watts,heart_rate,"149",bpm,cadence,"93",rpm,enhanced_altitude,"284.0",m,enhanced_speed,"11.763",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381563",s,position_lat,"563961344",semicircles,position_long,"135952448",semicircles,distance,"113.08",m,altitude,"284.20000000000005",m,speed,"11.799",m/s,power,"298",watts,heart_rate,"150",bpm,cadence,"92",rpm,enhanced_altitude,"284.20000000000005",m,enhanced_speed,"11.799",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381564",s,position_lat,"563960128",semicircles,position_long,"135952256",semicircles,distance,"124.69",m,altitude,"284.20000000000005",m,speed,"11.82",m/s,power,"298",watts,heart_rate,"151",bpm,cadence,"92",rpm,enhanced_altitude,"284.20000000000005",m,enhanced_speed,"11.82",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381565",s,position_lat,"563958848",semicircles,position_long,"135952064",semicircles,distance,"136.71",m,altitude,"284.4",m,speed,"11.82",m/s,power,"283",watts,heart_rate,"151",bpm,cadence,"92",rpm,enhanced_altitude,"284.4",m,enhanced_speed,"11.82",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381566",s,position_lat,"563957568",semicircles,position_long,"135951856",semicircles,distance,"148.54",m,altitude,"284.4",m,speed,"11.843",m/s,power,"308",watts,heart_rate,"152",bpm,cadence,"91",rpm,enhanced_altitude,"284.4",m,enhanced_speed,"11.843",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381567",s,position_lat,"563956288",semicircles,position_long,"135951680",semicircles,distance,"160.32",m,altitude,"284.4",m,speed,"11.713",m/s,power,"282",watts,heart_rate,"152",bpm,cadence,"91",rpm,enhanced_altitude,"284.4",m,enhanced_speed,"11.713",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381568",s,position_lat,"563955072",semicircles,position_long,"135951504",semicircles,distance,"171.99",m,altitude,"284.6",m,speed,"11.634",m/s,power,"310",watts,heart_rate,"153",bpm,cadence,"91",rpm,enhanced_altitude,"284.6",m,enhanced_speed,"11.634",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381569",s,position_lat,"563953792",semicircles,position_long,"135951344",semicircles,distance,"183.58",m,altitude,"284.6",m,speed,"11.553",m/s,power,"273",watts,heart_rate,"153",bpm,cadence,"91",rpm,enhanced_altitude,"284.6",m,enhanced_speed,"11.553",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381570",s,position_lat,"563952640",semicircles,position_long,"135951184",semicircles,distance,"194.93",m,altitude,"284.6",m,speed,"11.563",m/s,power,"317",watts,heart_rate,"154",bpm,cadence,"91",rpm,enhanced_altitude,"284.6",m,enhanced_speed,"11.563",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381571",s,position_lat,"563951360",semicircles,position_long,"135951040",semicircles,distance,"206.75",m,altitude,"284.4",m,speed,"11.692",m/s,power,"317",watts,heart_rate,"154",bpm,cadence,"91",rpm,enhanced_altitude,"284.4",m,enhanced_speed,"11.692",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381572",s,position_lat,"563950144",semicircles,position_long,"135950896",semicircles,distance,"218.3",m,altitude,"284.4",m,speed,"11.789",m/s,power,"264",watts,heart_rate,"155",bpm,cadence,"92",rpm,enhanced_altitude,"284.4",m,enhanced_speed,"11.789",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381573",s,position_lat,"563948864",semicircles,position_long,"135950736",semicircles,distance,"230.32",m,altitude,"284.4",m,speed,"11.852",m/s,power,"264",watts,heart_rate,"155",bpm,cadence,"92",rpm,enhanced_altitude,"284.4",m,enhanced_speed,"11.852",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381574",s,position_lat,"563947584",semicircles,position_long,"135950544",semicircles,distance,"242.23",m,altitude,"284.20000000000005",m,speed,"11.959",m/s,power,"322",watts,heart_rate,"155",bpm,cadence,"92",rpm,enhanced_altitude,"284.20000000000005",m,enhanced_speed,"11.959",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381575",s,position_lat,"563946304",semicircles,position_long,"135950320",semicircles,distance,"254.24",m,altitude,"284.20000000000005",m,speed,"12.055",m/s,power,"284",watts,heart_rate,"156",bpm,cadence,"91",rpm,enhanced_altitude,"284.20000000000005",m,enhanced_speed,"12.055",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381576",s,position_lat,"563944960",semicircles,position_long,"135950112",semicircles,distance,"266.34",m,altitude,"284.20000000000005",m,speed,"12.155",m/s,power,"278",watts,heart_rate,"156",bpm,cadence,"92",rpm,enhanced_altitude,"284.20000000000005",m,enhanced_speed,"12.155",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381577",s,position_lat,"563943680",semicircles,position_long,"135949888",semicircles,distance,"278.56",m,altitude,"284.0",m,speed,"12.289",m/s,power,"280",watts,heart_rate,"157",bpm,cadence,"91",rpm,enhanced_altitude,"284.0",m,enhanced_speed,"12.289",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381578",s,position_lat,"563942400",semicircles,position_long,"135949696",semicircles,distance,"290.92",m,altitude,"283.79999999999995",m,speed,"12.426",m/s,power,"280",watts,heart_rate,"157",bpm,cadence,"92",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"12.426",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381579",s,position_lat,"563941056",semicircles,position_long,"135949488",semicircles,distance,"303.2",m,altitude,"283.79999999999995",m,speed,"12.528",m/s,power,"272",watts,heart_rate,"157",bpm,cadence,"92",rpm,enhanced_altitude,"283.79999999999995",m,enhanced_speed,"12.528",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381580",s,position_lat,"563939712",semicircles,position_long,"135949264",semicircles,distance,"315.96",m,altitude,"283.6",m,speed,"12.59",m/s,power,"252",watts,heart_rate,"157",bpm,cadence,"92",rpm,enhanced_altitude,"283.6",m,enhanced_speed,"12.59",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381581",s,position_lat,"563938368",semicircles,position_long,"135949008",semicircles,distance,"328.57",m,altitude,"283.6",m,speed,"12.623",m/s,power,"234",watts,heart_rate,"157",bpm,cadence,"91",rpm,enhanced_altitude,"283.6",m,enhanced_speed,"12.623",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381582",s,position_lat,"563937024",semicircles,position_long,"135949152",semicircles,distance,"341.2",m,altitude,"283.6",m,speed,"12.614",m/s,power,"234",watts,heart_rate,"157",bpm,cadence,"91",rpm,enhanced_altitude,"283.6",m,enhanced_speed,"12.614",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381583",s,position_lat,"563936000",semicircles,position_long,"135950288",semicircles,distance,"353.78",m,altitude,"283.6",m,speed,"12.539",m/s,power,"273",watts,heart_rate,"158",bpm,cadence,"91",rpm,enhanced_altitude,"283.6",m,enhanced_speed,"12.539",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381584",s,position_lat,"563935680",semicircles,position_long,"135952208",semicircles,distance,"366.29",m,altitude,"283.6",m,speed,"12.509",m/s,power,"263",watts,heart_rate,"158",bpm,cadence,"91",rpm,enhanced_altitude,"283.6",m,enhanced_speed,"12.509",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381585",s,position_lat,"563935680",semicircles,position_long,"135954192",semicircles,distance,"378.85",m,altitude,"283.6",m,speed,"12.616",m/s,power,"287",watts,heart_rate,"158",bpm,cadence,"91",rpm,enhanced_altitude,"283.6",m,enhanced_speed,"12.616",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381586",s,position_lat,"563935936",semicircles,position_long,"135956176",semicircles,distance,"391.53",m,altitude,"283.4",m,speed,"12.726",m/s,power,"253",watts,heart_rate,"158",bpm,cadence,"91",rpm,enhanced_altitude,"283.4",m,enhanced_speed,"12.726",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381587",s,position_lat,"563936192",semicircles,position_long,"135958128",semicircles,distance,"404.09",m,altitude,"283.20000000000005",m,speed,"12.825",m/s,power,"230",watts,heart_rate,"158",bpm,cadence,"90",rpm,enhanced_altitude,"283.20000000000005",m,enhanced_speed,"12.825",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381588",s,position_lat,"563936512",semicircles,position_long,"135960176",semicircles,distance,"417.19",m,altitude,"283.0",m,speed,"12.945",m/s,power,"287",watts,heart_rate,"158",bpm,cadence,"90",rpm,enhanced_altitude,"283.0",m,enhanced_speed,"12.945",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110381589",s,position_lat,"563936832",semicircles,position_long,"135962176",semicircles,distance,"430.21",m,altitude,"282.79999999999995",m,speed,"13.094",m/s,power,"287",watts,heart_rate,"158",bpm,cadence,"90",rpm,enhanced_altitude,"282.79999999999995",m,enhanced_speed,"13.094",m/s,target_power,"0",watts,
