record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110743881","-138827648","1992059008","0.3","12.799999999999955","0.928","119","55","14","12.799999999999955","0.928","0",
"1110743882","-138827504","1992059008","1.56","12.799999999999955","1.837","125","56","1","12.799999999999955","1.837","0",
"1110743883","-138827264","1992059008","3.75","12.799999999999955","2.478","119","57","1","12.799999999999955","2.478","0",
"1110743884","-138826976","1992059008","6.47","12.799999999999955","2.902","89","60","1","12.799999999999955","2.902","0",
"1110743885","-138826656","1992059264","9.53","12.799999999999955","3.183","86","61","1","12.799999999999955","3.183","0",
"1110743886","-138826304","1992059264","12.78","12.799999999999955","3.397","70","62","71","12.799999999999955","3.397","0",
"1110743887","-138825952","1992059392","16.28","12.799999999999955","3.566","72","63","78","12.799999999999955","3.566","0",
"1110743888","-138825568","1992059392","19.94","12.799999999999955","3.726","71","64","78","12.799999999999955","3.726","0",
"1110743889","-138825168","1992059648","23.74","12.799999999999955","3.87","67","65","78","12.799999999999955","3.87","0",
"1110743890","-138824736","1992059648","27.65","13.0","3.984","59","66","77","13.0","3.984","0",
"1110743891","-138824304","1992059648","31.74","13.0","4.073","54","66","76","13.0","4.073","0",
"1110743892","-138823872","1992059776","35.79","13.0","4.16","64","67","75","13.0","4.16","0",
"1110743893","-138823424","1992059776","40.04","13.0","4.268","69","67","76","13.0","4.268","0",
"1110743894","-138822960","1992059776","44.38","13.0","4.389","77","68","77","13.0","4.389","0",
"1110743895","-138822496","1992060032","48.81","13.0","4.527","88","69","78","13.0","4.527","0",
"1110743896","-138822016","1992060160","53.39","13.0","4.655","74","69","79","13.0","4.655","0",
"1110743897","-138821520","1992060160","58.11","13.0","4.771","86","69","78","13.0","4.771","0",
"1110743898","-138821040","1992060288","62.97","13.0","4.899","93","70","80","13.0","4.899","0",
"1110743899","-138820544","1992060672","67.97","13.0","5.029","92","70","81","13.0","5.029","0",
"1110743900","-138820080","1992060928","73.03","13.0","5.145","90","70","82","13.0","5.145","0",
"1110743901","-138819632","1992061312","78.21","13.0","5.255","92","71","83","13.0","5.255","0",
"1110743902","-138819200","1992061568","83.49","13.0","5.359","92","72","82","13.0","5.359","0",
"1110743903","-138818784","1992062208","88.94","13.0","5.446","83","72","84","13.0","5.446","0",
"1110743904","-138818432","1992062464","94.44","13.0","5.515","79","73","84","13.0","5.515","0",
"1110743905","-138818080","1992063104","99.92","13.0","5.575","77","74","84","13.0","5.575","0",
"1110743906","-138817808","1992063616","105.59","13.0","5.659","83","75","84","13.0","5.659","0",
"1110743907","-138817552","1992064128","111.29","13.0","5.759","96","76","84","13.0","5.759","0",
"1110743908","-138817296","1992064768","117.12","13.0","5.861","86","77","86","13.0","5.861","0",
"1110743909","-138817024","1992065280","123.01","13.0","5.937","83","78","86","13.0","5.937","0",
"1110743910","-138816752","1992065920","129.0","13.0","6.01","91","78","86","13.0","6.01","0",
"1110743911","-138816496","1992066560","135.03","13.0","6.086","100","78","87","13.0","6.086","0",
"1110743912","-138816256","1992067072","141.16","13.0","6.175","106","80","87","13.0","6.175","0",
"1110743913","-138816016","1992067840","147.38","13.0","6.268","110","81","89","13.0","6.268","0",
"1110743914","-138815776","1992068352","153.7","13.0","6.406","152","82","82","13.0","6.406","0",
"1110743915","-138815520","1992069120","160.19","13.0","6.546","125","82","83","13.0","6.546","0",
"1110743916","-138815248","1992069760","166.79","13.0","6.644","111","83","83","13.0","6.644","0",
"1110743917","-138814960","1992070400","173.47","13.0","6.704","101","83","84","13.0","6.704","0",
"1110743918","-138814720","1992071040","180.2","13.0","6.75","98","84","84","13.0","6.75","0",
"1110743919","-138814480","1992071808","186.97","13.0","6.793","100","84","84","13.0","6.793","0",
"1110743920","-138814224","1992072576","193.78","13.0","6.838","102","85","84","13.0","6.838","0",
"1110743921","-138813952","1992073216","200.64","13.0","6.88","99","85","85","13.0","6.88","0",
"1110743922","-138813712","1992073984","207.54","13.0","6.926","109","86","86","13.0","6.926","0",
"1110743923","-138813456","1992074496","214.5","13.0","6.982","111","87","86","13.0","6.982","0",
"1110743924","-138813216","1992075264","221.52","13.0","7.037","110","87","86","13.0","7.037","0",
"1110743925","-138812976","1992076032","228.58","13.0","7.093","121","89","85","13.0","7.093","0",
"1110743926","-138812752","1992076928","235.71","13.0","7.153","110","89","87","13.0","7.153","0",
"1110743927","-138812528","1992077696","242.89","13.0","7.2","106","90","87","13.0","7.2","0",
"1110743928","-138812256","1992078336","250.1","13.0","7.243","105","91","87","13.0","7.243","0",
"1110743929","-138811968","1992079104","257.38","13.0","7.314","102","92","87","13.0","7.314","0",
"1110743930","-138811664","1992079872","264.74","13.0","7.4","103","93","87","13.0","7.4","0",
"1110743931","-138811344","1992080512","272.18","13.0","7.518","110","93","87","13.0","7.518","0",
"1110743932","-138811072","1992081280","279.87","13.0","7.777","123","94","88","13.0","7.777","0",
"1110743933","-138810848","1992082176","287.71","13.0","7.945","108","94","88","13.0","7.945","0",
"1110743934","-138810656","1992082944","295.7","13.0","8.021","93","95","88","13.0","8.021","0",
"1110743935","-138810496","1992083840","303.81","13.0","8.061","120","95","88","13.0","8.061","0",
"1110743936","-138810400","1992084736","311.82","13.0","8.095","109","95","87","13.0","8.095","0",
"1110743937","-138810384","1992085632","319.93","13.0","8.095","100","96","88","13.0","8.095","0",
"1110743938","-138810448","1992086528","328.06","13.0","8.08","101","96","87","13.0","8.08","0",
"1110743939","-138810624","1992087296","336.09","13.0","8.064","102","96","86","13.0","8.064","0",
