record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1102207090","-138807872","1992069760","0.38","13.0","9.478","475","121","101","13.0","9.478",
"1102207091","-138808080","1992069760","2.48","13.0","9.582","475","121","101","13.0","9.582",
"1102207092","-138809104","1992070144","12.32","13.0","10.021","463","123","104","13.0","10.021",
"1102207093","-138810128","1992070528","22.52","13.0","10.418","263","125","108","13.0","10.418",
"1102207094","-138811152","1992071040","33.05","13.0","10.564","228","126","107","13.0","10.564",
"1102207095","-138812096","1992071680","43.57","13.0","10.676","228","127","107","13.0","10.676",
"1102207096","-138812944","1992072576","54.37","13.0","10.745","166","129","105","13.0","10.745",
"1102207097","-138813392","1992073600","65.2","13.0","10.839","311","130","100","13.0","10.839",
"1102207098","-138813376","1992074752","76.18","13.0","11.059","366","131","101","13.0","11.059",
"1102207099","-138813104","1992076032","87.36","13.0","11.309","508","132","103","13.0","11.309",
"1102207100","-138812720","1992077056","98.7","13.0","11.617","508","134","103","13.0","11.617",
"1102207101","-138812304","1992078336","110.45","13.0","11.898","432","134","105","13.0","11.898",
"1102207102","-138811824","1992079488","122.48","13.0","12.14","262","135","107","13.0","12.14",
"1102207103","-138811312","1992080768","134.67","13.0","12.228","173","137","106","13.0","12.228",
"1102207104","-138810848","1992082048","147.11","13.0","12.23","173","137","106","13.0","12.23",
"1102207105","-138810544","1992083328","159.26","13.0","12.243","130","139","103","13.0","12.243",
"1102207106","-138810384","1992084608","171.35","13.0","12.19","130","141","101","13.0","12.19",
"1102207107","-138810384","1992086016","183.57","13.0","12.243","336","141","101","13.0","12.243",
"1102207108","-138810560","1992087296","195.9","13.0","12.367","345","142","100","13.0","12.367",
"1102207109","-138810912","1992088576","208.34","13.0","12.486","345","143","100","13.0","12.486",
"1102207110","-138811328","1992089856","220.84","13.0","12.58","329","144","102","13.0","12.58",
"1102207111","-138811776","1992091264","233.47","13.0","12.691","565","144","104","13.0","12.691",
"1102207112","-138812256","1992092544","246.32","13.200000000000045","12.976","488","145","107","13.200000000000045","12.976",
"1102207113","-138812720","1992093824","259.4","13.200000000000045","13.175","488","146","107","13.200000000000045","13.175",
"1102207114","-138813168","1992095232","272.56","13.200000000000045","13.11","225","146","105","13.200000000000045","13.11",
"1102207115","-138813536","1992096512","285.64","13.200000000000045","13.049","225","146","104","13.200000000000045","13.049",
"1102207116","-138813792","1992098048","298.72","13.399999999999977","13.057","282","147","104","13.399999999999977","13.057",
"1102207117","-138813872","1992099456","311.87","13.399999999999977","13.033","270","147","103","13.399999999999977","13.033",
"1102207118","-138813696","1992100736","324.76","13.600000000000023","12.987","270","147","103","13.600000000000023","12.987",
"1102207119","-138813280","1992102272","337.72","13.799999999999955","12.927","274","147","101","13.799999999999955","12.927",
"1102207120","-138812688","1992103424","350.7","13.799999999999955","12.738","281","148","99","13.799999999999955","12.738",
"1102207121","-138812016","1992104576","363.25","14.0","12.676","327","148","99","14.0","12.676",
"1102207122","-138811264","1992105856","375.91","14.200000000000045","12.649","327","148","98","14.200000000000045","12.649",
"1102207123","-138810480","1992106880","388.54","14.399999999999977","12.576","280","149","97","14.399999999999977","12.576",
"1102207124","-138809680","1992108032","401.14","14.600000000000023","12.5","280","149","97","14.600000000000023","12.5",
"1102207125","-138808864","1992109184","413.61","14.799999999999955","12.446","355","149","98","14.799999999999955","12.446",
"1102207126","-138808080","1992110208","425.97","15.0","12.441","390","150","99","15.0","12.441",
"1102207127","-138807328","1992111360","438.44","15.200000000000045","12.465","390","150","99","15.200000000000045","12.465",
"1102207128","-138806736","1992112640","451.14","15.399999999999977","12.537","448","151","100","15.399999999999977","12.537",
"1102207129","-138806480","1992113920","463.48","15.600000000000023","12.565","230","151","101","15.600000000000023","12.565",
"1102207130","-138806592","1992115328","476.01","15.799999999999955","12.444","240","151","99","15.799999999999955","12.444",
"1102207131","-138807136","1992116608","488.43","16.0","12.358","240","152","99","16.0","12.358",
"1102207132","-138808016","1992117504","500.92","16.200000000000045","12.334","292","152","99","16.200000000000045","12.334",
"1102207133","-138809072","1992118400","513.15","16.200000000000045","12.353","324","152","98","16.200000000000045","12.353",
"1102207134","-138810288","1992118912","525.57","16.200000000000045","12.423","384","153","99","16.200000000000045","12.423",
"1102207135","-138811616","1992118912","538.01","16.200000000000045","12.558","384","153","99","16.200000000000045","12.558",
"1102207136","-138812976","1992118784","550.77","16.200000000000045","12.75","407","153","103","16.200000000000045","12.75",
"1102207137","-138814336","1992118400","563.63","16.200000000000045","12.918","475","154","105","16.200000000000045","12.918",
"1102207138","-138815696","1992118272","576.56","16.200000000000045","13.136","475","154","105","16.200000000000045","13.136",
"1102207139","-138817120","1992118016","589.88","16.200000000000045","13.28","405","154","105","16.200000000000045","13.28",
"1102207140","-138818512","1992118272","603.03","16.200000000000045","13.353","226","155","106","16.200000000000045","13.353",
"1102207141","-138819600","1992119168","616.45","16.0","13.334","213","155","105","16.0","13.334",
"1102207142","-138820144","1992120576","629.67","16.0","13.343","213","155","104","16.0","13.343",
"1102207143","-138820416","1992121856","643.06","15.799999999999955","13.433","507","156","105","15.799999999999955","13.433",
"1102207144","-138820544","1992123264","656.6","15.799999999999955","13.703","434","156","108","15.799999999999955","13.703",
"1102207145","-138820624","1992124928","670.41","15.600000000000023","13.898","434","156","108","15.600000000000023","13.898",
"1102207146","-138820672","1992126464","684.52","15.600000000000023","14.036","370","157","109","15.600000000000023","14.036",
"1102207147","-138820720","1992128000","698.66","15.399999999999977","14.047","186","157","106","15.399999999999977","14.047",
"1102207148","-138820752","1992129536","712.54","15.399999999999977","14.018","174","158","104","15.399999999999977","14.018",
"1102207149","-138820912","1992130944","726.47","15.200000000000045","13.98","174","158","105","15.200000000000045","13.98",
"1102207150","-138821376","1992132480","740.5","15.200000000000045","14.08","379","158","106","15.200000000000045","14.08",
"1102207151","-138822272","1992133760","754.65","15.200000000000045","14.174","270","159","106","15.200000000000045","14.174",
"1102207152","-138823504","1992134656","768.82","15.200000000000045","14.087","167","159","106","15.200000000000045","14.087",
"1102207153","-138824928","1992135168","782.93","15.399999999999977","13.771","190","159","104","15.399999999999977","13.771",
"1102207154","-138826368","1992135296","796.42","15.399999999999977","13.519","190","159","104","15.399999999999977","13.519",
"1102207155","-138827840","1992135168","810.02","15.600000000000023","13.416","265","159","101","15.600000000000023","13.416",
"1102207156","-138829232","1992135040","823.2","15.600000000000023","13.377","265","159","100","15.600000000000023","13.377",
"1102207157","-138830640","1992134656","836.71","15.799999999999955","13.342","271","158","99","15.799999999999955","13.342",
"1102207158","-138831984","1992134016","849.91","15.799999999999955","13.31","271","158","99","15.799999999999955","13.31",
"1102207159","-138833328","1992133504","863.26","15.799999999999955","13.196","216","158","99","15.799999999999955","13.196",
"1102207160","-138834592","1992132992","876.28","15.799999999999955","13.103","250","158","98","15.799999999999955","13.103",
"1102207161","-138835856","1992132480","889.36","16.0","12.996","237","158","98","16.0","12.996",
"1102207162","-138837104","1992131712","902.43","16.0","12.879","221","157","97","16.0","12.879",
"1102207163","-138838288","1992130944","915.29","16.0","12.746","221","157","97","16.0","12.746",
"1102207164","-138839440","1992130304","927.89","16.0","12.674","281","157","96","16.0","12.674",
"1102207165","-138840544","1992129280","940.48","16.200000000000045","12.604","281","157","98","16.200000000000045","12.604",
"1102207166","-138841584","1992128640","953.22","16.200000000000045","12.579","302","157","98","16.200000000000045","12.579",
"1102207167","-138842384","1992127488","965.61","16.0","12.624","302","157","99","16.0","12.624",
"1102207168","-138842768","1992126080","978.37","16.0","12.692","242","157","100","16.0","12.692",
"1102207169","-138842784","1992124800","991.06","15.799999999999955","12.739","242","157","98","15.799999999999955","12.739",
"1102207170","-138842624","1992123264","1003.76","15.799999999999955","12.826","300","157","99","15.799999999999955","12.826",
"1102207171","-138842416","1992121856","1016.76","15.600000000000023","12.977","242","156","99","15.600000000000023","12.977",
"1102207172","-138842576","1992120576","1029.9","15.600000000000023","13.056","242","156","99","15.600000000000023","13.056",
"1102207173","-138843552","1992119552","1043.02","15.399999999999977","13.153","447","156","101","15.399999999999977","13.153",
"1102207174","-138844880","1992119168","1056.02","15.600000000000023","13.281","447","156","101","15.600000000000023","13.281",
"1102207175","-138846304","1992118912","1069.29","15.600000000000023","13.257","300","156","102","15.600000000000023","13.257",
"1102207176","-138847712","1992118784","1082.54","15.799999999999955","13.22","300","156","102","15.799999999999955","13.22",
"1102207177","-138848960","1992118016","1095.84","15.799999999999955","13.121","308","156","102","15.799999999999955","13.121",
"1102207178","-138850016","1992117120","1108.91","15.799999999999955","13.217","283","157","101","15.799999999999955","13.217",
