record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1082556510","182.16","56.200000000000045","107","19","1","22.73","567651829","-628878415","10.73",
"1082556511","193.44","55.39999999999998","107","19","1","22.73","567650695","-628877879","10.842",
"1082556512","204.39","54.60000000000002","109","19","1","22.73","567649588","-628877294","10.964",
"1082556513","215.28","53.60000000000002","113","19","1","22.73","567648488","-628876681","10.964",
"1082556514","226.65","53.0","113","19","1","22.73","567647382","-628876031","10.805",
"1082556515","236.99","52.200000000000045","113","19","1","22.73","567646403","-628875280","10.6",
"1082556516","246.75","51.39999999999998","113","19","1","22.73","567645501","-628874452","10.301",
"1082556517","256.76","51.0","113","19","1","22.73","567644632","-628873527","10.049",
"1082556518","266.39","50.60000000000002","113","19","1","22.73","567643798","-628872594","9.797",
"1082556519","276.16","50.200000000000045","113","19","1","22.73","567642968","-628871662","9.508",
"1082556520","285.63","49.799999999999955","113","19","1","22.73","567642190","-628870748","9.2",
"1082556521","294.49","49.60000000000002","113","19","1","22.73","567641457","-628869867","9.069",
"1082556522","303.16","49.0","113","19","1","22.73","567640733","-628869032","8.892",
"1082556523","311.62","49.0","113","19","1","22.73","567640021","-628868240","8.771",
"1082556524","319.57","48.799999999999955","113","19","1","22.73","567639315","-628867484","8.547",
"1082556525","327.52","48.799999999999955","113","19","1","22.73","567638616","-628866721","8.491",
"1082556526","335.74","48.39999999999998","113","19","1","22.73","567637880","-628865983","8.36",
"1082556527","343.88","48.39999999999998","113","19","1","22.73","567637163","-628865228","8.435",
"1082556528","352.14","48.200000000000045","113","19","1","22.73","567636448","-628864395","8.622",
"1082556529","360.92","47.799999999999955","113","19","1","22.73","567635695","-628863564","8.584",
"1082556530","369.42","47.799999999999955","113","19","1","22.73","567634944","-628862810","8.342",
"1082556531","377.85","47.60000000000002","113","19","1","22.73","567634172","-628862108","8.323",
"1082556532","386.22","47.39999999999998","113","18","1","22.73","567633389","-628861437","8.314",
"1082556533","394.74","47.39999999999998","113","18","1","22.73","567632576","-628860834","8.258",
"1082556534","402.95","47.60000000000002","113","18","1","22.73","567631772","-628860295","8.136",
"1082556535","411.29","47.39999999999998","113","18","1","22.73","567630946","-628859795","8.071",
"1082556536","419.69","47.39999999999998","113","18","1","22.73","567630106","-628859362","8.071",
"1082556537","427.81","47.200000000000045","113","18","1","22.73","567629283","-628858949","8.052",
"1082556538","435.98","47.200000000000045","113","18","1","22.73","567628448","-628858550","8.192",
