Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1085950594",s,position_lat,"-138863776",semicircles,position_long,"1992173184",semicircles,distance,"1.97",m,heart_rate,"61",bpm,altitude,"14.200000000000045",m,speed,"2.218",m/s,power,"171",watts,cadence,"34",rpm,enhanced_altitude,"14.200000000000045",m,enhanced_speed,"2.218",m/s,
Data,3,record,timestamp,"1085950595",s,position_lat,"-138863536",semicircles,position_long,"1992173184",semicircles,distance,"4.52",m,heart_rate,"62",bpm,altitude,"14.200000000000045",m,speed,"2.879",m/s,power,"139",watts,cadence,"44",rpm,enhanced_altitude,"14.200000000000045",m,enhanced_speed,"2.879",m/s,
Data,3,record,timestamp,"1085950596",s,position_lat,"-138863232",semicircles,position_long,"1992173440",semicircles,distance,"7.69",m,heart_rate,"62",bpm,altitude,"14.200000000000045",m,speed,"3.335",m/s,power,"128",watts,cadence,"52",rpm,enhanced_altitude,"14.200000000000045",m,enhanced_speed,"3.335",m/s,
Data,3,record,timestamp,"1085950597",s,position_lat,"-138862912",semicircles,position_long,"1992173568",semicircles,distance,"11.22",m,heart_rate,"63",bpm,altitude,"14.200000000000045",m,speed,"3.727",m/s,power,"147",watts,cadence,"58",rpm,enhanced_altitude,"14.200000000000045",m,enhanced_speed,"3.727",m/s,
Data,3,record,timestamp,"1085950598",s,position_lat,"-138862592",semicircles,position_long,"1992173952",semicircles,distance,"15.07",m,heart_rate,"63",bpm,altitude,"14.200000000000045",m,speed,"4.058",m/s,power,"127",watts,cadence,"60",rpm,enhanced_altitude,"14.200000000000045",m,enhanced_speed,"4.058",m/s,
Data,3,record,timestamp,"1085950599",s,position_lat,"-138862240",semicircles,position_long,"1992174336",semicircles,distance,"19.29",m,heart_rate,"64",bpm,altitude,"14.200000000000045",m,speed,"4.332",m/s,power,"132",watts,cadence,"60",rpm,enhanced_altitude,"14.200000000000045",m,enhanced_speed,"4.332",m/s,
Data,3,record,timestamp,"1085950600",s,position_lat,"-138861920",semicircles,position_long,"1992174720",semicircles,distance,"23.79",m,heart_rate,"65",bpm,altitude,"14.200000000000045",m,speed,"4.572",m/s,power,"122",watts,cadence,"76",rpm,enhanced_altitude,"14.200000000000045",m,enhanced_speed,"4.572",m/s,
Data,3,record,timestamp,"1085950601",s,position_lat,"-138861600",semicircles,position_long,"1992174976",semicircles,distance,"28.39",m,heart_rate,"66",bpm,altitude,"14.399999999999977",m,speed,"4.77",m/s,power,"124",watts,cadence,"77",rpm,enhanced_altitude,"14.399999999999977",m,enhanced_speed,"4.77",m/s,
Data,3,record,timestamp,"1085950602",s,position_lat,"-138861344",semicircles,position_long,"1992175360",semicircles,distance,"33.25",m,heart_rate,"67",bpm,altitude,"14.399999999999977",m,speed,"4.932",m/s,power,"108",watts,cadence,"77",rpm,enhanced_altitude,"14.399999999999977",m,enhanced_speed,"4.932",m/s,
Data,3,record,timestamp,"1085950603",s,position_lat,"-138861136",semicircles,position_long,"1992176000",semicircles,distance,"38.26",m,heart_rate,"69",bpm,altitude,"14.399999999999977",m,speed,"5.061",m/s,power,"113",watts,cadence,"77",rpm,enhanced_altitude,"14.399999999999977",m,enhanced_speed,"5.061",m/s,
