record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1095717342","-138835536","1992049792","0.99","64","12.799999999999955","0.91","55","1","12.799999999999955","0.91",
"1095717343","-138835504","1992049920","1.44","64","12.799999999999955","1.171","55","1","12.799999999999955","1.171",
"1095717344","-138835408","1992049920","2.89","64","12.799999999999955","1.75","89","81","12.799999999999955","1.75",
"1095717345","-138835328","1992050304","4.98","64","12.799999999999955","2.438","142","85","12.799999999999955","2.438",
"1095717346","-138835216","1992050560","7.73","64","13.0","3.035","143","84","13.0","3.035",
"1095717347","-138835056","1992050816","11.02","64","13.0","3.533","148","78","13.0","3.533",
"1095717348","-138834896","1992051200","14.78","66","13.0","3.959","145","80","13.0","3.959",
"1095717349","-138834720","1992051584","18.93","67","13.0","4.329","144","80","13.0","4.329",
"1095717350","-138834512","1992052096","23.43","69","12.799999999999955","4.662","144","79","12.799999999999955","4.662",
"1095717351","-138834272","1992052480","28.25","71","12.799999999999955","4.966","144","79","12.799999999999955","4.966",
"1095717352","-138833984","1992053120","33.36","73","12.799999999999955","5.247","145","79","12.799999999999955","5.247",
"1095717353","-138833696","1992053632","38.75","74","12.799999999999955","5.506","145","79","12.799999999999955","5.506",
"1095717354","-138833360","1992054016","44.38","75","12.799999999999955","5.743","143","78","12.799999999999955","5.743",
"1095717355","-138833008","1992054528","50.23","76","12.799999999999955","5.962","144","78","12.799999999999955","5.962",
"1095717356","-138832608","1992055040","56.3","78","12.799999999999955","6.165","143","77","12.799999999999955","6.165",
"1095717357","-138832176","1992055552","62.56","78","12.799999999999955","6.356","146","76","12.799999999999955","6.356",
"1095717358","-138831728","1992056192","69.01","78","12.799999999999955","6.534","146","76","12.799999999999955","6.534",
"1095717359","-138831232","1992056704","75.63","80","12.799999999999955","6.694","144","79","12.799999999999955","6.694",
"1095717360","-138830720","1992057216","82.4","80","12.799999999999955","6.837","145","81","12.799999999999955","6.837",
"1095717361","-138830160","1992057600","89.3","80","12.799999999999955","6.97","150","80","12.799999999999955","6.97",
"1095717362","-138829536","1992058112","96.33","81","12.799999999999955","7.087","148","79","12.799999999999955","7.087",
"1095717363","-138828864","1992058496","103.51","81","12.799999999999955","7.281","150","79","12.799999999999955","7.281",
"1095717364","-138828128","1992058880","110.89","81","12.799999999999955","7.465","149","78","12.799999999999955","7.465",
"1095717365","-138827360","1992059008","118.42","82","12.799999999999955","7.588","149","80","12.799999999999955","7.588",
"1095717366","-138826560","1992059264","126.07","83","12.799999999999955","7.704","149","80","12.799999999999955","7.704",
