record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1083860558","0.0","23.0","23","0",,,,
"1083860559","0.0","23.0","23","0",,,,
"1083860560","0.0","23.0","23","0",,,,
"1083860561","0.0","23.0","23","0",,,,
"1083860562","0.0","23.0","23","0",,,,
"1083860563","0.0","23.0","23","0",,,,
"1083860564","0.0","23.0","23","0",,,,
"1083860565","0.0","23.0","22","0",,,,
"1083860566","0.0","23.0","22","0",,,,
"1083860567","0.0","23.0","22","0",,,,
"1083860568","0.0","23.0","22","0",,,,
"1083860569","0.0","23.0","22","0",,,,
"1083860597","0.0","25.399999999999977","22","0",,,,
"1083860598","0.0","25.600000000000023","22","0",,,,
"1083860599","0.0","25.799999999999955","22","0",,,,
"1083860600","0.0","25.799999999999955","22","0",,,,
"1083860601","0.0","26.799999999999955","22","1","567664708","-628918554","0.0",
"1083860602","0.98","27.799999999999955","22","1","567664613","-628918464","0.662",
"1083860603","5.83","28.600000000000023","22","1","567664517","-628917823","0.625",
"1083860604","6.29","29.399999999999977","22","1","567664338","-628917870","0.942",
"1083860605","8.03","30.0","22","1","567664515","-628917672","0.812",
"1083860606","9.53","30.799999999999955","22","1","567664468","-628917525","0.961",
"1083860607","11.2","31.399999999999977","22","1","567664445","-628917314","1.465",
"1083860608","13.23","32.0","22","1","567664342","-628917064","2.006",
"1083860609","15.62","32.60000000000002","22","1","567664279","-628916769","2.641",
"1083860610","18.04","33.0","22","1","567664341","-628916425","3.536",
"1083860611","21.15","33.60000000000002","22","1","567664501","-628915939","3.994",
"1083860612","25.67","34.0","22","1","567664728","-628915280","4.525",
"1083860613","30.77","34.200000000000045","22","1","567665028","-628914583","4.815",
"1083860614","36.07","34.60000000000002","22","1","567665326","-628913843","5.067",
"1083860615","41.58","34.799999999999955","22","1","567665642","-628913073","5.151",
"1083860616","46.03","35.0","22","1","567665870","-628912392","4.647",
"1083860617","50.6","35.200000000000045","22","1","567665804","-628911666","3.9",
