record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1097061542","568208830","-630284182","0.0","0.0","124.20000000000005","12","0",
"1097061543","568208830","-630284182","0.0","0.0","124.20000000000005","12","0",
"1097061557","568208969","-630283294","0.0","3.135","124.0","12","1",
"1097061558","568208969","-630283294","0.0","3.135","124.0","12","1",
"1097061559","568209126","-630282673","4.17","4.469","124.20000000000005","12","1",
"1097061560","568209323","-630281798","17.38","7.129","124.20000000000005","12","1",
"1097061561","568209823","-630279447","25.39","7.735","124.20000000000005","12","1",
"1097061562","568210098","-630278256","33.48","7.819","124.20000000000005","12","1",
"1097061563","568210396","-630277118","41.04","7.95","124.39999999999998","12","1",
"1097061564","568210689","-630275912","49.07","8.043","124.60000000000002","12","1",
"1097061565","568211017","-630274689","57.27","8.155","125.0","12","1",
"1097061566","568211397","-630273449","65.85","8.286","125.20000000000005","12","1",
"1097061567","568211860","-630272265","74.51","8.388","125.79999999999995","12","1",
"1097061568","568212429","-630271197","83.05","8.444","126.20000000000005","12","1",
"1097061569","568213034","-630270246","91.3","8.192","126.60000000000002","12","1",
"1097061570","568213715","-630269355","91.3","8.192","127.0","12","1",
"1097061571","568214454","-630268653","107.94","8.192","127.60000000000002","12","1",
"1097061572","568215197","-630268008","115.89","8.071","128.0","12","1",
"1097061573","568215957","-630267451","123.86","7.922","128.60000000000002","12","1",
"1097061574","568216694","-630266877","131.63","7.782","129.20000000000005","12","1",
"1097061575","568217424","-630266289","139.48","7.716","129.79999999999995","12","1",
"1097061576","568218149","-630265746","146.96","7.679","130.60000000000002","12","1",
"1097061577","568218872","-630265196","154.59","7.614","131.60000000000002","12","1",
"1097061578","568219580","-630264708","161.83","7.39","132.39999999999998","12","1",
"1097061579","568220294","-630264180","169.25","7.315","133.39999999999998","12","1",
"1097061580","568221004","-630263689","176.65","7.259","134.20000000000005","12","1",
"1097061581","568221735","-630263222","183.86","7.483","135.0","12","1",
"1097061582","568222497","-630262681","191.69","7.67","135.60000000000002","12","1",
"1097061583","568223246","-630262205","199.41","7.334","136.39999999999998","12","1",
"1097061584","568223963","-630261704","206.84","7.278","137.20000000000005","12","1",
"1097061585","568224683","-630261250","214.14","7.213","138.0","12","1",
"1097061586","568225372","-630260806","221.16","6.961","138.39999999999998","12","1",
