Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,0,record,timestamp,"1089293800",s,position_lat,"551881462",semicircles,position_long,"-945967191",semicircles,distance,"0.0",m,enhanced_speed,"5.748",m/s,enhanced_altitude,"244.79999999999995",m,temperature,"23",C,unknown,"0",,
Data,0,record,timestamp,"1089293801",s,position_lat,"551880898",semicircles,position_long,"-945966890",semicircles,distance,"5.82",m,enhanced_speed,"5.804",m/s,enhanced_altitude,"244.79999999999995",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293802",s,position_lat,"551880316",semicircles,position_long,"-945966632",semicircles,distance,"11.29",m,enhanced_speed,"5.953",m/s,enhanced_altitude,"245.0",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293803",s,position_lat,"551879669",semicircles,position_long,"-945966310",semicircles,distance,"17.66",m,enhanced_speed,"6.308",m/s,enhanced_altitude,"245.0",m,temperature,"23",C,unknown,"1",,
Data,0,record,timestamp,"1089293804",s,position_lat,"551879009",semicircles,position_long,"-945965964",semicircles,distance,"24.23",m,enhanced_speed,"6.587",m/s,enhanced_altitude,"245.20000000000005",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293805",s,position_lat,"551878289",semicircles,position_long,"-945965597",semicircles,distance,"31.44",m,enhanced_speed,"7.082",m/s,enhanced_altitude,"245.20000000000005",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293806",s,position_lat,"551877538",semicircles,position_long,"-945965218",semicircles,distance,"38.75",m,enhanced_speed,"7.539",m/s,enhanced_altitude,"245.20000000000005",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293807",s,position_lat,"551876726",semicircles,position_long,"-945964826",semicircles,distance,"46.69",m,enhanced_speed,"7.94",m/s,enhanced_altitude,"245.0",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293808",s,position_lat,"551875879",semicircles,position_long,"-945964409",semicircles,distance,"55.21",m,enhanced_speed,"8.286",m/s,enhanced_altitude,"245.0",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293809",s,position_lat,"551875058",semicircles,position_long,"-945963979",semicircles,distance,"63.04",m,enhanced_speed,"8.482",m/s,enhanced_altitude,"245.0",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293810",s,position_lat,"551874160",semicircles,position_long,"-945963513",semicircles,distance,"71.62",m,enhanced_speed,"8.818",m/s,enhanced_altitude,"244.79999999999995",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293811",s,position_lat,"551873185",semicircles,position_long,"-945963003",semicircles,distance,"81.25",m,enhanced_speed,"9.153",m/s,enhanced_altitude,"244.60000000000002",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293812",s,position_lat,"551872218",semicircles,position_long,"-945962462",semicircles,distance,"91.12",m,enhanced_speed,"9.191",m/s,enhanced_altitude,"244.39999999999998",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293813",s,position_lat,"551871268",semicircles,position_long,"-945961957",semicircles,distance,"100.73",m,enhanced_speed,"9.219",m/s,enhanced_altitude,"244.39999999999998",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293814",s,position_lat,"551870326",semicircles,position_long,"-945961469",semicircles,distance,"110.0",m,enhanced_speed,"9.284",m/s,enhanced_altitude,"244.0",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293815",s,position_lat,"551869371",semicircles,position_long,"-945960996",semicircles,distance,"119.42",m,enhanced_speed,"9.312",m/s,enhanced_altitude,"243.79999999999995",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293816",s,position_lat,"551868420",semicircles,position_long,"-945960537",semicircles,distance,"128.73",m,enhanced_speed,"9.247",m/s,enhanced_altitude,"243.79999999999995",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293817",s,position_lat,"551867469",semicircles,position_long,"-945960062",semicircles,distance,"138.24",m,enhanced_speed,"9.172",m/s,enhanced_altitude,"243.60000000000002",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293818",s,position_lat,"551866546",semicircles,position_long,"-945959574",semicircles,distance,"147.37",m,enhanced_speed,"9.153",m/s,enhanced_altitude,"243.39999999999998",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293819",s,position_lat,"551865620",semicircles,position_long,"-945959090",semicircles,distance,"156.63",m,enhanced_speed,"9.135",m/s,enhanced_altitude,"243.20000000000005",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293820",s,position_lat,"551864716",semicircles,position_long,"-945958608",semicircles,distance,"165.56",m,enhanced_speed,"9.088",m/s,enhanced_altitude,"243.20000000000005",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293821",s,position_lat,"551863818",semicircles,position_long,"-945958153",semicircles,distance,"174.6",m,enhanced_speed,"8.939",m/s,enhanced_altitude,"243.20000000000005",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293822",s,position_lat,"551862957",semicircles,position_long,"-945957722",semicircles,distance,"183.14",m,enhanced_speed,"8.864",m/s,enhanced_altitude,"243.20000000000005",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293823",s,position_lat,"551862119",semicircles,position_long,"-945957285",semicircles,distance,"191.3",m,enhanced_speed,"8.678",m/s,enhanced_altitude,"243.39999999999998",m,temperature,"24",C,unknown,"1",,
Data,0,record,timestamp,"1089293824",s,position_lat,"551861239",semicircles,position_long,"-945956865",semicircles,distance,"200.02",m,enhanced_speed,"8.678",m/s,enhanced_altitude,"243.39999999999998",m,temperature,"24",C,unknown,"1",,
