record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1076371680","-138827888","1992059008","0.25","84","12.799999999999955","0.938","149","14","12.799999999999955","0.938",
"1076371681","-138827696","1992059008","1.91","84","12.799999999999955","2.074","142","32","12.799999999999955","2.074",
"1076371682","-138827440","1992059008","4.33","84","12.799999999999955","2.724","145","1","12.799999999999955","2.724",
"1076371683","-138827120","1992059008","7.34","85","12.799999999999955","3.303","186","1","12.799999999999955","3.303",
"1076371684","-138826736","1992059264","10.91","86","12.799999999999955","3.848","189","56","12.799999999999955","3.848",
"1076371685","-138826304","1992059264","14.95","86","12.799999999999955","4.327","204","68","12.799999999999955","4.327",
"1076371686","-138825840","1992059392","19.54","87","12.799999999999955","4.784","214","78","12.799999999999955","4.784",
"1076371687","-138825296","1992059392","24.59","88","12.799999999999955","5.194","212","80","12.799999999999955","5.194",
"1076371688","-138824736","1992059648","29.97","90","13.0","5.533","187","81","13.0","5.533",
"1076371689","-138824128","1992059776","35.65","92","13.0","5.832","208","83","13.0","5.832",
"1076371690","-138823488","1992059776","41.63","92","13.0","6.114","200","85","13.0","6.114",
"1076371691","-138822832","1992060032","47.87","94","13.0","6.357","195","86","13.0","6.357",
"1076371692","-138822144","1992060160","54.34","95","13.0","6.565","179","86","13.0","6.565",
"1076371693","-138821456","1992060288","61.0","97","13.0","6.753","189","88","13.0","6.753",
"1076371694","-138820768","1992060544","67.84","99","13.0","6.928","181","89","13.0","6.928",
"1076371695","-138820112","1992060928","74.85","100","13.0","7.078","173","89","13.0","7.078",
"1076371696","-138819520","1992061440","82.0","102","13.0","7.227","185","90","13.0","7.227",
"1076371697","-138818976","1992061952","89.3","104","13.0","7.366","174","94","13.0","7.366",
"1076371698","-138818496","1992062720","96.74","104","13.0","7.501","185","95","13.0","7.501",
"1076371699","-138818048","1992063232","104.31","105","13.0","7.63","174","95","13.0","7.63",
"1076371700","-138817648","1992064000","111.9","106","13.0","7.738","170","95","13.0","7.738",
"1076371701","-138817280","1992064896","119.79","108","13.0","7.839","168","95","13.0","7.839",
"1076371702","-138816944","1992065664","127.67","109","13.0","7.936","173","95","13.0","7.936",
"1076371703","-138816608","1992066304","135.66","110","13.0","8.033","176","95","13.0","8.033",
"1076371704","-138816288","1992067200","143.74","110","13.0","8.125","173","96","13.0","8.125",
"1076371705","-138815968","1992068224","151.91","111","13.0","8.215","180","97","13.0","8.215",
"1076371706","-138815632","1992068864","160.19","111","13.0","8.349","224","98","13.0","8.349",
"1076371707","-138815296","1992069760","168.49","112","13.0","8.496","224","90","13.0","8.496",
"1076371708","-138814928","1992070656","177.18","113","13.0","8.629","205","91","13.0","8.629",
"1076371709","-138814576","1992071424","185.87","114","13.0","8.743","223","92","13.0","8.743",
"1076371710","-138814208","1992072320","194.67","114","13.0","8.857","216","93","13.0","8.857",
"1076371711","-138813872","1992073216","203.58","115","13.0","8.949","202","93","13.0","8.949",
"1076371712","-138813536","1992074112","212.57","115","13.0","9.035","212","94","13.0","9.035",
"1076371713","-138813216","1992075136","221.65","117","13.0","9.113","198","93","13.0","9.113",
"1076371714","-138812912","1992076160","230.8","119","13.0","9.187","214","94","13.0","9.187",
"1076371715","-138812608","1992077056","240.03","119","13.0","9.267","209","94","13.0","9.267",
"1076371716","-138812288","1992077952","249.33","120","13.0","9.325","182","94","13.0","9.325",
"1076371717","-138811952","1992078848","258.53","121","13.0","9.375","191","94","13.0","9.375",
"1076371718","-138811584","1992080000","268.09","123","13.0","9.448","207","93","13.0","9.448",
"1076371719","-138811200","1992080896","277.58","123","13.0","9.52","199","94","13.0","9.52",
"1076371720","-138810864","1992081792","286.98","124","13.0","9.583","205","94","13.0","9.583",
"1076371721","-138810592","1992082944","296.74","125","13.0","9.646","215","95","13.0","9.646",
"1076371722","-138810416","1992083968","306.26","125","13.0","9.697","208","95","13.0","9.697",
"1076371723","-138810320","1992084864","315.98","126","13.0","9.736","215","94","13.0","9.736",
"1076371724","-138810368","1992086016","325.89","126","13.0","9.754","191","95","13.0","9.754",
"1076371725","-138810528","1992087040","335.64","126","13.0","9.759","196","95","13.0","9.759",
"1076371726","-138810784","1992088192","345.25","127","13.0","9.766","190","95","13.0","9.766",
"1076371727","-138811104","1992089088","355.18","127","13.0","9.777","203","95","13.0","9.777",
