record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1084815921","419.4","98.0","21","1","567651229","-628878000","11.981",
"1084815922","431.88","96.79999999999995","21","1","567649960","-628877423","12.158",
"1084815923","443.92","96.20000000000005","21","1","567648735","-628876802","12.167",
"1084815924","455.91","95.39999999999998","21","1","567647534","-628876115","12.083",
"1084815925","467.73","94.79999999999995","21","1","567646389","-628875333","11.841",
"1084815926","479.11","94.39999999999998","21","1","567645349","-628874409","11.514",
"1084815927","490.05","93.39999999999998","21","1","567644412","-628873353","11.178",
"1084815928","500.61","93.39999999999998","21","1","567643503","-628872320","10.824",
"1084815929","511.2","93.0","21","1","567642598","-628871330","10.478",
"1084815930","521.24","92.79999999999995","21","1","567641739","-628870373","10.161",
"1084815931","530.79","92.60000000000002","21","1","567640928","-628869421","9.928",
"1084815932","540.44","92.39999999999998","21","1","567640140","-628868422","9.704",
"1084815933","549.99","92.20000000000005","21","1","567639326","-628867517","9.452",
"1084815934","559.18","92.0","21","1","567638517","-628866666","9.247",
"1084815935","568.32","91.39999999999998","21","1","567637721","-628865818","9.079",
"1084815936","577.03","91.20000000000005","21","1","567636957","-628864971","8.948",
"1084815937","586.4","91.20000000000005","21","1","567636181","-628864078","8.836",
"1084815938","595.14","91.0","21","1","567635454","-628863224","8.706",
"1084815939","603.77","91.20000000000005","21","1","567634705","-628862480","8.528",
"1084815940","611.43","90.60000000000002","21","1","567633969","-628861838","8.388",
"1084815941","619.74","90.60000000000002","21","1","567633182","-628861198","8.314",
"1084815942","628.18","90.39999999999998","20","1","567632360","-628860607","8.36",
"1084815943","636.74","90.20000000000005","20","1","567631515","-628860106","8.314",
"1084815944","645.22","90.0","20","1","567630677","-628859639","8.23",
"1084815945","653.49","89.79999999999995","20","1","567629873","-628859168","8.136",
"1084815946","661.05","89.39999999999998","20","1","567629090","-628858760","8.127",
"1084815947","669.29","89.60000000000002","20","1","567628252","-628858300","8.342",
"1084815948","678.07","89.20000000000005","20","1","567627369","-628857851","8.603",
"1084815949","686.76","89.20000000000005","20","1","567626478","-628857487","8.706",
"1084815950","695.37","88.79999999999995","20","1","567625602","-628857004","8.771",
"1084815951","704.42","88.79999999999995","20","1","567624687","-628856552","8.864",
"1084815952","713.39","88.60000000000002","20","1","567623762","-628856142","9.032",
"1084815953","722.47","88.20000000000005","20","1","567622815","-628855723","9.237",
