Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,0,record,timestamp,"1088956192",s,position_lat,"567664722",semicircles,position_long,"-628909118",semicircles,distance,"0.0",m,enhanced_speed,"5.776",m/s,enhanced_altitude,"44.60000000000002",m,heart_rate,"68",bpm,temperature,"23",C,unknown,"0",,unknown,"68",,
Data,0,record,timestamp,"1088956193",s,position_lat,"567665062",semicircles,position_long,"-628908331",semicircles,distance,"5.76",m,enhanced_speed,"5.962",m/s,enhanced_altitude,"44.200000000000045",m,heart_rate,"68",bpm,temperature,"23",C,unknown,"1",,unknown,"68",,
Data,0,record,timestamp,"1088956194",s,position_lat,"567665452",semicircles,position_long,"-628907524",semicircles,distance,"12.14",m,enhanced_speed,"6.196",m/s,enhanced_altitude,"44.39999999999998",m,heart_rate,"68",bpm,temperature,"23",C,unknown,"1",,unknown,"68",,
Data,0,record,timestamp,"1088956195",s,position_lat,"567665825",semicircles,position_long,"-628906718",semicircles,distance,"18.24",m,enhanced_speed,"6.326",m/s,enhanced_altitude,"44.39999999999998",m,heart_rate,"69",bpm,temperature,"23",C,unknown,"1",,unknown,"69",,
Data,0,record,timestamp,"1088956196",s,position_lat,"567666212",semicircles,position_long,"-628905866",semicircles,distance,"24.66",m,enhanced_speed,"6.401",m/s,enhanced_altitude,"44.39999999999998",m,heart_rate,"71",bpm,temperature,"23",C,unknown,"1",,unknown,"71",,
Data,1,record,timestamp,"1088956197",s,position_lat,"567666617",semicircles,position_long,"-628904995",semicircles,distance,"31.35",m,enhanced_speed,"6.41",m/s,enhanced_altitude,"44.60000000000002",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"73",bpm,temperature,"23",C,unknown,"1",,unknown,"73",,
Data,1,record,timestamp,"1088956198",s,position_lat,"567667023",semicircles,position_long,"-628904130",semicircles,distance,"37.97",m,enhanced_speed,"6.466",m/s,enhanced_altitude,"44.60000000000002",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"76",bpm,temperature,"23",C,unknown,"1",,unknown,"76",,
Data,1,record,timestamp,"1088956199",s,position_lat,"567667427",semicircles,position_long,"-628903257",semicircles,distance,"44.67",m,enhanced_speed,"6.448",m/s,enhanced_altitude,"44.60000000000002",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"78",bpm,temperature,"23",C,unknown,"1",,unknown,"78",,
Data,1,record,timestamp,"1088956200",s,position_lat,"567667850",semicircles,position_long,"-628902426",semicircles,distance,"51.3",m,enhanced_speed,"6.466",m/s,enhanced_altitude,"44.60000000000002",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"80",bpm,temperature,"23",C,unknown,"1",,unknown,"80",,
Data,1,record,timestamp,"1088956201",s,position_lat,"567668251",semicircles,position_long,"-628901590",semicircles,distance,"57.7",m,enhanced_speed,"6.457",m/s,enhanced_altitude,"44.799999999999955",m,enhanced_respiration_rate,"17.72",Breaths/min,heart_rate,"84",bpm,temperature,"23",C,unknown,"1",,unknown,"84",,
Data,1,record,timestamp,"1088956202",s,position_lat,"567668679",semicircles,position_long,"-628900761",semicircles,distance,"64.28",m,enhanced_speed,"6.448",m/s,enhanced_altitude,"44.799999999999955",m,enhanced_respiration_rate,"18.31",Breaths/min,heart_rate,"87",bpm,temperature,"23",C,unknown,"1",,unknown,"87",,
Data,1,record,timestamp,"1088956203",s,position_lat,"567669121",semicircles,position_long,"-628899981",semicircles,distance,"70.71",m,enhanced_speed,"6.392",m/s,enhanced_altitude,"44.799999999999955",m,enhanced_respiration_rate,"18.31",Breaths/min,heart_rate,"88",bpm,temperature,"23",C,unknown,"1",,unknown,"88",,
Data,1,record,timestamp,"1088956204",s,position_lat,"567669584",semicircles,position_long,"-628899210",semicircles,distance,"77.21",m,enhanced_speed,"6.457",m/s,enhanced_altitude,"44.799999999999955",m,enhanced_respiration_rate,"18.31",Breaths/min,heart_rate,"90",bpm,temperature,"23",C,unknown,"1",,unknown,"90",,
Data,1,record,timestamp,"1088956205",s,position_lat,"567670005",semicircles,position_long,"-628898388",semicircles,distance,"83.73",m,enhanced_speed,"6.466",m/s,enhanced_altitude,"44.799999999999955",m,enhanced_respiration_rate,"18.31",Breaths/min,heart_rate,"93",bpm,temperature,"23",C,unknown,"1",,unknown,"93",,
Data,1,record,timestamp,"1088956206",s,position_lat,"567670419",semicircles,position_long,"-628897573",semicircles,distance,"90.16",m,enhanced_speed,"6.382",m/s,enhanced_altitude,"45.0",m,enhanced_respiration_rate,"18.31",Breaths/min,heart_rate,"93",bpm,temperature,"23",C,unknown,"1",,unknown,"93",,
Data,1,record,timestamp,"1088956207",s,position_lat,"567670838",semicircles,position_long,"-628896776",semicircles,distance,"96.42",m,enhanced_speed,"6.354",m/s,enhanced_altitude,"45.0",m,enhanced_respiration_rate,"18.11",Breaths/min,heart_rate,"94",bpm,temperature,"23",C,unknown,"1",,unknown,"94",,
Data,1,record,timestamp,"1088956208",s,position_lat,"567671269",semicircles,position_long,"-628896014",semicircles,distance,"102.66",m,enhanced_speed,"6.168",m/s,enhanced_altitude,"45.200000000000045",m,enhanced_respiration_rate,"18.11",Breaths/min,heart_rate,"95",bpm,temperature,"23",C,unknown,"1",,unknown,"95",,
Data,1,record,timestamp,"1088956209",s,position_lat,"567671686",semicircles,position_long,"-628895284",semicircles,distance,"108.66",m,enhanced_speed,"5.869",m/s,enhanced_altitude,"45.39999999999998",m,enhanced_respiration_rate,"18.11",Breaths/min,heart_rate,"96",bpm,temperature,"23",C,unknown,"1",,unknown,"96",,
Data,1,record,timestamp,"1088956210",s,position_lat,"567672095",semicircles,position_long,"-628894625",semicircles,distance,"114.3",m,enhanced_speed,"5.542",m/s,enhanced_altitude,"45.39999999999998",m,enhanced_respiration_rate,"18.11",Breaths/min,heart_rate,"98",bpm,temperature,"23",C,unknown,"1",,unknown,"98",,
Data,1,record,timestamp,"1088956211",s,position_lat,"567672460",semicircles,position_long,"-628893988",semicircles,distance,"119.35",m,enhanced_speed,"5.216",m/s,enhanced_altitude,"45.39999999999998",m,enhanced_respiration_rate,"18.11",Breaths/min,heart_rate,"98",bpm,temperature,"23",C,unknown,"1",,unknown,"98",,
Data,1,record,timestamp,"1088956212",s,position_lat,"567672668",semicircles,position_long,"-628893209",semicircles,distance,"124.5",m,enhanced_speed,"4.973",m/s,enhanced_altitude,"45.60000000000002",m,enhanced_respiration_rate,"17.98",Breaths/min,heart_rate,"98",bpm,temperature,"23",C,unknown,"1",,unknown,"98",,
