record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1092063698","567521410","-638953249","6.4","6.513","4.199999999999989","28","0",
"1092063699","567521882","-638954005","12.85","6.541","4.0","28","1",
"1092063700","567522352","-638954776","19.47","6.559","3.8000000000000114","28","1",
"1092063701","567522812","-638955521","25.82","6.494","3.6000000000000227","28","1",
"1092063702","567523265","-638956296","32.21","6.531","3.3999999999999773","28","1",
"1092063703","567523704","-638957136","38.94","6.587","3.0","28","1",
"1092063704","567524112","-638958000","45.64","6.653","3.0","28","1",
"1092063705","567524489","-638958870","52.04","6.699","2.6000000000000227","28","1",
"1092063706","567524842","-638959823","58.92","6.737","2.6000000000000227","28","1",
"1092063707","567525180","-638960781","65.66","6.737","2.3999999999999773","28","1",
"1092063708","567525538","-638961767","72.75","6.783","2.3999999999999773","28","1",
"1092063709","567525877","-638962757","79.75","6.867","2.3999999999999773","28","1",
"1092063710","567526220","-638963744","86.76","6.839","2.3999999999999773","28","1",
"1092063711","567526538","-638964726","93.67","6.783","2.3999999999999773","28","1",
"1092063712","567526809","-638965717","100.43","6.755","2.3999999999999773","28","1",
"1092063713","567527075","-638966708","107.16","6.765","2.3999999999999773","28","1",
"1092063714","567527321","-638967716","113.89","6.821","2.1999999999999886","28","1",
"1092063715","567527571","-638968746","120.87","6.877","2.1999999999999886","28","1",
"1092063716","567527824","-638969749","127.63","6.951","2.1999999999999886","28","1",
"1092063717","567528044","-638970779","134.33","7.017","2.1999999999999886","28","1",
"1092063718","567528253","-638971874","141.46","7.101","1.8000000000000114","28","1",
"1092063719","567528480","-638972985","148.89","7.119","1.8000000000000114","28","1",
"1092063720","567528700","-638974046","155.88","7.091","1.8000000000000114","28","1",
"1092063721","567528921","-638975118","162.87","7.129","1.8000000000000114","28","1",
"1092063722","567529144","-638976216","170.13","7.091","1.6000000000000227","28","1",
"1092063723","567529354","-638977295","177.21","7.045","1.6000000000000227","28","1",
"1092063724","567529519","-638978384","184.25","6.97","1.6000000000000227","28","1",
"1092063725","567529684","-638979464","191.28","6.923","1.6000000000000227","28","1",
"1092063726","567529833","-638980529","198.14","6.914","1.6000000000000227","28","1",
"1092063727","567529969","-638981596","204.95","6.923","1.6000000000000227","28","1",
"1092063728","567530095","-638982675","211.92","6.886","1.8000000000000114","28","1",
"1092063729","567530196","-638983720","218.55","6.774","1.8000000000000114","28","1",
"1092063730","567530275","-638984772","225.21","6.69","1.8000000000000114","28","1",
"1092063731","567530339","-638985832","231.97","6.709","1.8000000000000114","28","1",
"1092063732","567530377","-638986882","238.52","6.774","1.8000000000000114","28","1",
"1092063733","567530469","-638987977","245.52","6.942","1.8000000000000114","28","1",
"1092063734","567530542","-638989086","252.5","7.119","1.8000000000000114","28","1",
"1092063735","567530586","-638990234","259.81","7.213","1.8000000000000114","28","1",
"1092063736","567530644","-638991370","266.9","7.278","1.8000000000000114","28","1",
"1092063737","567530699","-638992556","274.47","7.306","1.8000000000000114","28","1",
"1092063738","567530733","-638993706","281.71","7.297","1.8000000000000114","28","1",
"1092063739","567530774","-638994855","288.97","7.259","2.1999999999999886","28","1",
"1092063740","567530792","-638996011","296.27","7.315","1.8000000000000114","28","1",
"1092063741","567530804","-638997163","303.46","7.325","1.8000000000000114","28","1",
"1092063742","567530810","-638998350","310.96","7.39","1.8000000000000114","28","1",
"1092063743","567530817","-638999528","318.38","7.362","1.8000000000000114","28","1",
"1092063744","567530813","-639000710","325.85","7.287","1.8000000000000114","28","1",
"1092063745","567530774","-639001862","333.17","7.157","1.8000000000000114","28","1",
"1092063746","567530728","-639002968","340.17","6.998","1.8000000000000114","28","1",
"1092063747","567530699","-639004058","347.14","6.849","1.6000000000000227","28","1",
"1092063748","567530678","-639005097","353.82","6.671","1.6000000000000227","28","1",
"1092063749","567530705","-639006060","359.75","6.522","1.3999999999999773","28","1",
"1092063750","567530737","-639007053","365.95","6.326","1.3999999999999773","28","1",
"1092063751","567530776","-639008052","372.23","6.158","1.3999999999999773","28","1",
"1092063752","567530800","-639009025","378.31","5.916","1.3999999999999773","28","1",
"1092063753","567530815","-639009987","384.51","5.682","1.3999999999999773","28","1",
"1092063754","567530820","-639010864","390.07","5.477","1.8000000000000114","28","1",
"1092063755","567530794","-639011678","395.25","5.179","1.8000000000000114","28","1",
"1092063756","567530773","-639012452","400.05","5.039","2.3999999999999773","28","1",
"1092063757","567530761","-639013238","404.99","4.917","2.6000000000000227","28","1",
"1092063758","567530752","-639014000","409.82","4.731","3.1999999999999886","28","1",
"1092063759","567530735","-639014724","414.41","4.516","3.8000000000000114","28","1",
"1092063760","567530703","-639015417","418.84","4.367","4.199999999999989","28","1",
"1092063761","567530678","-639016077","422.92","4.273","4.399999999999977","28","1",
"1092063762","567530672","-639016771","427.34","4.227","4.399999999999977","28","1",
"1092063763","567530636","-639017428","431.53","4.18","4.800000000000011","28","1",
"1092063764","567530579","-639018089","435.76","4.283","5.199999999999989","28","1",
"1092063765","567530503","-639018741","439.85","4.423","5.399999999999977","28","1",
"1092063766","567530421","-639019443","444.31","4.553","5.600000000000023","28","1",
"1092063767","567530335","-639020165","448.99","4.665","5.600000000000023","28","1",
"1092063768","567530251","-639020887","453.54","4.787","5.800000000000011","28","1",
"1092063769","567530160","-639021659","458.49","4.917","6.0","28","1",
"1092063770","567530086","-639022449","463.53","5.029","6.0","28","1",
"1092063771","567529980","-639023240","468.59","5.16","6.0","28","1",
"1092063772","567529882","-639024066","473.93","5.346","6.199999999999989","28","1",
"1092063773","567529766","-639024907","479.27","5.617","6.800000000000011","28","1",
"1092063774","567529635","-639025808","485.06","5.822","6.800000000000011","28","1",
"1092063775","567529493","-639026746","491.13","6.028","7.0","28","1",
"1092063776","567529325","-639027693","497.29","6.149","7.0","28","1",
"1092063777","567529148","-639028653","503.63","6.224","7.0","28","1",
"1092063778","567528988","-639029612","509.86","6.308","7.0","28","1",
"1092063779","567528833","-639030593","516.16","6.429","7.0","28","1",
"1092063780","567528664","-639031635","522.88","6.69","6.600000000000023","28","1",
"1092063781","567528482","-639032702","529.77","6.811","6.399999999999977","28","1",
"1092063782","567528294","-639033787","536.88","6.821","6.399999999999977","28","1",
"1092063783","567528041","-639034772","543.55","6.541","6.199999999999989","28","1",
"1092063784","567527800","-639035685","549.7","6.056","6.199999999999989","28","1",
"1092063785","567527572","-639036560","555.63","5.645","6.199999999999989","28","1",
"1092063786","567527468","-639037342","560.78","4.833","6.199999999999989","28","1",
"1092063787","567527548","-639037902","564.23","3.9","6.199999999999989","28","1",
"1092063788","567527776","-639038316","567.56","3.312","6.600000000000023","28","1",
"1092063789","567528029","-639038550","570.38","2.855","6.800000000000011","28","1",
"1092063790","567528326","-639038780","573.35","3.256","7.0","28","1",
"1092063791","567528605","-639039087","576.49","3.21","7.0","28","1",
"1092063792","567528914","-639039432","580.12","3.331","7.399999999999977","28","1",
"1092063793","567529204","-639039733","583.54","3.21","8.0","28","1",
"1092063794","567529470","-639039989","586.48","3.191","8.199999999999989","28","1",
"1092063795","567529701","-639040291","589.31","2.958","8.600000000000023","28","1",
"1092063796","567529955","-639040617","592.48","2.976","9.0","28","1",
"1092063797","567530209","-639040902","595.47","2.976","9.399999999999977","28","1",
"1092063798","567530491","-639041154","598.52","3.2","9.800000000000011","28","1",
"1092063799","567530808","-639041371","601.71","3.359","10.199999999999989","28","1",
"1092063800","567531137","-639041556","605.0","3.275","10.800000000000011","28","1",
