Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,0,record,timestamp,"1085850877",s,distance,"0.0",m,enhanced_altitude,"2.3999999999999773",m,temperature,"22",C,unknown,"0",,
Data,0,record,timestamp,"1085850878",s,distance,"0.0",m,enhanced_altitude,"2.3999999999999773",m,temperature,"22",C,unknown,"0",,
Data,0,record,timestamp,"1085850880",s,distance,"0.0",m,enhanced_altitude,"2.3999999999999773",m,temperature,"22",C,unknown,"0",,
Data,2,record,timestamp,"1085850881",s,position_lat,"567666165",semicircles,position_long,"-628918743",semicircles,distance,"0.0",m,enhanced_speed,"0.467",m/s,enhanced_altitude,"2.3999999999999773",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850882",s,position_lat,"567666221",semicircles,position_long,"-628918342",semicircles,distance,"0.84",m,enhanced_speed,"0.662",m/s,enhanced_altitude,"9.600000000000023",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850883",s,position_lat,"567666076",semicircles,position_long,"-628918102",semicircles,distance,"1.67",m,enhanced_speed,"0.429",m/s,enhanced_altitude,"12.600000000000023",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850884",s,position_lat,"567665749",semicircles,position_long,"-628918219",semicircles,distance,"1.67",m,enhanced_speed,"0.728",m/s,enhanced_altitude,"15.399999999999977",m,temperature,"22",C,unknown,"1",,
Data,0,record,timestamp,"1085850885",s,distance,"1.67",m,enhanced_altitude,"15.399999999999977",m,temperature,"22",C,unknown,"0",,,,,,,,,,,
Data,2,record,timestamp,"1085850886",s,position_lat,"567664850",semicircles,position_long,"-628918180",semicircles,distance,"2.51",m,enhanced_speed,"1.633",m/s,enhanced_altitude,"17.799999999999955",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850887",s,position_lat,"567664847",semicircles,position_long,"-628917738",semicircles,distance,"4.84",m,enhanced_speed,"2.557",m/s,enhanced_altitude,"20.0",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850888",s,position_lat,"567664877",semicircles,position_long,"-628917318",semicircles,distance,"7.42",m,enhanced_speed,"2.706",m/s,enhanced_altitude,"21.799999999999955",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850889",s,position_lat,"567664924",semicircles,position_long,"-628916802",semicircles,distance,"10.98",m,enhanced_speed,"3.079",m/s,enhanced_altitude,"23.399999999999977",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850890",s,position_lat,"567665096",semicircles,position_long,"-628916314",semicircles,distance,"14.8",m,enhanced_speed,"3.359",m/s,enhanced_altitude,"24.600000000000023",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850891",s,position_lat,"567665226",semicircles,position_long,"-628915795",semicircles,distance,"18.2",m,enhanced_speed,"3.984",m/s,enhanced_altitude,"26.0",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850892",s,position_lat,"567665422",semicircles,position_long,"-628915236",semicircles,distance,"21.99",m,enhanced_speed,"4.469",m/s,enhanced_altitude,"27.200000000000045",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850893",s,position_lat,"567665653",semicircles,position_long,"-628914715",semicircles,distance,"26.01",m,enhanced_speed,"4.413",m/s,enhanced_altitude,"28.200000000000045",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850894",s,position_lat,"567665977",semicircles,position_long,"-628914176",semicircles,distance,"30.39",m,enhanced_speed,"4.833",m/s,enhanced_altitude,"29.200000000000045",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850895",s,position_lat,"567666290",semicircles,position_long,"-628913584",semicircles,distance,"34.7",m,enhanced_speed,"4.749",m/s,enhanced_altitude,"30.0",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850896",s,position_lat,"567666480",semicircles,position_long,"-628912941",semicircles,distance,"39.2",m,enhanced_speed,"4.301",m/s,enhanced_altitude,"30.799999999999955",m,temperature,"22",C,unknown,"1",,
Data,2,record,timestamp,"1085850897",s,position_lat,"567666361",semicircles,position_long,"-628912294",semicircles,distance,"43.17",m,enhanced_speed,"4.423",m/s,enhanced_altitude,"31.600000000000023",m,temperature,"22",C,unknown,"1",,
