Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1107300112",s,position_lat,"-138833680",semicircles,position_long,"1992053760",semicircles,distance,"0.38",m,altitude,"12.799999999999955",m,speed,"0.912",m/s,power,"88",watts,heart_rate,"47",bpm,cadence,"14",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"0.912",m/s,
Data,3,record,timestamp,"1107300113",s,position_lat,"-138833616",semicircles,position_long,"1992053760",semicircles,distance,"1.17",m,altitude,"12.799999999999955",m,speed,"1.603",m/s,power,"136",watts,heart_rate,"47",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"1.603",m/s,
Data,3,record,timestamp,"1107300114",s,position_lat,"-138833456",semicircles,position_long,"1992054016",semicircles,distance,"3.24",m,altitude,"12.799999999999955",m,speed,"2.438",m/s,power,"138",watts,heart_rate,"48",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"2.438",m/s,
Data,3,record,timestamp,"1107300115",s,position_lat,"-138833248",semicircles,position_long,"1992054144",semicircles,distance,"5.99",m,altitude,"12.799999999999955",m,speed,"2.993",m/s,power,"110",watts,heart_rate,"48",bpm,cadence,"1",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"2.993",m/s,
Data,3,record,timestamp,"1107300116",s,position_lat,"-138833040",semicircles,position_long,"1992054272",semicircles,distance,"9.19",m,altitude,"12.799999999999955",m,speed,"3.385",m/s,power,"108",watts,heart_rate,"49",bpm,cadence,"64",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.385",m/s,
Data,3,record,timestamp,"1107300117",s,position_lat,"-138832816",semicircles,position_long,"1992054656",semicircles,distance,"12.77",m,altitude,"12.799999999999955",m,speed,"3.738",m/s,power,"120",watts,heart_rate,"50",bpm,cadence,"73",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"3.738",m/s,
Data,3,record,timestamp,"1107300118",s,position_lat,"-138832576",semicircles,position_long,"1992055040",semicircles,distance,"16.64",m,altitude,"12.799999999999955",m,speed,"4.054",m/s,power,"104",watts,heart_rate,"51",bpm,cadence,"74",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.054",m/s,
Data,3,record,timestamp,"1107300119",s,position_lat,"-138832304",semicircles,position_long,"1992055424",semicircles,distance,"20.8",m,altitude,"12.799999999999955",m,speed,"4.288",m/s,power,"88",watts,heart_rate,"53",bpm,cadence,"75",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.288",m/s,
Data,3,record,timestamp,"1107300120",s,position_lat,"-138831984",semicircles,position_long,"1992055808",semicircles,distance,"25.29",m,altitude,"12.799999999999955",m,speed,"4.481",m/s,power,"85",watts,heart_rate,"54",bpm,cadence,"75",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.481",m/s,
Data,3,record,timestamp,"1107300121",s,position_lat,"-138831664",semicircles,position_long,"1992056192",semicircles,distance,"29.78",m,altitude,"12.799999999999955",m,speed,"4.661",m/s,power,"108",watts,heart_rate,"56",bpm,cadence,"76",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.661",m/s,
Data,3,record,timestamp,"1107300122",s,position_lat,"-138831312",semicircles,position_long,"1992056576",semicircles,distance,"34.55",m,altitude,"12.799999999999955",m,speed,"4.86",m/s,power,"96",watts,heart_rate,"59",bpm,cadence,"75",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"4.86",m/s,
Data,3,record,timestamp,"1107300123",s,position_lat,"-138830928",semicircles,position_long,"1992056832",semicircles,distance,"39.52",m,altitude,"12.799999999999955",m,speed,"5.013",m/s,power,"87",watts,heart_rate,"61",bpm,cadence,"77",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.013",m/s,
Data,3,record,timestamp,"1107300124",s,position_lat,"-138830528",semicircles,position_long,"1992057216",semicircles,distance,"44.57",m,altitude,"12.799999999999955",m,speed,"5.138",m/s,power,"84",watts,heart_rate,"62",bpm,cadence,"77",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.138",m/s,
Data,3,record,timestamp,"1107300125",s,position_lat,"-138830096",semicircles,position_long,"1992057600",semicircles,distance,"49.81",m,altitude,"12.799999999999955",m,speed,"5.244",m/s,power,"83",watts,heart_rate,"63",bpm,cadence,"77",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.244",m/s,
Data,3,record,timestamp,"1107300126",s,position_lat,"-138829664",semicircles,position_long,"1992057984",semicircles,distance,"55.05",m,altitude,"12.799999999999955",m,speed,"5.343",m/s,power,"92",watts,heart_rate,"66",bpm,cadence,"77",rpm,enhanced_altitude,"12.799999999999955",m,enhanced_speed,"5.343",m/s,
