record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1095466460","-138835952","1992048512","1.13","57","12.799999999999955","0.919","78","14","12.799999999999955","0.919",
"1095466461","-138835952","1992048512","1.47","57","12.799999999999955","1.181","78","18","12.799999999999955","1.181",
"1095466462","-138835840","1992048640","2.96","58","12.799999999999955","1.73","64","26","12.799999999999955","1.73",
"1095466463","-138835792","1992048896","4.91","59","12.799999999999955","2.239","141","34","12.799999999999955","2.239",
"1095466464","-138835696","1992049280","7.47","60","12.799999999999955","2.848","148","44","12.799999999999955","2.848",
"1095466465","-138835584","1992049408","10.57","60","12.799999999999955","3.342","131","52","12.799999999999955","3.342",
"1095466466","-138835456","1992049792","14.11","61","12.799999999999955","3.694","110","52","12.799999999999955","3.694",
"1095466467","-138835328","1992050304","17.94","61","12.799999999999955","3.961","101","53","12.799999999999955","3.961",
"1095466468","-138835168","1992050688","22.02","62","13.0","4.184","97","54","13.0","4.184",
"1095466469","-138834976","1992051072","26.28","63","13.0","4.383","91","55","13.0","4.383",
"1095466470","-138834816","1992051584","30.78","64","13.0","4.553","85","56","13.0","4.553",
"1095466471","-138834608","1992051968","35.44","64","12.799999999999955","4.717","101","57","12.799999999999955","4.717",
"1095466472","-138834352","1992052480","40.22","64","12.799999999999955","4.894","92","56","12.799999999999955","4.894",
"1095466473","-138834080","1992052864","45.2","64","12.799999999999955","5.052","95","58","12.799999999999955","5.052",
"1095466474","-138833776","1992053376","50.36","65","12.799999999999955","5.207","88","59","12.799999999999955","5.207",
"1095466475","-138833456","1992054016","55.62","65","12.799999999999955","5.333","79","59","12.799999999999955","5.333",
"1095466476","-138833120","1992054272","60.99","66","12.799999999999955","5.443","85","60","12.799999999999955","5.443",
"1095466477","-138832784","1992054912","66.51","66","12.799999999999955","5.555","79","59","12.799999999999955","5.555",
"1095466478","-138832400","1992055296","72.1","66","12.799999999999955","5.64","57","60","12.799999999999955","5.64",
"1095466479","-138832016","1992055808","77.76","67","12.799999999999955","5.68","50","65","12.799999999999955","5.68",
"1095466480","-138831600","1992056320","83.45","67","12.799999999999955","5.713","64","65","12.799999999999955","5.713",
"1095466481","-138831184","1992056704","89.21","67","12.799999999999955","5.772","74","68","12.799999999999955","5.772",
"1095466482","-138830720","1992057216","95.06","67","12.799999999999955","5.879","141","66","12.799999999999955","5.879",
"1095466483","-138830256","1992057600","100.99","67","12.799999999999955","6.062","123","65","12.799999999999955","6.062",
"1095466484","-138829712","1992057984","107.13","67","12.799999999999955","6.221","157","69","12.799999999999955","6.221",
"1095466485","-138829120","1992058368","113.45","68","12.799999999999955","6.408","158","71","12.799999999999955","6.408",
"1095466486","-138828480","1992058752","120.01","69","12.799999999999955","6.579","152","72","12.799999999999955","6.579",
"1095466487","-138827824","1992058880","126.59","70","12.799999999999955","6.722","144","73","12.799999999999955","6.722",
"1095466488","-138827120","1992059008","133.38","71","12.799999999999955","6.826","117","73","12.799999999999955","6.826",
"1095466489","-138826400","1992059264","140.24","73","12.799999999999955","6.89","112","74","12.799999999999955","6.89",
"1095466490","-138825680","1992059392","147.16","74","12.799999999999955","6.939","110","74","12.799999999999955","6.939",
"1095466491","-138824928","1992059648","154.11","77","12.799999999999955","6.978","99","74","12.799999999999955","6.978",
"1095466492","-138824192","1992059648","161.1","78","13.0","7.009","136","74","13.0","7.009",
"1095466493","-138823440","1992059776","168.17","81","13.0","7.098","144","74","13.0","7.098",
"1095466494","-138822688","1992060032","175.3","84","13.0","7.177","112","75","13.0","7.177",
"1095466495","-138821920","1992060160","182.62","85","13.0","7.221","126","75","13.0","7.221",
"1095466496","-138821184","1992060288","189.74","87","13.0","7.273","122","74","13.0","7.273",
"1095466497","-138820464","1992060672","197.05","88","13.0","7.316","114","75","13.0","7.316",
"1095466498","-138819808","1992061056","204.37","89","13.0","7.358","132","75","13.0","7.358",
"1095466499","-138819216","1992061568","211.79","90","13.0","7.424","132","76","13.0","7.424",
"1095466500","-138818704","1992062336","219.22","91","13.0","7.489","140","76","13.0","7.489",
"1095466501","-138818256","1992063104","226.75","91","13.0","7.562","138","76","13.0","7.562",
"1095466502","-138817840","1992063744","234.35","92","13.0","7.628","132","78","13.0","7.628",
"1095466503","-138817456","1992064512","242.04","92","13.0","7.682","123","78","13.0","7.682",
"1095466504","-138817136","1992065280","249.71","92","13.0","7.723","123","78","13.0","7.723",
"1095466505","-138816800","1992065920","257.46","93","13.0","7.764","119","78","13.0","7.764",
"1095466506","-138816496","1992066688","265.24","93","13.0","7.792","111","77","13.0","7.792",
"1095466507","-138816192","1992067584","273.08","94","13.0","7.806","98","78","13.0","7.806",
"1095466508","-138815872","1992068352","280.85","95","13.0","7.819","122","78","13.0","7.819",
"1095466509","-138815552","1992069248","288.71","96","13.0","7.857","129","79","13.0","7.857",
"1095466510","-138815232","1992070016","296.56","97","13.0","7.903","138","80","13.0","7.903",
"1095466511","-138814880","1992070656","304.5","98","13.0","7.963","145","79","13.0","7.963",
"1095466512","-138814512","1992071680","312.5","99","13.0","8.021","126","80","13.0","8.021",
"1095466513","-138814176","1992072320","320.53","99","13.0","8.054","125","80","13.0","8.054",
"1095466514","-138813872","1992073216","328.6","100","13.0","8.088","131","80","13.0","8.088",
"1095466515","-138813584","1992073984","336.71","101","13.0","8.116","110","80","13.0","8.116",
"1095466516","-138813312","1992074880","344.83","101","13.0","8.129","123","79","13.0","8.129",
"1095466517","-138813040","1992075648","352.98","101","13.0","8.152","115","80","13.0","8.152",
"1095466518","-138812768","1992076544","361.27","102","13.0","8.166","113","80","13.0","8.166",
"1095466519","-138812512","1992077440","369.31","102","13.0","8.183","129","80","13.0","8.183",
"1095466520","-138812240","1992078208","377.52","102","13.0","8.224","129","80","13.0","8.224",
"1095466521","-138811936","1992079104","385.75","102","13.0","8.264","115","80","13.0","8.264",
"1095466522","-138811616","1992080000","394.03","102","13.0","8.301","137","81","13.0","8.301",
"1095466523","-138811280","1992080768","402.36","103","13.0","8.354","121","81","13.0","8.354",
"1095466524","-138810976","1992081664","410.73","103","13.0","8.375","106","80","13.0","8.375",
"1095466525","-138810720","1992082560","419.11","103","13.0","8.384","122","80","13.0","8.384",
"1095466526","-138810528","1992083456","427.5","103","13.0","8.401","121","80","13.0","8.401",
"1095466527","-138810432","1992084352","435.91","103","13.0","8.414","137","81","13.0","8.414",
"1095466528","-138810400","1992085248","444.34","103","13.0","8.435","139","81","13.0","8.435",
"1095466529","-138810432","1992086144","452.79","102","13.0","8.446","129","81","13.0","8.446",
"1095466530","-138810544","1992087040","461.23","102","13.0","8.447","128","81","13.0","8.447",
"1095466531","-138810752","1992088064","469.68","102","13.0","8.448","126","81","13.0","8.448",
"1095466532","-138811024","1992088960","478.13","102","13.0","8.448","128","80","13.0","8.448",
"1095466533","-138811312","1992089856","486.57","101","13.0","8.451","130","81","13.0","8.451",
"1095466534","-138811616","1992090496","495.03","101","13.0","8.453","125","81","13.0","8.453",
"1095466535","-138811936","1992091520","503.48","100","13.0","8.437","107","81","13.0","8.437",
"1095466536","-138812256","1992092416","511.9","99","13.200000000000045","8.414","135","81","13.200000000000045","8.414",
"1095466537","-138812576","1992093312","520.31","99","13.200000000000045","8.415","121","80","13.200000000000045","8.415",
"1095466538","-138812880","1992094080","528.72","99","13.200000000000045","8.398","125","81","13.200000000000045","8.398",
"1095466539","-138813168","1992094976","537.12","99","13.200000000000045","8.392","158","80","13.200000000000045","8.392",
"1095466540","-138813424","1992095872","545.53","99","13.200000000000045","8.421","157","81","13.200000000000045","8.421",
"1095466541","-138813648","1992096768","553.96","99","13.200000000000045","8.437","146","81","13.200000000000045","8.437",
"1095466542","-138813808","1992097664","562.38","99","13.399999999999977","8.431","154","80","13.399999999999977","8.431",
"1095466543","-138813888","1992098560","570.81","99","13.399999999999977","8.424","155","82","13.399999999999977","8.424",
"1095466544","-138813904","1992099456","579.23","99","13.399999999999977","8.403","146","82","13.399999999999977","8.403",
"1095466545","-138813840","1992100352","587.61","100","13.600000000000023","8.369","160","82","13.600000000000023","8.369",
"1095466546","-138813664","1992101248","595.97","99","13.600000000000023","8.335","147","82","13.600000000000023","8.335",
"1095466547","-138813376","1992102016","604.27","99","13.600000000000023","8.274","145","80","13.600000000000023","8.274",
"1095466548","-138813040","1992102912","612.51","99","13.799999999999955","8.203","141","80","13.799999999999955","8.203",
"1095466549","-138812624","1992103680","620.68","99","14.0","8.128","148","80","14.0","8.128",
"1095466550","-138812192","1992104576","628.77","99","14.0","8.06","153","80","14.0","8.06",
"1095466551","-138811744","1992105344","636.81","99","14.200000000000045","7.993","147","80","14.200000000000045","7.993",
"1095466552","-138811248","1992105984","644.76","99","14.200000000000045","7.926","161","79","14.200000000000045","7.926",
"1095466553","-138810752","1992106624","652.67","99","14.399999999999977","7.881","169","80","14.399999999999977","7.881",
"1095466554","-138810256","1992107264","660.53","99","14.399999999999977","7.842","167","80","14.399999999999977","7.842",
"1095466555","-138809760","1992108032","668.34","99","14.600000000000023","7.8","160","80","14.600000000000023","7.8",
"1095466556","-138809264","1992108800","676.12","99","14.799999999999955","7.744","151","80","14.799999999999955","7.744",
"1095466557","-138808768","1992109312","683.83","99","14.799999999999955","7.682","158","79","14.799999999999955","7.682",
"1095466558","-138808272","1992110080","691.49","99","15.0","7.632","163","80","15.0","7.632",
"1095466559","-138807792","1992110720","699.09","99","15.200000000000045","7.59","166","80","15.200000000000045","7.59",
"1095466560","-138807360","1992111488","706.66","99","15.200000000000045","7.551","166","80","15.200000000000045","7.551",
"1095466561","-138806976","1992112256","714.19","99","15.399999999999977","7.511","166","80","15.399999999999977","7.511",
"1095466562","-138806704","1992112896","721.68","99","15.600000000000023","7.466","156","79","15.600000000000023","7.466",
"1095466563","-138806576","1992113664","729.13","100","15.600000000000023","7.419","155","80","15.600000000000023","7.419",
